published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-10-11,75.00,74.00,74.00,74.00,0.00,40.00,2960.00,0,1
2012-10-10,75.00,75.00,74.00,75.00,0.00,110.00,8190.00,0,2
2012-10-09,74.00,75.00,74.00,75.00,0.00,100.00,7480.00,0,3
2012-10-07,73.00,74.00,74.00,74.00,0.00,10.00,740.00,0,4
2012-10-03,73.00,73.00,73.00,73.00,0.00,130.00,9490.00,0,5
2012-09-30,74.00,73.00,73.00,73.00,0.00,40.00,2920.00,0,6
2012-09-26,74.00,73.00,73.00,73.00,0.00,690.00,50370.00,0,7
2012-09-25,72.00,74.00,73.00,74.00,0.00,510.00,37290.00,0,8
2012-09-24,71.00,72.00,71.00,72.00,0.00,300.00,21520.00,0,9
2012-09-23,70.00,71.00,70.00,71.00,0.00,220.00,15560.00,0,10
2012-09-20,71.00,70.00,70.00,70.00,0.00,100.00,7000.00,0,11
2012-09-19,70.00,71.00,71.00,71.00,0.00,70.00,4970.00,0,12
2012-09-17,70.00,70.00,70.00,70.00,0.00,60.00,4200.00,0,13
2012-09-16,71.00,70.00,70.00,70.00,0.00,100.00,7000.00,0,14
2012-09-13,68.00,71.00,67.00,71.00,0.00,230.00,15970.00,0,15
2012-09-11,65.00,68.00,66.00,68.00,0.00,290.00,19210.00,0,16
2012-09-10,68.00,67.00,65.00,65.00,0.00,50.00,3290.00,0,17
2012-09-05,69.00,68.00,68.00,68.00,0.00,20.00,1360.00,0,18
2012-09-03,71.00,71.00,69.00,69.00,0.00,360.00,25130.00,0,19
2012-09-02,67.00,71.00,69.00,71.00,0.00,270.00,18890.00,0,20
2012-08-29,69.00,68.00,67.00,67.00,0.00,180.00,12160.00,0,21
2012-08-27,71.00,70.00,69.00,69.00,0.00,170.00,11850.00,0,22
2012-08-26,75.00,74.00,71.00,71.00,0.00,340.00,24550.00,0,23
2012-08-22,75.00,75.00,75.00,75.00,0.00,10.00,750.00,0,24
2012-08-21,73.00,75.00,72.00,75.00,0.00,480.00,35160.00,0,25
2012-08-19,72.00,73.00,72.00,73.00,0.00,190.00,13740.00,0,26
2012-08-16,73.00,72.00,72.00,72.00,0.00,20.00,1440.00,0,27
2012-08-14,73.00,75.00,73.00,73.00,0.00,270.00,19940.00,0,28
2012-08-13,75.00,74.00,73.00,73.00,0.00,50.00,3690.00,0,29
