published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-08,490.0,490.0,475.0,476.29,-1.21,13185.0,6324437.0,-1,1
2025-06-05,485.0,488.0,480.0,482.14,-0.39,6071.0,2933551.4,-1,1
2025-06-04,483.0,491.0,482.0,484.04,-0.85,7739.0,3756470.3,-1,1
2025-06-03,490.3,500.0,485.0,488.18,-1.69,11937.0,5835393.4,-1,2
2025-06-02,509.0,509.0,495.0,496.57,-0.52,10238.0,5122282.0,-1,1
2025-05-28,503.0,503.0,483.7,499.17,1.14,12509.0,6192976.4,1,1
2025-05-27,498.0,499.0,492.6,493.53,-1.1,2888.0,1428917.9,-1,2
2025-05-26,507.7,515.0,498.0,499.04,0.26,12817.0,6443863.6,1,1
2025-05-25,500.0,500.5,492.1,497.75,-0.09,10146.0,5048221.2,-1,2
2025-05-22,496.0,510.0,493.2,498.19,-0.39,16359.0,8192671.9,-1,3
2025-05-21,514.9,534.0,498.0,500.13,-0.93,24595.0,12608022.3,-1,4
2025-05-20,502.9,512.9,486.0,504.84,2.3,17840.0,8927061.0,1,5
2025-05-19,499.0,499.0,485.1,493.47,0.77,16229.0,7980260.7,1,6
2025-05-18,483.71,499.9,483.71,489.7,1.24,11430.0,5603520.7,1,7
2025-05-15,499.0,499.0,480.0,483.71,-1.91,17886.0,8734497.5,-1,8
2025-05-14,496.0,507.0,492.0,493.14,-0.76,19604.0,9840198.3,-1,9
2025-05-13,514.0,514.0,494.0,496.93,-2.0,16227.0,8077387.5,-1,10
2025-05-11,520.0,529.6,505.0,507.09,-3.53,20453.0,10536591.3,-1,11
2025-05-08,502.0,538.5,488.0,525.66,3.94,55471.0,29035162.6,1,12
2025-05-07,473.0,508.8,464.0,505.71,6.52,32097.0,15667995.6,1,13
2025-05-06,485.0,485.0,469.6,474.76,-1.16,23333.0,11099944.8,-1,14
2025-05-05,499.6,499.6,477.0,480.32,-1.95,15428.0,7436324.8,-1,15
2025-05-04,501.1,501.1,489.0,489.88,-1.7,32949.0,16263920.1,-1,16
2025-04-30,505.0,507.0,496.0,498.36,-1.26,19260.0,9652106.0,-1,17
2025-04-29,517.0,517.0,503.3,504.73,-1.07,12996.0,6589197.8,-1,18
2025-04-28,510.0,529.0,506.0,510.21,0.8,18363.0,9448139.6,1,19
2025-04-27,519.0,519.0,505.1,506.17,-0.89,29113.0,14818712.3,-1,20
2025-04-24,526.0,526.0,509.7,510.73,-1.18,26002.0,13298067.6,-1,21
2025-04-23,532.0,532.0,515.0,516.84,-1.11,23301.0,12080158.0,-1,22
2025-04-22,530.0,534.0,520.1,522.66,-0.47,28862.0,15170121.2,-1,23
2025-04-21,534.5,535.0,524.0,525.12,-1.4,21433.0,11308060.4,-1,24
2025-04-20,544.0,544.0,530.3,532.6,-0.2,12959.0,6940559.9,-1,25
2025-04-17,538.0,543.2,530.0,533.67,0.08,30992.0,16606531.5,1,26
2025-04-16,538.0,549.0,532.0,533.24,-0.95,18509.0,9889814.0,-1,27
2025-04-15,540.0,548.9,532.0,538.33,1.15,15655.0,8452861.4,1,28
2025-04-13,535.0,547.0,530.0,532.2,-0.79,19651.0,10495942.9,-1,29
2025-04-10,551.0,551.0,532.0,536.42,-0.73,19304.0,10380182.6,-1,30
2025-04-09,551.4,551.4,535.2,540.36,-0.06,12963.0,7059313.8,-1,31
2025-04-08,528.5,545.8,527.0,540.7,0.33,17048.0,9106961.2,1,32
2025-04-07,550.0,558.5,538.0,538.91,-2.15,18506.0,10026522.3,-1,33
2025-04-03,576.0,576.0,547.4,550.74,-2.57,22082.0,12296926.0,-1,34
2025-04-02,546.0,579.0,538.0,565.24,3.57,36157.0,20397286.9,1,35
2025-04-01,564.0,565.0,543.0,545.76,-2.32,27526.0,15101876.8,-1,36
2025-03-30,545.0,565.0,545.0,558.71,2.59,31191.0,17362183.2,1,37
2025-03-27,530.2,549.6,530.2,544.58,2.27,26359.0,14326287.4,1,38
2025-03-26,521.1,537.0,521.0,532.5,2.31,14437.0,7660352.6,1,39
