published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-20,124.00,124.00,124.00,124.00,-1.59,3723.00,461652.00,-1,1
2024-11-13,126.00,126.00,126.00,126.00,-1.56,15000.00,1890000.00,-1,2
2024-10-20,128.00,128.00,128.00,128.00,-1.54,1060.00,135680.00,-1,3
2024-09-29,130.00,130.00,130.00,130.00,-1.52,3433.00,446290.00,-1,4
2024-09-12,132.00,132.00,132.00,132.00,-1.49,3433.00,453156.00,-1,5
2024-08-12,134.00,134.00,134.00,134.00,-1.98,3433.00,460022.00,-1,6
2024-08-01,136.70,136.70,136.70,136.70,-1.94,3433.00,469291.10,-1,7
2024-07-29,139.40,139.40,139.40,139.40,-1.97,3433.00,478560.20,-1,8
2024-06-30,151.00,151.00,142.20,142.20,-7.66,30701.00,4450125.50,-1,9
2024-06-27,163.00,163.00,154.00,154.00,-7.23,10309.00,1622734.00,-1,10
2024-06-24,178.40,178.40,166.00,166.00,-8.79,13558.00,2298788.80,-1,11
2024-06-02,182.00,182.00,182.00,182.00,0.00,10299.00,1874418.00,0,12
2024-02-07,176.00,176.00,167.00,167.00,-6.70,36029.00,6130342.00,-1,13
2024-02-05,179.00,179.00,179.00,179.00,0.00,3451.00,617729.00,0,14
2023-10-05,170.00,170.00,161.00,161.00,-6.94,11243.00,1853146.00,-1,15
2023-10-01,182.00,182.00,173.00,173.00,-6.49,19086.00,3371670.00,-1,16
2023-08-02,201.00,201.00,185.00,185.00,-9.76,64277.00,12048040.00,-1,17
2023-08-01,223.00,223.00,205.00,205.00,-9.69,38373.00,7952201.00,-1,18
2023-07-26,231.00,231.00,227.00,227.00,-3.40,3723.00,845645.00,-1,19
2023-07-25,235.00,235.00,235.00,235.00,0.00,3024.00,710640.00,0,20
2022-10-16,119.00,119.00,119.00,119.00,0.00,54019.00,6428261.00,0,21
2022-10-13,119.00,119.00,119.00,119.00,0.00,166209.00,19778871.00,0,22
2022-09-06,119.00,119.00,119.00,119.00,0.00,35720.00,4250680.00,0,23
2022-07-22,119.00,119.00,119.00,119.00,0.00,3239.00,385441.00,0,24
2022-07-21,119.00,119.00,119.00,119.00,0.00,3239.00,385441.00,0,25
2022-07-20,119.00,119.00,119.00,119.00,0.00,15069.00,1793211.00,0,26
2022-07-14,119.00,119.00,119.00,119.00,0.00,111042.00,13213998.00,0,27
2022-07-13,119.00,119.00,119.00,119.00,0.00,19161.00,2280159.00,0,28
2021-03-01,101.00,101.00,101.00,101.00,0.00,181572.00,18338772.00,0,29
2021-01-26,101.00,101.00,101.00,101.00,0.00,27633.00,2790933.00,0,30
2021-01-13,101.00,101.00,101.00,101.00,0.00,87808.00,8868608.00,0,31
2020-12-23,101.00,101.00,101.00,101.00,0.00,50062.00,5056262.00,0,32
2020-12-15,101.00,101.00,101.00,101.00,0.00,74085.00,7482585.00,0,33
2020-09-16,101.00,101.00,101.00,101.00,0.00,79989.00,8078886.00,0,34
2020-09-14,101.00,101.00,101.00,101.00,0.00,253453.00,25598726.00,0,35
2020-09-13,101.00,101.00,101.00,101.00,0.00,137680.00,13905684.00,0,36
2020-08-10,101.00,101.00,101.00,101.00,0.00,850.00,85850.00,0,37
2020-07-14,101.00,101.00,101.00,101.00,0.00,1487.00,150187.00,0,38
2020-01-05,101.00,101.00,101.00,101.00,0.00,9714.00,981114.00,0,39
2020-01-02,101.00,101.00,101.00,101.00,0.00,156328.00,15789128.00,0,40
2018-10-11,101.00,101.00,101.00,101.00,0.00,22440.00,2266440.00,0,41
2018-08-07,101.00,101.00,101.00,101.00,0.00,343537.00,34697236.00,0,42
2018-08-06,101.00,101.00,101.00,101.00,1.00,241000.00,24341000.00,1,43
2018-06-21,100.00,100.00,100.00,100.00,0.00,80000.00,8000000.00,0,44
2018-04-24,100.00,100.00,100.00,100.00,-0.99,160000.00,16000000.00,-1,45
2018-03-11,101.00,101.00,101.00,101.00,0.00,6800.00,686800.00,0,46
2016-01-13,101.00,101.00,101.00,101.00,0.00,95250.00,9620250.00,0,47
2015-12-31,101.00,101.00,101.00,101.00,0.00,168000.00,16968000.00,0,48
2015-04-20,105.00,105.00,101.00,101.00,0.00,204900.00,20910700.00,0,49
2014-09-21,105.00,105.00,105.00,105.00,0.00,250.00,26250.00,0,50
2014-08-24,105.00,105.00,105.00,105.00,0.00,100.00,10500.00,0,51
2014-08-13,105.00,105.00,105.00,105.00,0.00,100.00,10500.00,0,52
2014-07-22,105.00,105.00,105.00,105.00,0.00,2000.00,210000.00,0,53
2014-07-16,106.00,105.00,105.00,105.00,0.00,900.00,94500.00,0,54
2012-03-11,104.00,106.00,106.00,106.00,0.00,10000.00,1060000.00,0,55
2012-02-16,102.00,104.00,104.00,104.00,0.00,20000.00,2080000.00,0,56
2012-02-08,100.00,102.00,102.00,102.00,0.00,8920.00,909840.00,0,57
2012-02-06,99.00,100.00,100.00,100.00,0.00,5000.00,500000.00,0,58
2012-01-17,98.00,99.00,99.00,99.00,0.00,167000.00,16533000.00,0,59
2011-12-19,98.00,98.00,98.00,98.00,0.00,142480.00,13963040.00,0,60
2011-11-28,107.00,105.00,98.00,98.00,0.00,14500.00,1437000.00,0,61
2011-11-10,113.00,111.00,107.00,107.00,0.00,44720.00,4843320.00,0,62
2011-11-03,115.00,115.00,113.00,113.00,0.00,163180.00,18655700.00,0,63
2011-09-04,125.00,123.00,115.00,115.00,0.00,3650.00,438750.00,0,64
2011-09-01,0.00,135.00,125.00,125.00,0.00,4800.00,622200.00,0,65
