published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-10,206.00,210.00,206.00,208.69,1.38,130705.00,27199003.60,1,1
2025-06-09,201.8,208.0,201.8,205.85,0.18,102916.0,21245243.6,1,1
2025-06-08,210.0,210.0,205.0,205.48,-1.41,166137.0,34286178.6,-1,1
2025-06-05,208.0,212.8,208.0,208.42,-1.01,162687.0,34123643.3,-1,1
2025-06-04,214.0,214.0,208.0,210.55,0.03,141185.0,29681828.1,1,1
2025-06-03,215.4,217.5,210.0,210.48,-3.33,261440.0,55637185.2,-1,2
2025-06-02,223.6,227.0,217.1,217.72,-0.71,330022.0,72640065.8,-1,1
2025-05-28,214.0,220.2,212.1,219.27,2.4,406565.0,87897380.6,1,1
2025-05-27,209.9,216.0,209.9,214.14,0.0,156260.0,33319846.2,0,2
2025-05-26,218.0,229.0,212.3,214.13,0.16,305228.0,66100008.2,1,1
2025-05-25,218.0,219.0,209.9,213.78,-0.68,294573.0,62777169.1,-1,2
2025-05-22,205.1,216.0,204.0,215.25,5.29,612385.0,130096277.5,1,3
2025-05-21,208.6,217.0,203.9,204.43,-0.07,240339.0,50310521.1,-1,4
2025-05-20,200.0,206.0,198.0,204.58,2.49,241079.0,48437397.1,1,5
2025-05-19,199.0,201.2,197.0,199.61,1.1,64313.0,12831099.1,1,6
2025-05-18,199.0,199.7,197.0,197.44,-0.24,75409.0,14917565.0,-1,7
2025-05-15,202.2,202.2,197.5,197.92,-0.16,88758.0,17595716.7,-1,8
2025-05-14,199.1,201.0,198.0,198.24,-0.44,75759.0,15044452.3,-1,9
2025-05-13,203.9,205.0,198.5,199.12,-1.04,109223.0,21886421.7,-1,10
2025-05-11,204.0,206.9,201.0,201.21,-1.43,98889.0,20131074.1,-1,11
2025-05-08,206.9,207.0,201.7,204.13,-0.73,121838.0,24868386.3,-1,12
2025-05-07,196.0,206.0,194.1,205.63,4.87,193776.0,38913910.1,1,13
2025-05-06,199.0,199.0,195.2,196.09,-0.56,92258.0,18117628.9,-1,14
2025-05-05,197.5,199.7,195.5,197.2,-0.53,114594.0,22589115.2,-1,15
2025-05-04,198.1,201.0,197.0,198.26,0.17,99718.0,19823777.4,1,16
2025-04-30,202.6,202.6,197.0,197.93,-0.36,153465.0,30359936.1,-1,17
2025-04-29,204.0,204.0,198.0,198.64,-0.7,124834.0,24872109.6,-1,18
2025-04-28,203.0,203.0,200.0,200.05,-0.88,182792.0,36736464.3,-1,19
2025-04-27,203.0,205.0,201.1,201.82,-0.13,178640.0,36189119.4,-1,20
2025-04-24,203.0,205.0,200.1,202.08,-0.53,178909.0,36118638.1,-1,21
2025-04-23,204.0,205.0,202.0,203.16,-1.23,243669.0,49581119.8,-1,22
2025-04-22,206.0,208.0,205.0,205.69,-0.55,138731.0,28627436.1,-1,23
2025-04-21,205.5,210.0,205.5,206.83,-1.31,198951.0,41281798.8,-1,24
2025-04-20,213.0,216.0,209.0,209.57,-1.55,130227.0,27496444.4,-1,25
2025-04-17,211.0,214.5,209.3,212.86,1.6,141807.0,30090265.1,1,26
2025-04-16,213.7,213.7,208.4,209.5,0.0,137116.0,28701143.5,0,27
2025-04-15,211.0,211.9,206.8,209.51,0.99,91234.0,19163835.8,1,28
2025-04-13,208.7,211.9,207.0,207.45,-0.63,107499.0,22389788.0,-1,29
2025-04-10,212.5,213.7,208.1,208.77,-0.51,143631.0,30092314.9,-1,30
2025-04-09,213.0,213.0,208.8,209.85,0.36,86177.0,18107690.5,1,31
2025-04-08,210.2,211.4,207.0,209.1,-1.15,200334.0,41739244.4,-1,32
2025-04-07,215.0,217.0,210.0,211.54,-1.23,112096.0,23759514.2,-1,33
2025-04-03,215.8,220.0,212.1,214.18,0.1,350860.0,75983470.3,1,34
2025-04-02,216.0,216.0,210.1,213.97,1.04,89120.0,18969083.0,1,35
2025-04-01,215.0,215.8,210.1,211.77,-1.5,148041.0,31386191.8,-1,36
2025-03-30,208.1,218.0,208.1,214.99,1.28,182992.0,39475831.0,1,37
2025-03-27,213.8,214.0,208.0,212.27,1.27,111802.0,23634781.9,1,38
2025-03-26,207.3,210.0,205.0,209.61,2.09,105923.0,22054567.2,1,39
2025-03-25,207.0,212.8,203.0,205.31,-2.65,254953.0,52267282.9,-1,40
2025-03-24,208.0,214.0,206.2,210.89,0.51,128445.0,26984416.7,1,41
