published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-25,10.15,10.4,10.15,10.24,-0.58,676700.0,6923583.0,-1,1
2025-09-24,10.31,10.63,10.3,10.3,-0.1,67710.0,714222.1,-1,1
2025-09-23,10.15,10.4,10.15,10.31,0.19,7300.0,75121.0,1,1
2025-09-21,10.45,10.59,10.27,10.29,-3.38,78500.0,810096.0,-1,1
2025-09-08,10.45,10.65,10.45,10.65,0.0,110990.0,1166832.5,0,1
2025-09-07,10.42,10.65,10.42,10.65,0.19,28050.0,295349.0,1,1
2025-09-04,10.52,10.8,10.4,10.63,-0.93,31470.0,337406.9,-1,1
2025-09-03,10.42,10.83,10.42,10.73,1.04,125400.0,1352874.0,1,1
2025-09-02,10.41,10.62,10.41,10.62,0.28,31905.0,337405.0,1,1
2025-09-01,10.35,10.6,10.35,10.59,0.47,66800.0,704336.4,1,1
2025-08-31,10.21,10.55,10.21,10.54,1.35,129160.0,1346589.8,1,1
2025-08-28,11.33,11.64,11.33,11.6,0.96,118440.0,1371721.4,1,1
2025-08-27,11.3,11.52,11.08,11.49,1.23,22750.0,260259.0,1,1
2025-08-26,11.32,11.55,11.32,11.35,-1.73,245769.0,2831522.15,-1,1
2025-08-25,11.3,11.58,11.3,11.55,0.61,150600.0,1736767.58,1,1
2025-08-24,11.45,11.51,11.24,11.48,2.23,178540.0,2040985.2,1,1
2025-08-21,11.36,11.42,11.16,11.23,-1.14,55065.0,625112.4,-1,1
2025-08-20,11.32,11.43,11.32,11.36,0.53,78638.0,894874.8,1,1
2025-08-19,11.22,11.4,11.22,11.3,0.27,77053.0,868562.25,1,1
2025-08-18,11.22,11.28,11.22,11.27,0.63,53050.0,596750.5,1,1
2025-08-17,11.47,11.47,11.0,11.2,-3.28,372400.0,4154123.5,-1,1
2025-08-14,11.48,11.62,11.48,11.58,-1.03,56600.0,655278.0,-1,1
2025-08-13,11.5,11.7,11.5,11.7,1.65,57770.0,673930.0,1,1
2025-08-12,11.5,11.84,11.49,11.51,-0.95,64000.0,738376.0,-1,1
2025-08-11,11.65,11.75,11.62,11.62,-0.26,20250.0,236386.0,-1,1
2025-08-07,11.5,11.67,11.5,11.65,-0.17,24355.0,283584.25,-1,1
2025-08-06,11.43,11.77,11.43,11.67,1.13,76462.0,893844.9,1,1
2025-08-05,11.6,11.75,11.5,11.54,-1.2,174240.0,2024357.45,-1,1
2025-08-04,11.45,11.8,11.45,11.68,2.46,249700.0,2912070.0,1,1
2025-08-03,11.58,11.9,11.4,11.4,-2.73,226765.0,2628712.0,-1,1
2025-07-31,11.7,11.88,11.7,11.72,-0.34,156233.0,1839569.26,-1,1
2025-07-30,11.7,11.89,11.7,11.76,-0.25,178360.0,2096373.4,-1,1
2025-07-29,11.88,11.88,11.66,11.79,1.2,118588.0,1395566.72,1,1
2025-07-28,11.4,11.82,11.4,11.65,0.17,59370.0,692842.7,1,1
2025-07-27,11.48,11.77,11.48,11.63,-0.43,93885.0,1098149.95,-1,1
2025-07-24,11.35,11.7,11.35,11.68,1.04,57800.0,673707.0,1,1
2025-07-23,11.51,11.6,11.51,11.56,-1.53,1509520.0,17435970.75,-1,1
2025-07-22,11.75,11.75,11.56,11.74,0.86,70520.0,824055.32,1,1
2025-07-21,11.43,11.67,11.43,11.64,0.0,59060.0,684510.0,0,1
2025-07-20,11.33,11.74,11.33,11.64,0.87,45300.0,522832.0,1,1
2025-07-17,11.17,11.65,11.17,11.54,2.21,141824.0,1627592.25,1,1
2025-07-16,11.21,11.39,11.1,11.29,0.8,507220.0,5700183.0,1,1
2025-07-15,11.35,11.4,11.12,11.2,-1.23,1221600.0,13735725.0,-1,1
2025-07-14,11.3,11.4,11.3,11.34,-0.44,44100.0,500860.0,-1,1
2025-07-13,11.05,11.42,11.05,11.39,2.06,234530.0,2669316.6,1,1
2025-07-10,11.15,11.23,11.15,11.16,0.18,255960.0,2859677.6,1,1
2025-07-09,11.0,11.15,11.0,11.14,0.09,11200.0,124216.0,1,1
2025-07-08,11.1,11.18,11.1,11.13,0.09,151298.0,1684624.76,1,1
2025-07-07,11.2,11.25,11.03,11.12,-0.36,2119817.0,23633522.48,-1,1
2025-07-06,11.15,11.2,11.0,11.16,0.45,175304.0,1954368.12,1,1
2025-07-03,10.7,11.13,10.7,11.11,2.49,1348600.0,14590922.1,1,1
2025-07-02,10.75,10.99,10.75,10.84,-0.55,243212.0,2640502.21,-1,1
2025-07-01,10.87,10.92,10.76,10.9,0.18,172940.0,1880113.8,1,1
2025-06-30,10.99,11.0,10.88,10.88,-0.64,250198.0,2736503.14,-1,1
2025-06-29,10.6,11.02,10.6,10.95,1.39,98000.0,1073997.0,1,1
