published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-12,861.3,866.0,838.0,840.59,-0.46,638035.0,544183444.2,-1,1
2025-06-11,829.9,864.6,825.1,844.45,2.58,727159.0,615717144.9,1,1
2025-06-10,843.0,843.0,820.1,823.2,-0.41,561434.0,465666760.6,-1,1
2025-06-09,824.4,843.0,816.0,826.55,0.26,750435.0,622803558.9,1,1
2025-06-08,845.0,850.0,820.0,824.41,-2.54,874768.0,729514660.6,-1,1
2025-06-05,790.0,850.0,785.0,845.87,7.56,1119113.0,912390025.2,1,1
2025-06-04,780.1,793.7,776.2,786.45,0.96,379897.0,298768378.3,1,1
2025-06-03,786.0,797.5,771.0,778.96,0.98,765919.0,601502486.7,1,2
2025-06-02,782.0,795.0,765.0,771.41,-1.22,838753.0,650216695.0,-1,1
2025-05-28,809.4,809.4,775.4,780.96,-1.59,763046.0,600874853.3,-1,1
2025-05-27,801.0,813.0,790.0,793.57,-1.02,592187.0,473695842.5,-1,2
2025-05-26,800.0,814.4,790.0,801.77,1.26,799549.0,643150901.2,1,1
2025-05-25,780.0,796.1,760.1,791.76,3.01,917496.0,714928040.5,1,2
2025-05-22,758.3,792.0,755.1,768.65,-0.66,784158.0,607116468.9,-1,3
2025-05-21,762.5,780.0,748.0,773.75,3.5,925606.0,710306217.3,1,4
2025-05-20,712.0,757.0,712.0,747.56,3.22,562466.0,418000151.2,1,5
2025-05-19,700.0,730.0,693.0,724.24,4.96,836912.0,597635698.0,1,6
2025-05-18,702.6,739.0,686.0,690.03,-3.74,688174.0,484279192.4,-1,7
2025-05-15,729.0,734.0,708.0,716.86,0.29,613029.0,441702921.4,1,8
2025-05-14,737.2,763.0,711.0,714.8,-4.97,811135.0,593295816.4,-1,9
2025-05-13,740.0,769.0,740.0,752.22,2.12,611658.0,462989313.3,1,10
2025-05-11,717.0,747.0,704.6,736.58,4.74,899951.0,661070703.0,1,11
2025-05-08,699.2,739.8,699.0,703.24,-1.43,603601.0,433988493.3,-1,12
2025-05-07,697.0,722.0,695.0,713.44,2.32,608727.0,431193774.7,1,13
2025-05-06,710.9,720.0,692.0,697.24,-0.3,542259.0,382207363.3,-1,14
2025-05-05,661.6,700.5,646.0,699.37,7.32,1114755.0,760581220.8,1,15
2025-05-04,672.0,672.5,647.0,651.66,-2.43,780400.0,514608778.8,-1,16
2025-04-30,648.1,699.7,648.1,667.89,1.0,869518.0,580424421.8,1,17
2025-04-29,618.05,665.0,618.05,661.3,7.0,720670.0,464410545.1,1,18
2025-04-28,634.9,635.0,614.0,618.05,-1.45,724284.0,451003178.8,-1,19
2025-04-27,624.0,642.6,618.0,627.17,1.72,892650.0,562058108.5,1,20
2025-04-24,586.5,625.2,578.0,616.56,6.68,948148.0,572306663.9,1,21
2025-04-23,561.0,585.0,546.0,577.95,4.33,1039659.0,584214387.1,1,22
2025-04-22,568.0,581.0,550.0,553.94,-1.49,629601.0,355447084.0,-1,23
2025-04-21,582.0,584.0,559.6,562.3,-1.55,519938.0,296631537.4,-1,24
2025-04-20,549.9,582.0,530.0,571.16,5.93,1243539.0,687697368.3,1,25
2025-04-17,541.0,570.0,535.5,539.18,1.62,685041.0,378834429.3,1,26
2025-04-16,485.0,530.7,485.0,530.58,9.97,984197.0,507210050.1,1,27
2025-04-15,504.2,505.0,479.3,482.48,-2.4,732573.0,362208957.8,-1,28
2025-04-13,480.0,496.0,475.2,494.32,4.81,894510.0,438299545.2,1,29
