published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-07-23,81.00,83.00,80.00,82.00,0.00,2740.00,223320.00,0,1
2012-07-22,77.00,84.00,78.00,81.00,0.00,1610.00,131900.00,0,2
2012-07-19,81.00,80.00,77.00,77.00,0.00,410.00,31790.00,0,3
2012-07-18,80.00,82.00,80.00,81.00,0.00,160.00,12980.00,0,4
2012-07-17,74.00,81.00,74.00,80.00,0.00,3010.00,234540.00,0,5
2012-07-16,75.00,75.00,73.00,74.00,0.00,4320.00,323520.00,0,6
2012-07-15,73.00,75.00,74.00,75.00,0.00,640.00,47600.00,0,7
2012-07-12,72.00,73.00,71.00,73.00,0.00,460.00,33180.00,0,8
2012-07-11,74.00,74.00,72.00,72.00,0.00,600.00,43880.00,0,9
2012-07-10,73.00,74.00,73.00,74.00,0.00,160.00,11820.00,0,10
2012-07-09,75.00,75.00,73.00,73.00,0.00,2540.00,187950.00,0,11
2012-07-08,75.00,75.00,74.00,75.00,0.00,1500.00,112460.00,0,12
2012-07-05,72.00,76.00,75.00,75.00,0.00,3160.00,237320.00,0,13
2012-07-04,75.00,76.00,71.00,72.00,0.00,640.00,47580.00,0,14
2012-07-03,75.00,75.00,73.00,75.00,0.00,840.00,62380.00,0,15
2012-07-02,77.00,76.00,74.00,75.00,0.00,1930.00,144660.00,0,16
2012-07-01,80.00,79.00,74.00,77.00,0.00,1450.00,110480.00,0,17
2012-06-28,74.00,80.00,75.00,80.00,0.00,1450.00,111190.00,0,18
2012-06-27,75.00,75.00,73.00,74.00,0.00,1020.00,75540.00,0,19
2012-06-26,72.00,75.00,73.00,75.00,0.00,3470.00,256890.00,0,20
2012-06-25,72.00,74.00,72.00,72.00,0.00,1160.00,84820.00,0,21
2012-06-21,74.00,74.00,71.00,72.00,0.00,2970.00,215300.00,0,22
2012-06-20,74.00,74.00,72.00,74.00,0.00,1020.00,74720.00,0,23
2012-06-19,73.00,74.00,72.00,74.00,0.00,1280.00,93870.00,0,24
2012-06-18,73.00,74.00,72.00,73.00,0.00,1770.00,129390.00,0,25
2012-06-17,71.00,73.00,70.00,73.00,0.00,1960.00,138780.00,0,26
2012-06-14,73.00,73.00,70.00,71.00,0.00,3470.00,247130.00,0,27
2012-06-13,73.00,75.00,71.00,73.00,0.00,3150.00,229590.00,0,28
2012-06-12,75.00,74.00,69.00,73.00,0.00,2050.00,146860.00,0,29
2012-06-11,71.00,75.00,70.00,75.00,0.00,1420.00,104090.00,0,30
2012-06-10,73.00,73.00,67.00,71.00,0.00,2750.00,193960.00,0,31
2012-06-07,73.00,76.00,72.00,73.00,0.00,4950.00,364290.00,0,32
2012-06-06,73.00,74.00,70.00,73.00,0.00,4880.00,353500.00,0,33
2012-06-05,70.00,73.00,68.00,73.00,0.00,2610.00,182890.00,0,34
2012-06-04,74.00,75.00,69.00,70.00,0.00,1430.00,102240.00,0,35
2012-06-03,68.00,74.00,67.00,74.00,0.00,740.00,52990.00,0,36
2012-05-31,71.00,72.00,67.00,68.00,0.00,3630.00,251750.00,0,37
2012-05-30,73.00,71.00,67.00,71.00,0.00,3960.00,272570.00,0,38
2012-05-29,77.00,76.00,73.00,73.00,0.00,1440.00,107800.00,0,39
2012-05-27,78.00,77.00,77.00,77.00,0.00,30.00,2310.00,0,40
2012-05-24,76.00,78.00,75.00,78.00,0.00,1430.00,107780.00,0,41
2012-05-23,78.00,77.00,75.00,76.00,0.00,1780.00,136560.00,0,42
2012-05-22,80.00,79.00,76.00,78.00,0.00,3070.00,236880.00,0,43
2012-05-21,81.00,81.00,78.00,80.00,0.00,3320.00,262890.00,0,44
2012-05-20,86.00,85.00,80.00,81.00,0.00,2300.00,189560.00,0,45
2012-05-16,87.00,86.00,86.00,86.00,0.00,20.00,1720.00,0,46
2012-05-15,83.00,87.00,84.00,87.00,0.00,220.00,18910.00,0,47
2012-05-14,88.00,87.00,83.00,83.00,0.00,1510.00,127340.00,0,48
2012-05-13,88.00,89.00,87.00,88.00,0.00,1390.00,121980.00,0,49
2012-05-10,90.00,90.00,87.00,88.00,0.00,3500.00,309340.00,0,50
2012-05-09,92.00,91.00,88.00,90.00,0.00,1369.00,122861.00,0,51
2012-05-08,91.00,92.00,92.00,92.00,0.00,100.00,9200.00,0,52
2012-05-07,90.00,91.00,91.00,91.00,0.00,240.00,21840.00,0,53
2012-05-03,88.00,90.00,89.00,90.00,0.00,470.00,42220.00,0,54
2012-05-02,95.00,94.00,88.00,88.00,0.00,300.00,27740.00,0,55
2012-04-30,98.00,97.00,95.00,95.00,0.00,100.00,9560.00,0,56
2012-04-29,102.00,100.00,97.00,98.00,0.00,450.00,44350.00,0,57
2012-04-26,104.00,104.00,100.00,102.00,0.00,1380.00,141580.00,0,58
2012-04-25,95.00,104.00,99.00,104.00,0.00,250.00,25320.00,0,59
2012-04-24,92.00,95.00,92.00,95.00,0.00,290.00,26990.00,0,60
2012-04-22,91.00,93.00,86.00,92.00,0.00,4190.00,379820.00,0,61
2012-04-19,101.00,99.00,91.00,91.00,0.00,430.00,42030.00,0,62
2012-04-18,107.00,105.00,101.00,101.00,0.00,50.00,5130.00,0,63
2012-04-17,111.00,109.00,107.00,107.00,0.00,20.00,2160.00,0,64
2012-04-15,119.00,117.00,111.00,111.00,0.00,50.00,5670.00,0,65
2012-04-12,125.00,123.00,119.00,119.00,0.00,40.00,4860.00,0,66
2012-04-11,138.00,132.00,125.00,125.00,0.00,80.00,10370.00,0,67
2012-04-09,147.00,140.00,138.00,138.00,0.00,40.00,5560.00,0,68
2012-04-03,147.00,147.00,147.00,147.00,0.00,330.00,48510.00,0,69
2012-04-02,152.00,147.00,147.00,147.00,0.00,500.00,73500.00,0,70
2012-03-29,168.00,165.00,152.00,152.00,0.00,180.00,28160.00,0,71
2012-03-19,186.00,183.00,168.00,168.00,0.00,450.00,77760.00,0,72
2012-03-18,206.00,202.00,186.00,186.00,0.00,170.00,33100.00,0,73
2012-03-11,210.00,206.00,206.00,206.00,0.00,760.00,156560.00,0,74
2012-03-01,218.00,214.00,210.00,210.00,0.00,20.00,4240.00,0,75
2012-02-16,222.00,218.00,218.00,218.00,0.00,10.00,2180.00,0,76
2012-02-14,242.00,230.00,222.00,222.00,0.00,50.00,11340.00,0,77
