published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-03-28,352.00,366.00,355.00,365.00,0.00,2494.00,902776.00,0,1
2017-03-26,352.00,355.00,345.00,352.00,0.00,4658.00,1637936.00,0,2
2017-03-23,329.00,352.00,324.00,352.00,0.00,2911.00,984081.00,0,3
2017-03-22,354.00,360.00,329.00,329.00,0.00,3259.00,1118248.00,0,4
2017-03-21,331.00,354.00,330.00,354.00,0.00,3965.00,1333134.00,0,5
2017-03-20,327.00,349.00,325.00,331.00,0.00,1303.00,438451.00,0,6
2017-03-19,342.00,340.00,327.00,327.00,0.00,1691.00,558577.00,0,7
2017-03-16,343.00,346.00,340.00,342.00,0.00,509.00,174675.00,0,8
2017-03-15,326.00,343.00,328.00,343.00,0.00,492.00,165477.00,0,9
2017-03-14,325.00,331.00,326.00,326.00,0.00,538.00,175526.00,0,10
2017-03-13,331.00,331.00,325.00,325.00,0.00,120.00,39120.00,0,11
2017-03-09,337.00,331.00,331.00,331.00,0.00,20.00,6620.00,0,12
2017-03-07,342.00,337.00,337.00,337.00,0.00,148.00,49876.00,0,13
2017-03-06,340.00,346.00,342.00,342.00,0.00,411.00,141862.00,0,14
2017-03-05,338.00,340.00,340.00,340.00,0.00,59.00,20060.00,0,15
2017-03-02,340.00,340.00,335.00,338.00,0.00,147.00,49449.00,0,16
2017-03-01,350.00,352.00,340.00,340.00,0.00,623.00,215160.00,0,17
2017-02-28,352.00,354.00,350.00,350.00,0.00,103.00,36224.00,0,18
2017-02-26,355.00,352.00,352.00,352.00,0.00,19.00,6688.00,0,19
2017-02-22,343.00,355.00,349.00,355.00,0.00,73.00,25777.00,0,20
2017-02-21,350.00,345.00,343.00,343.00,0.00,219.00,75417.00,0,21
2017-02-20,350.00,358.00,345.00,350.00,0.00,1176.00,416716.00,0,22
2017-02-19,335.00,360.00,341.00,350.00,0.00,675.00,236049.00,0,23
2017-02-16,329.00,335.00,325.00,335.00,0.00,556.00,183458.00,0,24
2017-02-15,317.00,329.00,323.00,329.00,0.00,1130.00,368934.00,0,25
2017-02-14,322.00,328.00,316.00,317.00,0.00,329.00,105132.00,0,26
2017-02-13,299.00,322.00,303.00,322.00,0.00,252.00,77186.00,0,27
2017-02-12,332.00,332.00,299.00,299.00,0.00,1934.00,606086.00,0,28
2017-02-09,333.00,333.00,327.00,332.00,0.00,291.00,96217.00,0,29
2017-02-08,349.00,345.00,333.00,333.00,0.00,481.00,164303.00,0,30
2017-02-07,360.00,360.00,349.00,349.00,0.00,744.00,261095.00,0,31
2017-02-06,355.00,363.00,358.00,360.00,0.00,1983.00,716208.00,0,32
2017-02-05,353.00,388.00,355.00,355.00,0.00,3498.00,1287252.00,0,33
2017-02-02,321.00,353.00,327.00,353.00,0.00,2702.00,935184.00,0,34
2017-02-01,303.00,321.00,309.00,321.00,0.00,218.00,67660.00,0,35
2017-01-31,312.00,307.00,295.00,303.00,0.00,1552.00,462546.00,0,36
2017-01-30,336.00,330.00,312.00,312.00,0.00,196.00,63990.00,0,37
2017-01-26,342.00,340.00,323.00,336.00,0.00,1092.00,365881.00,0,38
2017-01-25,355.00,348.00,342.00,342.00,0.00,47.00,16146.00,0,39
2017-01-24,370.00,365.00,351.00,355.00,0.00,1028.00,368146.00,0,40
2017-01-23,375.00,370.00,368.00,370.00,0.00,377.00,138934.00,0,41
2017-01-22,370.00,375.00,370.00,375.00,0.00,259.00,96255.00,0,42
2017-01-19,371.00,370.00,368.00,370.00,0.00,112.00,41356.00,0,43
2017-01-18,381.00,377.00,370.00,371.00,0.00,441.00,163954.00,0,44
2017-01-17,354.00,381.00,360.00,381.00,0.00,2045.00,747205.00,0,45
2017-01-16,350.00,361.00,343.00,354.00,0.00,408.00,144136.00,0,46
2017-01-15,361.00,354.00,347.00,350.00,0.00,112.00,39190.00,0,47
2017-01-12,361.00,361.00,361.00,361.00,0.00,198.00,71478.00,0,48
2017-01-11,353.00,361.00,353.00,361.00,0.00,993.00,356599.00,0,49
2017-01-10,350.00,363.00,352.00,353.00,0.00,979.00,350170.00,0,50
2017-01-09,362.00,356.00,350.00,350.00,0.00,378.00,132984.00,0,51
2017-01-08,356.00,370.00,360.00,362.00,0.00,738.00,267460.00,0,52
2017-01-05,350.00,357.00,350.00,356.00,0.00,129.00,45428.00,0,53
2017-01-04,357.00,357.00,345.00,350.00,0.00,959.00,335848.00,0,54
2017-01-03,370.00,377.00,357.00,357.00,0.00,467.00,167922.00,0,55
2017-01-02,371.00,370.00,370.00,370.00,0.00,525.00,194250.00,0,56
2017-01-01,368.00,375.00,370.00,371.00,0.00,492.00,182955.00,0,57
2016-12-29,349.00,368.00,348.00,368.00,0.00,220.00,77864.00,0,58
2016-12-28,353.00,355.00,349.00,349.00,0.00,340.00,119509.00,0,59
2016-12-27,341.00,353.00,341.00,353.00,0.00,324.00,113686.00,0,60
2016-12-26,348.00,345.00,340.00,341.00,0.00,214.00,73328.00,0,61
2016-12-22,342.00,348.00,342.00,348.00,0.00,50.00,17220.00,0,62
2016-12-21,370.00,364.00,342.00,342.00,0.00,1586.00,563816.00,0,63
2016-12-20,377.00,370.00,368.00,370.00,0.00,571.00,211206.00,0,64
2016-12-19,381.00,380.00,377.00,377.00,0.00,565.00,214175.00,0,65
2016-12-18,381.00,381.00,372.00,381.00,0.00,774.00,293541.00,0,66
2016-12-15,381.00,381.00,375.00,381.00,0.00,490.00,185992.00,0,67
2016-12-14,380.00,387.00,374.00,381.00,0.00,455.00,171680.00,0,68
2016-12-12,380.00,380.00,373.00,380.00,0.00,665.00,250518.00,0,69
2016-12-11,397.00,393.00,380.00,380.00,0.00,544.00,207877.00,0,70
2016-12-08,387.00,397.00,390.00,397.00,0.00,800.00,312958.00,0,71
2016-12-07,380.00,387.00,387.00,387.00,0.00,800.00,309600.00,0,72
2016-12-06,392.00,385.00,373.00,380.00,0.00,1488.00,570918.00,0,73
2016-12-05,410.00,415.00,392.00,392.00,0.00,961.00,381790.00,0,74
2016-12-04,437.00,430.00,408.00,410.00,0.00,1159.00,478600.00,0,75
2016-12-01,420.00,445.00,428.00,437.00,0.00,1326.00,583140.00,0,76
2016-11-30,395.00,420.00,390.00,420.00,0.00,168.00,67991.00,0,77
2016-11-29,384.00,395.00,380.00,395.00,0.00,711.00,273649.00,0,78
2016-11-28,388.00,385.00,381.00,384.00,0.00,503.00,192115.00,0,79
2016-11-27,393.00,395.00,379.00,388.00,0.00,702.00,273071.00,0,80
2016-11-23,425.00,417.00,386.00,393.00,0.00,911.00,365005.00,0,81
2016-11-22,462.00,460.00,425.00,425.00,0.00,287.00,125831.00,0,82
2016-11-20,471.00,470.00,452.00,462.00,0.00,391.00,180299.00,0,83
2016-11-17,480.00,471.00,471.00,471.00,0.00,200.00,94200.00,0,84
2016-11-16,486.00,480.00,471.00,480.00,0.00,717.00,340323.00,0,85
2016-11-15,478.00,493.00,485.00,486.00,0.00,1787.00,873350.00,0,86
2016-11-14,476.00,481.00,478.00,478.00,0.00,809.00,388294.00,0,87
2016-11-13,485.00,476.00,476.00,476.00,0.00,11.00,5236.00,0,88
2016-11-10,482.00,490.00,485.00,485.00,0.00,26.00,12675.00,0,89
2016-11-09,470.00,482.00,467.00,482.00,0.00,206.00,98414.00,0,90
2016-11-08,473.00,494.00,470.00,470.00,0.00,1427.00,685059.00,0,91
2016-11-07,475.00,481.00,473.00,473.00,0.00,642.00,308352.00,0,92
2016-11-03,475.00,475.00,471.00,475.00,0.00,169.00,79859.00,0,93
2016-10-27,475.00,475.00,470.00,475.00,0.00,30.00,14150.00,0,94
2016-10-26,500.00,490.00,470.00,475.00,0.00,219.00,104506.00,0,95
2016-10-25,510.00,500.00,500.00,500.00,0.00,226.00,113000.00,0,96
2016-10-24,500.00,510.00,495.00,510.00,0.00,1262.00,629774.00,0,97
2016-10-23,500.00,505.00,490.00,500.00,0.00,2062.00,1026405.00,0,98
2016-10-20,494.00,500.00,495.00,500.00,0.00,2346.00,1172822.00,0,99
2016-10-19,500.00,500.00,494.00,494.00,0.00,779.00,388990.00,0,100
2016-10-18,510.00,510.00,500.00,500.00,0.00,2605.00,1303520.00,0,101
2016-10-17,515.00,520.00,510.00,510.00,0.00,326.00,166520.00,0,102
2016-10-16,520.00,520.00,510.00,515.00,0.00,546.00,281160.00,0,103
2016-10-06,525.00,527.00,510.00,520.00,0.00,1493.00,774933.00,0,104
2016-10-05,525.00,526.00,525.00,525.00,0.00,170.00,89260.00,0,105
2016-10-04,545.00,545.00,525.00,525.00,0.00,95.00,50755.00,0,106
2016-10-03,530.00,545.00,539.00,545.00,0.00,861.00,464966.00,0,107
2016-10-02,520.00,540.00,529.00,530.00,0.00,427.00,226904.00,0,108
2016-09-29,510.00,520.00,511.00,520.00,0.00,423.00,219169.00,0,109
2016-09-28,540.00,535.00,510.00,510.00,0.00,260.00,137034.00,0,110
2016-09-27,535.00,540.00,532.00,540.00,0.00,172.00,92364.00,0,111
2016-09-26,502.00,535.00,505.00,535.00,0.00,486.00,253229.00,0,112
2016-09-25,531.00,522.00,502.00,502.00,0.00,1639.00,829765.00,0,113
2016-09-22,539.00,539.00,531.00,531.00,0.00,91.00,48685.00,0,114
2016-09-21,530.00,539.00,521.00,539.00,0.00,810.00,428633.00,0,115
2016-09-20,555.00,555.00,530.00,530.00,0.00,1722.00,919142.00,0,116
2016-09-18,550.00,560.00,550.00,555.00,0.00,2219.00,1224725.00,0,117
2016-09-14,545.00,550.00,525.00,550.00,0.00,1643.00,886900.00,0,118
2016-09-12,580.00,590.00,545.00,545.00,0.00,3418.00,1933576.00,0,119
2016-09-11,603.00,610.00,579.00,580.00,0.00,4287.00,2505200.00,0,120
2016-09-08,613.00,625.00,600.00,603.00,0.00,8606.00,5243643.00,0,121
2016-09-07,598.00,640.00,595.00,613.00,0.00,31730.00,19460210.00,0,122
2016-09-06,544.00,598.00,554.00,598.00,0.00,7963.00,4760774.00,0,123
2016-09-05,495.00,544.00,490.00,544.00,0.00,25151.00,13352451.00,0,124
2016-09-04,450.00,495.00,455.00,495.00,0.00,16357.00,7909492.00,0,125
2016-09-03,450.00,495.00,455.00,495.00,0.00,16357.00,7909492.00,0,126
2016-09-01,435.00,453.00,425.00,450.00,0.00,6327.00,2813688.00,0,127
2016-08-31,433.00,435.00,425.00,435.00,0.00,1445.00,623786.00,0,128
2016-08-30,411.00,434.00,417.00,433.00,0.00,965.00,408047.00,0,129
2016-08-29,410.00,416.00,410.00,411.00,0.00,345.00,141523.00,0,130
2016-08-28,412.00,412.00,405.00,410.00,0.00,696.00,285041.00,0,131
2016-08-24,408.00,422.00,400.00,412.00,0.00,2494.00,1034160.00,0,132
2016-08-23,405.00,409.00,397.00,408.00,0.00,2289.00,918088.00,0,133
2016-08-22,430.00,430.00,392.00,405.00,0.00,3719.00,1497054.00,0,134
2016-08-21,405.00,445.00,413.00,430.00,0.00,7496.00,3302219.00,0,135
2016-08-17,369.00,405.00,376.00,405.00,0.00,4130.00,1663758.00,0,136
2016-08-16,350.00,369.00,344.00,369.00,0.00,1367.00,485733.00,0,137
2016-08-15,377.00,380.00,350.00,350.00,0.00,3791.00,1365062.00,0,138
2016-08-14,402.00,394.00,370.00,377.00,0.00,445.00,172726.00,0,139
2016-08-11,394.00,408.00,395.00,402.00,0.00,2853.00,1142962.00,0,140
2016-08-10,385.00,397.00,385.00,394.00,0.00,718.00,279951.00,0,141
2016-08-08,390.00,385.00,385.00,385.00,0.00,45.00,17325.00,0,142
