published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1045.00,1045.00,1045.00,1045.00,1.80,100.00,104500.00,1,1
2024-12-08,1045.00,1045.00,1026.50,1026.50,0.05,125.00,130162.50,1,2
2024-12-02,1026.00,1026.00,1026.00,1026.00,-1.91,30.00,30780.00,-1,3
2024-11-28,1046.00,1046.00,1046.00,1046.00,0.00,50.00,52300.00,0,4
2024-11-27,1046.00,1046.00,1046.00,1046.00,0.00,100.00,104600.00,0,5
2024-11-25,1046.00,1046.00,1046.00,1046.00,0.00,100.00,104600.00,0,6
2024-11-21,1045.00,1046.00,1045.00,1046.00,0.10,50.00,52275.00,1,7
2024-11-20,1044.00,1045.00,1044.00,1045.00,0.19,75.00,78350.00,1,8
2024-11-19,1030.00,1043.00,1030.00,1043.00,1.66,180.00,186950.00,1,9
2024-11-17,1026.00,1026.10,1026.00,1026.00,0.10,80.00,82082.50,1,10
2024-11-10,1025.00,1025.00,1025.00,1025.00,0.00,25.00,25625.00,0,11
2024-10-28,1025.00,1025.00,1025.00,1025.00,-0.29,25.00,25625.00,-1,12
2024-10-24,1025.00,1028.00,1025.00,1028.00,0.78,35.00,35905.00,1,13
2024-10-22,1020.10,1020.10,1020.00,1020.00,0.00,100.00,102005.00,0,14
2024-10-21,1020.00,1020.00,1020.00,1020.00,0.00,100.00,102000.00,0,15
2024-10-20,1020.00,1020.00,1020.00,1020.00,0.37,25.00,25500.00,1,16
2024-10-07,1020.00,1020.00,1016.20,1016.20,0.61,125.00,127405.00,1,17
2024-09-29,1000.10,1010.00,1000.10,1010.00,0.99,125.00,126002.50,1,18
2024-09-25,1010.40,1010.40,1000.10,1000.10,-3.00,50.00,50262.50,-1,19
2024-09-23,1020.00,1031.00,1020.00,1031.00,1.97,175.00,180122.50,1,20
2024-09-22,1011.10,1011.10,1011.10,1011.10,-1.36,25.00,25277.50,-1,21
2024-09-12,1025.00,1025.00,1025.00,1025.00,0.00,125.00,128125.00,0,22
2024-09-10,1020.00,1025.00,1020.00,1025.00,1.49,425.00,435125.00,1,23
2024-09-08,1010.00,1010.00,1010.00,1010.00,0.30,25.00,25250.00,1,24
2024-09-03,1007.00,1007.00,1007.00,1007.00,-0.79,25.00,25175.00,-1,25
2024-09-02,1016.00,1016.00,1015.00,1015.00,0.00,407.00,413487.00,0,26
2024-09-01,1015.00,1015.00,1015.00,1015.00,1.00,25.00,25375.00,1,27
2024-08-28,1005.00,1005.00,1005.00,1005.00,0.30,25.00,25125.00,1,28
2024-08-27,1002.00,1002.00,1002.00,1002.00,0.10,32.00,32064.00,1,29
2024-08-25,1000.00,1001.00,1000.00,1001.00,0.20,50.00,50025.00,1,30
2024-08-22,999.00,999.00,999.00,999.00,0.00,5.00,4995.00,0,31
2024-08-21,1000.00,1000.00,999.00,999.00,-0.10,415.00,414735.00,-1,32
2024-08-18,1000.00,1000.00,1000.00,1000.00,-0.50,50.00,50000.00,-1,33
2024-08-15,1005.00,1005.00,1005.00,1005.00,0.80,100.00,100500.00,1,34
2024-08-13,997.00,997.00,997.00,997.00,0.00,50.00,49850.00,0,35
2024-08-12,997.00,997.00,997.00,997.00,0.00,975.00,972075.00,0,36
2024-08-11,997.00,997.00,997.00,997.00,0.10,25.00,24925.00,1,37
2024-08-08,995.00,996.00,995.00,996.00,-1.39,110.00,109460.00,-1,38
2024-08-07,1003.00,1010.00,1003.00,1010.00,2.02,1204.00,1212948.00,1,39
2024-08-06,990.00,990.00,990.00,990.00,-1.00,75.00,74250.00,-1,40
2024-08-05,994.50,1000.00,994.50,1000.00,2.56,135.00,134945.00,1,41
2024-07-29,975.00,975.00,975.00,975.00,1.04,60.00,58500.00,1,42
2024-07-28,980.00,985.00,965.00,965.00,-1.43,225.00,219125.00,-1,43
2024-07-25,960.00,979.00,960.00,979.00,1.98,45.00,43675.00,1,44
2024-07-23,961.00,961.00,960.00,960.00,0.00,75.00,72027.50,0,45
2024-07-22,960.00,960.00,960.00,960.00,-0.52,25.00,24000.00,-1,46
2024-07-21,946.50,965.00,946.50,965.00,1.95,125.00,120162.50,1,47
2024-07-18,950.00,950.00,946.50,946.50,-1.92,50.00,47395.00,-1,48
2024-07-16,965.00,965.00,965.00,965.00,-0.01,200.00,193000.00,-1,49
2024-07-15,965.10,965.10,965.10,965.10,-1.72,30.00,28952.50,-1,50
2024-07-08,982.00,982.00,982.00,982.00,-1.70,25.00,24550.00,-1,51
2024-07-03,999.00,999.00,999.00,999.00,0.40,25.00,24975.00,1,52
2024-07-02,995.00,995.00,995.00,995.00,-1.00,25.00,24875.00,-1,53
2024-06-27,1005.00,1005.00,1005.00,1005.00,0.50,65.00,65325.00,1,54
2024-06-23,995.00,1000.00,995.00,1000.00,1.52,150.00,149500.00,1,55
2024-06-20,985.00,985.00,985.00,985.00,0.20,25.00,24625.00,1,56
2024-06-18,983.00,983.00,983.00,983.00,0.10,100.00,98300.00,1,57
2024-06-16,982.00,982.00,982.00,982.00,0.20,40.00,39280.00,1,58
2024-06-03,980.00,980.00,980.00,980.00,-1.31,25.00,24500.00,-1,59
2024-06-02,973.60,993.00,973.60,993.00,1.42,550.00,545180.00,1,60
2024-05-30,979.10,979.10,979.10,979.10,-1.99,25.00,24477.50,-1,61
2024-05-22,990.00,999.00,990.00,999.00,1.94,76.00,75579.00,1,62
2024-05-20,980.00,980.00,980.00,980.00,-2.00,25.00,24500.00,-1,63
2024-05-19,1000.00,1000.00,1000.00,1000.00,-0.50,205.00,205000.00,-1,64
2024-05-14,1005.00,1005.00,1005.00,1005.00,0.50,50.00,50250.00,1,65
2024-05-13,971.10,1000.00,971.10,1000.00,1.41,210.00,208460.00,1,66
2024-05-08,985.10,990.00,985.10,986.10,-0.39,130.00,128350.00,-1,67
2024-05-07,985.50,990.00,985.50,990.00,0.51,480.00,473175.00,1,68
2024-05-06,985.00,985.00,985.00,985.00,-0.13,25.00,24625.00,-1,69
2024-05-02,986.20,986.30,986.20,986.30,0.03,100.00,98625.00,1,70
2024-04-30,986.00,986.00,986.00,986.00,-1.40,100.00,98600.00,-1,71
2024-04-29,1000.00,1000.00,1000.00,1000.00,0.78,325.00,325000.00,1,72
2024-04-28,992.30,992.30,992.30,992.30,0.02,100.00,99230.00,1,73
2024-04-25,992.00,992.10,992.00,992.10,0.11,225.00,223202.50,1,74
2024-04-24,991.00,991.00,991.00,991.00,-0.01,100.00,99100.00,-1,75
2024-04-22,991.10,991.10,991.10,991.10,0.62,75.00,74332.50,1,76
2024-04-18,968.10,985.00,968.10,985.00,1.44,100.00,97327.50,1,77
2024-04-16,962.50,981.00,952.60,971.00,-0.93,250.00,242455.00,-1,78
2024-04-15,980.10,980.10,980.10,980.10,-1.99,30.00,29403.00,-1,79
2024-04-02,1000.00,1000.00,1000.00,1000.00,0.00,7285.00,7285000.00,0,80
2023-12-20,950.00,950.00,950.00,950.00,0.00,10927.00,10380650.00,0,81
