published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-16,14607.00,14710.00,14607.00,14666.00,0.05,109.00,1593810.80,1,1
2025-06-15,14600.0,14943.0,14600.0,14658.42,1.11,360.0,5304789.0,1,1
2025-06-12,14457.1,14550.0,14457.1,14497.68,0.18,155.0,2247432.0,1,1
2025-06-11,14570.1,14740.0,14460.0,14471.2,-1.37,140.0,2035305.0,-1,1
2025-06-10,14610.0,14726.0,14600.0,14672.0,1.14,155.0,2275138.0,1,1
2025-06-09,14470.0,14512.0,14465.0,14507.2,0.19,120.0,1738210.0,1,1
2025-06-08,14550.0,14550.0,14476.1,14480.0,-0.31,165.0,2392931.0,-1,1
2025-06-05,14700.0,14903.9,14500.0,14525.35,-0.59,298.0,4363834.9,-1,1
2025-06-04,14700.0,14700.0,14612.0,14612.0,-0.56,90.0,1317970.0,-1,1
2025-06-03,14705.0,14705.0,14651.0,14694.8,0.02,213.0,3129710.0,1,2
2025-06-02,14800.0,14890.0,14665.0,14692.0,0.09,220.0,3250200.0,1,1
2025-05-28,14616.0,14800.0,14550.0,14678.65,0.43,130.0,1904583.0,1,1
2025-05-27,14641.0,14650.0,14550.0,14616.0,-0.57,440.0,6417120.5,-1,2
2025-05-26,14985.2,14985.2,14670.0,14700.0,0.06,261.0,3842934.0,1,1
2025-05-25,14700.0,14700.0,14632.0,14691.46,0.56,408.0,5990350.0,1,2
2025-05-22,14654.5,14654.5,14601.1,14609.12,-0.31,150.0,2193966.0,-1,3
2025-05-21,14698.0,14961.0,14654.0,14654.5,-0.11,167.0,2461175.0,-1,4
2025-05-20,14451.0,14675.1,14415.0,14670.03,1.16,140.0,2041062.0,1,5
2025-05-19,14500.0,14600.0,14481.0,14502.5,0.02,128.0,1859991.0,1,6
2025-05-18,14550.0,14699.0,14500.0,14500.0,-0.48,160.0,2323390.0,-1,7
2025-05-15,14625.0,14700.0,14555.1,14570.03,0.43,100.0,1461621.0,1,8
2025-05-14,14630.1,14700.0,14505.0,14508.0,-0.78,172.0,2513132.0,-1,9
2025-05-13,15032.0,15032.0,14622.0,14622.0,-0.82,130.0,1923432.0,-1,10
2025-05-11,14706.0,14790.0,14705.0,14742.5,-0.22,110.0,1621510.0,-1,11
2025-05-08,14691.3,14800.0,14687.0,14775.0,-0.48,135.0,1987975.0,-1,12
2025-05-07,14894.0,14894.0,14650.0,14846.98,1.68,132.0,1958229.0,1,13
2025-05-06,14626.0,14630.0,14602.0,14602.05,0.0,145.0,2119281.0,0,14
2025-05-05,14600.0,14800.0,14600.0,14601.44,-0.71,250.0,3667992.0,-1,15
2025-05-04,14700.0,14819.0,14700.0,14706.02,0.08,175.0,2578505.0,1,16
2025-04-30,14631.1,14701.0,14631.1,14693.8,-0.18,95.0,1393247.0,-1,17
2025-04-29,14988.0,15000.0,14710.0,14720.0,-0.1,70.0,1035880.0,-1,18
2025-04-28,14710.0,14799.0,14710.0,14734.9,-0.4,175.0,2582355.0,-1,19
2025-04-27,14805.0,14999.5,14762.1,14794.0,-0.38,251.0,3729384.0,-1,20
2025-04-24,14800.0,14850.0,14775.0,14850.0,-0.6,118.0,1747538.3,-1,21
2025-04-23,15189.9,15189.9,14800.0,14940.26,-0.4,702.0,10501329.0,-1,22
2025-04-22,15002.2,15011.0,14925.0,15000.0,-1.32,491.0,7359050.1,-1,23
2025-04-21,15007.4,15200.0,15007.4,15200.0,0.0,60.0,906894.0,0,24
2025-04-20,15175.0,15650.0,15060.0,15200.06,-1.75,160.0,2440139.0,-1,25
2025-04-17,15200.2,15500.0,15200.1,15470.09,0.19,212.0,3263157.2,1,26
2025-04-16,15200.0,15440.0,15150.0,15440.0,0.89,242.0,3689075.9,1,27
