published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-25,12752.7,12860.0,12752.1,12860.0,-0.32,71.0,909619.0,-1,1
2025-09-24,13000.0,13000.0,12901.0,12901.0,-2.56,115.0,1491970.0,-1,1
2025-09-23,12842.0,13240.0,12842.0,13240.0,5.16,323.0,4200348.0,1,1
2025-09-21,12642.0,12650.0,12000.0,12590.33,-2.4,641.0,7876211.0,-1,1
2025-09-08,13189.0,13200.0,12800.0,12900.0,-0.64,310.0,4036158.0,-1,1
2025-09-07,12760.0,13000.0,12760.0,12983.42,0.81,750.0,9716397.5,1,1
2025-09-04,12716.4,12900.0,12715.0,12878.66,0.1,460.0,5877461.9,1,1
2025-09-03,12900.0,12900.0,12700.0,12865.27,1.6,254.0,3252735.0,1,1
2025-09-02,12676.82,12701.0,12611.0,12662.75,-0.11,122.0,1540258.0,-1,1
2025-08-31,12650.1,12700.0,12650.1,12676.82,-1.73,229.0,2904696.0,-1,1
2025-08-28,12899.0,12900.0,12800.0,12900.0,-0.04,210.0,2696990.0,-1,1
2025-08-27,12800.0,12910.0,12800.0,12905.0,1.98,91.0,1173098.8,1,1
2025-08-26,12655.0,12655.0,12655.0,12655.0,1.97,10.0,126550.0,1,1
2025-08-25,12501.0,12501.0,12403.0,12410.0,-1.51,110.0,1367460.0,-1,1
2025-08-24,12600.0,12600.0,12600.0,12600.0,-0.47,20.0,252000.0,-1,1
2025-08-21,12650.0,12660.0,12650.0,12660.0,-0.08,110.0,1392500.0,-1,1
2025-08-20,12670.0,12670.0,12670.0,12670.0,0.15,30.0,380100.0,1,1
2025-08-19,12710.0,12710.0,12651.0,12651.0,-0.31,140.0,1775240.0,-1,1
2025-08-18,12690.0,12690.0,12690.0,12690.0,0.24,50.0,634500.0,1,1
2025-08-17,12680.0,12680.0,12655.0,12660.1,-0.21,150.0,1899420.0,-1,1
2025-08-14,12660.0,12750.0,12660.0,12687.17,0.45,344.0,4363007.0,1,1
2025-08-13,12641.1,12641.1,12630.0,12630.0,0.14,110.0,1389931.0,1,1
2025-08-12,12848.0,12848.0,12606.0,12612.0,-0.57,3648.0,46018456.0,-1,1
2025-08-11,12454.4,12703.4,12454.4,12684.66,-0.16,429.0,5440534.0,-1,1
2025-08-07,12700.0,12908.0,12655.0,12705.4,0.4,370.0,4725987.0,1,1
