published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-06-14,133.00,135.00,125.00,126.00,0.00,657.00,83223.00,0,1
2012-06-13,144.00,142.00,133.00,133.00,0.00,229.00,31363.00,0,2
2012-06-12,147.00,149.00,144.00,144.00,0.00,704.00,103456.00,0,3
2012-06-11,147.00,147.00,147.00,147.00,0.00,68.00,9996.00,0,4
2012-06-10,156.00,153.00,147.00,147.00,0.00,230.00,34574.00,0,5
2012-06-07,159.00,156.00,156.00,156.00,0.00,40.00,6240.00,0,6
2012-06-06,165.00,162.00,156.00,159.00,0.00,327.00,52281.00,0,7
2012-05-27,158.00,165.00,158.00,165.00,0.00,638.00,104837.00,0,8
2012-05-24,162.00,162.00,158.00,158.00,0.00,260.00,41796.00,0,9
2012-05-23,168.00,165.00,162.00,162.00,0.00,34.00,5541.00,0,10
2012-05-22,159.00,168.00,162.00,168.00,0.00,1041.00,171909.00,0,11
2012-05-21,145.00,159.00,144.00,159.00,0.00,83.00,12432.00,0,12
2012-05-14,147.00,147.00,145.00,145.00,0.00,157.00,22787.00,0,13
2012-05-10,145.00,147.00,147.00,147.00,0.00,34.00,4998.00,0,14
2012-04-29,141.00,145.00,143.00,145.00,0.00,46.00,6624.00,0,15
2012-04-22,143.00,141.00,141.00,141.00,0.00,253.00,35673.00,0,16
2012-04-18,141.00,143.00,143.00,143.00,0.00,10.00,1430.00,0,17
2012-04-17,139.00,141.00,141.00,141.00,0.00,92.00,12972.00,0,18
2012-04-16,137.00,139.00,139.00,139.00,0.00,60.00,8340.00,0,19
2012-04-09,137.00,137.00,137.00,137.00,0.00,11.00,1507.00,0,20
2012-04-04,137.00,137.00,137.00,137.00,0.00,40.00,5480.00,0,21
2012-04-03,134.00,137.00,135.00,137.00,0.00,122.00,16692.00,0,22
2012-04-02,134.00,136.00,134.00,134.00,0.00,119.00,15966.00,0,23
2012-04-01,132.00,134.00,133.00,134.00,0.00,351.00,46771.00,0,24
2012-03-25,130.00,132.00,132.00,132.00,0.00,10.00,1320.00,0,25
2012-03-20,135.00,133.00,130.00,130.00,0.00,122.00,15904.00,0,26
2012-03-18,135.00,136.00,135.00,135.00,0.00,170.00,22973.00,0,27
