published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-09-29,519.00,523.00,519.00,523.00,0.00,19379.00,10094787.00,0,1
2016-09-28,525.00,530.00,515.00,519.00,0.00,3090.00,1616532.00,0,2
2016-09-27,520.00,531.00,525.00,525.00,0.00,8577.00,4522995.00,0,3
2016-09-26,520.00,533.00,520.00,520.00,0.00,14286.00,7531910.00,0,4
2016-09-25,540.00,530.00,515.00,520.00,0.00,9136.00,4790882.00,0,5
2016-09-22,544.00,541.00,530.00,540.00,0.00,7482.00,4001918.00,0,6
2016-09-21,550.00,555.00,520.00,544.00,0.00,17059.00,9035565.00,0,7
2016-09-20,554.00,560.00,547.00,550.00,0.00,9992.00,5507350.00,0,8
2016-09-18,566.00,565.00,554.00,554.00,0.00,8789.00,4907185.00,0,9
2016-09-14,575.00,575.00,561.00,566.00,0.00,4581.00,2604591.00,0,10
2016-09-12,579.00,582.00,569.00,575.00,0.00,5707.00,3271041.00,0,11
2016-09-11,577.00,579.00,565.00,579.00,0.00,3869.00,2224185.00,0,12
2016-09-08,578.00,589.00,565.00,577.00,0.00,4358.00,2486662.00,0,13
2016-09-07,587.00,585.00,565.00,578.00,0.00,5016.00,2900228.00,0,14
2016-09-06,579.00,600.00,570.00,587.00,0.00,17917.00,10551792.00,0,15
2016-09-05,571.00,582.00,560.00,579.00,0.00,11540.00,6674505.00,0,16
2016-09-04,570.00,575.00,562.00,571.00,0.00,9347.00,5304184.00,0,17
2016-09-03,570.00,575.00,562.00,571.00,0.00,9347.00,5304184.00,0,18
2016-09-01,561.00,570.00,554.00,570.00,0.00,10204.00,5724841.00,0,19
2016-08-31,550.00,561.00,541.00,561.00,0.00,8708.00,4829504.00,0,20
2016-08-30,559.00,555.00,541.00,550.00,0.00,12562.00,6900520.00,0,21
2016-08-29,556.00,560.00,548.00,559.00,0.00,3376.00,1876034.00,0,22
2016-08-28,540.00,558.00,540.00,556.00,0.00,5696.00,3115418.00,0,23
2016-08-24,536.00,546.00,536.00,540.00,0.00,9545.00,5156286.00,0,24
2016-08-23,535.00,545.00,532.00,536.00,0.00,4270.00,2305490.00,0,25
2016-08-22,550.00,546.00,535.00,535.00,0.00,7306.00,3919565.00,0,26
2016-08-21,558.00,569.00,539.00,550.00,0.00,6333.00,3509819.00,0,27
2016-08-17,568.00,579.00,557.00,558.00,0.00,4368.00,2460080.00,0,28
2016-08-16,555.00,568.00,544.00,568.00,0.00,4515.00,2491723.00,0,29
2016-08-15,559.00,569.00,535.00,555.00,0.00,8688.00,4808367.00,0,30
2016-08-14,574.00,574.00,559.00,559.00,0.00,14799.00,8343017.00,0,31
2016-08-11,576.00,587.00,570.00,574.00,0.00,20818.00,12027690.00,0,32
2016-08-10,585.00,600.00,550.00,576.00,0.00,30140.00,17454072.00,0,33
2016-08-09,552.00,585.00,563.00,585.00,0.00,264.00,153626.00,0,34
2016-08-08,564.00,572.00,552.00,552.00,0.00,16822.00,9451604.00,0,35
2016-08-07,545.00,587.00,553.00,564.00,0.00,47617.00,27339076.00,0,36
2016-08-04,565.00,572.00,542.00,545.00,0.00,11783.00,6538241.00,0,37
2016-08-03,551.00,565.00,540.00,565.00,0.00,9689.00,5331634.00,0,38
2016-08-02,562.00,563.00,550.00,551.00,0.00,11114.00,6157186.00,0,39
2016-08-01,569.00,586.00,554.00,562.00,0.00,16982.00,9616434.00,0,40
2016-07-31,555.00,576.00,563.00,569.00,0.00,27466.00,15624284.00,0,41
2016-07-28,557.00,585.00,555.00,555.00,0.00,36328.00,20601224.00,0,42
2016-07-27,583.00,597.00,557.00,557.00,0.00,25527.00,14596621.00,0,43
2016-07-26,573.00,606.00,553.00,583.00,0.00,38593.00,22481188.00,0,44
2016-07-25,527.00,579.00,535.00,573.00,0.00,22450.00,12891811.00,0,45
2016-07-21,488.00,536.00,495.00,527.00,0.00,47138.00,24230172.00,0,46
2016-07-20,477.00,495.00,480.00,488.00,0.00,42729.00,20770436.00,0,47
2016-07-19,475.00,484.00,473.00,477.00,0.00,22828.00,10891124.00,0,48
2016-07-18,469.00,490.00,473.00,475.00,0.00,23169.00,11118240.00,0,49
2016-07-17,457.00,475.00,460.00,469.00,0.00,16384.00,7709396.00,0,50
2016-07-14,455.00,470.00,456.00,457.00,0.00,10941.00,5042443.00,0,51
2016-07-13,461.00,459.00,454.00,455.00,0.00,1743.00,794568.00,0,52
2016-07-12,470.00,479.00,452.00,461.00,0.00,9635.00,4472276.00,0,53
2016-07-11,470.00,475.00,465.00,470.00,0.00,4273.00,2004606.00,0,54
2016-07-10,480.00,489.00,470.00,470.00,0.00,12968.00,6167070.00,0,55
2016-07-06,489.00,498.00,478.00,480.00,0.00,19633.00,9599256.00,0,56
2016-07-05,481.00,508.00,489.00,489.00,0.00,52596.00,26151456.00,0,57
2016-07-04,438.00,481.00,446.00,481.00,0.00,67065.00,31814656.00,0,58
2016-07-03,430.00,448.00,430.00,438.00,0.00,18454.00,8113455.00,0,59
2016-06-30,410.00,448.00,413.00,430.00,0.00,15263.00,6626485.00,0,60
2016-06-29,415.00,420.00,409.00,410.00,0.00,3373.00,1397139.00,0,61
2016-06-28,413.00,420.00,406.00,415.00,0.00,3413.00,1414908.00,0,62
2016-06-27,405.00,413.00,410.00,413.00,0.00,135.00,55404.00,0,63
2016-06-26,414.00,415.00,395.00,405.00,0.00,1843.00,751555.00,0,64
2016-06-23,412.00,415.00,405.00,414.00,0.00,2159.00,883176.00,0,65
2016-06-22,410.00,418.00,412.00,412.00,0.00,1216.00,504000.00,0,66
2016-06-21,413.00,415.00,408.00,410.00,0.00,1584.00,649880.00,0,67
2016-06-20,440.00,462.00,443.00,454.00,0.00,20120.00,9113955.00,0,68
2016-06-19,455.00,455.00,438.00,440.00,0.00,8822.00,3930454.00,0,69
2016-06-16,449.00,465.00,442.00,455.00,0.00,9817.00,4484059.00,0,70
2016-06-15,451.00,460.00,442.00,449.00,0.00,9965.00,4468431.00,0,71
2016-06-14,448.00,454.00,442.00,451.00,0.00,8305.00,3729433.00,0,72
2016-06-13,444.00,450.00,427.00,448.00,0.00,5714.00,2539722.00,0,73
2016-06-12,430.00,446.00,435.00,444.00,0.00,18690.00,8244437.00,0,74
2016-06-09,417.00,430.00,421.00,430.00,0.00,15849.00,6780708.00,0,75
2016-06-08,415.00,426.00,415.00,417.00,0.00,2453.00,1024836.00,0,76
2016-06-07,416.00,421.00,410.00,415.00,0.00,4878.00,2031054.00,0,77
2016-06-06,406.00,416.00,408.00,416.00,0.00,2683.00,1108623.00,0,78
2016-06-05,429.00,421.00,405.00,406.00,0.00,3468.00,1423629.00,0,79
2016-06-02,430.00,429.00,410.00,429.00,0.00,3290.00,1379208.00,0,80
2016-06-01,429.00,430.00,421.00,430.00,0.00,2208.00,942795.00,0,81
2016-05-31,405.00,429.00,413.00,429.00,0.00,553.00,236653.00,0,82
2016-05-30,410.00,409.00,403.00,405.00,0.00,6474.00,2641906.00,0,83
2016-05-29,420.00,428.00,408.00,410.00,0.00,3782.00,1568235.00,0,84
2016-05-26,414.00,420.00,409.00,420.00,0.00,1855.00,765526.00,0,85
2016-05-25,417.00,419.00,412.00,414.00,0.00,2463.00,1020966.00,0,86
2016-05-24,410.00,419.00,415.00,417.00,0.00,3386.00,1409513.00,0,87
2016-05-23,409.00,415.00,410.00,410.00,0.00,3133.00,1288726.00,0,88
2016-05-22,409.00,417.00,408.00,409.00,0.00,5908.00,2428277.00,0,89
2016-05-19,412.00,424.00,407.00,409.00,0.00,3871.00,1601362.00,0,90
2016-05-18,416.00,417.00,408.00,412.00,0.00,3269.00,1347624.00,0,91
2016-05-17,414.00,422.00,413.00,416.00,0.00,4155.00,1730401.00,0,92
2016-05-16,410.00,414.00,400.00,414.00,0.00,7760.00,3141374.00,0,93
2016-05-15,417.00,410.00,402.00,410.00,0.00,412.00,168174.00,0,94
2016-05-12,420.00,425.00,410.00,417.00,0.00,5671.00,2353250.00,0,95
2016-05-11,420.00,428.00,415.00,420.00,0.00,2790.00,1176092.00,0,96
2016-05-10,435.00,433.00,415.00,420.00,0.00,9331.00,3949042.00,0,97
2016-05-09,418.00,459.00,426.00,435.00,0.00,35722.00,15893488.00,0,98
2016-05-08,380.00,418.00,387.00,418.00,0.00,3007.00,1256106.00,0,99
2016-05-05,380.00,380.00,380.00,380.00,0.00,452.00,171760.00,0,100
2016-05-04,380.00,380.00,371.00,380.00,0.00,475.00,177734.00,0,101
2016-05-03,390.00,385.00,380.00,380.00,0.00,660.00,250890.00,0,102
2016-05-02,385.00,392.00,385.00,390.00,0.00,602.00,233907.00,0,103
2016-04-28,386.00,390.00,385.00,385.00,0.00,1736.00,671160.00,0,104
2016-04-27,390.00,387.00,385.00,386.00,0.00,499.00,192373.00,0,105
2016-04-26,397.00,402.00,390.00,390.00,0.00,5159.00,2056090.00,0,106
2016-04-25,383.00,397.00,390.00,397.00,0.00,2506.00,980730.00,0,107
2016-04-24,394.00,401.00,383.00,383.00,0.00,127.00,49931.00,0,108
2016-04-21,380.00,394.00,380.00,394.00,0.00,3489.00,1351165.00,0,109
2016-04-20,384.00,384.00,380.00,380.00,0.00,1361.00,522119.00,0,110
2016-04-19,386.00,386.00,382.00,384.00,0.00,963.00,369199.00,0,111
2016-04-18,380.00,386.00,380.00,386.00,0.00,3787.00,1439838.00,0,112
2016-04-17,382.00,385.00,378.00,380.00,0.00,2179.00,828876.00,0,113
2016-04-14,380.00,385.00,380.00,382.00,0.00,6832.00,2598550.00,0,114
2016-04-12,383.00,382.00,380.00,380.00,0.00,1408.00,535216.00,0,115
2016-04-11,380.00,384.00,376.00,383.00,0.00,24669.00,9393540.00,0,116
2016-04-10,390.00,385.00,379.00,380.00,0.00,12786.00,4887596.00,0,117
2016-04-06,390.00,398.00,389.00,390.00,0.00,9613.00,3783149.00,0,118
2016-04-05,384.00,390.00,389.00,390.00,0.00,718.00,279820.00,0,119
2016-04-04,394.00,388.00,381.00,384.00,0.00,2167.00,830432.00,0,120
2016-04-03,381.00,401.00,376.00,394.00,0.00,5279.00,2024727.00,0,121
2016-03-31,385.00,385.00,379.00,381.00,0.00,5705.00,2175094.00,0,122
2016-03-30,394.00,387.00,385.00,385.00,0.00,559.00,215267.00,0,123
2016-03-29,395.00,403.00,392.00,394.00,0.00,4318.00,1720925.00,0,124
2016-03-28,400.00,400.00,393.00,395.00,0.00,4561.00,1804229.00,0,125
2016-03-27,403.00,405.00,400.00,400.00,0.00,1901.00,760806.00,0,126
2016-03-24,400.00,410.00,395.00,403.00,0.00,25491.00,10263379.00,0,127
2016-03-23,399.00,400.00,392.00,400.00,0.00,8488.00,3386041.00,0,128
2016-03-21,400.00,401.00,393.00,399.00,0.00,6065.00,2407720.00,0,129
2016-03-20,392.00,400.00,392.00,400.00,0.00,5894.00,2348390.00,0,130
2016-03-17,381.00,404.00,380.00,392.00,0.00,24346.00,9676578.00,0,131
2016-03-16,392.00,392.00,381.00,381.00,0.00,11025.00,4284801.00,0,132
2016-03-15,382.00,392.00,366.00,392.00,0.00,21588.00,8249825.00,0,133
2016-03-14,354.00,382.00,354.00,382.00,0.00,7319.00,2720016.00,0,134
2016-03-13,380.00,375.00,354.00,354.00,0.00,4839.00,1811895.00,0,135
2016-03-10,370.00,380.00,370.00,380.00,0.00,12936.00,4860918.00,0,136
2016-03-06,361.00,370.00,355.00,370.00,0.00,925.00,333341.00,0,137
