published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,509.10,528.00,480.00,485.24,-2.79,76978.00,38223011.80,-1,1
2025-05-25,454.90,505.00,417.70,499.19,7.56,367256.00,165387239.10,1,2
2025-05-22,472.10,488.00,462.70,464.09,-3.64,30425.00,14362231.20,-1,3
2025-05-21,475.00,505.00,475.00,481.64,0.29,28612.00,13975365.10,1,4
2025-05-20,461.00,484.00,461.00,480.27,2.33,18477.00,8776374.60,1,5
2025-05-19,477.00,479.00,460.60,469.35,-0.06,22268.00,10430758.20,-1,6
2025-05-18,495.00,504.80,467.00,469.63,-5.11,31761.00,15160171.60,-1,7
2025-05-15,510.00,513.00,493.00,494.93,-3.48,27896.00,13967491.10,-1,8
2025-05-14,517.00,524.00,509.00,512.78,-0.40,22205.00,11379626.40,-1,9
2025-05-13,499.70,530.00,499.70,514.83,1.00,25850.00,13306294.70,1,10
2025-05-11,535.00,535.00,508.00,509.71,-3.00,26588.00,13699957.80,-1,11
2025-05-08,520.50,542.00,520.50,525.48,-0.97,29526.00,15672213.50,-1,12
2025-05-07,531.00,557.00,510.00,530.63,-0.41,52761.00,27991140.70,-1,13
2025-05-06,564.10,564.10,523.10,532.81,-3.67,46226.00,24757611.10,-1,14
2025-05-05,594.00,604.00,545.90,553.11,-6.74,43869.00,24477077.30,-1,15
2025-05-04,628.70,703.80,578.00,593.07,-7.55,114462.00,67981370.10,-1,16
2025-04-30,622.00,678.00,588.00,641.51,1.58,91023.00,56629169.90,1,17
2025-04-29,626.50,638.00,623.50,631.54,-1.19,18835.00,11862766.50,-1,18
2025-04-28,621.50,684.00,615.20,639.15,0.84,58532.00,37001343.50,1,19
2025-04-27,612.00,639.50,612.00,633.85,1.73,35404.00,22236221.70,1,20
2025-04-24,611.20,635.00,600.00,623.07,0.02,49238.00,30203851.50,1,21
2025-04-23,650.00,650.00,619.00,622.96,-2.47,15452.00,9690113.20,-1,22
2025-04-22,644.00,644.00,629.80,638.76,1.02,35855.00,22743692.40,1,23
2025-04-21,648.00,655.00,630.10,632.34,-3.54,43189.00,27588930.40,-1,24
2025-04-20,665.00,665.00,653.00,655.54,-1.23,19318.00,12721679.70,-1,25
2025-04-17,661.50,695.00,658.00,663.67,0.36,59102.00,39872606.70,1,26
