published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-23,318.00,318.00,308.00,316.39,1.25,5820.00,1826333.70,1,1
2025-06-22,321.3,334.2,309.0,312.47,-4.67,30483.0,9685215.4,-1,1
2025-06-19,338.0,340.0,325.4,327.77,-3.22,24902.0,8273657.4,-1,1
2025-06-18,339.0,347.0,333.0,338.67,-2.06,12668.0,4286181.6,-1,1
2025-06-17,351.0,351.0,335.0,345.8,0.11,23240.0,7949817.7,1,1
2025-06-16,348.0,367.0,344.1,345.42,-0.82,62244.0,22103273.2,-1,1
2025-06-15,331.0,356.0,319.0,348.28,7.27,33428.0,11253093.3,1,1
2025-06-12,333.0,333.9,322.7,324.69,-0.92,24797.0,8119536.3,-1,1
2025-06-11,336.0,336.0,325.3,327.7,-2.28,13595.0,4485613.7,-1,1
2025-06-10,342.0,342.0,335.0,335.36,-0.09,16931.0,5728284.3,-1,1
2025-06-09,331.0,340.0,331.0,335.67,1.34,31024.0,10444830.6,1,1
2025-06-08,330.1,334.0,326.0,331.24,-0.53,17935.0,5940775.7,-1,1
2025-06-05,318.0,343.3,318.0,333.0,2.81,38541.0,12807427.3,1,1
2025-06-04,317.2,333.4,317.2,323.9,0.88,9422.0,3064730.5,1,1
2025-06-03,325.0,331.0,318.1,321.06,-1.36,11497.0,3714580.3,-1,2
2025-06-02,335.0,336.0,325.0,325.49,-1.34,19538.0,6390937.9,-1,1
2025-05-28,335.0,335.5,325.0,329.91,-0.07,16604.0,5494778.9,-1,1
2025-05-27,328.0,339.0,323.0,330.13,-0.14,16426.0,5430962.5,-1,2
2025-05-26,336.9,341.0,329.1,330.58,0.08,61911.0,20680957.8,1,1
2025-05-25,336.5,340.0,328.0,330.3,-2.57,17005.0,5654368.5,-1,2
2025-05-22,351.0,351.0,338.0,339.0,-2.03,42624.0,14549630.6,-1,3
2025-05-21,363.9,392.0,345.2,346.04,-3.02,90518.0,32238195.7,-1,4
2025-05-20,330.9,356.8,330.9,356.8,9.97,15154.0,5406304.0,1,5
2025-05-19,545.0,565.0,545.0,548.87,2.57,157093.0,86558808.1,1,6
2025-05-18,546.7,556.0,532.0,535.11,-2.13,28634.0,15506200.6,-1,7
2025-05-15,536.0,552.0,535.0,546.74,-0.02,33220.0,18152285.2,-1,8
2025-05-14,550.0,569.0,545.3,546.84,-2.21,28533.0,15823516.9,-1,9
2025-05-13,574.0,586.0,552.0,559.2,-3.99,60776.0,34395963.1,-1,10
2025-05-11,571.7,601.0,571.7,582.45,3.91,133246.0,78444520.9,1,11
2025-05-08,530.0,575.0,530.0,560.55,3.66,78160.0,44204710.8,1,12
2025-05-07,508.0,544.9,507.0,540.76,6.75,30668.0,16348202.2,1,13
2025-05-06,500.0,510.0,500.0,506.58,1.01,9019.0,4577393.6,1,14
2025-05-05,503.0,512.9,500.0,501.5,-0.42,25821.0,12999857.8,-1,15
2025-05-04,520.0,520.0,503.0,503.64,-3.47,9568.0,4859611.5,-1,16
2025-04-30,512.0,524.0,510.1,521.75,1.75,27524.0,14297969.9,1,17
2025-04-29,521.0,521.0,511.5,512.8,-1.58,8574.0,4403597.5,-1,18
2025-04-28,521.0,532.0,520.1,521.03,0.13,13057.0,6887278.9,1,19
2025-04-27,517.5,525.0,510.0,520.34,2.55,25116.0,12890982.4,1,20
2025-04-24,529.6,529.6,505.0,507.39,-2.32,17461.0,8978354.7,-1,21
2025-04-23,520.0,530.4,513.0,519.44,-0.34,3380.0,1748442.0,-1,22
2025-04-22,530.0,535.0,520.1,521.23,-1.53,10323.0,5412295.3,-1,23
2025-04-21,521.2,535.0,521.2,529.34,1.45,15883.0,8364749.3,1,24
2025-04-20,538.0,538.0,520.0,521.76,-1.31,8093.0,4224756.5,-1,25
2025-04-17,536.0,545.0,526.0,528.7,-0.31,14923.0,7975415.3,-1,26
2025-04-16,530.0,537.0,520.0,530.34,0.66,15449.0,8124076.7,1,27
2025-04-15,513.0,540.6,513.0,526.86,2.11,11288.0,5965415.0,1,28
2025-04-13,518.0,530.0,515.0,515.99,-1.89,11614.0,6007972.5,-1,29
2025-04-10,519.0,539.1,519.0,525.91,-0.51,19793.0,10398139.1,-1,30
2025-04-09,512.1,548.5,512.1,528.62,1.41,15594.0,8262811.0,1,31
2025-04-08,528.0,530.0,511.2,521.26,-1.22,4976.0,2568866.4,-1,32
2025-04-07,531.1,536.0,521.0,527.7,-1.58,9028.0,4725913.4,-1,33
2025-04-03,536.0,557.6,532.0,536.16,-1.86,11487.0,6214863.8,-1,34
2025-04-02,533.0,559.9,533.0,546.31,0.63,12337.0,6780319.5,1,35
2025-04-01,540.0,581.0,540.0,542.91,-1.36,8891.0,4843724.5,-1,36
2025-03-30,527.0,570.0,527.0,550.41,2.49,31174.0,17231071.6,1,37
2025-03-27,515.0,555.0,515.0,537.05,2.27,28645.0,15304213.8,1,38
2025-03-26,500.0,535.0,500.0,525.14,4.97,9191.0,4790156.4,1,39
2025-03-25,520.0,530.0,499.1,500.27,-5.71,25483.0,12842157.1,-1,40
2025-03-24,525.0,540.0,515.1,530.56,0.12,13508.0,7166921.1,1,41
2025-03-23,547.2,558.9,523.1,529.91,-5.08,14429.0,7751478.6,-1,42
2025-03-20,562.0,568.8,550.0,558.25,-2.57,15419.0,8608997.5,-1,43
2025-03-19,575.0,586.0,563.0,573.0,-2.22,6743.0,3833250.1,-1,44
2025-03-18,640.0,640.0,571.5,586.0,-7.72,35286.0,20412569.5,-1,45
2025-03-17,589.0,635.0,561.6,635.0,9.86,42005.0,24256049.6,1,46
2025-03-16,586.0,609.0,570.0,578.0,-1.37,12087.0,6984661.5,-1,47
2025-03-12,595.0,595.0,576.0,586.0,-0.51,12498.0,7336158.0,-1,48
2025-03-11,628.0,628.0,588.0,589.0,-4.68,33614.0,20021142.4,-1,49
2025-03-10,620.0,682.0,613.5,617.9,-1.92,30921.0,19337653.2,-1,50
2024-12-12,531.0,534.4,515.0,519.9,-0.78,51632.0,27040127.9,-1,1
2024-12-11,497.0,527.0,486.7,524.0,7.16,42888.0,21856799.0,1,1
2024-12-10,490.0,495.0,485.1,489.0,0.0,20402.0,9955261.8,0,2
2024-12-09,497.0,506.0,489.0,489.0,-2.2,32714.0,16193476.9,-1,3
2024-12-08,501.2,508.0,496.0,500.0,-2.15,38822.0,19530492.4,-1,4
2024-12-05,500.0,522.0,488.1,511.0,1.79,54007.0,27238415.6,1,5
2024-12-04,510.0,520.2,502.0,502.0,-0.79,55830.0,28671675.5,-1,6
2024-12-03,493.0,512.0,490.0,506.0,4.33,68043.0,34330706.7,1,7
2024-12-02,465.0,492.0,462.8,485.0,4.8,107746.0,51918169.7,1,8
2024-12-01,458.0,469.0,450.0,462.8,-0.86,22685.0,10464105.0,-1,9
2024-11-28,470.0,482.0,463.4,466.8,-1.5,17018.0,7942954.7,-1,10
2024-11-27,481.4,484.5,465.4,473.9,0.4,33976.0,16144025.5,1,11
2024-11-26,455.0,474.0,451.1,472.0,5.15,28001.0,12979780.1,1,12
2024-11-25,450.0,453.0,442.0,448.9,0.22,11815.0,5284410.5,1,13
2024-11-24,450.0,468.1,440.0,447.9,-0.24,8017.0,3575207.2,-1,14
2024-11-21,462.0,470.0,444.1,449.0,-0.88,18480.0,8375753.4,-1,15
2024-11-20,449.0,461.0,448.1,453.0,-0.88,22704.0,10305485.0,-1,16
2024-11-19,471.1,471.1,453.3,457.0,-4.79,36922.0,17038242.0,-1,17
2024-11-17,479.0,491.0,471.0,480.0,0.21,55136.0,26570220.5,1,18
2024-11-14,462.3,489.0,458.3,479.0,3.61,89121.0,42218770.2,1,19
2024-11-13,450.0,464.2,445.0,462.3,3.03,63503.0,28997798.5,1,20
2024-11-12,447.1,455.0,438.6,448.7,-1.58,18014.0,8035230.8,-1,21
2024-11-11,467.9,471.7,440.0,455.9,-1.32,78578.0,35822566.2,-1,22
2024-11-10,445.0,467.0,440.1,462.0,4.52,54284.0,24795563.1,1,23
2024-11-06,415.0,443.0,411.0,442.0,7.8,78600.0,33734095.0,1,24
2024-11-05,412.9,413.9,406.4,410.0,0.76,40251.0,16483418.0,1,25
2024-10-30,403.2,413.0,400.0,406.9,-0.97,10635.0,4299195.0,-1,26
2024-10-29,397.0,413.0,397.0,410.9,1.46,8322.0,3397505.3,1,27
2024-10-28,391.0,414.0,391.0,405.0,1.76,9274.0,3731782.7,1,28
2024-10-27,396.0,405.0,376.0,398.0,1.69,7020.0,2768393.6,1,29
2024-10-24,381.1,391.5,378.0,391.4,0.88,7665.0,2975956.3,1,30
2024-10-23,395.7,403.6,380.3,388.0,0.0,3086.0,1198454.1,0,31
2024-10-22,384.2,392.0,383.0,388.0,-1.02,6530.0,2524630.3,-1,32
