published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-02,379.90,380.00,374.00,378.96,1.17,36158.00,13628451.60,1,1
2025-07-01,366.3,375.8,366.3,374.58,1.47,64333.0,23974220.6,1,1
2025-06-30,376.0,376.0,366.0,369.15,-0.08,39605.0,14664346.5,-1,1
2025-06-29,370.0,376.0,363.0,369.45,-0.25,87551.0,32353056.3,-1,1
2025-06-26,375.2,380.0,369.6,370.39,-1.78,106550.0,39674267.8,-1,1
2025-06-25,380.4,384.0,372.8,377.12,1.1,34131.0,12850133.0,1,1
2025-06-24,387.0,387.9,372.0,373.03,-1.91,85103.0,32142067.6,-1,1
2025-06-23,387.8,387.8,377.0,380.31,-0.03,113056.0,43022588.4,-1,1
2025-06-22,402.5,403.0,379.0,380.43,-5.48,162185.0,62416862.0,-1,1
2025-06-19,438.3,438.3,402.5,402.5,-10.0,463525.0,190196313.3,-1,1
2025-06-18,420.0,457.0,409.0,447.2,7.48,442441.0,188548503.4,1,1
2025-06-17,415.6,418.0,398.9,416.07,1.82,116714.0,47734451.6,1,1
2025-06-16,422.1,433.0,407.0,408.62,-3.18,216151.0,91573759.3,-1,1
2025-06-15,408.0,423.0,408.0,422.03,3.95,206304.0,86329975.0,1,1
2025-06-12,388.0,420.0,381.2,406.0,5.99,284392.0,115217625.1,1,1
2025-06-11,380.0,388.0,380.0,383.04,-0.63,63820.0,24380108.6,-1,1
2025-06-10,380.0,392.6,380.0,385.47,0.82,60039.0,23295164.6,1,1
2025-06-09,390.0,390.0,378.0,382.34,-1.91,45826.0,17540045.6,-1,1
2025-06-08,368.1,392.0,368.1,389.77,5.16,65412.0,24988500.2,1,1
2025-06-05,369.1,378.0,369.1,370.63,-0.61,54208.0,20108599.6,-1,1
2025-06-04,371.1,376.8,370.0,372.9,-0.5,28464.0,10628280.6,-1,1
2025-06-03,377.1,384.9,373.0,374.77,-1.14,30414.0,11431314.6,-1,2
2025-06-02,385.0,386.0,375.0,379.08,-0.14,43809.0,16613419.0,-1,1
2025-05-28,377.0,383.9,376.1,379.61,0.72,27455.0,10413255.6,1,1
2025-05-27,377.0,384.0,372.0,376.89,-0.15,41395.0,15681464.9,-1,2
2025-05-26,386.4,386.4,375.0,377.47,-0.38,17808.0,6757589.6,-1,1
2025-05-25,380.5,385.0,376.0,378.92,-0.44,26987.0,10241596.6,-1,2
2025-05-22,385.8,389.8,379.0,380.59,-1.35,44904.0,17174101.2,-1,3
2025-05-21,398.9,405.0,385.3,385.8,-1.36,29670.0,11638907.1,-1,4
2025-05-20,379.0,393.0,377.0,391.12,2.85,40751.0,15649821.9,1,5
2025-05-19,380.0,387.0,379.0,380.29,-0.07,36806.0,14042623.0,-1,6
2025-05-18,389.0,390.0,380.0,380.54,-0.89,52998.0,20250129.3,-1,7
