published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-06-21,5202.00,5100.00,5100.00,5100.00,0.00,30.00,153000.00,0,1
2015-06-17,5202.00,5202.00,5202.00,5202.00,0.00,30.00,156060.00,0,2
2015-06-15,5100.00,5202.00,5202.00,5202.00,0.00,54.00,280908.00,0,3
2015-06-11,5000.00,5100.00,5100.00,5100.00,0.00,50.00,255000.00,0,4
2015-06-08,5145.00,5043.00,5000.00,5000.00,0.00,23.00,115430.00,0,5
2015-06-03,5249.00,5145.00,5145.00,5145.00,0.00,15.00,77175.00,0,6
2015-05-27,5300.00,5249.00,5200.00,5249.00,0.00,78.00,406629.00,0,7
2015-05-26,5352.00,5300.00,5300.00,5300.00,0.00,13.00,68900.00,0,8
2015-04-23,5461.00,5352.00,5352.00,5352.00,0.00,103.00,551256.00,0,9
2015-04-21,5461.00,5461.00,5461.00,5461.00,0.00,43.00,234823.00,0,10
2015-04-20,5680.00,5567.00,5461.00,5461.00,0.00,36.00,197974.00,0,11
2015-04-19,5780.00,5680.00,5680.00,5680.00,0.00,13.00,73840.00,0,12
2015-04-13,5880.00,5780.00,5780.00,5780.00,0.00,36.00,208080.00,0,13
2015-03-29,5880.00,5880.00,5880.00,5880.00,0.00,13.00,76440.00,0,14
2015-03-25,5765.00,5880.00,5880.00,5880.00,0.00,10.00,58800.00,0,15
2015-03-22,5881.00,5765.00,5765.00,5765.00,0.00,45.00,259425.00,0,16
2015-03-12,6000.00,5881.00,5881.00,5881.00,0.00,88.00,517528.00,0,17
2015-02-23,6076.00,6000.00,6000.00,6000.00,0.00,90.00,540000.00,0,18
2015-02-18,6200.00,6076.00,6076.00,6076.00,0.00,88.00,534688.00,0,19
2015-02-05,6211.00,6200.00,6200.00,6200.00,0.00,113.00,700600.00,0,20
2015-02-04,6322.00,6250.00,6210.00,6211.00,0.00,113.00,704748.00,0,21
2015-02-03,6450.00,6322.00,6322.00,6322.00,0.00,51.00,322422.00,0,22
2015-02-02,6469.00,6450.00,6450.00,6450.00,0.00,50.00,322500.00,0,23
2015-02-01,6420.00,6500.00,6469.00,6469.00,0.00,258.00,1674117.00,0,24
2015-01-28,6550.00,6420.00,6420.00,6420.00,0.00,40.00,256800.00,0,25
2015-01-27,6440.00,6550.00,6419.00,6550.00,0.00,232.00,1498345.00,0,26
