published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-13,504.10,524.30,495.10,497.97,0.75,27831.00,14022511.70,1,1
2025-07-10,499.0,507.0,492.2,494.25,0.53,40530.0,20200341.1,1,1
2025-07-09,500.0,500.0,490.0,491.66,-1.42,19060.0,9415741.7,-1,1
2025-07-08,492.9,507.0,483.1,498.76,2.4,25584.0,12671316.0,1,1
2025-07-07,500.0,505.1,485.1,487.07,-3.59,32512.0,16000879.1,-1,1
2025-07-06,500.0,525.0,489.0,505.23,2.27,86572.0,44068630.8,1,1
2025-07-03,478.0,499.0,474.0,494.02,4.93,62761.0,30774453.4,1,1
2025-07-02,466.0,477.9,464.2,470.8,2.49,28862.0,13582195.8,1,1
2025-07-01,465.0,465.0,458.0,459.36,0.01,14280.0,6563629.1,1,1
2025-06-30,469.9,469.9,456.3,459.31,-0.66,3546.0,1633238.3,-1,1
2025-06-29,457.4,465.0,453.0,462.36,0.91,11272.0,5143015.0,1,1
2025-06-26,461.1,465.0,457.0,458.17,-0.55,13662.0,6288905.9,-1,1
2025-06-25,461.1,467.8,460.0,460.69,-0.57,5817.0,2695951.8,-1,1
2025-06-24,476.0,476.0,461.3,463.32,-1.14,8091.0,3783047.1,-1,1
2025-06-23,470.1,472.5,460.0,468.66,1.17,18468.0,8599008.9,1,1
2025-06-22,460.1,469.3,460.1,463.25,-0.87,14999.0,6993012.4,-1,1
2025-06-19,481.0,481.0,466.7,467.32,-1.01,23730.0,11109703.5,-1,1
2025-06-18,480.0,480.0,471.3,472.1,-0.91,11305.0,5356641.7,-1,1
2025-06-17,485.0,485.0,474.5,476.42,-0.3,9675.0,4620280.2,-1,1
2025-06-16,486.0,486.0,475.0,477.83,-0.08,10578.0,5057112.1,-1,1
2025-06-15,491.0,493.0,476.0,478.19,-1.48,23045.0,11114896.7,-1,1
2025-06-12,487.9,500.0,475.0,485.38,0.4,31048.0,15144140.1,1,1
2025-06-11,505.0,505.0,482.0,483.47,-3.01,24332.0,11939079.3,-1,1
2025-06-10,473.0,501.5,468.0,498.45,6.67,39259.0,19092169.8,1,1
2025-06-09,472.0,472.0,463.0,467.28,0.82,14961.0,6989805.3,1,1
2025-06-08,472.0,475.3,462.0,463.47,-0.88,13046.0,6074205.2,-1,1
2025-06-05,479.9,479.9,465.5,467.59,-0.89,14500.0,6808418.7,-1,1
2025-06-04,475.0,484.5,468.5,471.8,-1.31,20461.0,9688051.1,-1,1
2025-06-03,489.6,489.6,478.0,478.05,-0.9,7997.0,3837480.1,-1,2
2025-06-02,488.9,497.9,481.5,482.4,0.62,14025.0,6794879.9,1,1
2025-05-28,483.0,483.0,473.5,479.41,0.64,10981.0,5262442.0,1,1
2025-05-27,480.0,488.0,475.0,476.35,-1.45,16018.0,7671070.7,-1,2
2025-05-26,496.0,514.0,482.0,483.34,-0.82,17319.0,8513109.2,-1,1
2025-05-25,496.5,496.5,482.0,487.32,-0.36,7850.0,3827649.9,-1,2
2025-05-22,497.0,500.0,485.0,489.09,-0.59,22515.0,11043827.4,-1,3
2025-05-21,501.3,530.0,490.0,491.99,0.1,35747.0,17936006.8,1,4
2025-05-20,484.9,495.0,476.1,491.52,2.65,25013.0,12102431.7,1,5
2025-05-19,485.0,493.0,477.0,478.85,0.69,15053.0,7274830.7,1,6
2025-05-18,480.2,489.0,475.0,475.57,-0.98,17667.0,8452188.9,-1,7
2025-05-15,495.0,495.0,478.0,480.27,-1.46,18009.0,8651344.1,-1,8
2025-05-14,490.0,505.0,486.0,487.39,-0.21,12892.0,6370119.4,-1,9
2025-05-13,498.1,505.0,483.0,488.43,-2.04,16535.0,8103487.8,-1,10
2025-05-11,516.0,517.0,497.0,498.58,-3.64,19349.0,9721809.3,-1,11
2025-05-08,503.0,533.5,487.1,517.39,3.75,48076.0,24667214.8,1,12
2025-05-07,469.0,500.0,469.0,498.7,6.15,30416.0,14721655.7,1,13
2025-05-06,481.0,488.0,469.0,469.8,-2.48,29141.0,13750017.2,-1,14
2025-05-05,481.0,490.0,477.2,481.74,-0.08,13568.0,6541755.2,-1,15
2025-05-04,500.0,500.0,480.2,482.12,-2.21,33703.0,16343072.2,-1,16
2025-04-30,489.8,506.0,489.8,493.0,-1.35,23805.0,11732323.8,-1,17
2025-04-29,494.3,521.0,494.3,499.77,-0.91,17470.0,8748423.0,-1,18
2025-04-28,500.0,525.0,500.0,504.34,1.32,16878.0,8547917.8,1,19
2025-04-27,513.0,513.0,497.0,497.75,-1.62,36684.0,18421945.6,-1,20
2025-04-24,510.0,515.0,501.0,505.94,-0.31,35453.0,17945436.5,-1,21
2025-04-23,506.2,517.0,505.3,507.53,0.11,26669.0,13594308.2,1,22
2025-04-22,517.0,521.9,503.8,506.99,-1.46,26682.0,13596155.8,-1,23
2025-04-21,525.0,525.0,514.0,514.49,-0.64,16226.0,8374183.3,-1,24
2025-04-20,523.0,526.0,516.7,517.78,-1.48,16556.0,8607066.8,-1,25
2025-04-17,515.0,538.0,510.5,525.56,0.92,28806.0,15237686.3,1,26
2025-04-16,534.9,538.0,520.1,520.76,-1.54,25769.0,13514771.6,-1,27
2025-04-15,510.0,535.0,505.3,528.92,2.8,30454.0,16089734.4,1,28
2025-04-13,521.0,524.9,513.0,514.51,-2.29,33664.0,17411953.4,-1,29
2025-04-10,530.0,536.0,525.1,526.58,-0.81,17491.0,9223230.2,-1,30
2025-04-09,539.0,540.0,525.0,530.9,-0.45,17492.0,9314289.7,-1,31
2025-04-08,535.0,536.0,514.1,533.32,1.41,32784.0,17122843.1,1,32
2025-04-07,543.0,547.9,525.0,525.89,-3.85,25891.0,13777141.6,-1,33
2025-04-03,564.9,570.0,543.0,546.97,-1.93,33086.0,18331215.0,-1,34
2025-04-02,542.0,576.0,532.1,557.71,4.58,58554.0,32431751.5,1,35
2025-04-01,545.9,546.8,527.5,533.28,-2.49,27044.0,14443142.8,-1,36
2025-03-30,528.1,555.0,525.0,546.89,2.02,50076.0,27344768.9,1,37
2025-03-27,533.0,540.0,515.0,536.08,2.02,39791.0,21090706.3,1,38
2025-03-26,499.3,530.0,499.3,525.46,3.14,20880.0,10907635.9,1,39
2025-03-25,541.1,541.1,505.0,509.47,-3.97,40515.0,20852955.7,-1,40
2025-03-24,505.0,538.0,503.0,530.54,4.73,48561.0,25585404.5,1,41
2025-03-23,513.4,520.0,505.2,506.56,-3.07,26569.0,13601861.6,-1,42
2025-03-20,530.0,532.0,521.0,522.61,-1.39,25240.0,13240165.6,-1,43
2025-03-19,544.9,544.9,527.5,530.0,-1.67,21883.0,11695231.2,-1,44
2025-03-18,543.0,545.0,535.0,539.0,0.75,14116.0,7601563.8,1,45
2025-03-17,532.0,550.0,530.0,535.0,0.19,42939.0,23069783.2,1,46
2025-03-16,560.0,563.0,528.1,534.0,-3.26,51533.0,27792158.5,-1,47
2025-03-12,560.0,566.0,552.0,552.0,-0.76,32308.0,18039271.4,-1,48
2025-03-11,577.0,581.0,555.0,556.2,-2.42,45687.0,25854708.6,-1,49
2025-03-10,575.9,585.0,565.2,570.0,0.88,44039.0,25233151.1,1,50
2024-12-12,650.0,658.4,625.0,627.0,-3.54,39422.0,25123296.7,-1,1
2024-12-11,637.0,653.9,625.1,650.0,2.2,38719.0,24862036.5,1,1
2024-12-10,648.0,650.0,635.0,636.0,-1.97,22797.0,14567749.2,-1,2
2024-12-09,650.0,655.0,630.1,648.8,1.37,41385.0,26455022.8,1,3
2024-12-08,654.0,659.0,628.0,640.0,-2.14,83835.0,53586987.6,-1,4
2024-12-05,671.0,680.0,652.0,654.0,-3.13,80321.0,53087879.0,-1,5
2024-12-04,685.0,696.9,675.1,675.1,-1.45,40678.0,27848693.9,-1,6
2024-12-03,683.0,703.0,677.0,685.0,1.78,96506.0,66523411.9,1,7
2024-12-02,676.0,693.0,665.0,673.0,-1.9,72348.0,49043683.5,-1,8
2024-12-01,684.0,699.0,682.0,686.0,-1.58,63211.0,43538731.4,-1,9
2024-11-28,710.0,716.0,692.0,697.0,-2.11,74129.0,51927649.4,-1,10
