published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2022-07-26,327.00,327.00,327.00,327.00,0.00,2620.00,262000.00,0,1
2022-05-05,327.00,327.00,327.00,327.00,0.00,13100.00,7135100.00,0,2
2021-10-04,327.00,327.00,327.00,327.00,0.00,100.00,53100.00,0,3
2021-10-03,327.00,327.00,327.00,327.00,0.00,145290.00,67320610.00,0,4
2021-09-26,327.00,327.00,327.00,327.00,0.00,43260.00,19229606.00,0,5
2021-06-20,327.00,327.00,327.00,327.00,0.00,200.00,110000.00,0,6
2021-06-01,327.00,327.00,327.00,327.00,0.00,2000.00,980000.00,0,7
2021-05-24,327.00,327.00,327.00,327.00,0.00,2244.00,1117132.00,0,8
2021-05-18,327.00,327.00,327.00,327.00,0.00,1100.00,537900.00,0,9
2021-04-27,327.00,327.00,327.00,327.00,0.00,11256.00,6611868.00,0,10
2021-04-26,327.00,327.00,327.00,327.00,0.00,3150.00,1532205.00,0,11
2020-12-27,477.00,477.00,431.00,461.00,0.00,2632.00,1227392.00,0,12
2020-08-09,357.00,373.00,357.00,373.00,0.00,81294.00,29037958.00,0,13
2020-07-05,398.75,398.75,398.75,398.75,24.80,21061.00,8398074.00,1,14
2019-08-28,330.00,330.00,319.50,319.50,-8.71,323525.00,105466240.00,-1,15
2017-12-19,0.00,350.00,350.00,350.00,0.00,14641.00,4892966.00,0,16
2017-09-25,0.00,0.00,0.00,0.00,0.00,25000.00,10192000.00,0,17
