published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-09,9.62,9.91,9.62,9.91,1.43,12660.00,124283.80,1,1
2025-07-08,9.65,9.77,9.65,9.77,0.0,11200.0,109276.0,0,1
2025-07-07,9.68,9.77,9.68,9.77,-0.71,5800.0,56327.0,-1,1
2025-07-06,9.82,9.85,9.82,9.84,0.2,47580.0,467603.4,1,1
2025-07-03,9.65,9.85,9.65,9.82,1.55,52560.0,511151.0,1,1
2025-07-02,9.6,9.67,9.6,9.67,0.31,3550.0,34116.0,1,1
2025-07-01,9.64,9.64,9.64,9.64,-0.31,1300.0,12532.0,-1,1
2025-06-30,9.42,9.7,9.42,9.67,0.73,14825.0,142406.0,1,1
2025-06-29,9.6,9.7,9.6,9.6,0.0,10600.0,101780.0,0,1
2025-06-26,9.46,9.65,9.46,9.6,-0.52,17925.0,172114.0,-1,1
2025-06-25,9.5,9.67,9.5,9.65,1.58,32500.0,312048.0,1,1
2025-06-24,9.5,9.64,9.47,9.5,-1.55,16799.0,160622.5,-1,1
2025-06-23,9.55,9.65,9.55,9.65,1.05,19700.0,189310.0,1,1
2025-06-22,9.62,9.64,9.5,9.55,-0.93,18208.0,174138.8,-1,1
2025-06-19,9.68,9.68,9.54,9.64,0.42,16470.0,158507.6,1,1
2025-06-18,9.56,9.65,9.56,9.6,0.42,25426.0,243612.56,1,1
2025-06-17,9.55,9.68,9.55,9.56,0.1,15400.0,147348.0,1,1
2025-06-16,9.53,9.6,9.35,9.55,0.21,12350.0,117776.5,1,1
2025-06-15,9.6,9.6,9.52,9.53,-2.26,6800.0,64883.0,-1,1
2025-06-12,9.47,9.75,9.47,9.75,1.04,3600.0,34714.0,1,1
2025-06-11,9.4,9.66,9.4,9.65,1.58,26860.0,258824.5,1,1
2025-06-10,9.4,9.6,9.4,9.5,-0.42,2700.0,25566.0,-1,1
2025-06-09,9.36,9.57,9.36,9.54,0.21,6500.0,61806.0,1,1
2025-06-08,9.5,9.52,9.5,9.52,-1.75,9800.0,93194.0,-1,1
2025-06-05,9.65,9.7,9.65,9.69,0.52,89500.0,867615.0,1,1
2025-06-04,9.35,9.65,9.35,9.64,2.01,12450.0,119374.4,1,1
2025-06-03,9.33,9.51,9.33,9.45,0.75,23300.0,219658.0,1,2
2025-06-02,9.3,9.48,9.2,9.38,0.11,19085.0,178324.4,1,1
2025-05-28,9.31,9.45,9.31,9.37,-0.53,6300.0,59360.0,-1,1
2025-05-27,9.27,9.45,9.26,9.42,1.07,9100.0,85349.0,1,2
2025-05-26,9.5,9.5,9.31,9.32,-0.11,4200.0,39863.0,-1,1
2025-05-25,9.21,9.4,9.21,9.33,0.76,9560.0,89068.8,1,2
2025-05-22,9.3,9.33,9.21,9.26,-0.75,21900.0,203952.0,-1,3
2025-05-21,9.15,9.35,9.15,9.33,1.97,16900.0,156367.0,1,4
2025-05-20,9.11,9.15,9.11,9.15,-0.97,700.0,6391.0,-1,5
2025-05-19,9.2,9.3,9.2,9.24,-1.49,4200.0,38712.0,-1,6
2025-05-18,9.37,9.38,9.37,9.38,1.96,339561.0,3185062.18,1,7
2025-05-15,9.1,9.29,9.1,9.2,0.88,24600.0,227906.0,1,8
2025-05-14,9.05,9.25,9.05,9.12,-0.87,15100.0,137673.0,-1,9
2025-05-13,9.11,9.25,9.11,9.2,0.77,227511.0,2102324.93,1,10
2025-05-11,9.05,9.23,9.05,9.13,-0.65,5200.0,47568.0,-1,11
2025-05-08,9.22,9.22,9.19,9.19,-1.5,7160.0,66009.2,-1,12
2025-05-07,9.04,9.33,9.04,9.33,1.97,13149.0,122114.68,1,13
2025-05-06,9.15,9.2,8.93,9.15,0.0,6975.0,63621.75,0,14
2025-05-05,8.95,9.18,8.95,9.15,0.44,10450.0,95315.5,1,15
2025-05-04,9.17,9.2,9.0,9.11,-2.57,3300.0,30131.0,-1,16
2025-04-30,8.95,9.36,8.95,9.35,2.86,54100.0,505234.0,1,17
2025-04-29,9.0,9.24,9.0,9.09,-0.55,8284.0,75646.56,-1,18
2025-04-28,9.12,9.3,9.12,9.14,-1.51,2200.0,20114.0,-1,19
2025-04-27,9.12,9.35,9.12,9.28,1.31,17310.0,161419.4,1,20
2025-04-24,9.08,9.2,9.08,9.16,-0.43,8100.0,74236.0,-1,21
2025-04-23,9.06,9.21,9.06,9.2,-0.22,114300.0,1048214.0,-1,22
2025-04-22,9.2,9.3,9.2,9.22,-0.86,17298.0,159579.48,-1,23
2025-04-21,9.53,9.65,9.21,9.3,-2.41,11000.0,103201.0,-1,24
2025-04-20,9.5,9.63,9.5,9.53,0.85,371125.0,3563978.9,1,25
2025-04-17,9.25,9.58,9.25,9.45,3.28,252589.0,2373530.07,1,26
2025-04-16,9.18,9.28,9.1,9.15,1.67,261835.0,2422354.5,1,27
2025-04-15,8.91,9.0,8.9,9.0,-0.22,4000.0,35645.0,-1,28
2025-04-13,9.0,9.19,8.89,9.02,0.11,4100.0,36963.0,1,29
2025-04-10,9.17,9.17,9.01,9.01,0.0,2600.0,23442.0,0,30
2025-04-09,9.15,9.15,9.0,9.01,-0.11,40850.0,370314.7,-1,31
2025-04-08,8.86,9.04,8.85,9.02,0.11,194250.0,1753496.5,1,32
2025-04-07,9.01,9.01,8.87,9.01,-1.96,1700.0,15303.0,-1,33
2025-04-03,8.94,9.25,8.8,9.19,0.99,308100.0,2726405.0,1,34
2025-04-02,9.0,9.1,8.82,9.1,2.25,99776.0,897898.1,1,35
2025-04-01,9.07,9.07,8.83,8.9,-1.11,93200.0,833868.0,-1,36
2025-03-30,8.96,9.1,8.87,9.0,2.39,154800.0,1390397.0,1,37
2025-03-27,8.7,8.87,8.7,8.79,-0.34,5334.0,46740.32,-1,38
2025-03-26,8.45,8.94,8.45,8.82,4.38,19200.0,164347.0,1,39
2025-03-25,8.5,8.5,8.38,8.45,-2.42,6320.0,53500.0,-1,40
2025-03-24,8.5,8.8,8.5,8.66,1.52,4900.0,42416.0,1,41
2025-03-23,8.52,8.85,8.52,8.53,-1.39,9100.0,77999.0,-1,42
2025-03-20,8.7,8.7,8.61,8.65,-0.57,6199.0,53516.39,-1,43
2025-03-19,8.7,8.87,8.63,8.7,0.93,8700.0,75619.0,1,44
2025-03-18,8.79,8.98,8.62,8.62,-3.79,55710.0,481734.0,-1,45
2025-03-17,8.8,8.97,8.66,8.96,2.17,12224.0,107169.7,1,46
2025-03-16,8.74,8.85,8.67,8.77,0.11,10700.0,93682.0,1,47
2025-03-12,8.8,8.97,8.74,8.76,-2.34,16900.0,148666.0,-1,48
2025-03-11,8.87,8.97,8.77,8.97,3.1,22200.0,196769.0,1,49
2025-03-10,8.65,8.8,8.65,8.7,-1.14,22800.0,198776.0,-1,50
2024-12-12,9.07,9.25,9.07,9.25,1.54,2900.0,26417.0,1,1
2024-12-11,9.08,9.26,9.08,9.11,-1.62,7800.0,71965.0,-1,1
2024-12-10,9.35,9.35,9.22,9.26,-2.94,400.0,3718.0,-1,2
2024-12-09,9.09,9.54,9.09,9.54,3.14,6700.0,61436.0,1,3
2024-12-08,9.29,9.39,9.13,9.25,-2.32,10700.0,98815.0,-1,4
2024-12-05,9.22,9.47,9.1,9.47,0.74,11150.0,102863.0,1,5
2024-12-04,9.4,9.4,9.4,9.4,0.0,1700.0,15980.0,0,6
2024-12-03,9.23,9.41,9.23,9.4,1.08,14700.0,137234.0,1,7
2024-12-02,9.2,9.3,9.15,9.3,0.65,8705.0,80363.85,1,8
2024-12-01,9.2,9.24,9.19,9.24,-0.65,3100.0,28518.0,-1,9
2024-11-28,9.34,9.5,9.25,9.3,-2.11,8400.0,79252.0,-1,10
2024-11-27,9.25,9.5,9.25,9.5,1.06,3200.0,29977.0,1,11
2024-11-26,9.4,9.5,9.31,9.4,-1.05,31400.0,294432.0,-1,12
2024-11-25,9.3,9.5,9.3,9.5,0.53,14992.0,142123.6,1,13
2024-11-24,9.38,9.55,9.31,9.45,0.75,46857.0,441116.8,1,14
2024-11-21,9.36,9.68,9.36,9.38,-1.16,423630.0,4092770.8,-1,15
2024-11-20,9.2,9.55,9.02,9.49,1.39,18300.0,172285.0,1,16
2024-11-19,9.22,9.5,9.22,9.36,-0.21,10380.0,96934.0,-1,17
2024-11-17,9.12,9.58,9.12,9.38,1.3,10647.0,100203.81,1,18
2024-11-14,9.38,9.56,9.21,9.26,-3.24,7400.0,68988.0,-1,19
2024-11-13,9.12,9.57,9.12,9.57,3.57,7700.0,71663.8,1,20
2024-11-12,9.34,9.52,9.24,9.24,-2.94,1695.0,15880.5,-1,21
2024-11-11,9.43,9.52,9.26,9.52,-1.04,7625.0,71697.5,-1,22
2024-11-10,9.26,9.62,9.1,9.62,1.91,58200.0,552944.0,1,23
2024-11-06,9.11,9.44,8.96,9.44,1.61,15150.0,138676.0,1,24
2024-11-05,9.02,9.29,9.0,9.29,1.09,11300.0,102900.0,1,25
2024-10-30,9.54,9.54,9.19,9.19,-1.82,6000.0,55466.0,-1,26
2024-10-29,9.34,9.36,9.18,9.36,-1.78,6010.0,55897.0,-1,27
2024-10-28,9.32,9.53,9.14,9.53,0.21,22900.0,216928.0,1,28
2024-10-27,9.55,9.55,9.5,9.51,-1.96,2700.0,25669.0,-1,29
2024-10-24,9.15,9.7,9.0,9.7,6.01,181259.0,1734982.25,1,30
2024-10-23,9.09,9.15,9.09,9.15,-1.08,1900.0,17332.0,-1,31
