published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-03,464.9,480.0,455.7,479.7,4.4,203534.0,95893545.9,1,1
2025-07-02,455.0,462.7,446.0,459.5,2.38,41545.0,18973789.2,1,1
2025-07-01,447.9,450.0,440.0,448.83,2.06,16532.0,7365164.0,1,1
2025-06-30,436.0,444.5,436.0,439.76,0.55,15057.0,6632589.2,1,1
2025-06-29,431.0,439.0,430.0,437.35,1.61,20776.0,9025085.6,1,1
2025-06-26,431.1,435.9,430.0,430.42,-0.56,21505.0,9290372.4,-1,1
2025-06-25,434.1,436.0,431.2,432.83,-0.28,10860.0,4702309.1,-1,1
2025-06-24,433.1,440.0,433.0,434.06,-0.33,11544.0,5028946.1,-1,1
2025-06-23,440.0,441.0,432.0,435.5,0.38,15422.0,6718002.1,1,1
2025-06-22,440.0,441.0,433.2,433.84,-1.95,30116.0,13113085.7,-1,1
2025-06-19,443.0,450.0,441.0,442.48,-0.32,22663.0,10025891.5,-1,1
2025-06-18,443.7,448.5,442.4,443.9,-0.1,12894.0,5721995.4,-1,1
2025-06-17,447.0,448.0,441.2,444.36,0.04,17202.0,7640992.5,1,1
2025-06-16,444.45,447.0,440.5,444.18,-0.06,19820.0,8819456.7,-1,1
2025-06-15,443.0,447.0,443.0,444.45,0.11,14184.0,6308587.7,1,1
2025-06-12,445.0,447.0,442.0,443.95,-0.88,20647.0,9176376.5,-1,1
2025-06-11,454.9,454.9,446.1,447.88,-1.03,18780.0,8426103.3,-1,1
2025-06-10,446.0,457.9,446.0,452.56,1.74,26927.0,12186117.5,1,1
2025-06-09,455.0,455.0,440.0,444.8,-1.74,50168.0,22316118.7,-1,1
2025-06-08,514.5,514.5,505.5,506.99,-0.39,88911.0,45243686.4,-1,1
2025-06-05,511.0,513.9,505.0,508.98,-0.37,37635.0,19142527.4,-1,1
2025-06-04,520.0,520.0,501.4,510.89,-0.13,26180.0,13306489.2,-1,1
2025-06-03,511.0,517.9,510.0,511.54,-0.36,38169.0,19548138.9,-1,2
2025-06-02,519.3,519.8,512.1,513.37,0.67,55405.0,28597890.7,1,1
2025-05-28,508.0,513.9,506.1,509.95,0.25,24481.0,12455962.6,1,1
2025-05-27,522.6,522.6,507.1,508.7,-0.74,42156.0,21533111.9,-1,2
2025-05-26,523.8,534.2,511.6,512.51,-0.21,52388.0,27062218.3,-1,1
2025-05-25,527.1,527.1,512.0,513.61,-0.62,32153.0,16585626.9,-1,2
2025-05-22,527.7,527.7,515.0,516.83,-0.1,49440.0,25649289.1,-1,3
2025-05-21,525.0,545.0,515.9,517.36,0.51,102289.0,53636051.2,1,4
2025-05-20,506.0,518.0,497.0,514.74,3.52,46394.0,23585372.3,1,5
2025-05-19,500.0,503.0,496.1,497.23,0.22,21048.0,10506257.1,1,6
2025-05-18,496.1,505.9,493.4,496.13,-0.01,48662.0,24212012.3,-1,7
2025-05-15,498.0,506.8,494.3,496.2,-0.52,68476.0,34087036.6,-1,8
2025-05-14,505.0,509.9,498.0,498.81,-1.11,56922.0,28598143.8,-1,9
