published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-03,420.7,420.7,410.5,414.63,0.52,86134.0,35777699.8,1,1
2025-07-02,408.8,414.0,403.3,412.48,1.26,46919.0,19168882.4,1,1
2025-07-01,402.0,409.0,400.0,407.33,2.13,28230.0,11419345.8,1,1
2025-06-30,404.6,404.6,394.1,398.85,0.53,28118.0,10930249.5,1,1
2025-06-29,392.5,399.9,392.0,396.76,1.08,45927.0,18124674.2,1,1
2025-06-26,399.0,399.0,392.0,392.54,-0.2,33983.0,13368289.8,-1,1
2025-06-25,395.0,399.0,393.0,393.34,-0.24,24756.0,9747927.8,-1,1
2025-06-24,396.0,400.0,394.1,394.29,0.0,25963.0,10271778.8,0,1
2025-06-23,397.0,397.0,391.1,394.3,0.8,19946.0,7860290.7,1,1
2025-06-22,397.3,402.9,390.3,391.16,-2.07,66091.0,26146733.3,-1,1
2025-06-19,396.0,406.5,396.0,399.42,-0.95,68033.0,27229699.2,-1,1
2025-06-18,406.0,409.8,402.0,403.25,-0.09,41886.0,16964888.4,-1,1
2025-06-17,411.0,411.0,401.0,403.63,-0.34,25203.0,10172963.8,-1,1
2025-06-16,400.0,414.7,400.0,404.99,-0.63,37979.0,15402607.5,-1,1
2025-06-15,396.0,413.0,396.0,407.57,1.02,72985.0,29718980.0,1,1
2025-06-12,402.7,410.0,402.0,403.47,-1.1,54844.0,22267566.3,-1,1
2025-06-11,412.0,416.9,407.0,407.94,-0.85,86782.0,35584097.6,-1,1
2025-06-10,402.0,415.8,402.0,411.45,2.58,58100.0,23836684.9,1,1
2025-06-09,396.0,410.0,392.1,401.1,0.31,83050.0,33474862.5,1,1
2025-06-08,402.0,409.4,399.0,399.88,-1.36,48602.0,19582999.0,-1,1
2025-06-05,412.0,413.0,404.6,405.39,-1.36,92717.0,37828867.8,-1,1
2025-06-04,414.0,416.7,408.0,410.96,-0.29,81543.0,33482295.3,-1,1
2025-06-03,423.0,423.0,410.1,412.16,-1.67,35226.0,14609131.0,-1,2
2025-06-02,424.0,426.9,416.5,419.18,-0.22,86369.0,36428713.2,-1,1
2025-05-28,412.3,431.0,412.3,420.12,-0.14,70015.0,29292523.4,-1,1
2025-05-27,411.0,423.0,411.0,420.69,1.31,91160.0,38280025.1,1,2
2025-05-26,431.2,439.0,414.6,415.23,-1.79,127841.0,53728537.6,-1,1
2025-05-25,436.0,436.0,421.1,422.8,-1.15,139730.0,59684044.2,-1,2
2025-05-22,443.9,445.0,426.0,427.74,-1.73,167041.0,72861052.0,-1,3
2025-05-21,425.9,450.8,420.1,435.29,4.25,533627.0,232094478.9,1,4
2025-05-20,395.7,421.0,395.7,417.55,3.42,95941.0,39591675.4,1,5
2025-05-19,403.0,408.0,396.2,403.73,2.12,26146.0,10505771.8,1,6
2025-05-18,398.0,414.0,392.2,395.34,-2.62,42579.0,16934142.4,-1,7
2025-05-15,410.0,415.0,402.0,405.98,-1.54,46817.0,19121240.2,-1,8
2025-05-14,409.9,424.0,409.9,412.33,1.4,139763.0,58147180.3,1,9
2025-05-13,399.2,421.9,399.2,406.65,-0.05,82473.0,33733970.3,-1,10
2025-05-11,397.0,409.9,394.0,406.87,2.82,66986.0,26908821.1,1,11
2025-05-08,392.5,410.0,392.5,395.71,-1.08,17889.0,7116040.2,-1,12
2025-05-07,385.1,403.5,384.0,400.05,2.53,63170.0,24929032.6,1,13
2025-05-06,378.0,393.0,378.0,390.18,1.33,20627.0,7990457.5,1,14
2025-05-05,385.8,389.0,382.0,385.06,-0.91,18487.0,7116272.4,-1,15
2025-05-04,388.0,395.0,388.0,388.59,-0.32,28712.0,11203907.3,-1,16
2025-04-30,389.0,395.0,388.5,389.84,0.01,25036.0,9775799.6,1,17
2025-04-29,395.0,396.8,389.0,389.82,-1.1,24710.0,9663770.7,-1,18
2025-04-28,384.8,400.0,384.8,394.16,0.4,24170.0,9522175.5,1,19
2025-04-27,400.0,400.0,392.0,392.58,-0.57,40735.0,16065519.5,-1,20
2025-04-24,396.1,400.0,394.0,394.84,-0.34,40269.0,15948830.7,-1,21
2025-04-23,397.0,400.0,390.3,396.18,-0.92,111731.0,43759895.8,-1,22
2025-04-22,395.9,404.9,395.9,399.86,-1.01,27521.0,11036758.4,-1,23
2025-04-21,397.1,409.9,397.1,403.94,-0.31,30054.0,12164103.7,-1,24
2025-04-20,410.0,414.0,405.1,405.2,-1.14,36991.0,15088347.4,-1,25
2025-04-17,413.0,414.5,407.0,409.87,0.69,50653.0,20814172.5,1,26
2025-04-16,401.2,411.9,398.2,407.08,0.19,40805.0,16382465.8,1,27
2025-04-15,396.4,411.3,396.4,406.31,1.81,22612.0,9191700.1,1,28
2025-04-13,406.0,406.0,397.9,399.1,-0.65,33886.0,13512446.1,-1,29
2025-04-10,402.4,409.0,400.1,401.72,-0.67,24385.0,9816882.0,-1,30
2025-04-09,399.7,408.8,399.1,404.41,0.66,17111.0,6906111.7,1,31
2025-04-08,400.0,402.9,395.7,401.76,0.1,20340.0,8099803.7,1,32
2025-04-07,405.0,406.0,401.0,401.36,-1.24,36444.0,14694261.3,-1,33
2025-04-03,399.9,415.0,399.9,406.41,-0.4,43633.0,17856693.1,-1,34
2025-04-02,402.5,411.8,402.5,408.03,0.1,25175.0,10265656.1,1,35
2025-04-01,408.0,414.0,403.4,407.64,-1.14,27518.0,11199937.1,-1,36
2025-03-30,405.0,419.7,400.0,412.35,1.36,49065.0,20237331.7,1,37
2025-03-27,393.9,409.0,393.9,406.81,1.26,30129.0,12229098.5,1,38
2025-03-26,398.0,405.0,391.2,401.76,2.75,25249.0,10070920.9,1,39
2025-03-25,397.6,400.1,389.9,391.0,-3.6,39481.0,15573702.0,-1,40
2025-03-24,396.0,407.4,396.0,405.59,1.54,24698.0,9969712.6,1,41
2025-03-23,412.0,412.0,398.5,399.43,-2.29,45598.0,18330456.5,-1,42
2025-03-20,420.0,420.0,405.4,408.78,-0.76,18889.0,7726430.0,-1,43
2025-03-19,409.6,418.0,406.0,411.9,-1.44,22817.0,9367261.3,-1,44
2025-03-18,428.4,428.4,413.2,417.9,-0.5,30868.0,12842025.6,-1,45
2025-03-17,417.0,425.9,415.1,420.0,-0.24,31217.0,13035504.1,-1,46
2025-03-16,428.0,431.0,419.1,421.0,-3.08,47073.0,19901755.1,-1,47
2025-03-12,440.0,446.0,434.2,434.4,0.07,61539.0,27031190.2,1,48
2025-03-11,417.5,452.0,417.1,434.1,3.11,241096.0,106635863.7,1,49
2025-03-10,432.0,432.0,418.0,421.0,-0.66,58305.0,24592004.8,-1,50
2024-12-12,457.5,457.5,441.0,441.0,-2.65,39506.0,17565814.6,-1,1
2024-12-11,450.1,453.0,440.3,453.0,2.03,41158.0,18254347.9,1,1
2024-12-10,441.1,449.0,441.1,444.0,0.68,31294.0,13917083.0,1,2
2024-12-09,445.0,451.0,437.0,441.0,-0.45,48150.0,21265042.6,-1,3
2024-12-08,454.9,456.0,441.6,443.0,-0.96,68846.0,30745649.7,-1,4
2024-12-05,459.9,461.0,445.0,447.3,-1.04,133406.0,59985198.4,-1,5
2024-12-04,460.0,466.9,449.0,452.0,-2.98,143856.0,65796837.8,-1,6
2024-12-03,474.0,474.0,456.0,465.9,0.22,112801.0,51996925.4,1,7
2024-12-02,467.5,492.9,462.0,464.9,-2.54,242419.0,115663037.3,-1,8
2024-12-01,461.0,480.0,456.1,477.0,1.71,268699.0,127120613.4,1,9
2024-11-28,467.0,485.0,460.7,469.0,1.74,404868.0,192342442.8,1,10
2024-11-27,455.0,464.0,452.0,461.0,1.77,162868.0,74796300.6,1,11
2024-11-26,457.8,457.9,448.0,453.0,0.91,78209.0,35312905.0,1,12
2024-11-25,456.0,459.0,448.8,448.9,-0.24,81281.0,36839127.5,-1,13
2024-11-24,468.0,468.1,450.0,450.0,-2.39,99604.0,45850019.5,-1,14
2024-11-21,467.0,477.0,458.1,461.0,0.22,289692.0,134949495.8,1,15
2024-11-20,445.0,468.0,443.0,460.0,3.6,141881.0,64889981.5,1,16
2024-11-19,461.0,467.0,443.0,444.0,-2.63,111237.0,50666978.8,-1,17
2024-11-17,463.8,470.0,456.0,456.0,0.26,188940.0,87496852.5,1,18
2024-11-14,450.0,462.0,447.0,454.8,1.79,145371.0,66517218.6,1,19
2024-11-13,435.3,448.0,435.0,446.8,1.09,86214.0,38054677.2,1,20
2024-11-12,440.0,447.0,435.0,442.0,0.45,58511.0,25776976.0,1,21
2024-11-11,444.0,446.0,433.0,440.0,0.0,75513.0,33306395.8,0,22
2024-11-10,420.6,442.0,420.5,440.0,4.02,45966.0,20006386.2,1,23
2024-11-06,420.0,430.0,418.1,423.0,0.02,20005.0,8463346.3,1,24
2024-11-05,426.9,427.0,418.6,422.9,-0.96,8064.0,3398876.4,-1,25
2024-10-30,432.9,432.9,422.2,427.0,-0.47,16656.0,7094116.5,-1,26
2024-10-29,420.1,430.0,420.0,429.0,2.14,23177.0,9914079.9,1,27
2024-10-28,409.0,422.0,409.0,420.0,1.94,32082.0,13400023.3,1,28
2024-10-27,409.0,417.1,405.0,412.0,0.73,15814.0,6508432.4,1,29
2024-10-24,417.0,418.0,406.0,409.0,-1.92,29244.0,11986839.4,-1,30
2024-10-23,418.0,423.2,416.0,417.0,-0.71,35463.0,14849556.8,-1,31
2024-10-22,421.9,421.9,413.0,420.0,1.2,22389.0,9339201.3,1,32
2024-10-21,419.5,428.0,414.0,415.0,-2.42,42681.0,17875535.1,-1,33
2024-10-20,431.0,436.0,425.0,425.3,-2.45,42209.0,18097836.3,-1,34
2024-10-17,438.9,442.0,432.0,436.0,0.0,38703.0,16965356.3,0,35
2024-10-16,428.1,442.0,428.1,436.0,2.13,40391.0,17643292.8,1,36
2024-10-15,431.2,431.2,421.0,426.9,0.97,20481.0,8735395.6,1,37
2024-10-09,439.5,439.5,422.2,422.8,-1.88,15472.0,6571398.3,-1,38
2024-10-08,444.7,444.7,425.1,430.9,-1.17,32395.0,13996807.3,-1,39
2024-10-07,435.1,437.8,427.0,436.0,2.2,81239.0,35168403.8,1,40
2024-10-06,425.3,433.0,414.0,426.6,2.3,32470.0,13742525.0,1,41
2024-10-02,436.5,436.5,415.0,417.0,-2.57,63286.0,26591819.1,-1,42
2024-10-01,417.0,430.0,405.1,428.0,4.39,98900.0,41664476.5,1,43
2024-09-30,398.0,410.0,398.0,410.0,2.76,22333.0,9017438.9,1,44
2024-09-29,399.0,404.9,390.1,399.0,-1.97,52899.0,20991433.7,-1,45
2024-09-26,400.0,418.0,400.0,407.0,0.25,47428.0,19219466.0,1,46
2024-09-25,392.0,414.0,392.0,406.0,3.57,55464.0,22234870.2,1,47
2024-09-24,408.0,408.0,390.1,392.0,-2.49,66855.0,26501160.3,-1,48
2024-09-23,408.0,424.0,400.0,402.0,-3.34,65452.0,26557407.1,-1,49
2024-09-22,417.9,426.2,411.0,415.9,1.49,50441.0,20791179.4,1,50
2024-09-18,419.5,419.5,407.0,409.8,-0.36,39468.0,16283879.5,-1,51
2024-09-16,423.0,423.0,411.3,411.3,-2.54,50410.0,20937456.1,-1,52
2024-09-15,440.5,440.6,422.0,422.0,-2.31,84716.0,36417504.4,-1,53
2024-09-12,423.3,435.0,414.5,432.0,4.1,62211.0,26276556.3,1,54
2024-09-11,421.3,428.4,409.2,415.0,-0.48,68032.0,28359448.1,-1,55
2024-09-10,421.0,429.4,415.0,417.0,-0.74,66965.0,28150620.6,-1,56
2024-09-09,425.1,429.0,416.0,420.1,-2.53,96500.0,40620985.6,-1,57
2024-09-08,442.0,445.0,427.5,431.0,-2.93,61284.0,26644708.8,-1,58
2024-09-05,432.3,452.9,423.0,444.0,0.91,120672.0,52737637.3,1,59
2024-09-04,458.0,472.0,438.0,440.0,-4.33,188430.0,85334956.1,-1,60
2024-09-03,450.0,462.5,436.0,459.9,3.81,178154.0,80153990.9,1,61
2024-09-02,420.0,448.0,412.0,443.0,6.49,103632.0,44870721.5,1,62
