published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-22,11.07,11.31,11.07,11.25,0.45,81230.00,912238.00,1,1
2024-12-19,11.20,11.33,11.20,11.20,-1.06,21635.00,242746.50,-1,2
2024-12-18,11.30,11.32,11.26,11.32,0.71,116400.00,1317177.00,1,3
2024-12-17,11.40,11.40,11.12,11.24,0.36,90309.00,1013320.72,1,4
2024-12-16,11.32,11.32,11.11,11.20,-1.06,32050.00,357831.00,-1,5
2024-12-12,11.2,11.32,11.2,11.32,0.98,64160.0,719088.95,1,1
2024-12-11,11.17,11.23,11.17,11.21,-0.18,21500.0,241076.0,-1,1
2024-12-10,11.25,11.25,11.18,11.23,0.45,20064.0,225287.02,1,2
2024-12-09,11.17,11.2,11.17,11.18,-0.09,76810.0,858697.7,-1,3
2024-12-08,11.2,11.25,11.18,11.19,-0.44,148915.0,1670277.65,-1,4
2024-12-05,11.39,11.39,11.24,11.24,-0.27,398455.0,4497318.85,-1,5
2024-12-04,11.21,11.37,11.21,11.27,0.09,231858.0,2620239.36,1,6
2024-12-03,11.21,11.3,11.15,11.26,0.45,90832.0,1025188.65,1,7
2024-12-02,11.39,11.39,11.17,11.21,-0.36,49870.0,559479.5,-1,8
2024-12-01,11.15,11.25,11.11,11.25,0.9,46400.0,519552.0,1,9
2024-11-28,11.18,11.21,11.15,11.15,-0.98,108797.0,1215750.95,-1,10
2024-11-27,11.25,11.3,11.15,11.26,0.99,10400.0,116620.0,1,11
2024-11-26,11.27,11.27,11.1,11.15,0.9,10620.0,118749.5,1,12
2024-11-25,11.36,11.36,11.0,11.05,-0.9,242292.0,2690333.1,-1,13
2024-11-24,11.39,11.39,11.11,11.15,-0.8,60680.0,679128.2,-1,14
2024-11-21,11.1,11.3,11.1,11.24,0.27,48220.0,541546.71,1,15
2024-11-20,11.2,11.25,11.2,11.21,-0.18,155560.0,1743970.5,-1,16
2024-11-19,11.35,11.47,11.1,11.23,0.09,475261.0,5381944.55,1,17
2024-11-17,11.17,11.35,11.17,11.22,0.63,138455.0,1553270.1,1,18
2024-11-14,11.4,11.74,11.0,11.15,-0.27,28295.0,315507.3,-1,19
2024-11-13,11.42,11.42,10.97,11.18,-1.06,30430.0,337842.4,-1,20
2024-11-12,11.44,11.44,11.25,11.3,0.53,1292.0,14747.48,1,21
2024-11-11,11.1,11.44,11.1,11.24,-0.53,78124.0,874472.99,-1,22
2024-11-10,10.83,11.3,10.82,11.3,2.36,107202.0,1206597.4,1,23
2024-11-06,11.02,11.28,11.02,11.04,-1.78,19800.0,220166.0,-1,24
2024-11-05,10.88,11.24,10.88,11.24,3.31,25918.0,287744.29,1,25
2024-10-30,11.22,11.3,10.81,10.88,-1.18,20094.0,222326.98,-1,26
2024-10-29,11.0,11.22,11.0,11.01,-0.9,11550.0,128072.5,-1,27
2024-10-28,11.0,11.11,10.96,11.11,1.93,11244.0,124353.2,1,28
2024-10-27,11.06,11.28,10.84,10.9,-3.37,15400.0,168204.0,-1,29
2024-10-24,11.0,11.28,11.0,11.28,0.53,80839.0,906820.92,1,30
2024-10-23,11.0,11.22,11.0,11.22,1.54,3256.0,35982.32,1,31
2024-10-22,11.0,11.05,10.93,11.05,1.38,60980.0,667683.5,1,32
2024-10-21,11.3,11.3,10.87,10.9,-3.54,41680.0,461410.2,-1,33
2024-10-20,11.39,11.39,11.08,11.3,0.71,299857.0,3388379.6,1,34
2024-10-17,11.1,11.44,11.1,11.22,2.0,104450.0,1172272.0,1,35
2024-10-16,11.29,11.3,11.0,11.0,-2.83,26000.0,288577.0,-1,36
2024-10-15,11.0,11.32,11.0,11.32,0.89,2500.0,28248.0,1,37
