published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-29,9.75,10.20,9.75,10.19,3.14,23800.00,241223.00,1,1
2025-06-26,9.8,9.88,9.8,9.88,0.61,500.0,4924.0,1,1
2025-06-25,9.75,9.94,9.75,9.82,0.61,7100.0,69664.0,1,1
2025-06-24,9.72,10.0,9.7,9.76,-1.01,81700.0,797476.4,-1,1
2025-06-23,9.84,10.0,9.84,9.86,-1.79,25420.0,253337.81,-1,1
2025-06-22,9.85,10.05,9.85,10.04,2.45,6018.0,59401.9,1,1
2025-06-19,9.8,9.9,9.8,9.8,0.0,22960.0,225018.2,0,1
2025-06-18,9.76,9.95,9.76,9.8,0.0,10600.0,105363.0,0,1
2025-06-17,9.8,9.8,9.8,9.8,-1.21,6875.0,67375.0,-1,1
2025-06-16,9.92,9.92,9.92,9.92,-1.98,600.0,5952.0,-1,1
2025-06-15,10.01,10.15,10.0,10.12,-0.59,4200.0,42148.0,-1,1
2025-06-12,9.82,10.19,9.82,10.18,1.8,7900.0,79546.5,1,1
2025-06-11,9.84,10.0,9.82,10.0,-0.1,900.0,8937.0,-1,1
2025-06-10,9.82,10.02,9.82,10.01,0.1,10350.0,103618.5,1,1
2025-06-09,10.0,10.0,10.0,10.0,0.4,800.0,8000.0,1,1
2025-06-08,9.95,10.0,9.95,9.96,-1.78,1300.0,12971.0,-1,1
2025-06-05,9.9,10.16,9.9,10.14,1.71,7020.0,70854.7,1,1
2025-06-04,9.76,10.04,9.66,9.97,2.15,5180.0,51534.7,1,1
2025-06-03,9.7,9.89,9.7,9.76,0.62,22980.0,226565.0,1,2
2025-06-02,9.63,9.82,9.63,9.7,0.0,650.0,6292.5,0,1
2025-05-28,9.5,9.83,9.5,9.7,0.94,1000.0,9696.0,1,1
2025-05-27,9.6,9.75,9.6,9.61,-1.44,1950.0,18752.0,-1,2
2025-05-26,9.78,9.78,9.75,9.75,-0.31,2410.0,23542.5,-1,1
2025-05-25,9.78,9.78,9.78,9.78,0.0,1200.0,11736.0,0,2
2025-05-22,9.9,10.0,9.75,9.78,-1.01,2710.0,26745.0,-1,3
2025-05-21,9.75,9.89,9.75,9.88,1.86,3500.0,34560.0,1,4
2025-05-20,9.65,9.72,9.65,9.7,0.52,3550.0,34397.0,1,5
2025-05-19,9.61,9.8,9.61,9.65,0.42,2000.0,19259.0,1,6
2025-05-18,9.61,9.63,9.61,9.61,-0.72,700.0,6737.0,-1,7
2025-05-15,9.46,9.69,9.46,9.68,0.41,235600.0,2278567.0,1,8
2025-05-14,9.63,9.82,9.63,9.64,-1.73,1125.0,10916.5,-1,9
2025-05-13,9.5,9.82,9.48,9.81,1.87,105900.0,1039674.0,1,10
2025-05-11,9.76,9.76,9.38,9.63,-3.22,1900.0,18245.0,-1,11
2025-05-08,9.94,9.95,9.76,9.95,1.95,105500.0,1048634.0,1,12
2025-05-07,9.76,9.76,9.57,9.76,1.99,6050.0,58951.5,1,13
2025-05-06,9.69,9.7,9.57,9.57,-1.24,4500.0,43212.0,-1,14
2025-05-05,9.7,9.88,9.69,9.69,-0.1,1100.0,10807.0,-1,15
2025-05-04,9.55,9.7,9.5,9.7,-0.41,3310.0,31651.0,-1,16
2025-04-30,9.54,9.74,9.54,9.74,0.21,15400.0,149805.0,1,17
2025-04-29,9.61,9.89,9.61,9.72,-0.82,900.0,8752.0,-1,18
2025-04-28,9.39,9.8,9.39,9.8,2.3,10100.0,98794.0,1,19
2025-04-27,9.51,9.58,9.33,9.58,-1.24,4500.0,42767.0,-1,20
2025-04-24,9.7,9.7,9.7,9.7,0.0,200.0,1940.0,0,21
2025-04-23,9.51,9.85,9.51,9.7,0.31,9375.0,91741.0,1,22
2025-04-22,9.5,9.67,9.49,9.67,2.44,2300.0,22106.0,1,23
2025-04-21,9.4,9.44,9.4,9.44,0.11,1200.0,11300.0,1,24
2025-04-20,9.4,9.58,9.4,9.43,-0.74,300.0,2841.0,-1,25
2025-04-17,9.4,9.5,9.4,9.5,-0.63,600.0,5661.0,-1,26
2025-04-16,9.35,9.64,9.35,9.56,1.06,2250.0,21568.0,1,27
2025-04-15,9.35,9.65,9.35,9.46,-0.32,4600.0,43562.0,-1,28
2025-04-13,9.28,9.49,9.28,9.49,2.04,500.0,4706.0,1,29
2025-04-10,9.3,9.48,9.18,9.3,-1.9,700.0,6508.0,-1,30
2025-04-09,9.16,9.48,9.16,9.48,1.94,206800.0,1959417.5,1,31
2025-04-08,9.11,9.35,9.11,9.3,1.53,2700.0,24865.0,1,32
2025-04-07,9.3,9.38,9.15,9.16,-0.43,7800.0,72668.0,-1,33
2025-04-03,9.09,9.24,9.09,9.2,-0.43,2720.0,24908.0,-1,34
2025-04-02,9.21,9.24,9.21,9.24,-0.65,200.0,1845.0,-1,35
2025-04-01,9.4,9.4,9.12,9.3,0.0,255600.0,2368826.0,0,36
2025-03-30,9.3,9.3,9.3,9.3,1.97,439275.0,4085257.5,1,37
2025-03-27,9.1,9.24,9.1,9.12,0.22,115000.0,1048100.0,1,38
2025-03-26,9.1,9.18,8.97,9.1,1.11,550700.0,4981369.0,1,39
2025-03-25,9.28,9.28,8.97,9.0,-1.1,370150.0,3362240.0,-1,40
2025-03-24,8.92,9.1,8.92,9.1,0.33,710000.0,6408627.0,1,41
2025-03-23,9.08,9.19,9.02,9.07,-1.09,151335.0,1373309.65,-1,42
2025-03-20,9.1,9.3,9.1,9.17,-0.54,35050.0,322914.5,-1,43
2025-03-19,9.25,9.25,9.22,9.22,-0.97,86000.0,793850.0,-1,44
2025-03-18,9.3,9.31,9.3,9.31,-1.79,900.0,8378.0,-1,45
2025-03-17,9.1,9.48,9.1,9.48,2.38,6850.0,64577.0,1,46
2025-03-16,9.35,9.35,9.2,9.26,-0.96,500.0,4633.0,-1,47
2025-03-12,9.17,9.4,9.17,9.35,0.43,1700.0,15854.0,1,48
2025-03-11,9.21,9.31,9.21,9.31,-0.64,2100.0,19511.0,-1,49
2025-03-10,9.55,9.55,9.37,9.37,-1.88,1200.0,11298.0,-1,50
2024-12-12,10.0,10.0,10.0,10.0,0.0,300.0,3000.0,0,1
2024-12-11,10.0,10.01,10.0,10.0,0.0,2500.0,25001.0,0,1
2024-12-10,10.0,10.01,10.0,10.0,0.0,800.0,8001.0,0,2
2024-12-09,10.0,10.0,10.0,10.0,0.0,500.0,5000.0,0,3
2024-12-08,10.0,10.05,10.0,10.0,0.0,1300.0,13011.0,0,4
2024-12-05,10.0,10.0,10.0,10.0,0.0,1700.0,17000.0,0,5
2024-12-04,10.0,10.01,10.0,10.0,0.0,800.0,8001.0,0,6
2024-12-03,10.0,10.1,10.0,10.0,-0.99,1000.0,10020.0,-1,7
2024-12-02,10.2,10.2,10.1,10.1,-0.98,2400.0,24420.0,-1,8
2024-12-01,10.2,10.35,10.2,10.2,0.0,1703.0,17475.6,0,9
2024-11-28,10.2,10.4,10.2,10.2,0.0,2300.0,23660.0,0,10
2024-11-27,10.4,10.81,10.2,10.2,0.0,11600.0,124436.0,0,11
2024-11-26,10.2,10.21,10.2,10.2,0.0,2200.0,22441.0,0,12
2024-11-25,10.21,10.21,10.2,10.2,-0.97,800.0,8164.0,-1,13
2024-11-24,10.22,10.35,10.02,10.3,2.79,78050.0,796432.5,1,14
2024-11-21,9.98,10.02,9.83,10.02,-1.57,1150.0,11387.0,-1,15
2024-11-20,9.47,10.18,9.46,10.18,5.6,14550.0,142095.0,1,16
2024-11-19,9.46,9.64,9.46,9.64,-0.1,1200.0,11414.0,-1,17
2024-11-17,9.9,10.0,9.65,9.65,-1.83,1200.0,11866.0,-1,18
2024-11-14,9.82,9.83,9.82,9.83,0.2,29500.0,289790.0,1,19
2024-11-13,9.9,9.9,9.81,9.81,-1.9,500.0,4934.0,-1,20
2024-11-12,9.56,10.13,9.48,10.0,2.88,586767.0,5889542.0,1,21
2024-11-11,9.7,9.89,9.7,9.72,2.21,50930.0,494143.7,1,22
2024-11-10,10.0,10.19,9.45,9.51,-6.76,13300.0,127978.0,-1,23
2024-11-06,9.46,10.2,9.46,10.2,5.7,866013.0,8796756.0,1,24
2024-11-05,9.26,9.65,9.13,9.65,4.21,9800.0,91624.0,1,25
2024-10-30,9.45,9.45,9.26,9.26,-0.11,3900.0,36199.0,-1,26
2024-10-29,9.53,9.53,9.25,9.27,-0.86,3800.0,35732.0,-1,27
2024-10-28,9.35,9.54,9.35,9.35,1.85,650.0,6126.0,1,28
2024-10-27,9.1,9.18,9.1,9.18,-0.33,1400.0,12834.0,-1,29
2024-10-24,9.3,9.3,9.13,9.21,-1.07,1400.0,12852.0,-1,30
2024-10-23,9.3,9.31,9.3,9.31,0.11,2010.0,18694.0,1,31
2024-10-22,9.3,9.31,9.3,9.3,0.0,1300.0,12092.0,0,32
2024-10-21,9.42,9.42,9.24,9.3,-3.12,2908.0,27049.0,-1,33
2024-10-20,9.44,9.62,9.44,9.6,0.1,6990.0,67090.0,1,34
2024-10-17,9.43,9.65,9.43,9.59,-0.31,10900.0,105117.0,-1,35
2024-10-16,9.55,9.77,9.55,9.62,0.42,27800.0,266712.0,1,36
2024-10-15,9.39,9.58,9.39,9.58,0.0,1300.0,12398.0,0,37
2024-10-08,9.4,9.58,9.4,9.58,1.91,700.0,6634.0,1,38
2024-10-07,9.38,9.42,9.38,9.4,-1.78,4755.0,44766.1,-1,39
2024-10-06,9.76,9.76,9.57,9.57,-3.82,23020.0,220339.4,-1,40
2024-10-02,10.35,10.35,9.76,9.95,-2.16,4200.0,41731.0,-1,41
2024-10-01,9.61,10.17,9.61,10.17,7.85,600.0,5917.0,1,42
2024-09-30,9.5,9.53,9.43,9.43,0.11,6300.0,59771.0,1,43
2024-09-29,9.42,9.5,9.42,9.42,-1.88,3500.0,33002.0,-1,44
2024-09-26,9.56,9.79,9.56,9.6,0.42,1504.0,14503.16,1,45
2024-09-25,9.56,9.56,9.56,9.56,0.0,1000.0,9560.0,0,46
2024-09-24,9.56,9.56,9.56,9.56,-0.1,500.0,4780.0,-1,47
2024-09-23,9.56,9.68,9.56,9.57,-0.31,41600.0,399435.0,-1,48
2024-09-22,9.56,9.7,9.56,9.6,0.0,37755.0,362449.0,0,49
2024-09-18,9.56,9.7,9.56,9.6,0.42,16400.0,157513.0,1,50
2024-09-16,9.75,9.9,9.56,9.56,-1.95,2000.0,19706.0,-1,51
2024-09-15,10.29,10.29,9.7,9.75,-5.25,2000.0,19635.0,-1,52
2024-09-12,10.47,10.54,10.29,10.29,-3.65,3800.0,39452.5,-1,53
2024-09-10,10.4,10.71,10.29,10.68,1.71,25600.0,269019.0,1,54
2024-09-09,10.6,10.7,10.38,10.5,-2.78,13130.0,138835.7,-1,55
2024-09-08,10.6,10.81,10.45,10.8,1.89,8200.0,87977.0,1,56
2024-09-05,10.8,10.8,10.28,10.6,-2.66,5000.0,53114.0,-1,57
2024-09-04,10.91,10.91,10.49,10.89,1.78,16300.0,174064.0,1,58
2024-09-03,10.5,10.74,10.5,10.7,0.0,11070.0,117762.6,0,59
2024-09-02,10.72,10.72,10.5,10.7,0.0,485600.0,5194016.0,0,60
2024-09-01,10.31,10.93,10.31,10.7,5.84,515404.0,5561362.08,1,61
2024-08-29,10.1,10.71,10.01,10.11,-1.84,39044.0,396003.48,-1,62
2024-08-28,9.95,10.36,9.95,10.3,1.48,6400.0,64968.0,1,63
2024-08-27,10.4,10.4,10.15,10.15,-2.5,8000.0,82145.0,-1,64
2024-08-25,10.56,10.57,10.37,10.41,-2.25,15180.0,159010.0,-1,65
2024-08-22,10.48,10.7,10.3,10.65,-0.37,25650.0,273450.0,-1,66
2024-08-21,10.1,10.69,10.1,10.69,4.5,38350.0,400395.3,1,67
2024-08-18,10.5,10.84,10.11,10.23,-3.76,70950.0,726386.0,-1,68
2024-08-15,9.93,10.63,9.93,10.63,5.14,93810.0,951269.8,1,69
2024-08-14,10.02,10.3,10.02,10.11,-0.1,4100.0,41299.0,-1,70
2024-08-13,10.39,10.39,9.99,10.12,-4.53,5420.0,54890.4,-1,71
2024-08-12,10.0,10.6,9.91,10.6,5.37,19100.0,197444.0,1,72
2024-08-11,9.79,10.36,9.79,10.06,0.8,25027.0,256920.1,1,73
2024-08-08,9.76,10.14,9.76,9.98,0.3,9320.0,93066.0,1,74
2024-08-07,9.82,10.1,9.82,9.95,-0.5,3100.0,30937.0,-1,75
2024-08-06,10.19,10.39,9.99,10.0,0.0,31600.0,319366.0,0,76
2024-08-05,10.07,10.25,9.92,10.0,-2.34,515300.0,5197600.0,-1,77
2024-08-01,9.85,10.24,9.85,10.24,2.71,16740.0,169561.4,1,78
2024-07-31,10.0,10.1,9.86,9.97,-0.3,6200.0,62161.0,-1,79
2024-07-30,10.05,10.31,9.33,10.0,-2.25,302799.0,2973192.67,-1,80
2024-07-29,10.0,10.23,10.0,10.23,2.3,53500.0,540063.0,1,81
2024-07-28,10.0,10.1,9.91,10.0,-0.99,2400.0,24002.0,-1,82
2024-07-25,9.87,10.1,9.87,10.1,0.3,4060.0,40665.0,1,83
2024-07-24,9.86,10.07,9.67,10.07,0.2,35250.0,346819.0,1,84
2024-07-23,10.0,10.05,9.83,10.05,0.3,13100.0,129915.0,1,85
2024-07-22,9.87,10.02,9.87,10.02,1.52,7710.0,77058.5,1,86
2024-07-21,9.51,9.87,9.5,9.87,1.75,511410.0,5016469.2,1,87
2024-07-18,9.79,9.9,9.7,9.7,0.0,2300.0,22630.0,0,88
2024-07-17,9.41,9.7,9.23,9.7,1.04,98650.0,925240.5,1,89
2024-07-16,9.94,9.94,9.6,9.6,-5.33,1000.0,9724.0,-1,90
2024-07-15,9.58,10.34,9.58,10.14,7.87,2480.0,25055.0,1,91
2024-07-14,9.26,9.44,9.19,9.4,-0.42,22600.0,211192.0,-1,92
2024-07-11,9.18,9.44,9.18,9.44,1.94,502300.0,4691462.01,1,93
2024-07-10,9.26,9.3,9.26,9.26,-0.64,4500.0,41790.0,-1,94
2024-07-09,9.5,9.5,9.32,9.32,-2.0,200.0,1882.0,-1,95
2024-07-08,9.6,9.65,9.51,9.51,-0.94,6170.0,59394.5,-1,96
2024-07-07,9.26,9.6,9.26,9.6,2.02,500.0,4722.0,1,97
2024-07-04,9.28,9.58,9.28,9.41,-0.53,3400.0,32289.0,-1,98
2024-07-03,9.4,9.58,9.4,9.46,-1.25,3701.0,35301.58,-1,99
2024-07-02,9.3,9.58,9.3,9.58,3.01,7500.0,70366.0,1,100
2024-07-01,8.81,9.3,8.81,9.3,3.91,1290.0,11707.0,1,101
2024-06-30,8.9,9.0,8.87,8.95,1.47,700.0,6262.0,1,102
2024-06-27,8.82,8.82,8.82,8.82,-1.34,100.0,882.0,-1,103
2024-06-26,8.87,9.07,8.87,8.94,1.48,1200.0,10733.0,1,104
2024-06-25,8.86,8.89,8.72,8.81,1.38,1100.0,9730.0,1,105
2024-06-24,8.6,8.85,8.6,8.69,-0.69,3200.0,28131.0,-1,106
2024-06-23,8.79,8.79,8.64,8.75,-2.34,300.0,2618.0,-1,107
2024-06-20,9.12,9.12,8.94,8.96,-3.66,400.0,3612.0,-1,108
2024-06-19,9.1,9.3,9.1,9.3,1.53,500.0,4620.0,1,109
2024-06-18,9.03,9.21,9.03,9.16,-0.43,700.0,6395.0,-1,110
2024-06-16,9.2,9.2,9.02,9.2,-1.92,1100.0,10102.0,-1,111
2024-06-13,9.2,9.38,9.04,9.38,0.86,2100.0,19162.0,1,112
2024-06-12,9.08,9.3,9.08,9.3,0.43,500.0,4611.0,1,113
2024-06-11,9.25,9.42,9.25,9.26,0.0,6471.0,59952.46,0,114
2024-06-10,9.21,9.26,9.21,9.26,0.33,1000.0,9246.0,1,115
2024-06-09,9.0,9.28,9.0,9.23,2.56,7230.0,66802.0,1,116
2024-06-06,8.85,9.04,8.85,9.0,0.0,4100.0,36950.0,0,117
2024-06-05,8.86,9.0,8.86,9.0,0.56,500.0,4459.0,1,118
2024-06-04,8.88,9.12,8.88,8.95,-0.44,1604.0,14355.48,-1,119
2024-06-03,8.98,8.99,8.98,8.99,0.22,600.0,5389.0,1,120
2024-06-02,8.78,8.97,8.78,8.97,0.79,850.0,7526.5,1,121
2024-05-30,8.91,9.0,8.75,8.9,-0.11,10500.0,93586.0,-1,122
2024-05-29,9.0,9.0,8.82,8.91,0.22,2400.0,21538.0,1,123
2024-05-27,8.75,8.89,8.72,8.89,1.6,1400.0,12262.0,1,124
2024-05-26,9.0,9.1,8.73,8.75,-2.78,4925.0,44022.25,-1,125
2024-05-22,8.88,9.0,8.88,9.0,1.12,400.0,3566.0,1,126
2024-05-21,8.66,8.95,8.66,8.9,1.02,2600.0,23117.0,1,127
2024-05-20,8.75,8.97,8.66,8.81,0.0,1400.0,12403.0,0,128
2024-05-19,8.44,8.81,8.44,8.81,2.68,3720.0,32584.2,1,129
2024-05-16,8.84,8.84,8.51,8.58,-1.04,3200.0,27676.0,-1,130
2024-05-15,8.67,8.84,8.67,8.67,0.12,1100.0,9574.0,1,131
2024-05-14,8.73,8.73,8.56,8.66,1.05,600.0,5182.0,1,132
2024-05-13,8.5,8.58,8.5,8.57,0.12,5750.0,49258.5,1,133
2024-05-12,8.6,8.6,8.56,8.56,-1.27,500.0,4288.0,-1,134
2024-05-09,8.65,8.82,8.65,8.67,0.12,1900.0,16544.0,1,135
2024-05-08,8.67,8.7,8.66,8.66,0.0,650.0,5636.0,0,136
2024-05-07,8.65,8.83,8.65,8.66,-1.59,650.0,5645.0,-1,137
2024-05-06,8.62,8.8,8.62,8.8,1.97,1600.0,14047.0,1,138
2024-05-05,8.6,8.65,8.6,8.63,-0.23,949.0,8185.37,-1,139
2024-05-02,8.55,8.65,8.55,8.65,-0.69,320.0,2758.0,-1,140
