published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-25,553.00,559.90,544.20,552.53,0.07,114130.00,62710384.10,1,1
2025-06-24,534.7,556.0,534.7,552.15,1.21,153657.0,84892119.2,1,1
2025-06-23,533.0,547.0,533.0,545.53,1.45,90516.0,48966050.1,1,1
2025-06-22,547.0,548.0,536.6,537.71,-1.41,161978.0,87509426.6,-1,1
2025-06-19,550.0,566.0,544.8,545.38,-1.6,239147.0,131661173.1,-1,1
2025-06-18,550.1,560.0,550.1,554.22,0.4,152577.0,84847515.8,1,1
2025-06-17,553.0,559.0,546.1,552.0,-0.59,192232.0,105946030.4,-1,1
2025-06-16,576.5,579.0,554.1,555.26,-2.12,350637.0,198651494.2,-1,1
2025-06-15,567.0,578.0,554.0,567.27,1.94,481515.0,272819129.3,1,1
2025-06-12,565.0,578.9,551.1,556.5,-1.05,489575.0,277990620.8,-1,1
2025-06-11,545.0,568.0,531.0,562.43,4.97,538645.0,297568565.9,1,1
2025-06-10,535.0,543.5,533.1,535.78,0.46,148823.0,79923950.8,1,1
2025-06-09,526.0,535.5,526.0,533.34,1.58,166464.0,88519416.3,1,1
2025-06-08,518.0,526.0,518.0,525.06,1.15,128194.0,67099499.6,1,1
2025-06-05,528.3,528.3,512.7,519.09,0.21,73982.0,38324142.4,1,1
2025-06-04,519.0,520.0,515.0,517.99,-0.23,70342.0,36376840.1,-1,1
2025-06-03,507.8,528.0,507.8,519.17,0.2,80316.0,41660163.8,1,2
2025-06-02,525.0,535.0,517.0,518.12,-0.34,115392.0,60316339.6,-1,1
2025-05-28,519.7,525.0,515.1,519.91,0.63,162823.0,84555562.1,1,1
2025-05-27,521.0,527.0,516.0,516.66,-0.78,135879.0,70582573.8,-1,2
2025-05-26,532.6,536.0,520.0,520.72,-0.28,76379.0,39970347.3,-1,1
2025-05-25,518.0,529.8,518.0,522.2,-0.13,109235.0,57227438.3,-1,2
2025-05-22,524.0,541.9,521.0,522.89,-0.69,195256.0,103535315.8,-1,3
2025-05-21,543.6,554.4,523.0,526.53,-1.21,211130.0,113432232.1,-1,4
2025-05-20,524.0,540.7,518.1,532.99,1.88,115389.0,61143874.9,1,5
2025-05-19,516.0,525.0,516.0,523.14,1.24,92251.0,48091250.7,1,6
2025-05-18,515.0,522.0,515.0,516.71,0.62,115475.0,59704865.0,1,7
2025-05-15,513.0,517.9,512.0,513.51,0.23,93657.0,48207860.5,1,8
2025-05-14,520.8,525.0,510.6,512.34,-1.62,92054.0,47491923.3,-1,9
2025-05-13,508.8,536.0,508.8,520.76,0.32,148731.0,77894334.0,1,10
2025-05-11,538.5,540.0,518.0,519.09,-2.73,210551.0,110861763.4,-1,11
2025-05-08,542.0,542.0,528.2,533.66,-0.47,250898.0,134280784.4,-1,12
2025-05-07,545.0,545.0,535.0,536.2,0.34,378784.0,204539979.8,1,13
2025-05-06,513.7,540.0,510.0,534.37,6.1,530825.0,280999322.0,1,14
2025-05-05,495.0,510.0,495.0,503.65,0.0,78347.0,39468315.4,0,15
2025-05-04,511.4,516.0,502.0,503.63,0.45,163874.0,83111181.4,1,16
2025-04-30,500.0,505.0,499.0,501.38,0.61,92232.0,46282770.4,1,17
2025-04-29,498.0,505.0,496.0,498.35,0.01,51350.0,25654745.5,1,18
2025-04-28,501.0,506.0,496.0,498.3,0.04,91326.0,45643927.2,1,19
2025-04-27,500.0,509.0,497.0,498.08,-0.29,135060.0,67751099.5,-1,20
2025-04-24,500.3,503.0,496.2,499.54,-0.4,91641.0,45785197.9,-1,21
2025-04-23,509.0,510.8,500.0,501.55,-1.21,112164.0,56575638.4,-1,22
2025-04-22,512.0,515.0,507.4,507.67,-0.15,78303.0,39923253.5,-1,23
2025-04-21,499.5,516.9,499.5,508.43,-0.17,118938.0,60831143.5,-1,24
2025-04-20,515.0,515.5,508.0,509.32,-1.0,109876.0,56238305.1,-1,25
2025-04-17,505.0,520.0,503.0,514.48,1.91,172240.0,88461710.5,1,26
2025-04-16,502.0,507.0,497.3,504.85,0.62,83124.0,41694514.3,1,27
2025-04-15,498.1,505.0,498.1,501.76,0.09,53995.0,27148963.8,1,28
2025-04-13,500.1,506.9,499.0,501.3,0.35,61696.0,30871635.0,1,29
2025-04-10,505.0,508.0,497.0,499.55,0.14,54712.0,27337570.7,1,30
2025-04-09,500.0,502.5,497.0,498.85,0.14,51485.0,25726853.3,1,31
2025-04-08,498.0,499.0,494.8,498.15,-0.34,62250.0,30892210.2,-1,32
2025-04-07,503.0,504.0,499.0,499.83,-0.76,121126.0,60666467.2,-1,33
2025-04-03,505.6,508.9,503.1,503.65,-0.11,101981.0,51496191.2,-1,34
2025-04-02,513.8,513.8,498.5,504.2,0.08,45920.0,23166461.0,1,35
2025-04-01,509.4,509.8,498.0,503.78,0.22,62305.0,31253857.5,1,36
2025-03-30,500.1,510.0,497.5,502.65,0.49,109490.0,55324390.4,1,37
2025-03-27,493.0,501.2,493.0,500.19,1.94,89465.0,44455116.5,1,38
2025-03-26,488.0,492.0,483.3,490.69,0.97,62277.0,30489315.1,1,39
2025-03-25,495.5,498.0,485.1,485.98,-2.52,102003.0,49786250.3,-1,40
2025-03-24,495.0,500.0,490.0,498.53,0.66,72403.0,35969392.4,1,41
2025-03-23,505.0,505.4,495.0,495.28,-1.96,120141.0,59987108.5,-1,42
2025-03-20,506.0,508.0,505.0,505.16,-0.21,98384.0,49743796.0,-1,43
2025-03-19,507.5,511.0,506.0,506.2,-0.26,65663.0,33314992.1,-1,44
2025-03-18,510.0,510.0,506.6,507.5,-0.29,63255.0,32147456.3,-1,45
2025-03-17,507.0,512.0,505.2,509.0,0.39,97293.0,49398742.4,1,46
2025-03-16,508.0,510.0,505.3,507.0,-0.59,133850.0,67859950.3,-1,47
2025-03-12,505.0,515.0,505.0,510.0,0.39,101201.0,51621804.1,1,48
2025-03-11,518.0,518.0,507.7,508.0,-0.39,147940.0,75438814.1,-1,49
2025-03-10,512.0,522.0,508.6,510.0,-0.39,141104.0,72157813.9,-1,50
2024-12-12,499.0,507.0,495.0,495.0,-0.8,64297.0,32140880.6,-1,1
2024-12-11,488.2,501.0,486.6,499.0,1.84,73879.0,36467016.2,1,1
2024-12-10,490.0,495.0,480.3,490.0,0.2,118930.0,58092410.6,1,2
2024-12-09,495.0,499.9,487.3,489.0,-0.81,99902.0,49131011.0,-1,3
2024-12-08,500.0,501.9,490.6,493.0,-1.6,136069.0,67349641.3,-1,4
2024-12-05,508.1,514.0,500.1,501.0,-2.34,102587.0,51935377.6,-1,5
2024-12-04,512.2,520.0,512.2,513.0,0.18,97363.0,50254730.1,1,6
2024-12-03,510.0,519.0,510.0,512.1,0.41,103722.0,53392573.7,1,7
2024-12-02,518.1,520.0,509.1,510.0,-0.97,129564.0,66653103.1,-1,8
2024-12-01,518.0,525.0,515.0,515.0,-2.28,110407.0,57279080.2,-1,9
2024-11-28,535.0,535.0,523.1,527.0,-0.94,91270.0,48132013.5,-1,10
2024-11-27,525.0,535.0,523.0,532.0,1.33,114132.0,60481229.0,1,11
2024-11-26,521.0,525.0,513.0,525.0,2.36,106676.0,55174093.5,1,12
2024-11-25,513.6,519.7,509.0,512.9,-0.29,132769.0,68074966.5,-1,13
2024-11-24,525.2,529.0,510.2,514.4,-1.81,127041.0,65894509.5,-1,14
2024-11-21,531.0,540.0,522.0,523.9,-1.34,135170.0,71227722.3,-1,15
2024-11-20,540.0,540.0,523.1,531.0,0.17,135017.0,71757046.5,1,16
2024-11-19,555.0,555.0,530.1,530.1,-3.6,225034.0,121396415.0,-1,17
2024-11-17,560.0,560.0,548.0,549.9,-0.02,169859.0,94055505.0,-1,18
2024-11-14,549.1,558.0,548.0,550.0,0.02,216947.0,119732321.3,1,19
2024-11-13,558.9,558.9,545.0,549.9,0.35,140635.0,77107508.1,1,20
