published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-04-06,216.00,223.00,212.00,219.00,0.00,278.00,61176.00,0,1
2017-04-04,228.00,224.00,216.00,216.00,0.00,207.00,45340.00,0,2
2017-04-03,228.00,228.00,228.00,228.00,0.00,46.00,10488.00,0,3
2017-03-30,236.00,232.00,228.00,228.00,0.00,826.00,189162.00,0,4
2017-03-29,224.00,236.00,228.00,236.00,0.00,292.00,67484.00,0,5
2017-03-26,212.00,228.00,216.00,224.00,0.00,1193.00,263232.00,0,6
2017-03-23,218.00,220.00,208.00,212.00,0.00,335.00,71100.00,0,7
2017-03-22,214.00,218.00,215.00,218.00,0.00,180.00,38930.00,0,8
2017-03-21,202.00,214.00,201.00,214.00,0.00,370.00,77330.00,0,9
2017-03-20,202.00,210.00,202.00,202.00,0.00,594.00,122498.00,0,10
2017-03-19,206.00,205.00,202.00,202.00,0.00,148.00,30001.00,0,11
2017-03-16,202.00,206.00,200.00,206.00,0.00,535.00,108110.00,0,12
2017-03-15,207.00,205.00,202.00,202.00,0.00,315.00,64130.00,0,13
2017-03-14,211.00,211.00,207.00,207.00,0.00,218.00,45198.00,0,14
2017-03-13,213.00,215.00,209.00,211.00,0.00,222.00,46874.00,0,15
2017-03-09,217.00,213.00,213.00,213.00,0.00,10.00,2130.00,0,16
2017-03-07,217.00,221.00,217.00,217.00,0.00,109.00,24049.00,0,17
2017-03-05,221.00,217.00,217.00,217.00,0.00,100.00,21700.00,0,18
2017-03-02,225.00,221.00,221.00,221.00,0.00,50.00,11050.00,0,19
2017-03-01,225.00,226.00,225.00,225.00,0.00,186.00,41868.00,0,20
2017-02-22,225.00,225.00,225.00,225.00,0.00,85.00,19125.00,0,21
2017-02-21,226.00,225.00,225.00,225.00,0.00,70.00,15750.00,0,22
2017-02-20,226.00,230.00,226.00,226.00,0.00,140.00,32000.00,0,23
2017-02-19,223.00,226.00,226.00,226.00,0.00,121.00,27346.00,0,24
2017-02-16,218.00,223.00,215.00,223.00,0.00,456.00,99760.00,0,25
2017-02-15,206.00,222.00,210.00,218.00,0.00,207.00,44966.00,0,26
2017-02-14,202.00,206.00,202.00,206.00,0.00,827.00,169144.00,0,27
2017-02-13,207.00,203.00,199.00,202.00,0.00,170.00,34270.00,0,28
2017-02-12,211.00,210.00,207.00,207.00,0.00,270.00,55950.00,0,29
2017-02-09,226.00,222.00,211.00,211.00,0.00,1146.00,247722.00,0,30
2017-02-08,233.00,229.00,226.00,226.00,0.00,238.00,54253.00,0,31
2017-02-07,236.00,233.00,233.00,233.00,0.00,44.00,10252.00,0,32
2017-02-06,248.00,244.00,236.00,236.00,0.00,220.00,52660.00,0,33
2017-02-05,257.00,252.00,248.00,248.00,0.00,197.00,48936.00,0,34
2017-02-02,240.00,257.00,244.00,257.00,0.00,455.00,111310.00,0,35
2017-02-01,242.00,244.00,236.00,240.00,0.00,126.00,30140.00,0,36
2017-01-31,246.00,242.00,242.00,242.00,0.00,40.00,9680.00,0,37
2017-01-26,250.00,250.00,238.00,246.00,0.00,389.00,95393.00,0,38
2017-01-25,251.00,255.00,246.00,250.00,0.00,817.00,205750.00,0,39
2017-01-24,238.00,256.00,239.00,251.00,0.00,2119.00,526972.00,0,40
2017-01-23,241.00,242.00,238.00,238.00,0.00,227.00,54402.00,0,41
2017-01-22,245.00,245.00,241.00,241.00,0.00,81.00,19561.00,0,42
2017-01-19,241.00,245.00,240.00,245.00,0.00,210.00,50910.00,0,43
2017-01-18,245.00,245.00,241.00,241.00,0.00,200.00,48272.00,0,44
2017-01-17,250.00,245.00,245.00,245.00,0.00,46.00,11270.00,0,45
2017-01-16,248.00,250.00,249.00,250.00,0.00,20.00,4990.00,0,46
2017-01-15,244.00,248.00,248.00,248.00,0.00,70.00,17360.00,0,47
2017-01-10,245.00,244.00,240.00,244.00,0.00,141.00,34159.00,0,48
2017-01-09,253.00,253.00,245.00,245.00,0.00,263.00,65804.00,0,49
2017-01-08,243.00,253.00,245.00,253.00,0.00,220.00,54460.00,0,50
2017-01-05,239.00,243.00,243.00,243.00,0.00,35.00,8505.00,0,51
2017-01-04,241.00,240.00,237.00,239.00,0.00,230.00,54910.00,0,52
2017-01-03,260.00,255.00,241.00,241.00,0.00,435.00,106980.00,0,53
2017-01-02,270.00,265.00,260.00,260.00,0.00,45.00,11875.00,0,54
2017-01-01,270.00,270.00,270.00,270.00,0.00,36.00,9720.00,0,55
2016-12-29,270.00,270.00,265.00,270.00,0.00,91.00,24520.00,0,56
2016-12-21,280.00,275.00,270.00,270.00,0.00,696.00,190960.00,0,57
2016-12-20,283.00,280.00,280.00,280.00,0.00,20.00,5600.00,0,58
2016-12-12,278.00,283.00,283.00,283.00,0.00,20.00,5660.00,0,59
2016-12-08,273.00,278.00,278.00,278.00,0.00,150.00,41700.00,0,60
2016-12-07,275.00,273.00,270.00,273.00,0.00,274.00,74202.00,0,61
2016-12-06,275.00,275.00,270.00,275.00,0.00,55.00,15025.00,0,62
2016-12-05,277.00,275.00,275.00,275.00,0.00,10.00,2750.00,0,63
2016-12-01,257.00,277.00,262.00,277.00,0.00,200.00,54020.00,0,64
2016-11-30,257.00,261.00,256.00,257.00,0.00,367.00,95132.00,0,65
2016-11-29,260.00,257.00,257.00,257.00,0.00,35.00,8995.00,0,66
2016-11-28,265.00,260.00,260.00,260.00,0.00,10.00,2600.00,0,67
2016-11-27,265.00,265.00,260.00,265.00,0.00,107.00,27972.00,0,68
2016-11-24,275.00,270.00,265.00,265.00,0.00,76.00,20315.00,0,69
2016-11-23,278.00,275.00,275.00,275.00,0.00,32.00,8800.00,0,70
2016-11-22,288.00,283.00,278.00,278.00,0.00,205.00,57790.00,0,71
2016-11-21,285.00,288.00,288.00,288.00,0.00,10.00,2880.00,0,72
2016-11-20,275.00,285.00,280.00,285.00,0.00,53.00,14930.00,0,73
2016-11-17,275.00,275.00,272.00,275.00,0.00,24.00,6570.00,0,74
2016-11-16,290.00,290.00,275.00,275.00,0.00,180.00,51525.00,0,75
2016-11-15,294.00,290.00,290.00,290.00,0.00,56.00,16240.00,0,76
2016-11-14,306.00,300.00,294.00,294.00,0.00,144.00,42600.00,0,77
2016-11-13,297.00,306.00,300.00,306.00,0.00,28.00,8508.00,0,78
2016-11-10,299.00,303.00,297.00,297.00,0.00,1474.00,439362.00,0,79
2016-11-08,304.00,305.00,299.00,299.00,0.00,235.00,71465.00,0,80
2016-11-07,305.00,310.00,304.00,304.00,0.00,375.00,114310.00,0,81
2016-11-03,311.00,305.00,305.00,305.00,0.00,50.00,15250.00,0,82
2016-10-27,296.00,311.00,301.00,311.00,0.00,212.00,64730.00,0,83
2016-10-26,295.00,300.00,296.00,296.00,0.00,59.00,17520.00,0,84
2016-10-25,300.00,295.00,295.00,295.00,0.00,71.00,20945.00,0,85
2016-10-24,300.00,300.00,300.00,300.00,0.00,163.00,48900.00,0,86
2016-10-23,300.00,300.00,300.00,300.00,0.00,70.00,21000.00,0,87
2016-10-20,303.00,305.00,300.00,300.00,0.00,800.00,243500.00,0,88
2016-10-19,307.00,304.00,298.00,303.00,0.00,564.00,169875.00,0,89
2016-10-18,303.00,307.00,301.00,307.00,0.00,218.00,66156.00,0,90
2016-10-17,313.00,319.00,303.00,303.00,0.00,1219.00,385015.00,0,91
2016-10-16,314.00,319.00,313.00,313.00,0.00,453.00,142586.00,0,92
2016-10-06,310.00,314.00,314.00,314.00,0.00,500.00,157000.00,0,93
2016-10-05,306.00,310.00,301.00,310.00,0.00,728.00,224468.00,0,94
2016-10-04,305.00,306.00,300.00,306.00,0.00,61.00,18360.00,0,95
2016-10-03,303.00,305.00,300.00,305.00,0.00,394.00,119192.00,0,96
2016-10-02,305.00,303.00,297.00,303.00,0.00,897.00,267901.00,0,97
2016-09-29,311.00,311.00,305.00,305.00,0.00,163.00,50455.00,0,98
2016-09-28,300.00,312.00,295.00,311.00,0.00,1397.00,429474.00,0,99
2016-09-27,300.00,305.00,289.00,300.00,0.00,2166.00,649665.00,0,100
2016-09-26,303.00,306.00,300.00,300.00,0.00,70.00,21084.00,0,101
2016-09-25,312.00,310.00,303.00,303.00,0.00,281.00,86383.00,0,102
2016-09-22,312.00,312.00,308.00,312.00,0.00,326.00,101580.00,0,103
2016-09-21,310.00,312.00,304.00,312.00,0.00,347.00,106538.00,0,104
2016-09-20,315.00,315.00,305.00,310.00,0.00,550.00,170226.00,0,105
2016-09-18,321.00,325.00,315.00,315.00,0.00,1100.00,350639.00,0,106
2016-09-14,314.00,321.00,309.00,321.00,0.00,837.00,260177.00,0,107
2016-09-12,313.00,315.00,309.00,314.00,0.00,2308.00,716508.00,0,108
2016-09-11,317.00,326.00,310.00,313.00,0.00,2754.00,867034.00,0,109
2016-09-08,323.00,321.00,311.00,317.00,0.00,565.00,179322.00,0,110
2016-09-07,314.00,323.00,310.00,323.00,0.00,699.00,222323.00,0,111
2016-09-06,320.00,320.00,314.00,314.00,0.00,379.00,120497.00,0,112
2016-09-05,308.00,326.00,300.00,320.00,0.00,2082.00,653708.00,0,113
2016-09-04,315.00,315.00,308.00,308.00,0.00,363.00,113110.00,0,114
2016-09-03,315.00,315.00,308.00,308.00,0.00,363.00,113110.00,0,115
2016-09-01,312.00,320.00,306.00,315.00,0.00,908.00,285464.00,0,116
2016-08-31,308.00,314.00,300.00,312.00,0.00,806.00,247078.00,0,117
2016-08-30,301.00,308.00,300.00,308.00,0.00,495.00,150380.00,0,118
2016-08-29,300.00,306.00,301.00,301.00,0.00,45.00,13720.00,0,119
2016-08-28,307.00,301.00,300.00,300.00,0.00,50.00,15035.00,0,120
2016-08-24,302.00,308.00,300.00,307.00,0.00,230.00,69906.00,0,121
2016-08-23,307.00,313.00,301.00,302.00,0.00,576.00,175179.00,0,122
2016-08-22,301.00,307.00,300.00,307.00,0.00,840.00,254935.00,0,123
2016-08-21,310.00,307.00,300.00,301.00,0.00,1817.00,547115.00,0,124
2016-08-17,312.00,324.00,306.00,310.00,0.00,1826.00,572814.00,0,125
2016-08-16,312.00,318.00,310.00,312.00,0.00,270.00,84280.00,0,126
2016-08-15,323.00,319.00,312.00,312.00,0.00,800.00,251543.00,0,127
2016-08-14,340.00,335.00,323.00,323.00,0.00,929.00,306055.00,0,128
2016-08-11,348.00,343.00,335.00,340.00,0.00,2840.00,963530.00,0,129
2016-08-10,330.00,348.00,319.00,348.00,0.00,3084.00,1024989.00,0,130
2016-08-08,348.00,342.00,330.00,330.00,0.00,80.00,26730.00,0,131
2016-08-07,355.00,373.00,348.00,348.00,0.00,1553.00,556090.00,0,132
2016-08-04,372.00,371.00,355.00,355.00,0.00,1127.00,410841.00,0,133
2016-08-03,379.00,380.00,355.00,372.00,0.00,1741.00,640786.00,0,134
2016-08-02,367.00,380.00,367.00,379.00,0.00,2933.00,1102977.00,0,135
2016-08-01,382.00,380.00,366.00,367.00,0.00,2120.00,783580.00,0,136
2016-07-31,386.00,390.00,375.00,382.00,0.00,699.00,269229.00,0,137
2016-07-28,385.00,399.00,375.00,386.00,0.00,3062.00,1185814.00,0,138
2016-07-27,376.00,408.00,383.00,385.00,0.00,8540.00,3410718.00,0,139
2016-07-26,342.00,376.00,342.00,376.00,0.00,3598.00,1319047.00,0,140
2016-07-25,315.00,346.00,315.00,342.00,0.00,5018.00,1706054.00,0,141
2016-07-21,309.00,315.00,300.00,315.00,0.00,2178.00,658523.00,0,142
2016-07-20,325.00,320.00,309.00,309.00,0.00,386.00,120324.00,0,143
