published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1119.00,1150.00,1119.00,1150.00,2.72,145.00,164595.00,1,1
2024-12-03,1119.50,1119.50,1119.50,1119.50,2.00,35.00,39182.50,1,2
2024-12-01,1097.60,1097.60,1097.60,1097.60,2.00,100.00,109760.00,1,3
2024-11-24,1077.50,1077.50,1076.10,1076.10,0.48,100.00,107670.00,1,4
2024-11-21,1088.00,1088.00,1071.00,1071.00,-1.56,250.00,270032.50,-1,5
2024-11-17,1088.00,1088.00,1088.00,1088.00,-0.18,45.00,48960.00,-1,6
2024-11-12,1090.00,1090.00,1090.00,1090.00,0.00,25.00,27250.00,0,7
2024-11-06,1090.00,1090.00,1090.00,1090.00,1.40,25.00,27250.00,1,8
2024-10-29,1075.00,1075.00,1075.00,1075.00,0.47,25.00,26875.00,1,9
2024-10-28,1070.00,1070.00,1070.00,1070.00,0.56,45.00,48150.00,1,10
2024-10-27,1064.00,1064.00,1064.00,1064.00,-0.56,100.00,106400.00,-1,11
2024-10-24,1070.00,1070.00,1070.00,1070.00,0.47,195.00,208650.00,1,12
2024-10-21,1065.00,1065.00,1065.00,1065.00,0.45,25.00,26625.00,1,13
2024-10-16,1060.20,1060.20,1060.20,1060.20,0.02,290.00,307458.00,1,14
2024-10-09,1059.50,1060.00,1059.50,1060.00,0.09,50.00,52987.50,1,15
2024-09-30,1059.00,1059.00,1059.00,1059.00,0.66,25.00,26475.00,1,16
2024-09-26,1052.10,1052.10,1052.10,1052.10,-0.18,10.00,10521.00,-1,17
2024-09-25,1054.00,1054.00,1054.00,1054.00,-1.95,15.00,15810.00,-1,18
2024-09-23,1075.00,1075.00,1075.00,1075.00,-0.92,50.00,53750.00,-1,19
2024-09-22,1085.00,1085.00,1085.00,1085.00,0.00,50.00,54250.00,0,20
2024-09-16,1085.00,1085.00,1085.00,1085.00,-1.36,50.00,54250.00,-1,21
2024-09-12,1096.00,1100.00,1090.00,1100.00,2.33,209.00,229600.00,1,22
2024-09-11,1075.00,1075.00,1075.00,1075.00,0.00,75.00,80625.00,0,23
2024-09-10,1075.00,1077.00,1062.00,1075.00,-0.14,275.00,295472.00,-1,24
2024-09-09,1076.50,1076.50,1076.50,1076.50,1.56,10000.00,10765000.00,1,25
2024-09-08,1040.50,1060.00,1040.50,1060.00,0.95,47.00,49332.50,1,26
2024-09-05,1039.20,1050.00,1039.20,1050.00,-0.94,50.00,52230.00,-1,27
2024-09-03,1060.00,1060.00,1060.00,1060.00,0.00,2.00,2120.00,0,28
2024-09-01,1035.10,1060.00,1028.00,1060.00,1.87,231.00,241108.50,1,29
2024-08-29,1040.50,1040.50,1040.50,1040.50,0.42,25.00,26012.50,1,30
2024-08-28,1036.10,1036.10,1036.10,1036.10,-0.28,25.00,25902.50,-1,31
2024-08-22,1060.00,1060.00,1039.00,1039.00,-0.10,153.00,160350.00,-1,32
2024-08-21,1040.00,1040.00,1040.00,1040.00,0.00,85.00,88400.00,0,33
2024-08-14,1034.00,1040.00,1033.60,1040.00,0.58,265.00,275267.50,1,34
2024-08-13,1040.00,1055.00,1034.00,1034.00,-0.10,175.00,181650.00,-1,35
2024-08-12,1035.00,1035.00,1035.00,1035.00,-1.43,25.00,25875.00,-1,36
2024-08-11,1044.00,1050.00,1044.00,1050.00,0.57,50.00,52350.00,1,37
2024-08-08,1086.30,1086.30,1044.00,1044.00,-7.69,261.00,275514.40,-1,38
2024-08-07,1256.60,1256.60,1256.60,1256.60,-10.00,15.00,17481.90,-1,39
2024-07-10,1161.30,1256.60,1161.30,1256.60,6.05,135.00,161800.50,1,40
2024-07-08,1138.00,1161.70,1138.00,1161.70,5.70,45.00,51931.00,1,41
2024-07-07,1110.00,1121.00,1110.00,1121.00,1.91,30.00,33490.00,1,42
2024-07-02,1090.00,1100.00,1090.00,1100.00,-0.90,230.00,251050.00,-1,43
2024-06-25,1090.00,1110.00,1090.00,1110.00,1.37,110.00,120100.00,1,44
2024-06-18,1095.00,1095.00,1095.00,1095.00,0.00,5.00,5525.00,0,45
2024-06-12,1040.00,1065.00,1040.00,1065.00,4.73,60.00,63431.00,1,46
2024-06-06,1045.00,1045.50,1045.00,1045.50,0.05,550.00,574762.50,1,47
2024-06-05,1040.00,1045.00,1040.00,1045.00,0.48,115.00,120100.00,1,48
2024-06-04,1040.00,1040.00,1040.00,1040.00,0.00,50.00,52000.00,0,49
2024-06-03,1040.00,1040.00,1040.00,1040.00,-1.89,25.00,26000.00,-1,50
2024-06-02,1040.00,1060.00,1040.00,1060.00,0.95,300.00,316110.00,1,51
2024-05-30,1030.10,1050.00,1030.10,1050.00,1.45,468.00,488183.50,1,52
2024-05-29,1082.50,1082.50,1035.00,1035.00,-6.29,130.00,136963.50,-1,53
2024-03-19,1104.50,1104.50,1104.50,1104.50,-2.00,100.00,110450.00,-1,54
2024-03-17,1127.00,1127.00,1127.00,1127.00,-2.00,50.00,56350.00,-1,55
2023-12-19,990.00,990.00,990.00,990.00,0.00,33126.00,32794740.00,0,56
2023-08-15,1065.00,1065.00,1065.00,1065.00,-7.39,155.00,165075.00,-1,57
2023-07-27,1129.00,1150.00,1129.00,1150.00,1.70,100.00,113150.00,1,58
2023-07-16,1130.80,1130.80,1130.80,1130.80,1.99,10.00,11308.00,1,59
2023-07-12,1066.20,1108.70,1066.00,1108.70,6.07,110.00,118544.00,1,60
2023-07-11,1045.30,1045.30,1045.30,1045.30,1.90,10.00,10453.00,1,61
2023-07-10,986.00,1025.80,986.00,1025.80,1.97,70.00,69615.00,1,62
2023-07-09,986.30,1006.00,986.30,1006.00,4.03,20.00,19923.00,1,63
2023-07-05,967.00,967.00,967.00,967.00,-0.03,50.00,48350.00,-1,64
2023-06-28,987.00,987.00,967.30,967.30,-3.94,50.00,48857.50,-1,65
