published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-28,380.00,383.00,371.30,376.59,-1.29,247302.00,93133053.50,-1,1
2025-07-27,386.3,386.3,379.0,381.53,0.73,366520.0,140085964.2,1,1
2025-07-24,378.0,380.0,373.0,378.76,0.72,372020.0,140366285.2,1,1
2025-07-23,379.6,381.0,372.0,376.04,-0.57,467323.0,175546873.6,-1,1
2025-07-22,370.0,380.0,369.0,378.21,2.64,453292.0,169864064.1,1,1
2025-07-21,368.1,371.2,361.0,368.48,0.92,236215.0,86970945.1,1,1
2025-07-20,381.0,381.0,362.0,365.11,-2.47,606857.0,226811648.9,-1,1
2025-07-17,377.0,380.0,372.0,374.37,-0.11,699852.0,262665453.5,-1,1
2025-07-16,364.0,379.0,364.0,374.77,2.7,778295.0,290864161.3,1,1
2025-07-15,358.9,368.0,355.3,364.91,2.43,545695.0,197389578.0,1,1
2025-07-14,365.0,367.8,355.2,356.27,-2.26,691096.0,247506407.8,-1,1
2025-07-13,365.2,372.0,361.0,364.49,1.78,688601.0,251832642.6,1,1
2025-07-10,345.0,362.7,340.0,358.11,4.8,747527.0,263498456.6,1,1
2025-07-09,339.0,343.5,334.1,341.71,2.03,252008.0,85436903.1,1,1
2025-07-08,340.0,343.0,334.3,334.92,-1.23,186306.0,62680293.9,-1,1
2025-07-07,339.0,344.0,336.0,339.1,-0.1,310871.0,105687513.9,-1,1
2025-07-06,339.8,342.0,335.0,339.43,0.5,333919.0,113209205.3,1,1
2025-07-03,339.0,340.1,333.2,337.75,-0.52,251083.0,84663617.7,-1,1
2025-07-02,338.0,342.0,329.1,339.53,1.66,249688.0,83521174.3,1,1
2025-07-01,322.1,335.0,322.0,334.0,3.13,276887.0,90986839.5,1,1
2025-06-30,328.6,328.6,320.0,323.87,0.51,177081.0,57096640.7,1,1
2025-06-29,319.9,324.3,315.5,322.24,1.39,145817.0,46679361.2,1,1
2025-06-26,314.5,318.8,314.0,317.81,0.93,70007.0,22185236.3,1,1
2025-06-25,319.9,319.9,314.0,314.87,-0.1,61365.0,19347744.6,-1,1
2025-06-24,318.4,318.4,313.0,315.2,0.96,78069.0,24550988.2,1,1
2025-06-23,313.0,314.5,311.0,312.2,-0.59,63573.0,19841617.4,-1,1
2025-06-22,316.0,317.0,312.0,314.05,-0.47,90379.0,28395160.5,-1,1
2025-06-19,315.2,317.9,315.1,315.52,-0.62,72985.0,23092424.1,-1,1
2025-06-18,316.0,318.1,315.0,317.5,0.57,74698.0,23678824.1,1,1
2025-06-17,319.9,319.9,315.0,315.7,-0.35,31074.0,9820987.9,-1,1
2025-06-16,315.0,319.0,313.0,316.81,0.53,91828.0,29021166.3,1,1
2025-06-15,321.9,321.9,315.0,315.15,-0.3,50935.0,16114434.8,-1,1
2025-06-12,319.0,320.0,315.0,316.11,-0.4,59034.0,18677007.0,-1,1
2025-06-11,318.0,324.0,315.0,317.39,-0.66,73912.0,23618982.8,-1,1
2025-06-10,317.0,321.9,311.5,319.5,2.56,80971.0,25637637.8,1,1
2025-06-09,310.0,314.9,309.0,311.53,0.38,50600.0,15736210.6,1,1
2025-06-08,310.0,315.0,310.0,310.35,-0.89,53426.0,16643150.7,-1,1
2025-06-05,317.0,317.0,312.0,313.15,-0.24,42569.0,13369876.3,-1,1
2025-06-04,315.5,316.0,312.4,313.91,-0.54,67800.0,21273075.6,-1,1
2025-06-03,324.0,324.0,314.9,315.6,-2.27,241564.0,77089380.5,-1,2
2025-06-02,329.9,332.0,320.5,322.94,-0.18,155647.0,50676360.4,-1,1
2025-05-28,320.0,325.9,318.0,323.52,0.99,176948.0,56976704.7,1,1
2025-05-27,318.0,322.0,317.7,320.36,-0.58,75832.0,24276305.4,-1,2
2025-05-26,328.0,336.6,319.1,322.24,0.1,233558.0,75810989.7,1,1
2025-05-25,324.0,328.0,319.0,321.93,-0.27,212212.0,68319191.3,-1,2
2025-05-22,317.7,327.0,314.0,322.79,3.06,214988.0,69148518.2,1,3
2025-05-21,318.0,331.0,312.7,313.22,0.3,174529.0,55647580.4,1,4
2025-05-20,308.0,315.0,305.0,312.27,1.74,72557.0,22532612.3,1,5
2025-05-19,307.0,308.0,304.5,306.93,0.61,94844.0,29077363.9,1,6
2025-05-18,305.28,310.0,304.5,305.06,-0.07,51355.0,15698168.4,-1,7
2025-05-15,303.0,306.0,302.5,305.28,-0.07,35608.0,10864067.8,-1,8
2025-05-14,306.0,307.0,304.5,305.5,-0.6,31542.0,9627219.6,-1,9
2025-05-13,312.0,312.0,306.0,307.34,-0.13,36313.0,11149580.8,-1,10
2025-05-11,306.1,310.0,306.1,307.75,0.55,44591.0,13725004.5,1,11
2025-05-08,307.0,311.0,305.0,306.06,-0.41,64704.0,19867843.2,-1,12
2025-05-07,307.0,310.0,299.7,307.33,2.05,65397.0,19956745.3,1,13
2025-05-06,302.0,302.0,300.0,301.17,0.23,50795.0,15296187.1,1,14
2025-05-05,303.0,305.8,300.0,300.48,-0.7,64221.0,19374072.9,-1,15
2025-05-04,301.0,307.0,301.0,302.59,0.79,119322.0,36027487.3,1,16
2025-04-30,300.0,305.0,299.5,300.22,-0.9,73493.0,22100288.5,-1,17
2025-04-29,305.0,308.0,302.0,302.95,-0.67,71644.0,21767339.5,-1,18
2025-04-28,304.0,307.5,304.0,304.99,-0.48,65185.0,19938017.6,-1,19
2025-04-27,308.6,314.0,305.8,306.45,-0.14,83669.0,25785020.7,-1,20
2025-04-24,310.5,310.5,306.2,306.89,-0.78,36881.0,11339061.3,-1,21
2025-04-23,310.0,312.4,308.1,309.29,-0.93,62979.0,19496040.5,-1,22
2025-04-22,310.0,313.0,307.5,312.19,0.09,106834.0,33168731.5,1,23
2025-04-21,315.7,315.7,305.0,311.91,0.77,79029.0,24501253.5,1,24
2025-04-20,310.0,313.0,307.0,309.54,1.08,113708.0,35233967.3,1,25
2025-04-17,307.5,310.0,301.0,306.23,0.83,67985.0,20827383.7,1,26
2025-04-16,309.0,309.0,300.0,303.72,0.19,70491.0,21422016.5,1,27
2025-04-15,306.0,306.0,300.0,303.14,0.74,34972.0,10645823.8,1,28
2025-04-13,304.6,304.6,298.0,300.9,0.73,55598.0,16627176.1,1,29
2025-04-10,304.9,305.0,298.0,298.72,-0.11,39031.0,11689233.0,-1,30
2025-04-09,305.0,307.8,298.0,299.05,-0.23,41431.0,12402093.7,-1,31
2025-04-08,299.4,301.0,297.4,299.74,-0.07,30326.0,9063249.4,-1,32
2025-04-07,301.0,303.0,299.2,299.96,-0.92,49490.0,14877101.8,-1,33
2025-04-03,300.0,308.0,295.0,302.75,0.98,82831.0,25051193.2,1,34
2025-04-02,305.1,305.1,298.0,299.8,0.2,42612.0,12746990.4,1,35
2025-04-01,300.0,306.0,297.7,299.21,-0.96,47261.0,14222401.4,-1,36
2025-03-30,305.0,307.0,301.0,302.11,0.4,68603.0,20832019.5,1,37
2025-03-27,305.8,305.8,299.1,300.92,0.36,35512.0,10688481.9,1,38
2025-03-26,295.0,300.1,295.0,299.84,1.42,48219.0,14411429.0,1,39
2025-03-25,297.0,299.0,294.3,295.64,-1.39,54652.0,16195505.7,-1,40
2025-03-24,303.9,304.0,297.0,299.8,0.53,33861.0,10151333.0,1,41
2025-03-23,307.8,307.8,297.1,298.22,-1.27,69542.0,20846131.3,-1,42
2025-03-20,303.0,306.0,301.0,302.05,-0.05,47430.0,14341143.2,-1,43
2025-03-19,303.9,306.8,302.2,302.2,-0.43,41091.0,12493597.0,-1,44
2025-03-18,311.1,311.1,303.0,303.5,-0.49,29742.0,9061064.5,-1,45
2025-03-17,301.2,308.0,301.2,305.0,0.33,25458.0,7780278.9,1,46
2025-03-16,305.7,310.0,301.0,304.0,-0.98,69086.0,21041436.6,-1,47
2025-03-12,307.1,310.0,305.0,307.0,0.03,40434.0,12385163.0,1,48
2025-03-11,312.0,312.0,305.0,306.9,-0.36,68977.0,21209676.6,-1,49
2025-03-10,311.8,312.0,307.2,308.0,-0.48,73489.0,22738893.6,-1,50
2024-12-12,322.3,322.3,309.3,310.9,-1.61,32942.0,10307418.9,-1,1
2024-12-11,313.6,316.0,305.0,316.0,2.76,50740.0,15765133.7,1,1
2024-12-10,310.0,310.0,306.9,307.5,0.16,55930.0,17245873.7,1,2
2024-12-09,310.0,313.0,304.0,307.0,-0.97,65636.0,20129670.3,-1,3
2024-12-08,313.8,314.0,308.2,310.0,-1.21,68129.0,21156903.6,-1,4
2024-12-05,310.2,317.0,310.2,313.8,-0.85,99424.0,31365803.0,-1,5
2024-12-04,323.3,323.3,314.3,316.5,-0.16,68254.0,21676813.5,-1,6
2024-12-03,324.9,324.9,314.6,317.0,-0.5,85541.0,27158547.0,-1,7
2024-12-02,325.5,325.5,318.1,318.6,-0.19,116626.0,37203587.9,-1,8
2024-12-01,329.4,329.4,316.7,319.2,-1.18,164678.0,52503613.3,-1,9
2024-11-28,320.0,324.0,318.1,323.0,0.94,101408.0,32600040.2,1,10
2024-11-27,321.9,321.9,318.0,320.0,0.63,100603.0,32196128.1,1,11
2024-11-26,315.4,318.9,314.2,318.0,0.82,99030.0,31274737.8,1,12
2024-11-25,308.0,316.0,308.0,315.4,0.48,120089.0,37730688.7,1,13
2024-11-24,320.0,320.0,313.0,313.9,-0.38,92588.0,29110009.3,-1,14
2024-11-21,323.0,323.0,315.0,315.1,-0.91,123848.0,39277577.8,-1,15
2024-11-20,319.0,319.9,317.7,318.0,-0.41,84949.0,27042271.6,-1,16
2024-11-19,323.0,323.0,318.0,319.3,-1.15,117540.0,37584538.7,-1,17
