published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-21,869.0,869.0,836.0,850.16,-0.32,29573.0,25319122.9,-1,1
2025-08-20,845.3,873.0,845.3,852.86,-1.12,26442.0,22708910.3,-1,1
2025-08-19,822.1,869.8,822.1,862.55,2.83,44782.0,38228536.1,1,1
2025-08-18,836.0,880.0,833.0,838.84,-1.64,49893.0,42166661.4,-1,1
2025-08-17,885.0,886.2,850.0,852.8,-3.85,31841.0,27431197.8,-1,1
2025-08-14,850.9,907.0,826.0,886.91,2.16,110233.0,97588823.3,1,1
2025-08-13,825.0,910.0,825.0,868.17,3.33,67474.0,58569459.5,1,1
2025-08-12,877.0,877.0,836.0,840.2,-4.2,75198.0,63745709.9,-1,1
2025-08-11,924.0,924.0,855.6,876.99,-3.2,80646.0,71529582.1,-1,1
2025-08-07,930.0,939.0,876.0,905.96,-1.98,68627.0,62859525.1,-1,1
2025-08-06,927.2,939.8,920.0,924.28,-0.17,24833.0,23032900.7,-1,1
2025-08-05,937.0,957.9,925.0,925.9,-1.1,31857.0,29824331.1,-1,1
2025-08-04,965.0,975.0,925.0,936.17,-3.02,66681.0,63008895.4,-1,1
2025-08-03,1020.0,1023.0,963.0,965.3,-3.76,64627.0,63304890.4,-1,1
2025-07-31,931.2,1004.2,931.2,1002.99,9.86,187668.0,185399219.0,1,1
2025-07-30,920.0,925.0,908.0,912.96,-0.9,45378.0,41456706.5,-1,1
2025-07-29,940.6,940.6,912.0,921.24,-0.11,45251.0,41746340.2,-1,1
2025-07-28,881.0,940.0,875.2,922.23,4.59,95538.0,86635213.7,1,1
2025-07-27,890.2,902.0,880.0,881.79,-2.4,85643.0,76020028.9,-1,1
2025-07-24,901.1,910.0,875.0,903.47,0.26,77834.0,69347508.3,1,1
2025-07-23,920.0,929.0,861.0,901.11,-2.27,89938.0,80813614.6,-1,1
2025-07-22,917.1,978.0,842.3,922.02,-1.47,187352.0,168409822.9,-1,1
2025-07-21,1040.0,1043.0,935.8,935.8,-10.0,221301.0,213793862.8,-1,1
2025-07-20,1053.0,1072.0,1027.1,1039.74,-1.23,135018.0,140712699.4,-1,1
2025-07-17,1045.1,1081.4,1045.0,1052.73,-0.02,103009.0,109220429.8,-1,1
2025-07-16,1089.0,1089.0,1048.0,1052.91,-1.55,60334.0,64030221.3,-1,1
2025-07-15,1078.6,1087.0,1040.0,1069.47,-2.82,38206.0,40815562.9,-1,1
2025-07-14,1054.6,1137.3,1026.7,1100.55,2.27,113602.0,121866090.2,1,1
2025-07-13,1095.0,1116.0,1060.0,1076.09,-1.68,72197.0,78045583.9,-1,1
2025-07-10,1056.1,1126.3,1037.0,1094.5,3.11,186092.0,198549582.8,1,1
2025-07-09,1062.0,1092.9,1055.5,1061.51,-2.03,47046.0,50355237.3,-1,1
2025-07-08,1098.2,1110.0,1042.1,1083.49,-1.37,54868.0,59507155.4,-1,1
2025-07-07,1114.0,1114.0,1048.6,1098.59,0.47,163196.0,178982692.4,1,1
2025-07-06,1078.2,1139.9,1015.3,1093.43,-0.62,155795.0,168037219.9,-1,1
2025-07-03,1198.1,1198.1,1100.2,1100.2,-10.0,237810.0,262849670.4,-1,1
2025-07-02,1167.4,1284.0,1072.1,1222.45,2.63,315332.0,350009289.3,1,1
2025-07-01,1150.9,1243.9,1058.0,1191.17,1.43,226015.0,252059465.4,1,1
2025-06-30,1117.3,1204.9,1025.0,1174.33,7.21,232326.0,257836699.5,1,1
2025-06-29,1015.7,1095.4,1015.7,1095.4,9.99,166986.0,181307560.3,1,1
2025-06-26,930.0,1004.9,918.0,995.88,9.0,103688.0,101012473.8,1,1
2025-06-25,928.6,928.6,910.1,913.63,0.35,18343.0,16775308.2,1,1
2025-06-24,913.0,928.0,905.0,910.43,-0.15,31805.0,29172332.1,-1,1
2025-06-23,967.6,967.6,901.0,911.8,-3.89,50535.0,46959232.6,-1,1
2025-06-22,912.1,976.0,912.1,948.71,5.6,104376.0,99442744.9,1,1
2025-06-19,973.0,973.0,873.0,898.38,-5.9,89141.0,81863542.6,-1,1
2025-06-18,1011.0,1029.0,927.8,954.69,-7.39,81282.0,80443943.6,-1,1
2025-06-17,1037.5,1057.0,1016.8,1030.84,-2.62,26035.0,26904676.2,-1,1
2025-06-16,1060.6,1078.0,990.0,1058.59,1.8,96213.0,99383744.1,1,1
2025-06-15,1001.1,1053.5,995.0,1039.86,3.89,76753.0,79033860.7,1,1
2025-06-12,1050.0,1060.0,994.8,1000.95,-2.77,68295.0,70379186.3,-1,1
2025-06-11,1060.1,1081.0,1003.0,1029.46,-4.83,69764.0,72585927.9,-1,1
2025-06-10,1061.3,1148.0,1050.1,1081.66,-0.12,93321.0,100489399.9,-1,1
2025-06-09,1118.5,1118.5,1027.2,1082.93,-5.11,117295.0,124329255.4,-1,1
2025-06-08,1067.1,1197.7,996.0,1141.26,4.81,232016.0,249621102.9,1,1
2025-06-05,1010.0,1091.0,980.0,1088.85,9.5,187206.0,199244327.4,1,1
2025-06-04,994.6,1008.0,955.4,994.4,1.97,55472.0,55356808.2,1,1
2025-06-03,999.5,1018.0,968.0,975.15,-4.38,54400.0,53695743.1,-1,2
2025-06-02,941.0,1035.7,941.0,1019.86,8.31,132922.0,131167232.4,1,1
