published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,869.20,885.00,850.60,850.81,-0.17,30957.00,26553117.00,-1,1
2025-05-25,856.90,859.00,842.10,852.22,1.13,59012.00,49955582.90,1,2
2025-05-22,854.00,856.00,839.90,842.67,-0.07,39593.00,33483434.80,-1,3
2025-05-21,875.90,889.90,840.80,843.22,-1.81,89854.00,77069696.80,-1,4
2025-05-20,825.00,865.00,820.00,858.73,3.91,40123.00,33895789.00,1,5
2025-05-19,840.00,844.50,825.00,826.42,-0.23,91119.00,75732374.40,-1,6
2025-05-18,841.20,852.80,825.10,828.32,-1.85,53397.00,44588257.60,-1,7
2025-05-15,869.90,885.00,838.00,843.89,-1.06,136488.00,116179028.40,-1,8
2025-05-14,860.00,864.00,846.00,852.91,-1.25,44158.00,37727642.90,-1,9
2025-05-13,883.30,883.40,860.20,863.69,-0.44,54451.00,47321746.30,-1,10
2025-05-11,881.10,886.00,865.30,867.48,-1.07,65796.00,57496786.50,-1,11
2025-05-08,883.00,899.80,862.00,876.85,0.28,128389.00,113638293.90,1,12
2025-05-07,865.00,875.00,850.00,874.37,0.97,81304.00,70319636.20,1,13
2025-05-06,875.00,883.00,865.00,866.00,-0.25,96448.00,84286874.50,-1,14
2025-05-05,870.00,884.00,867.00,868.14,-0.69,113115.00,98870979.90,-1,15
2025-05-04,865.00,888.00,861.70,874.20,0.28,129018.00,112868455.90,1,16
2025-04-30,895.70,900.00,870.00,871.78,-2.68,128407.00,112924922.40,-1,17
2025-04-29,886.73,910.00,880.10,895.75,1.02,184173.00,165360383.80,1,18
2025-04-28,908.00,909.90,880.00,886.73,-1.80,151220.00,134856121.80,-1,19
2025-04-27,890.00,908.00,885.00,903.01,2.79,185465.00,165931716.90,1,20
2025-04-24,871.00,895.00,868.00,878.54,0.89,178435.00,157386033.50,1,21
2025-04-23,868.40,872.50,856.00,870.81,0.27,140826.00,121983907.40,1,22
2025-04-22,845.00,876.00,845.00,868.43,3.37,137773.00,119549879.30,1,23
2025-04-21,816.20,851.00,816.20,840.15,2.25,96659.00,80768373.50,1,24
2025-04-20,834.00,834.00,819.10,821.66,0.44,44459.00,36612853.10,1,25
2025-04-17,812.00,828.00,810.50,818.06,0.85,46933.00,38489396.40,1,26
2025-04-16,810.00,820.00,805.00,811.16,-0.92,40473.00,32958887.90,-1,27
2025-04-15,787.10,825.00,787.00,818.69,3.70,56310.00,45685011.00,1,28
2025-04-13,778.90,805.00,778.90,789.51,-0.65,38820.00,30695835.50,-1,29
2025-04-10,802.00,802.10,790.20,794.70,-0.49,22163.00,17616798.70,-1,30
2025-04-09,804.00,804.30,790.00,798.58,1.25,28274.00,22582221.30,1,31
2025-04-08,775.60,797.70,770.00,788.72,0.85,37334.00,28986971.70,1,32
2025-04-07,795.00,795.00,780.00,782.09,-1.20,31586.00,24820052.10,-1,33
2025-04-03,812.00,815.00,788.10,791.58,-2.04,123059.00,98542685.40,-1,34
2025-04-02,815.00,815.00,800.00,808.08,0.92,48041.00,38987384.40,1,35
2025-04-01,825.00,825.00,795.10,800.75,-1.18,34801.00,27925267.30,-1,36
2025-03-30,780.20,825.00,780.20,810.32,1.93,79363.00,64604500.40,1,37
2025-03-27,800.90,800.90,775.00,794.98,1.24,43767.00,34698831.90,1,38
2025-03-26,767.20,790.00,765.00,785.28,2.36,47405.00,36961010.20,1,39
2025-03-25,784.00,784.00,760.20,767.19,-2.12,37128.00,28592430.80,-1,40
2025-03-24,777.00,790.00,764.00,783.82,1.57,32044.00,24962290.40,1,41
2025-03-23,785.00,824.00,770.00,771.70,-2.94,35336.00,27620076.90,-1,42
2025-03-20,800.40,807.00,793.00,795.07,-1.48,29754.00,23811020.20,-1,43
2025-03-19,824.00,830.00,805.00,807.00,-1.59,29911.00,24356599.70,-1,44
2025-03-18,840.60,840.60,810.00,820.00,-0.51,23081.00,18940338.40,-1,45
2025-03-17,825.10,839.90,823.50,824.20,-0.10,20848.00,17268085.50,-1,46
2025-03-16,828.50,845.00,817.00,825.00,1.56,61683.00,50794980.20,1,47
2025-03-12,827.00,856.00,811.00,812.30,0.16,60440.00,49709323.70,1,48
2025-03-11,859.80,859.80,811.00,811.00,-3.80,53062.00,44189091.20,-1,49
2025-03-10,883.30,883.30,843.00,843.00,-2.66,51793.00,44111789.40,-1,50
2024-12-12,774.0,799.9,750.0,780.0,2.78,277635.0,215222974.8,1,1
2024-12-11,750.0,758.9,747.0,758.9,0.78,31999.0,24074270.9,1,1
2024-12-10,750.2,754.0,743.0,753.0,0.53,31610.0,23648206.1,1,2
2024-12-09,769.0,769.0,749.0,749.0,-0.77,35525.0,26751877.3,-1,3
2024-12-08,765.9,765.9,745.0,754.8,0.52,34111.0,25650489.9,1,4
2024-12-05,788.0,788.0,750.9,750.9,-2.86,39248.0,29916386.4,-1,5
2024-12-04,780.4,780.4,760.0,773.0,1.03,38114.0,29219677.9,1,6
2024-12-03,773.9,774.0,761.1,765.1,-1.15,24172.0,18490403.6,-1,7
2024-12-02,790.5,790.5,754.0,774.0,-0.13,74683.0,57112460.2,-1,8
2024-12-01,752.8,775.0,752.8,775.0,1.71,62184.0,47150303.9,1,9
2024-11-28,775.0,775.0,760.0,762.0,-1.42,42600.0,32671979.3,-1,10
2024-11-27,759.3,778.9,759.3,773.0,0.93,28434.0,21902165.7,1,11
2024-11-26,772.1,772.1,755.0,765.9,1.18,33065.0,25139217.1,1,12
2024-11-25,760.0,760.0,745.0,757.0,0.66,32603.0,24584720.8,1,13
2024-11-24,752.6,759.9,747.0,752.0,0.53,39338.0,29657068.6,1,14
2024-11-21,760.0,762.0,748.0,748.0,-1.58,44466.0,33485107.2,-1,15
2024-11-20,756.0,768.5,747.2,760.0,0.53,27377.0,20750428.3,1,16
2024-11-19,778.0,785.0,754.6,756.0,-2.83,46280.0,35371546.6,-1,17
2024-11-17,780.1,790.0,774.0,778.0,-1.89,65930.0,51524903.0,-1,18
