published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-29,305.00,311.50,305.00,310.72,1.68,82774.00,25509367.40,1,1
2025-06-26,302.0,308.0,301.8,305.59,-0.13,42654.0,13056618.9,-1,1
2025-06-25,310.0,310.0,303.8,305.98,-0.47,79701.0,24377378.4,-1,1
2025-06-24,310.0,310.0,305.0,307.43,1.03,75921.0,23254252.2,1,1
2025-06-23,300.1,306.0,300.1,304.29,0.03,47725.0,14481081.1,1,1
2025-06-22,305.0,308.0,304.0,304.19,-1.04,92300.0,28187482.0,-1,1
2025-06-19,312.5,312.5,307.0,307.4,-0.77,81975.0,25317504.0,-1,1
2025-06-18,308.1,312.0,303.0,309.79,0.55,105004.0,32402127.3,1,1
2025-06-17,305.1,310.9,305.0,308.1,0.43,52289.0,16151879.9,1,1
2025-06-16,301.0,310.0,301.0,306.78,0.6,125348.0,38563089.3,1,1
2025-06-15,299.0,307.0,299.0,304.95,-0.02,53080.0,16174849.5,-1,1
2025-06-12,302.0,306.5,300.3,305.01,0.82,65909.0,20064061.4,1,1
2025-06-11,301.0,305.0,299.3,302.52,0.29,446787.0,135051938.6,1,1
2025-06-10,300.0,303.0,295.0,301.66,1.43,76324.0,22903921.3,1,1
2025-06-09,295.0,298.8,292.1,297.4,1.46,65005.0,19178427.2,1,1
2025-06-08,293.0,295.0,291.0,293.12,-0.71,59740.0,17520543.5,-1,1
2025-06-05,299.0,300.0,293.3,295.22,-1.13,42600.0,12646214.9,-1,1
2025-06-04,297.0,302.0,297.0,298.59,-0.51,45760.0,13689135.5,-1,1
2025-06-03,303.0,306.0,299.0,300.13,-1.96,90287.0,27283771.0,-1,2
2025-06-02,308.0,311.0,305.1,306.14,0.47,113892.0,35012493.6,1,1
2025-05-28,302.8,307.7,297.0,304.72,0.62,81458.0,24559559.5,1,1
2025-05-27,295.0,304.0,295.0,302.83,0.95,166265.0,49685282.1,1,2
2025-05-26,303.9,309.0,298.9,299.98,0.67,79993.0,24003390.4,1,1
2025-05-25,300.0,303.0,292.7,297.98,-0.16,110871.0,33104803.6,-1,2
2025-05-22,288.0,305.0,288.0,298.47,3.9,160944.0,47697462.0,1,3
2025-05-21,290.5,303.0,286.8,287.26,0.42,88074.0,25748382.9,1,4
2025-05-20,275.1,287.5,275.1,286.06,3.24,35429.0,9962259.5,1,5
2025-05-19,278.9,279.0,273.0,277.07,1.28,82173.0,22523340.3,1,6
2025-05-18,270.0,276.5,270.0,273.58,0.56,48070.0,13081948.2,1,7
2025-05-15,276.0,276.0,271.0,272.05,-0.73,34117.0,9303944.3,-1,8
2025-05-14,274.1,276.5,271.0,274.06,-0.02,48604.0,13304656.7,-1,9
2025-05-13,268.2,276.9,268.2,274.11,1.06,35715.0,9770718.5,1,10
2025-05-11,264.2,273.9,264.2,271.24,0.63,47947.0,13001891.5,1,11
