published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1101.60,1101.60,1101.60,1101.60,2.00,198.00,218116.80,1,1
2024-12-05,1076.20,1080.00,1076.00,1080.00,0.28,950.00,1025230.00,1,2
2024-12-04,1078.50,1078.50,1077.00,1077.00,-0.74,50.00,53887.50,-1,3
2024-12-03,1085.00,1085.00,1085.00,1085.00,0.93,25.00,27125.00,1,4
2024-11-24,1075.00,1075.00,1075.00,1075.00,0.28,50.00,53750.00,1,5
2024-11-19,1072.00,1072.00,1072.00,1072.00,-1.28,25.00,26800.00,-1,6
2024-11-17,1100.00,1108.00,1085.90,1085.90,-0.38,550.00,598150.00,-1,7
2024-11-14,1095.00,1095.00,1095.00,1095.00,-0.46,1.00,1090.00,-1,8
2024-11-13,1095.00,1095.00,1095.00,1095.00,0.64,34.00,37230.00,1,9
2024-11-12,1088.00,1088.00,1088.00,1088.00,-1.81,500.00,544000.00,-1,10
2024-11-10,1108.00,1108.00,1108.00,1108.00,2.00,100.00,110800.00,1,11
2024-10-28,1086.30,1086.30,1086.30,1086.30,2.00,10.00,10863.00,1,12
2024-10-24,1065.00,1086.30,1065.00,1065.00,0.00,296.00,315772.50,0,13
2024-10-21,1065.00,1065.00,1065.00,1065.00,-0.61,25.00,26625.00,-1,14
2024-10-17,1071.50,1071.50,1071.50,1071.50,2.00,25.00,26787.50,1,15
2024-10-09,1050.50,1050.50,1050.50,1050.50,-0.05,25.00,26262.50,-1,16
2024-09-25,1051.00,1051.00,1051.00,1051.00,-1.31,25.00,26275.00,-1,17
2024-09-24,1065.00,1065.00,1065.00,1065.00,1.43,25.00,26625.00,1,18
2024-09-23,1050.00,1050.00,1050.00,1050.00,-0.29,25.00,26250.00,-1,19
2024-09-10,1053.10,1053.10,1053.10,1053.10,0.00,25.00,26327.50,0,20
2024-09-02,1053.10,1053.10,1053.10,1053.10,-0.65,15.00,15796.50,-1,21
2024-08-29,1060.00,1060.00,1060.00,1060.00,0.95,25.00,26500.00,1,22
2024-08-14,1050.00,1050.00,1050.00,1050.00,0.00,171.00,179550.00,0,23
2024-08-13,1050.10,1050.10,1050.00,1050.00,-0.47,25.00,26251.50,-1,24
2024-08-12,1055.00,1055.00,1055.00,1055.00,0.48,140.00,147700.00,1,25
2024-08-11,1050.00,1050.00,1050.00,1050.00,0.38,25.00,26250.00,1,26
2024-08-08,1046.00,1046.00,1046.00,1046.00,-1.32,25.00,26150.00,-1,27
2024-08-06,1060.00,1060.00,1060.00,1060.00,0.95,26.00,27570.00,1,28
2024-07-31,1071.10,1071.10,1050.00,1050.00,-3.93,50.00,53027.50,-1,29
2024-07-30,1071.60,1071.60,1071.60,1071.60,0.00,1.00,1092.90,0,30
2024-07-29,1050.60,1050.60,1050.60,1050.60,0.00,1.00,1071.60,0,31
2024-07-25,1030.10,1050.60,1030.00,1050.60,2.00,35.00,36257.00,1,32
2024-07-18,1030.00,1030.00,1030.00,1030.00,-1.91,24.00,24720.00,-1,33
2024-07-17,1050.10,1050.10,1050.10,1050.10,-5.91,33.00,34718.90,-1,34
2024-07-16,1234.40,1234.40,1234.40,1234.40,-9.58,5.00,5812.40,-1,35
2024-07-15,1149.50,1259.50,1149.50,1234.40,7.81,450.00,538224.00,1,36
2024-07-14,1129.10,1145.00,1129.10,1145.00,3.43,20.00,22741.00,1,37
2024-07-11,1086.30,1151.00,1086.30,1107.00,3.94,125.00,140716.00,1,38
2024-07-04,1065.00,1065.00,1065.00,1065.00,-1.84,15.00,15975.00,-1,39
2024-06-30,1085.00,1085.00,1085.00,1085.00,1.40,25.00,27125.00,1,40
2024-06-26,1070.00,1070.00,1070.00,1070.00,-1.83,70.00,74900.00,-1,41
2024-06-23,1090.00,1090.00,1090.00,1090.00,-0.46,100.00,109000.00,-1,42
2024-06-20,1095.00,1095.00,1095.00,1095.00,1.39,25.00,27375.00,1,43
2024-06-16,1085.00,1085.00,1080.00,1080.00,-0.46,100.00,108250.00,-1,44
2024-06-06,1085.00,1085.00,1085.00,1085.00,0.00,25.00,27125.00,0,45
2024-06-04,1085.00,1085.00,1085.00,1085.00,1.40,25.00,27125.00,1,46
2024-05-30,1070.00,1070.00,1070.00,1070.00,0.19,50.00,53500.00,1,47
2024-05-29,1068.00,1068.00,1068.00,1068.00,0.07,25.00,26700.00,1,48
2024-05-27,1089.00,1089.00,1067.30,1067.30,-2.30,275.00,298932.50,-1,49
2024-05-22,1071.00,1071.00,1071.00,1071.00,2.00,1.00,1092.40,1,50
2024-05-15,1071.00,1071.00,1071.00,1071.00,2.00,25.00,26775.00,1,51
2024-05-12,1052.00,1052.00,1050.00,1050.00,-1.96,110.00,115635.00,-1,52
2024-05-09,1050.00,1071.00,1050.00,1071.00,2.33,490.00,514710.00,1,53
2024-05-06,1048.00,1048.00,1046.60,1046.60,-1.82,118.00,123533.80,-1,54
2024-04-29,1065.00,1066.00,1065.00,1066.00,1.95,35.00,37285.00,1,55
2024-04-28,1045.60,1045.60,1045.60,1045.60,2.00,10.00,10456.00,1,56
2024-04-21,1025.50,1025.50,1025.10,1025.10,-1.05,60.00,61510.00,-1,57
2024-04-01,1036.00,1036.00,1036.00,1036.00,-1.89,50.00,51800.00,-1,58
2024-03-28,1055.00,1055.00,1055.00,1055.00,2.43,15.00,15830.00,1,59
2024-03-26,1030.00,1030.00,1030.00,1030.00,1.48,153.00,157605.90,1,60
2024-03-12,1015.00,1015.00,1015.00,1015.00,0.28,25.00,25375.00,1,61
2024-02-22,1012.20,1012.20,1012.20,1012.20,-0.76,25.00,25305.00,-1,62
2024-02-21,1020.00,1020.00,1020.00,1020.00,0.99,150.00,153000.00,1,63
2024-02-15,1010.00,1010.00,1010.00,1010.00,-0.58,50.00,50500.00,-1,64
2024-02-13,1015.90,1015.90,1015.90,1015.90,2.00,25.00,25397.50,1,65
2024-02-12,996.00,996.00,996.00,996.00,-1.39,25.00,24900.00,-1,66
2024-02-08,1010.00,1010.00,1010.00,1010.00,0.00,25.00,25250.00,0,67
2024-02-05,1010.00,1010.00,1010.00,1010.00,0.80,50.00,50500.00,1,68
2024-01-24,1003.00,1003.00,1002.00,1002.00,-0.79,190.00,190405.00,-1,69
