published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2011-05-30,110.00,112.00,110.00,110.00,0.00,120.00,13340.00,0,1
2011-05-25,110.00,110.00,110.00,110.00,0.00,40.00,4400.00,0,2
2011-05-24,107.00,110.00,108.00,110.00,0.00,300.00,32830.00,0,3
2011-05-23,106.00,107.00,106.00,107.00,0.00,160.00,17100.00,0,4
2011-05-22,108.00,106.00,106.00,106.00,0.00,160.00,16960.00,0,5
2011-05-19,112.00,110.00,108.00,108.00,0.00,120.00,13160.00,0,6
2011-05-18,113.00,112.00,112.00,112.00,0.00,160.00,17920.00,0,7
2011-05-16,111.00,113.00,113.00,113.00,0.00,10.00,1130.00,0,8
2011-05-10,113.00,111.00,111.00,111.00,0.00,50.00,5550.00,0,9
2011-05-09,113.00,113.00,113.00,113.00,0.00,240.00,27120.00,0,10
2011-05-08,113.00,113.00,113.00,113.00,0.00,60.00,6780.00,0,11
2011-04-28,115.00,113.00,113.00,113.00,0.00,20.00,2260.00,0,12
2011-04-27,114.00,115.00,115.00,115.00,0.00,400.00,46000.00,0,13
2011-04-25,113.00,114.00,114.00,114.00,0.00,30.00,3420.00,0,14
2011-04-21,117.00,115.00,113.00,113.00,0.00,210.00,23810.00,0,15
2011-04-20,121.00,119.00,117.00,117.00,0.00,40.00,4720.00,0,16
2011-04-13,129.00,130.00,121.00,121.00,0.00,260.00,32920.00,0,17
2011-04-11,135.00,133.00,129.00,129.00,0.00,210.00,27410.00,0,18
2011-04-10,136.00,136.00,134.00,135.00,0.00,150.00,20320.00,0,19
2011-04-07,136.00,138.00,136.00,136.00,0.00,40.00,5460.00,0,20
2011-04-06,138.00,136.00,136.00,136.00,0.00,20.00,2720.00,0,21
2011-03-29,140.00,138.00,138.00,138.00,0.00,20.00,2760.00,0,22
2011-03-28,140.00,140.00,140.00,140.00,0.00,80.00,11200.00,0,23
2011-03-27,148.00,142.00,140.00,140.00,0.00,90.00,12640.00,0,24
2011-03-20,146.00,146.00,146.00,146.00,0.00,20.00,2920.00,0,25
