published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-13,640.00,641.00,635.10,639.32,-0.10,15501.00,9887187.30,-1,1
2025-08-12,658.0,658.0,630.5,639.98,-1.1,27289.0,17461420.9,-1,1
2025-08-11,656.7,669.7,645.5,647.13,0.5,21700.0,14070005.9,1,1
2025-08-07,646.3,647.0,638.3,643.93,0.13,13098.0,8416708.3,1,1
2025-08-06,648.0,650.0,638.0,643.09,-0.38,40792.0,26096567.9,-1,1
2025-08-05,670.0,680.0,644.0,645.52,-1.86,65370.0,42599851.0,-1,1
2025-08-04,649.0,701.0,634.4,657.74,3.15,59656.0,38553757.5,1,1
2025-08-03,650.0,650.0,637.2,637.64,-2.01,51219.0,32846012.3,-1,1
2025-07-31,660.0,660.0,650.2,650.71,-1.43,29239.0,19128099.4,-1,1
2025-07-30,673.0,679.0,659.0,660.12,-0.88,26079.0,17258091.9,-1,1
2025-07-29,666.0,675.0,662.0,665.98,0.61,40515.0,27076312.4,1,1
2025-07-28,660.1,664.0,657.0,658.69,-1.2,42716.0,28136593.1,-1,1
2025-07-27,670.0,674.8,665.0,666.72,-0.62,34558.0,23129366.3,-1,1
2025-07-24,668.1,672.0,665.0,670.91,0.12,24626.0,16452412.6,1,1
2025-07-23,675.0,675.0,661.2,670.09,-0.67,54717.0,36561365.7,-1,1
2025-07-22,670.0,677.0,665.0,674.61,1.54,67646.0,45370970.8,1,1
2025-07-21,670.2,670.2,660.0,664.39,-0.86,25207.0,16769083.1,-1,1
2025-07-20,681.7,681.7,667.0,670.17,0.27,52292.0,35186852.8,1,1
2025-07-17,661.0,670.3,650.1,668.39,1.87,54394.0,36286444.1,1,1
2025-07-16,661.4,667.0,653.0,656.1,1.18,110187.0,72631894.4,1,1
2025-07-15,662.8,662.8,645.0,648.44,-1.02,52557.0,34210048.9,-1,1
2025-07-14,674.0,677.0,653.0,655.11,-1.78,21829.0,14374616.1,-1,1
2025-07-13,642.5,679.9,642.5,667.0,1.74,70142.0,46959520.8,1,1
2025-07-10,643.0,657.0,643.0,655.57,1.94,56467.0,36743686.1,1,1
2025-07-09,644.0,644.0,636.2,643.08,1.14,35636.0,22860936.8,1,1
2025-07-08,635.1,640.0,631.0,635.82,-0.38,18997.0,12080161.1,-1,1
2025-07-07,642.0,648.0,635.0,638.26,-0.7,22129.0,14144095.4,-1,1
2025-07-06,643.1,645.0,633.0,642.75,-0.05,25931.0,16549883.7,-1,1
2025-07-03,620.5,674.0,620.5,643.1,2.94,37435.0,23932062.9,1,1
2025-07-02,616.2,628.0,616.2,624.74,1.09,11082.0,6915842.9,1,1
2025-07-01,618.0,620.0,615.4,618.03,-0.01,7481.0,4618543.1,-1,1
2025-06-30,615.0,621.0,612.0,618.08,0.48,10495.0,6463719.1,1,1
2025-06-29,619.0,619.0,612.0,615.12,0.37,9551.0,5865477.7,1,1
2025-06-26,610.0,615.0,610.0,612.87,0.05,8281.0,5079111.0,1,1
2025-06-25,610.0,619.5,610.0,612.54,0.14,5919.0,3624578.6,1,1
2025-06-24,612.2,617.0,611.0,611.67,-0.17,12089.0,7406277.4,-1,1
2025-06-23,610.0,615.0,610.0,612.7,0.44,7393.0,4520752.1,1,1
2025-06-22,613.0,613.0,609.1,610.01,-0.47,20313.0,12415383.9,-1,1
2025-06-19,610.0,614.9,610.0,612.88,-0.3,12495.0,7664841.8,-1,1
2025-06-18,613.42,618.0,609.3,614.72,0.21,7312.0,4478513.0,1,1
2025-06-17,613.0,614.0,610.1,613.42,0.14,8138.0,4981469.7,1,1
2025-06-16,610.5,615.0,610.0,612.56,0.37,11266.0,6900641.6,1,1
2025-06-15,608.0,612.0,608.0,610.33,0.15,29064.0,17728478.8,1,1
2025-06-12,625.0,625.0,609.0,609.44,-0.9,14922.0,9111848.0,-1,1
2025-06-11,623.8,623.9,612.1,615.0,0.5,11336.0,6986225.9,1,1
2025-06-10,618.0,622.0,610.0,611.96,-0.15,9761.0,6000275.0,-1,1
2025-06-09,612.0,615.0,605.0,612.85,1.04,10269.0,6257393.0,1,1
2025-06-08,605.0,614.0,605.0,606.52,-0.44,14672.0,8894775.0,-1,1
2025-06-05,630.0,630.0,608.1,609.19,-1.68,19291.0,11829941.5,-1,1
2025-06-04,625.0,635.0,618.0,619.6,-0.8,13396.0,8319169.1,-1,1
2025-06-03,638.0,638.0,624.0,624.57,-0.92,20833.0,13078979.9,-1,2
2025-06-02,640.0,642.0,630.0,630.36,0.27,22770.0,14464056.2,1,1
2025-05-28,637.0,637.0,621.3,628.67,0.21,13649.0,8546574.1,1,1
2025-05-27,630.0,632.9,621.0,627.36,0.04,9510.0,5969119.0,1,2
2025-05-26,634.8,634.8,625.0,627.09,0.75,22352.0,14016157.3,1,1
2025-05-25,621.0,636.1,620.0,622.43,-0.2,13129.0,8171140.2,-1,2
2025-05-22,618.0,626.0,608.0,623.7,1.89,29386.0,18238480.5,1,3
2025-05-21,620.8,633.2,611.5,612.15,0.57,19399.0,11975211.2,1,4
2025-05-20,609.0,611.0,600.0,608.71,0.91,12273.0,7440571.4,1,5
2025-05-19,602.09,610.0,600.1,603.24,0.19,9746.0,5872287.9,1,6
2025-05-18,602.7,606.0,600.0,602.09,-0.1,13367.0,8045711.4,-1,7
2025-05-15,603.0,607.0,600.0,602.7,0.09,13691.0,8260350.0,1,8
2025-05-14,603.09,605.0,601.0,602.14,-0.16,9926.0,5977625.6,-1,9
2025-05-13,607.0,610.0,600.0,603.09,-0.41,16124.0,9723098.8,-1,10
2025-05-11,607.0,609.0,603.1,605.59,-0.32,8913.0,5396284.2,-1,11
2025-05-08,602.0,610.9,602.0,607.56,-0.75,13787.0,8349883.3,-1,12
2025-05-07,600.0,614.8,600.0,612.13,1.98,10427.0,6319786.8,1,13
2025-05-06,602.5,603.0,597.1,600.24,-0.31,11897.0,7138170.4,-1,14
2025-05-05,601.0,605.0,600.0,602.09,-0.26,13041.0,7842037.3,-1,15
2025-05-04,603.2,606.8,603.0,603.63,0.37,17590.0,10621574.0,1,16
2025-04-30,608.36,612.0,600.0,601.42,-1.14,26084.0,15770932.1,-1,17
