published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-13,1169.60,1169.60,1169.60,1169.60,1.95,50.00,58480.00,1,1
2025-08-12,1127.0,1149.5,1127.0,1147.25,1.8,133.0,152584.3,1,1
2025-08-07,1127.0,1127.0,1127.0,1127.0,-2.0,35.0,39445.0,-1,1
2025-08-05,1150.0,1150.0,1150.0,1150.0,-0.17,40.0,46000.0,-1,1
2025-08-04,1152.0,1152.0,1152.0,1152.0,0.16,10.0,11520.0,1,1
2025-07-29,1150.2,1150.2,1150.2,1150.2,1.4,20.0,23004.0,1,1
2025-07-24,1134.3,1134.3,1134.3,1134.3,1.98,112.0,127041.6,1,1
2025-07-23,1112.3,1112.3,1112.3,1112.3,-2.0,25.0,27807.5,-1,1
2025-07-16,1157.0,1157.3,1135.0,1135.0,0.0,145.0,165569.5,0,1
2025-07-15,1135.0,1135.0,1135.0,1135.0,0.0,40.0,45400.0,0,1
2025-07-13,1135.0,1135.0,1135.0,1135.0,-0.2,40.0,45400.0,-1,1
2025-07-10,1137.3,1137.3,1137.3,1137.3,2.0,25.0,28432.5,1,1
2025-07-09,1115.0,1115.0,1115.0,1115.0,-0.18,25.0,27875.0,-1,1
2025-07-08,1117.0,1117.0,1117.0,1117.0,1.94,10.0,11170.0,1,1
2025-07-06,1090.9,1095.8,1090.9,1095.79,0.53,80.0,87541.0,1,1
2025-07-01,1090.4,1090.4,1090.0,1090.0,-0.96,30.0,32704.0,-1,1
2025-06-25,1100.6,1100.6,1100.6,1100.6,-1.73,25.0,27515.0,-1,1
2025-06-24,1120.0,1120.0,1120.0,1120.0,-0.44,25.0,28000.0,-1,1
2025-06-11,1125.0,1125.0,1125.0,1125.0,1.59,25.0,28125.0,1,1
2025-05-28,1107.4,1107.4,1107.4,1107.4,-2.0,25.0,27685.0,-1,1
2025-05-26,1125.0,1130.0,1125.0,1129.99,0.44,50.0,56499.5,1,1
2025-05-20,1125.0,1125.0,1125.0,1125.0,0.89,25.0,28125.0,1,2
2025-05-13,1109.1,1109.1,1109.1,1115.1,-1.32,26.0,28842.6,-1,3
2025-05-05,1132.2,1132.2,1125.0,1130.0,1.8,65.0,73380.0,1,4
2025-05-04,1110.0,1110.0,1110.0,1110.0,-0.17,25.0,27750.0,-1,5
2025-04-28,1111.9,1111.9,1111.9,1111.9,2.0,150.0,166785.0,1,6
