published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-11-24,306.00,309.00,303.00,309.00,0.00,200.00,61200.00,0,1
2016-11-23,312.00,311.00,306.00,306.00,0.00,2195.00,675327.00,0,2
2016-11-22,316.00,320.00,310.00,312.00,0.00,2811.00,887791.00,0,3
2016-11-21,321.00,320.00,305.00,316.00,0.00,3812.00,1192533.00,0,4
2016-11-20,321.00,321.00,303.00,321.00,0.00,743.00,233703.00,0,5
2016-11-17,331.00,325.00,321.00,321.00,0.00,125.00,40565.00,0,6
2016-11-16,339.00,337.00,331.00,331.00,0.00,679.00,225523.00,0,7
2016-11-15,345.00,345.00,339.00,339.00,0.00,3100.00,1061800.00,0,8
2016-11-14,350.00,352.00,345.00,345.00,0.00,3543.00,1232900.00,0,9
2016-11-13,364.00,357.00,345.00,350.00,0.00,3164.00,1107860.00,0,10
2016-11-10,360.00,364.00,353.00,364.00,0.00,2246.00,801022.00,0,11
2016-11-09,365.00,367.00,360.00,360.00,0.00,879.00,316790.00,0,12
2016-11-08,375.00,375.00,365.00,365.00,0.00,1278.00,469335.00,0,13
2016-11-07,378.00,381.00,373.00,375.00,0.00,1124.00,424184.00,0,14
2016-11-03,363.00,378.00,370.00,378.00,0.00,1290.00,482100.00,0,15
2016-10-27,358.00,366.00,363.00,363.00,0.00,1071.00,389496.00,0,16
2016-10-26,365.00,370.00,356.00,358.00,0.00,2060.00,746141.00,0,17
2016-10-25,365.00,365.00,360.00,365.00,0.00,86.00,31275.00,0,18
2016-10-24,380.00,379.00,365.00,365.00,0.00,1745.00,645185.00,0,19
2016-10-23,380.00,380.00,373.00,380.00,0.00,1191.00,448143.00,0,20
2016-10-20,380.00,386.00,379.00,380.00,0.00,1582.00,603505.00,0,21
2016-10-19,383.00,385.00,370.00,380.00,0.00,1073.00,404252.00,0,22
2016-10-18,390.00,390.00,383.00,383.00,0.00,1537.00,594749.00,0,23
2016-10-17,390.00,392.00,383.00,390.00,0.00,4405.00,1712500.00,0,24
2016-10-16,403.00,398.00,384.00,390.00,0.00,700.00,274900.00,0,25
2016-10-06,397.00,412.00,389.00,403.00,0.00,11968.00,4784389.00,0,26
2016-10-05,361.00,397.00,368.00,397.00,0.00,34261.00,13517894.00,0,27
2016-10-04,685.00,700.00,670.00,674.00,0.00,24824.00,16811732.00,0,28
2016-10-03,665.00,686.00,665.00,685.00,0.00,22788.00,15437765.00,0,29
2016-10-02,680.00,680.00,663.00,665.00,0.00,11554.00,7741427.00,0,30
2016-09-29,688.00,690.00,680.00,680.00,0.00,15860.00,10856104.00,0,31
2016-09-28,680.00,688.00,670.00,688.00,0.00,15416.00,10476379.00,0,32
2016-09-27,685.00,695.00,680.00,680.00,0.00,12345.00,8468266.00,0,33
2016-09-26,670.00,690.00,672.00,685.00,0.00,3872.00,2641059.00,0,34
2016-09-25,700.00,720.00,668.00,670.00,0.00,13396.00,9221217.00,0,35
2016-09-22,681.00,707.00,675.00,700.00,0.00,9411.00,6473069.00,0,36
2016-09-21,671.00,693.00,660.00,681.00,0.00,6164.00,4190894.00,0,37
2016-09-20,686.00,700.00,671.00,671.00,0.00,6272.00,4277792.00,0,38
2016-09-18,695.00,695.00,682.00,686.00,0.00,6208.00,4288360.00,0,39
2016-09-14,707.00,705.00,694.00,695.00,0.00,5158.00,3600528.00,0,40
2016-09-12,713.00,714.00,699.00,707.00,0.00,4282.00,3021753.00,0,41
2016-09-11,714.00,718.00,705.00,713.00,0.00,5784.00,4112675.00,0,42
2016-09-08,720.00,730.00,706.00,714.00,0.00,8145.00,5882073.00,0,43
2016-09-07,720.00,728.00,710.00,720.00,0.00,6936.00,4997961.00,0,44
2016-09-06,708.00,740.00,703.00,720.00,0.00,24425.00,17662032.00,0,45
2016-09-05,693.00,717.00,690.00,708.00,0.00,33871.00,23836964.00,0,46
2016-09-04,688.00,700.00,680.00,693.00,0.00,21167.00,14532498.00,0,47
2016-09-03,688.00,700.00,680.00,693.00,0.00,21167.00,14532498.00,0,48
2016-09-01,665.00,688.00,660.00,688.00,0.00,12024.00,8129525.00,0,49
2016-08-31,662.00,670.00,657.00,665.00,0.00,6146.00,4074770.00,0,50
2016-08-30,660.00,680.00,648.00,662.00,0.00,1590.00,1057204.00,0,51
2016-08-29,646.00,663.00,635.00,660.00,0.00,1536.00,999077.00,0,52
2016-08-28,656.00,656.00,645.00,646.00,0.00,1651.00,1074732.00,0,53
2016-08-24,655.00,661.00,645.00,656.00,0.00,2370.00,1543889.00,0,54
2016-08-23,650.00,663.00,636.00,655.00,0.00,2820.00,1833425.00,0,55
2016-08-22,671.00,669.00,650.00,650.00,0.00,3267.00,2151447.00,0,56
2016-08-21,669.00,682.00,663.00,671.00,0.00,7258.00,4867691.00,0,57
2016-08-17,660.00,682.00,661.00,669.00,0.00,4597.00,3093142.00,0,58
2016-08-16,640.00,661.00,636.00,660.00,0.00,8629.00,5587848.00,0,59
2016-08-15,666.00,653.00,629.00,640.00,0.00,6303.00,4045931.00,0,60
2016-08-14,680.00,672.00,658.00,666.00,0.00,4406.00,2920974.00,0,61
2016-08-11,678.00,704.00,680.00,680.00,0.00,9239.00,6388068.00,0,62
2016-08-10,617.00,678.00,629.00,678.00,0.00,9224.00,6119365.00,0,63
2016-08-08,661.00,655.00,617.00,617.00,0.00,1893.00,1213612.00,0,64
2016-08-07,665.00,691.00,661.00,661.00,0.00,4928.00,3323532.00,0,65
2016-08-04,687.00,690.00,661.00,665.00,0.00,7225.00,4816985.00,0,66
2016-08-03,670.00,687.00,650.00,687.00,0.00,5207.00,3474172.00,0,67
2016-08-02,685.00,700.00,667.00,670.00,0.00,6301.00,4280916.00,0,68
2016-08-01,698.00,700.00,675.00,685.00,0.00,7466.00,5120890.00,0,69
2016-07-31,700.00,705.00,695.00,698.00,0.00,6371.00,4460541.00,0,70
2016-07-28,698.00,710.00,691.00,700.00,0.00,13034.00,9121082.00,0,71
2016-07-27,695.00,705.00,688.00,698.00,0.00,18531.00,12942092.00,0,72
2016-07-26,687.00,714.00,675.00,695.00,0.00,12758.00,8821370.00,0,73
2016-07-25,625.00,687.00,630.00,687.00,0.00,27491.00,18203792.00,0,74
2016-07-21,580.00,634.00,575.00,625.00,0.00,25019.00,15135780.00,0,75
2016-07-20,584.00,605.00,580.00,580.00,0.00,8247.00,4880662.00,0,76
2016-07-19,570.00,602.00,565.00,584.00,0.00,9465.00,5486658.00,0,77
2016-07-18,570.00,591.00,555.00,570.00,0.00,5667.00,3275093.00,0,78
2016-07-17,553.00,572.00,555.00,570.00,0.00,8860.00,5031598.00,0,79
2016-07-14,535.00,553.00,535.00,553.00,0.00,4004.00,2191286.00,0,80
2016-07-13,535.00,535.00,522.00,535.00,0.00,5528.00,2912038.00,0,81
2016-07-12,553.00,545.00,525.00,535.00,0.00,7099.00,3821474.00,0,82
2016-07-11,540.00,570.00,545.00,553.00,0.00,9381.00,5229370.00,0,83
2016-07-10,534.00,543.00,533.00,540.00,0.00,8628.00,4639974.00,0,84
2016-07-06,538.00,540.00,530.00,534.00,0.00,5161.00,2767282.00,0,85
2016-07-05,536.00,548.00,535.00,538.00,0.00,14359.00,7787588.00,0,86
2016-07-04,545.00,554.00,525.00,536.00,0.00,8124.00,4372675.00,0,87
2016-07-03,510.00,548.00,500.00,545.00,0.00,17309.00,9166729.00,0,88
2016-06-30,505.00,510.00,500.00,510.00,0.00,7497.00,3774863.00,0,89
2016-06-29,501.00,522.00,501.00,505.00,0.00,9663.00,4920693.00,0,90
2016-06-28,480.00,504.00,481.00,501.00,0.00,15599.00,7691252.00,0,91
