published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-21,463.1,464.0,459.0,460.04,-0.68,13800.0,6361926.7,-1,1
2025-08-20,473.0,473.0,462.0,463.17,-0.58,13673.0,6359639.1,-1,1
2025-08-19,467.0,473.0,465.0,465.86,-0.02,12208.0,5718792.5,-1,1
2025-08-18,469.0,469.0,463.0,465.95,0.76,9391.0,4367970.2,1,1
2025-08-17,470.0,475.9,461.1,462.45,-1.27,20766.0,9714564.4,-1,1
2025-08-14,470.6,475.0,467.0,468.4,-0.44,17436.0,8202026.0,-1,1
2025-08-13,471.0,480.0,468.0,470.46,-0.04,17803.0,8395244.5,-1,1
2025-08-12,465.3,474.0,465.3,470.67,-0.01,21089.0,9941972.4,-1,1
2025-08-11,485.0,485.0,470.0,470.72,-1.52,35615.0,16863691.2,-1,1
2025-08-07,485.0,485.0,477.1,478.0,-0.15,23594.0,11336700.4,-1,1
2025-08-06,481.2,485.0,478.0,478.7,-0.52,27374.0,13176900.5,-1,1
2025-08-05,490.1,497.0,479.0,481.19,-1.28,38095.0,18511280.7,-1,1
2025-08-04,493.2,495.9,482.0,487.44,-0.59,22316.0,10887753.6,-1,1
2025-08-03,500.0,507.6,490.0,490.31,-1.49,41172.0,20447255.3,-1,1
2025-07-31,491.76,517.0,487.9,497.72,1.21,68047.0,33999003.5,1,1
2025-07-30,501.8,503.5,488.2,491.76,-1.92,43450.0,21588964.0,-1,1
2025-07-29,501.0,511.0,500.0,501.4,0.03,60818.0,30731186.5,1,1
2025-07-28,484.1,504.5,482.0,501.26,2.76,53620.0,26490366.9,1,1
2025-07-27,500.0,505.0,486.0,487.78,-1.81,94187.0,46413066.7,-1,1
2025-07-24,510.0,514.0,495.9,496.79,-3.06,88013.0,44268670.8,-1,1
2025-07-23,502.0,522.0,485.0,512.49,1.94,165860.0,83316513.7,1,1
2025-07-22,491.9,515.0,480.2,502.75,2.17,90810.0,45024307.4,1,1
2025-07-21,500.0,524.9,480.2,492.08,-2.48,147102.0,72621285.8,-1,1
2025-07-20,542.8,542.8,500.0,504.58,-8.88,534896.0,276466928.4,-1,1
2025-07-17,541.0,565.0,541.0,553.78,2.65,85962.0,47715355.6,1,1
2025-07-16,536.0,548.5,535.0,539.47,1.08,50766.0,27437098.5,1,1
2025-07-15,513.0,538.0,513.0,533.7,4.57,58590.0,31154714.6,1,1
2025-07-14,520.0,521.7,509.1,510.38,-1.73,40219.0,20588530.5,-1,1
2025-07-13,513.01,533.6,513.01,519.38,1.24,58788.0,30728660.6,1,1
2025-07-10,516.4,516.4,506.0,513.01,0.8,44826.0,22973970.5,1,1
2025-07-09,518.5,518.8,504.0,508.96,-0.22,30059.0,15317143.5,-1,1
2025-07-08,507.3,522.1,504.0,510.1,0.55,37867.0,19482590.7,1,1
2025-07-07,530.0,535.0,500.1,507.3,-4.59,78087.0,39913437.8,-1,1
2025-07-06,520.0,554.0,512.1,531.72,2.5,111563.0,59994511.6,1,1
2025-07-03,483.9,530.0,483.0,518.73,7.08,123624.0,63251214.0,1,1
