published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-26,9.01,9.20,9.01,9.03,-0.11,14000.00,127638.00,-1,1
2025-08-25,9.0,9.05,9.0,9.04,-1.09,300.0,2709.0,-1,1
2025-08-24,9.04,9.21,9.04,9.14,0.44,24100.0,220781.5,1,1
2025-08-21,9.1,9.1,9.04,9.1,0.66,21700.0,196815.94,1,1
2025-08-20,8.82,9.04,8.82,9.04,0.44,21400.0,193403.0,1,1
2025-08-19,8.95,9.06,8.89,9.0,-0.11,24800.0,222349.0,-1,1
2025-08-18,10.35,10.47,10.35,10.36,-0.29,46700.0,486616.5,-1,1
2025-08-17,10.52,10.52,10.31,10.39,0.68,72675.0,755576.04,1,1
2025-08-14,10.25,10.64,10.25,10.32,-1.15,98300.0,1028136.33,-1,1
2025-08-13,10.23,10.47,10.23,10.44,2.05,272205.0,2823964.5,1,1
2025-08-12,10.4,10.4,10.23,10.23,0.0,341700.0,3510113.8,0,1
2025-08-11,10.3,10.49,10.21,10.23,-0.68,336690.0,3466351.9,-1,1
2025-08-07,10.6,10.6,10.27,10.3,-1.44,2890900.0,30196475.0,-1,1
2025-08-06,10.7,10.7,10.37,10.45,-2.34,1827680.0,19453144.3,-1,1
2025-08-05,10.3,11.12,10.24,10.7,2.49,1162450.0,12000908.0,1,1
2025-08-04,10.15,10.59,10.15,10.44,2.96,1677350.0,17405867.5,1,1
2025-08-03,10.28,10.3,10.08,10.14,-2.97,974725.0,9888138.05,-1,1
2025-07-31,10.4,10.59,10.26,10.45,-1.42,655000.0,6842586.0,-1,1
2025-07-30,10.81,10.81,10.59,10.6,0.0,933800.0,10027627.0,0,1
2025-07-29,10.36,10.82,10.36,10.6,0.95,640100.0,6783676.0,1,1
2025-07-28,10.3,10.51,10.3,10.5,1.74,1387450.0,14529003.5,1,1
2025-07-27,10.45,10.46,10.32,10.32,-1.24,290200.0,3015104.0,-1,1
2025-07-24,10.3,10.46,10.3,10.45,1.75,22600.0,235638.0,1,1
2025-07-23,10.14,10.27,10.14,10.27,-0.39,5310.0,54419.1,-1,1
2025-07-22,10.11,10.4,10.11,10.31,0.59,2237395.0,22935871.9,1,1
2025-07-21,10.25,10.25,10.06,10.25,0.79,103000.0,1050584.0,1,1
2025-07-20,9.95,10.27,9.95,10.17,0.69,118550.0,1209790.5,1,1
2025-07-17,9.91,10.13,9.91,10.1,0.6,500535.0,5062367.9,1,1
2025-07-16,9.82,10.08,9.82,10.04,2.45,71300.0,717873.0,1,1
2025-07-15,9.98,10.12,9.73,9.8,-2.2,513956.0,5082075.8,-1,1
2025-07-14,9.95,10.11,9.95,10.02,-0.5,133830.0,1351905.1,-1,1
