published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-07,10.60,10.70,10.60,10.70,-0.83,1000.00,10610.00,-1,1
2025-07-06,10.53,10.79,10.5,10.79,0.75,20000.0,213227.0,1,1
2025-07-03,10.5,10.92,10.5,10.71,0.0,28874.0,309231.0,0,1
2025-07-02,10.7,10.71,10.33,10.71,2.0,11600.0,121936.0,1,1
2025-07-01,10.5,10.79,10.49,10.5,-1.87,4200.0,44515.0,-1,1
2025-06-30,10.5,10.7,10.5,10.7,-0.09,5050.0,53265.0,-1,1
2025-06-29,10.7,10.92,10.5,10.71,2.0,29650.0,313600.5,1,1
2025-06-26,10.98,10.98,10.4,10.5,-2.78,16400.0,171341.0,-1,1
2025-06-25,10.8,10.8,10.38,10.8,1.89,21700.0,228224.0,1,1
2025-06-24,10.35,11.33,10.35,10.6,2.91,21800.0,226106.0,1,1
2025-06-23,10.31,10.31,10.3,10.3,-0.96,600.0,6181.0,-1,1
2025-06-22,10.6,10.6,10.4,10.4,-3.79,2700.0,28580.0,-1,1
2025-06-19,10.81,10.81,10.81,10.81,-1.64,100.0,1081.0,-1,1
2025-06-18,10.94,10.99,10.8,10.99,0.83,76000.0,832665.0,1,1
2025-06-17,10.62,10.9,10.62,10.9,0.65,38565.0,416525.5,1,1
2025-06-16,10.41,10.83,10.4,10.83,6.07,30175.0,319928.0,1,1
2025-06-15,10.05,10.26,10.05,10.21,-0.2,151100.0,1542654.0,-1,1
2025-06-12,10.3,10.3,10.23,10.23,-1.92,1000.0,10251.0,-1,1
2025-06-11,10.21,10.43,10.2,10.43,1.96,6150.0,62867.5,1,1
2025-06-10,10.23,10.23,10.23,10.23,0.1,560.0,5728.8,1,1
2025-06-08,10.38,10.41,10.21,10.22,-3.49,24600.0,251586.0,-1,1
2025-06-04,10.59,10.59,10.59,10.59,-1.94,100.0,1059.0,-1,1
2025-06-03,10.71,10.8,10.71,10.8,2.86,18936.0,204328.8,1,2
2025-06-02,10.45,10.5,10.45,10.5,1.94,7619.0,79890.75,1,1
2025-05-28,10.1,10.3,10.1,10.3,0.88,950.0,9702.0,1,1
2025-05-27,10.01,10.21,10.01,10.21,0.0,11500.0,116520.0,0,2
2025-05-26,10.4,10.4,10.21,10.21,-1.83,1300.0,13444.0,-1,1
2025-05-25,10.4,10.4,10.25,10.4,-0.48,14470.0,148888.0,-1,2
