published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-07,307.70,309.70,304.00,304.67,-0.83,196319.00,60254133.10,-1,1
2025-09-04,304.7,308.0,301.2,307.21,0.77,245825.0,74954583.2,1,1
2025-09-03,305.0,308.0,304.1,304.85,-0.24,181896.0,55572073.7,-1,1
2025-09-02,309.0,309.0,305.0,305.57,-0.29,114666.0,35060710.3,-1,1
2025-09-01,306.0,308.4,303.0,306.47,0.27,143797.0,43925792.9,1,1
2025-08-31,310.0,310.0,303.1,305.65,-0.69,219214.0,67154170.6,-1,1
2025-08-28,320.0,321.0,307.0,307.77,-2.99,421934.0,131989029.8,-1,1
2025-08-27,305.0,318.9,304.0,317.24,4.22,472277.0,147899578.2,1,1
2025-08-26,310.0,310.0,303.0,304.39,-0.57,82220.0,25024055.0,-1,1
2025-08-25,305.0,307.0,300.1,306.13,1.06,178204.0,54159547.2,1,1
2025-08-24,307.0,310.9,302.0,302.92,-1.43,221286.0,67495829.3,-1,1
2025-08-21,305.2,309.9,304.1,307.32,0.51,223945.0,68707183.5,1,1
2025-08-20,306.5,309.0,304.0,305.75,0.25,162623.0,49800750.4,1,1
2025-08-19,313.9,313.9,304.5,304.98,-1.24,143741.0,44092480.9,-1,1
2025-08-18,303.3,310.8,303.3,308.8,1.27,178934.0,55047033.0,1,1
2025-08-17,303.0,308.7,303.0,304.93,0.75,231323.0,70570601.6,1,1
2025-08-14,306.0,306.0,299.9,302.67,0.39,182938.0,55291474.6,1,1
2025-08-13,299.2,308.0,299.2,301.5,0.76,179705.0,54407280.4,1,1
2025-08-12,300.0,306.0,298.0,299.24,-1.05,279912.0,84239123.3,-1,1
2025-08-11,315.2,317.0,301.0,302.43,-3.75,401423.0,123220740.4,-1,1
2025-08-07,307.0,317.0,306.1,314.21,2.1,329043.0,102785741.9,1,1
2025-08-06,315.0,315.0,307.1,307.75,-1.2,220025.0,68158626.3,-1,1
2025-08-05,319.0,320.0,311.0,311.48,-1.53,439334.0,138133848.1,-1,1
2025-08-04,318.5,320.0,310.1,316.33,1.29,530341.0,167205197.0,1,1
2025-08-03,322.0,322.0,311.0,312.31,-2.38,515830.0,162631752.2,-1,1
2025-07-31,322.0,328.0,318.0,319.94,-1.4,731612.0,235235915.9,-1,1
2025-07-30,343.0,343.0,322.1,324.48,-3.59,797347.0,262699665.9,-1,1
2025-07-29,340.0,347.8,333.5,336.56,0.54,839829.0,285089119.9,1,1
2025-07-28,325.0,337.0,321.2,334.76,2.63,1180842.0,388861637.7,1,1
2025-07-27,334.0,346.0,320.0,326.17,-0.98,1487589.0,495405675.5,-1,1
2025-07-24,320.0,331.0,319.1,329.4,3.46,969566.0,314694774.7,1,1
2025-07-23,309.0,321.0,309.0,318.39,3.94,1002833.0,315665479.5,1,1
2025-07-22,300.2,308.0,300.1,306.31,2.01,465185.0,141648569.6,1,1
2025-07-21,298.0,302.9,295.0,300.26,1.05,478206.0,143502289.2,1,1
2025-07-20,300.0,308.0,295.2,297.13,0.04,641978.0,194110331.1,1,1
2025-07-17,289.1,300.0,289.1,297.0,2.99,452739.0,134473869.9,1,1
2025-07-16,292.7,293.9,288.0,288.37,-0.68,299862.0,86916484.2,-1,1
2025-07-15,287.0,291.9,285.0,290.33,2.22,240866.0,69713917.9,1,1
2025-07-14,281.1,285.5,280.0,284.02,0.85,163189.0,46298607.8,1,1
2025-07-13,289.0,294.9,281.0,281.63,-0.72,296538.0,84686136.0,-1,1
2025-07-10,292.8,292.8,283.0,283.67,-1.67,271521.0,77466139.6,-1,1
2025-07-09,289.0,293.7,285.0,288.49,0.67,246461.0,71292256.4,1,1
2025-07-08,280.0,287.8,278.2,286.57,1.68,253889.0,71870680.4,1,1
2025-07-07,288.0,288.0,281.0,281.83,-1.42,248201.0,70180880.5,-1,1
2025-07-06,295.0,295.0,285.2,285.89,-2.22,281109.0,81027537.7,-1,1
2025-07-03,293.0,296.7,288.4,292.39,0.29,406408.0,118993101.5,1,1
2025-07-02,295.5,300.0,290.2,291.55,-0.34,349575.0,102838910.9,-1,1
2025-07-01,288.0,296.0,287.2,292.54,2.09,370051.0,108154050.2,1,1
2025-06-30,290.1,294.9,286.0,286.54,-1.83,715939.0,206851464.5,-1,1
2025-06-29,293.1,296.0,287.7,291.88,-1.08,473506.0,138080800.2,-1,1
2025-06-26,305.0,308.0,294.6,295.08,-2.43,1053584.0,316182125.7,-1,1
2025-06-25,300.1,306.0,297.0,302.44,0.09,388318.0,117039881.9,1,1
2025-06-24,312.5,314.0,300.3,302.16,-1.38,575925.0,176754741.1,-1,1
2025-06-23,297.5,308.0,290.0,306.39,3.07,791065.0,236882054.9,1,1
2025-06-22,305.0,313.5,296.8,297.27,-4.15,1283659.0,389307256.9,-1,1
2025-06-19,327.5,329.9,308.1,310.13,-3.43,1507822.0,479113731.7,-1,1
2025-06-18,302.9,322.0,295.0,321.13,8.09,1973170.0,618090465.8,1,1
2025-06-17,298.1,302.0,290.5,297.1,1.63,718567.0,212671519.2,1,1
2025-06-16,277.6,304.0,277.6,292.34,3.23,1937325.0,577476225.0,1,1
2025-06-15,285.0,291.0,281.0,283.18,-0.64,435502.0,124281360.8,-1,1
2025-06-12,282.0,297.5,282.0,284.99,-0.54,837660.0,244045507.0,-1,1
2025-06-11,280.0,287.5,276.2,286.55,2.86,509508.0,144539521.5,1,1
