published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-07,444.0,444.0,434.0,436.75,0.08,39656.0,17330215.6,1,1
2025-08-06,440.0,444.0,436.0,436.39,-0.9,42717.0,18772657.6,-1,1
2025-08-05,455.0,455.0,440.0,440.34,-1.31,66522.0,29471857.8,-1,1
2025-08-04,447.0,447.7,440.0,446.19,1.39,92244.0,40823544.6,1,1
2025-08-03,460.0,460.0,438.2,440.08,-3.39,147690.0,65557122.3,-1,1
2025-07-31,465.0,466.0,453.0,455.52,-1.62,127604.0,58588936.8,-1,1
2025-07-30,482.0,485.0,461.0,463.0,-4.23,131717.0,61901105.9,-1,1
2025-07-29,489.0,499.0,482.2,483.46,-1.33,163983.0,79842828.9,-1,1
2025-07-28,475.0,493.0,468.0,490.0,3.39,425513.0,205103865.6,1,1
2025-07-27,466.77,478.3,461.0,473.92,1.53,299849.0,141122171.1,1,1
2025-07-24,455.6,470.0,455.6,466.77,0.79,178635.0,82851457.2,1,1
2025-07-23,470.0,470.0,458.0,463.1,-0.73,158258.0,73345849.6,-1,1
2025-07-22,445.0,476.0,445.0,466.49,3.3,381669.0,178500838.2,1,1
2025-07-21,441.9,459.0,439.0,451.6,2.44,318195.0,143811204.6,1,1
2025-07-20,440.0,448.0,437.1,440.86,0.23,218508.0,96915257.2,1,1
2025-07-17,436.0,445.0,433.0,439.84,1.82,116335.0,51078901.3,1,1
2025-07-16,422.0,434.8,418.0,431.97,3.34,126073.0,54080820.0,1,1
2025-07-15,418.0,420.0,415.0,418.01,0.57,55367.0,23123978.2,1,1
2025-07-14,425.0,425.0,415.0,415.65,-1.1,34747.0,14475442.3,-1,1
2025-07-13,421.6,430.0,413.0,420.29,1.68,105482.0,44315825.9,1,1
2025-07-10,407.8,415.5,401.0,413.35,1.92,83281.0,34244318.3,1,1
2025-07-09,405.0,406.9,403.0,405.58,0.62,24468.0,9912795.8,1,1
2025-07-08,406.4,406.4,401.0,403.1,0.1,28782.0,11584143.6,1,1
2025-07-07,400.0,406.7,400.0,402.71,-0.56,37152.0,15028461.0,-1,1
