published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-08,1926.00,1973.00,1862.00,1899.00,-1.91,1663.00,3149881.00,-1,1
2025-06-05,1935.3,1960.0,1935.3,1936.0,-1.07,361.0,702451.6,-1,1
2025-06-04,1959.9,1980.0,1941.3,1957.0,0.16,570.0,1120878.0,1,1
2025-06-03,1976.0,1976.0,1937.2,1953.83,-1.84,580.0,1130741.5,-1,2
2025-06-02,2025.0,2039.0,1990.0,1990.38,-1.61,769.0,1541634.0,-1,1
2025-05-28,2080.0,2083.0,2010.0,2023.0,-1.06,892.0,1804029.0,-1,1
2025-05-27,2050.0,2071.8,2035.0,2044.64,-1.35,654.0,1339552.0,-1,2
2025-05-26,2172.0,2172.0,2070.0,2072.72,-2.68,1020.0,2154945.0,-1,1
2025-05-25,2120.0,2161.8,2100.0,2129.89,2.43,1794.0,3832192.1,1,2
2025-05-22,2022.0,2091.1,2022.0,2079.43,4.35,1558.0,3222864.4,1,3
2025-05-21,2059.0,2099.0,1990.0,1992.78,-1.32,1201.0,2416799.0,-1,4
2025-05-20,1996.0,2038.0,1970.2,2019.5,0.91,1050.0,2096273.9,1,5
2025-05-19,2000.0,2029.0,1990.0,2001.25,-0.5,1200.0,2398211.2,-1,6
2025-05-18,1950.0,2020.0,1950.0,2011.23,2.74,2040.0,4067219.6,1,7
2025-05-15,1901.0,1997.1,1901.0,1957.5,1.93,1397.0,2735524.2,1,8
2025-05-14,1911.1,1946.0,1911.0,1920.51,0.55,821.0,1582159.0,1,9
2025-05-13,1940.0,1965.0,1910.0,1910.0,-1.81,1144.0,2215806.0,-1,10
2025-05-11,1935.0,1950.0,1935.0,1945.22,-0.4,1006.0,1952436.0,-1,11
2025-05-08,1945.0,1976.5,1920.4,1952.95,0.58,728.0,1417438.6,1,12
2025-05-07,1917.1,1971.0,1898.8,1941.76,0.22,2050.0,3944642.0,1,13
2025-05-06,1950.0,1950.0,1921.0,1937.5,-0.64,1102.0,2134800.0,-1,14
2025-05-05,1991.9,1995.1,1950.0,1950.0,-0.31,644.0,1264400.9,-1,15
2025-05-04,1901.0,1999.0,1858.0,1956.0,1.2,2501.0,4766898.0,1,16
2025-04-30,1990.0,2000.0,1930.0,1932.83,-2.87,2384.0,4634032.7,-1,17
2025-04-29,2020.0,2046.6,1988.0,1990.0,-1.49,1132.0,2255758.0,-1,18
2025-04-28,2046.6,2046.8,1990.0,2020.0,-0.34,1329.0,2666844.0,-1,19
2025-04-27,2095.0,2136.0,2000.0,2026.97,-3.41,2925.0,5942848.1,-1,20
2025-04-24,2115.1,2155.0,2095.0,2098.43,-2.54,1043.0,2207949.0,-1,21
2025-04-23,2124.1,2164.0,2110.0,2153.1,-0.55,573.0,1228157.0,-1,22
2025-04-22,2165.0,2208.0,2142.0,2165.03,-1.72,1121.0,2423093.0,-1,23
2025-04-21,2140.2,2214.0,2140.2,2203.01,1.42,1122.0,2466411.6,1,24
2025-04-20,2200.0,2200.0,2172.0,2172.1,-1.44,610.0,1328852.0,-1,25
2025-04-17,2210.0,2215.0,2169.1,2203.84,0.34,2000.0,4366582.6,1,26
2025-04-16,2198.0,2208.0,2165.0,2196.27,1.21,898.0,1964480.8,1,27
2025-04-15,2150.0,2198.3,2140.0,2170.0,0.74,1199.0,2618828.0,1,28
2025-04-13,2150.0,2182.0,2129.1,2153.98,0.03,723.0,1563439.0,1,29
2025-04-10,2168.3,2182.0,2150.2,2153.34,-0.71,700.0,1513717.0,-1,30
2025-04-09,2190.0,2199.9,2154.0,2168.78,-1.19,456.0,992488.0,-1,31
2025-04-08,2110.2,2200.0,2083.3,2194.93,2.24,1104.0,2355992.0,1,32
2025-04-07,2136.0,2161.0,2136.0,2146.87,-1.36,754.0,1620325.1,-1,33
2025-04-03,2182.0,2259.0,2137.0,2176.4,-1.75,2211.0,4807003.0,-1,34
2025-04-02,2248.9,2256.0,2185.2,2215.16,0.23,1621.0,3588491.5,1,35
2025-04-01,2241.0,2286.0,2190.0,2210.11,-2.67,1984.0,4396976.0,-1,36
2025-03-30,2230.0,2349.0,2202.0,2270.65,2.63,3903.0,8974801.3,1,37
2025-03-27,2012.0,2213.2,2012.0,2212.41,9.96,4891.0,10588863.3,1,38
2025-03-26,2002.0,2037.0,1976.1,2012.05,0.49,1032.0,2072950.9,1,39
2025-03-25,2051.0,2090.0,1990.0,2002.19,-4.23,1688.0,3420074.0,-1,40
2025-03-24,2050.0,2124.0,2030.0,2090.64,0.34,1492.0,3101151.4,1,41
2025-03-23,2150.0,2250.0,2075.1,2083.65,-4.69,2661.0,5681009.8,-1,42
2025-03-20,2165.0,2245.9,2162.0,2186.22,0.32,1505.0,3294284.4,1,43
2025-03-19,2217.0,2248.8,2177.4,2179.2,-1.2,1841.0,4055790.8,-1,44
2025-03-18,2295.0,2295.0,2205.5,2205.6,-2.67,1702.0,3788559.0,-1,45
2025-03-17,2195.1,2310.0,2195.1,2266.0,1.18,890.0,2016763.8,1,46
2025-03-16,2285.0,2292.0,2239.3,2239.5,-2.21,2392.0,5415878.5,-1,47
2025-03-12,2311.0,2340.0,2290.0,2290.0,-1.93,1467.0,3396775.3,-1,48
2025-03-11,2351.0,2377.0,2326.0,2335.0,-0.98,2213.0,5170539.8,-1,49
2025-03-10,2402.0,2450.0,2353.0,2358.0,0.08,1949.0,4631767.4,1,50
2024-12-12,2558.9,2558.9,2414.0,2432.0,-3.07,3234.0,7972077.5,-1,1
2024-12-11,2536.0,2536.0,2449.1,2509.0,0.4,2935.0,7237556.0,1,1
2024-12-10,2406.1,2499.0,2406.1,2499.0,2.25,3129.0,7624195.8,1,2
2024-12-09,2445.0,2475.0,2413.0,2444.0,-0.29,1773.0,4306573.0,-1,3
2024-12-08,2537.0,2538.0,2435.1,2451.0,-1.57,4134.0,10149362.2,-1,4
2024-12-05,2509.0,2520.0,2450.1,2490.0,-0.36,2816.0,6951527.0,-1,5
2024-12-04,2510.0,2530.0,2476.5,2499.0,0.64,1707.0,4269444.5,1,6
2024-12-03,2529.0,2550.0,2483.0,2483.0,-1.82,2039.0,5102613.0,-1,7
2024-12-02,2599.0,2599.0,2465.0,2529.0,-0.78,4524.0,11392748.5,-1,8
2024-12-01,2540.0,2620.0,2540.0,2549.0,0.31,4090.0,10540530.8,1,9
2024-11-28,2550.1,2610.0,2540.5,2541.0,-1.09,4384.0,11259385.6,-1,10
2024-11-27,2506.0,2609.0,2506.0,2569.0,1.14,5122.0,13160341.0,1,11
2024-11-26,2520.0,2631.0,2489.2,2540.0,2.01,2650.0,6694016.0,1,12
2024-11-25,2595.0,2595.9,2475.0,2490.0,-2.16,3368.0,8402197.7,-1,13
2024-11-24,2650.0,2675.0,2505.2,2545.0,-3.74,6812.0,17516972.2,-1,14
2024-11-21,2660.0,2752.9,2601.0,2644.0,0.92,8350.0,22328230.5,1,15
2024-11-20,2610.0,2676.9,2600.1,2620.0,1.24,7331.0,19356128.0,1,16
2024-11-19,2506.0,2635.0,2505.6,2588.0,1.37,12112.0,31035690.7,1,17
2024-11-17,2600.0,2680.0,2528.1,2553.1,0.1,25460.0,65758319.2,1,18
2024-11-14,2574.9,2760.0,2550.0,2550.5,1.03,19817.0,52268523.7,1,19
2024-11-13,2340.0,2524.5,2340.0,2524.5,10.0,30362.0,75945627.0,1,20
2024-11-12,2375.0,2376.9,2240.0,2295.0,-2.08,9536.0,21767421.8,-1,21
2024-11-11,2130.0,2343.7,2130.0,2343.7,10.0,16877.0,39015490.9,1,22
2024-11-10,1945.0,2130.7,1945.0,2130.7,10.0,10924.0,22615277.7,1,23
2024-11-06,1905.5,1945.0,1902.1,1937.0,0.89,2992.0,5777295.5,1,24
2024-11-05,1938.0,1976.0,1900.0,1920.0,1.05,2439.0,4720168.0,1,25
2024-10-30,1871.3,1958.0,1860.0,1900.0,0.58,3535.0,6713724.6,1,26
2024-10-29,1856.0,1889.0,1852.0,1889.0,1.02,1417.0,2652797.6,1,27
