published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2022-01-31,1050.00,1050.00,1050.00,1050.00,-1.41,23504.00,24679200.00,-1,1
2022-01-30,1065.00,1065.00,1065.00,1065.00,0.00,36890.00,39287850.00,0,2
2021-10-11,911.00,911.00,911.00,911.00,0.00,100000.00,91100000.00,0,3
2021-10-05,911.00,911.00,911.00,911.00,0.00,150000.00,136650000.00,0,4
2021-10-03,911.00,911.00,911.00,911.00,0.00,150000.00,136650000.00,0,5
2021-09-30,911.00,911.00,911.00,911.00,0.00,100000.00,91100000.00,0,6
2021-01-11,1009.00,1009.00,1009.00,1009.00,0.00,47471.00,47898239.00,0,7
2019-07-29,440.00,440.00,440.00,440.00,-26.67,200.00,88000.00,-1,8
2018-07-19,600.00,600.00,600.00,600.00,0.00,7235.00,4341000.00,0,9
2017-12-06,1220.00,1196.00,1196.00,1196.00,0.00,9991.00,11949236.00,0,10
2017-11-02,1220.00,1220.00,1220.00,1220.00,0.00,500.00,610000.00,0,11
2017-10-29,1220.00,1220.00,1220.00,1220.00,0.00,30000.00,36600000.00,0,12
2017-08-03,1200.00,1220.00,1220.00,1220.00,0.00,500.00,610000.00,0,13
2017-03-16,1320.00,1294.00,1294.00,1294.00,0.00,16603.00,21484282.00,0,14
2016-10-26,1346.00,1320.00,1320.00,1320.00,0.00,17707.00,23373240.00,0,15
2016-09-29,1346.00,1346.00,1346.00,1346.00,0.00,15985.00,21515810.00,0,16
2016-09-28,1346.00,1346.00,1346.00,1346.00,0.00,16000.00,21536000.00,0,17
2016-09-11,1458.00,1429.00,1320.00,1346.00,0.00,17667.00,23323390.00,0,18
2016-09-08,1578.00,1547.00,1458.00,1458.00,0.00,40.00,60090.00,0,19
2016-08-31,1578.00,1578.00,1578.00,1578.00,0.00,11566.00,18251148.00,0,20
2016-08-30,1578.00,1578.00,1578.00,1578.00,0.00,9000.00,14202000.00,0,21
2016-08-29,1578.00,1578.00,1578.00,1578.00,0.00,15000.00,23670000.00,0,22
2016-08-28,1578.00,1578.00,1578.00,1578.00,0.00,20000.00,31560000.00,0,23
2016-08-24,1578.00,1578.00,1578.00,1578.00,0.00,15000.00,23670000.00,0,24
2016-08-23,1610.00,1578.00,1578.00,1578.00,0.00,10000.00,15780000.00,0,25
2016-08-22,1640.00,1610.00,1610.00,1610.00,0.00,15500.00,24955000.00,0,26
2016-08-21,1740.00,1706.00,1640.00,1640.00,0.00,15000.00,24649000.00,0,27
2016-08-11,1740.00,1740.00,1740.00,1740.00,0.00,33540.00,58359600.00,0,28
2016-08-10,1775.00,1740.00,1740.00,1740.00,0.00,20000.00,34800000.00,0,29
2016-06-19,1775.00,1775.00,1775.00,1775.00,0.00,60899.00,108095728.00,0,30
2015-08-09,367.00,367.00,367.00,367.00,0.00,6037.00,2215579.00,0,31
2015-07-09,360.00,367.00,367.00,367.00,0.00,6202.00,2276134.00,0,32
2015-02-24,403.00,403.00,403.00,403.00,0.00,30822.00,12421266.00,0,33
2014-12-15,411.00,403.00,403.00,403.00,0.00,10000.00,4030000.00,0,34
2014-10-21,419.00,411.00,411.00,411.00,0.00,29465.00,12110115.00,0,35
2014-09-04,419.00,419.00,419.00,419.00,0.00,56966.00,23868754.00,0,36
2014-07-15,419.00,419.00,419.00,419.00,0.00,12000.00,5028000.00,0,37
2014-06-11,442.00,442.00,419.00,419.00,0.00,81200.00,34023700.00,0,38
