published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-05-09,228.00,228.00,228.00,228.00,0.00,23065.00,5258820.00,0,1
2023-05-21,172.00,172.00,172.00,172.00,0.00,3933.00,676476.00,0,2
2023-01-25,193.00,193.00,193.00,193.00,0.00,3000.00,579000.00,0,3
2020-10-15,120.00,120.00,120.00,120.00,0.00,21692.00,2603040.00,0,4
2020-10-14,120.00,120.00,120.00,120.00,0.00,4209.00,505080.00,0,5
2019-12-08,120.00,120.00,120.00,120.00,0.00,64498.00,7739760.00,0,6
2019-12-03,120.00,120.00,120.00,120.00,0.00,19210.00,2305200.00,0,7
2019-11-28,120.00,120.00,120.00,120.00,0.00,18232.00,2187840.00,0,8
2019-11-25,120.00,120.00,120.00,120.00,0.00,11064.00,1327680.00,0,9
2018-06-17,120.00,120.00,120.00,120.00,0.00,44433.00,5331960.00,0,10
2013-07-15,195.00,195.00,195.00,195.00,0.00,5326.00,1038570.00,0,11
2012-10-02,195.00,195.00,195.00,195.00,0.00,2000.00,390000.00,0,12
2011-10-17,195.00,195.00,195.00,195.00,0.00,5208.00,1015560.00,0,13
2011-07-12,0.00,195.00,195.00,195.00,0.00,11360.00,2215200.00,0,14
