published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-12-21,20.09,20.09,20.09,20.09,0.00,10000.00,200900.00,0,1
2017-12-18,19.70,20.09,19.73,20.09,0.00,12000.00,240360.00,0,2
2017-12-17,20.00,19.70,19.70,19.70,0.00,20000.00,394000.00,0,3
2017-12-14,20.30,20.10,20.00,20.00,0.00,8500.00,170500.00,0,4
2017-12-11,20.50,20.31,20.30,20.30,0.00,3000.00,60920.00,0,5
2017-12-10,20.70,20.50,20.50,20.50,0.00,1000.00,20500.00,0,6
2017-12-06,20.72,20.70,20.70,20.70,0.00,8000.00,165600.00,0,7
2017-12-05,20.73,21.14,20.72,20.72,0.00,10000.00,209300.00,0,8
2017-12-04,21.15,20.73,20.73,20.73,0.00,5000.00,103650.00,0,9
2017-11-27,21.15,21.20,21.15,21.15,0.00,8500.00,180050.00,0,10
2017-11-26,21.10,21.20,21.15,21.15,0.00,4000.00,84710.00,0,11
2017-11-23,21.09,21.10,21.10,21.10,0.00,10000.00,211000.00,0,12
2017-11-20,21.10,21.52,21.09,21.09,0.00,7700.00,162651.00,0,13
2017-11-16,21.70,21.30,21.10,21.10,0.00,6000.00,126800.00,0,14
2017-11-15,21.30,21.70,21.70,21.70,0.00,1000.00,21700.00,0,15
2017-11-14,21.30,21.73,21.30,21.30,0.00,21200.00,454460.00,0,16
2017-11-01,21.30,21.30,21.30,21.30,0.00,7700.00,164010.00,0,17
2017-10-30,21.30,21.70,21.30,21.30,0.00,35000.00,751000.00,0,18
2017-10-29,21.59,21.60,21.30,21.30,0.00,18910.00,405675.00,0,19
2017-10-25,21.65,21.73,21.59,21.59,0.00,35500.00,770665.00,0,20
2017-10-24,21.80,21.80,21.51,21.65,0.00,31000.00,674010.00,0,21
2017-10-23,21.88,21.80,21.80,21.80,0.00,8500.00,185300.00,0,22
2017-10-22,21.90,21.89,21.80,21.88,0.00,37000.00,808030.00,0,23
2017-10-18,21.46,21.99,21.80,21.90,0.00,59000.00,1291730.00,0,24
2017-10-17,21.65,21.90,21.46,21.46,0.00,31000.00,672700.00,0,25
2017-10-16,20.81,21.65,21.20,21.65,0.00,24550.00,523156.00,0,26
2017-10-15,20.40,20.81,20.81,20.81,0.00,5000.00,104050.00,0,27
2017-10-11,20.10,20.40,20.40,20.40,0.00,10000.00,204000.00,0,28
2017-10-10,20.11,20.10,19.71,20.10,0.00,10600.00,212670.00,0,29
2017-10-09,20.11,20.12,20.10,20.11,0.00,33630.00,676319.00,0,30
2017-10-08,20.80,20.50,20.11,20.11,0.00,36000.00,726290.00,0,31
2017-10-04,20.30,20.80,20.71,20.80,0.00,10000.00,207550.00,0,32
2017-10-03,20.50,20.30,20.30,20.30,0.00,100.00,2030.00,0,33
2017-09-26,20.81,21.23,20.50,20.50,0.00,42400.00,886113.00,0,34
2017-09-25,20.80,21.10,20.81,20.81,0.00,14200.00,299091.00,0,35
2017-09-18,20.70,21.35,20.80,20.80,0.00,43600.00,914400.00,0,36
