published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-27,894.5,900.0,851.7,865.47,-1.31,10851.0,9509347.1,-1,1
2025-08-26,866.8,883.5,864.0,876.98,1.17,1969.0,1726691.0,1,1
2025-08-25,897.0,914.9,823.0,866.8,-3.54,103813.0,90955118.8,-1,1
2025-08-24,908.0,924.0,890.0,898.63,-1.12,3591.0,3227118.2,-1,1
2025-08-21,923.1,924.0,908.0,908.85,-1.54,3557.0,3243046.0,-1,1
2025-08-20,928.0,945.0,914.0,923.11,-0.39,3247.0,3006243.2,-1,1
2025-08-19,912.6,948.0,895.0,926.75,-0.47,3068.0,2840525.0,-1,1
2025-08-18,914.1,950.0,914.1,931.17,-0.05,4120.0,3807537.6,-1,1
2025-08-17,950.0,958.0,900.0,931.65,-2.66,10269.0,9427480.2,-1,1
2025-08-14,950.1,1015.8,950.1,957.1,-0.09,9065.0,8747707.0,-1,1
2025-08-13,1020.0,1029.8,950.0,957.96,-7.22,14593.0,14331553.4,-1,1
2025-08-12,1160.0,1163.0,1032.4,1032.51,-9.99,14000.0,14689138.1,-1,1
2025-08-11,1155.0,1170.0,1083.4,1147.06,-2.41,21811.0,25108518.5,-1,1
2025-08-07,1091.8,1177.0,1040.0,1175.41,9.81,41124.0,47142546.4,1,1
2025-08-06,1010.2,1079.0,1010.2,1070.44,3.85,8304.0,8738863.4,1,1
2025-08-05,1025.0,1050.6,1020.1,1030.8,1.0,5628.0,5815473.1,1,1
2025-08-04,952.0,1029.0,952.0,1020.59,5.07,16051.0,16052510.1,1,1
2025-08-03,1009.0,1012.0,960.1,971.35,-5.58,5519.0,5476953.9,-1,1
2025-07-31,1005.0,1039.4,984.0,1028.76,2.47,8507.0,8708846.3,1,1
2025-07-30,940.0,1040.0,940.0,1003.92,5.16,7939.0,7981391.6,1,1
2025-07-29,945.0,979.0,945.0,954.67,0.66,4624.0,4469617.4,1,1
2025-07-28,925.4,963.0,925.4,941.14,-0.33,3706.0,3487871.0,-1,1
2025-07-27,923.0,977.0,923.0,944.27,0.45,5791.0,5474928.8,1,1
2025-07-24,919.7,957.1,919.7,940.04,0.18,2107.0,1976465.0,1,1
2025-07-23,943.3,962.1,907.0,938.37,1.46,3593.0,3368236.0,1,1
2025-07-22,901.0,972.7,895.0,924.83,2.83,3561.0,3284091.5,1,1
2025-07-21,885.9,907.0,885.0,899.35,-0.5,3411.0,3053629.0,-1,1
2025-07-20,891.2,937.0,880.0,903.91,1.45,5815.0,5272975.6,1,1
2025-07-17,875.0,892.0,870.0,890.96,3.54,3315.0,2938145.9,1,1
2025-07-16,855.0,880.0,855.0,860.53,-1.27,2900.0,2511214.0,-1,1
2025-07-15,861.4,881.0,861.4,871.64,-0.81,787.0,688174.5,-1,1
2025-07-14,862.8,896.0,855.0,878.79,-0.18,771.0,675420.5,-1,1
2025-07-13,875.0,889.9,875.0,880.39,0.3,2276.0,2006260.0,1,1
2025-07-10,883.0,895.0,853.0,877.77,1.26,3295.0,2898715.0,1,1
2025-07-09,840.0,890.4,840.0,866.84,1.28,3654.0,3215826.6,1,1
2025-07-08,870.0,872.0,835.6,855.92,-1.6,650.0,556096.0,-1,1
2025-07-07,890.3,890.3,841.0,869.88,-0.36,1470.0,1283043.0,-1,1
2025-07-06,842.0,889.0,842.0,873.03,1.95,1385.0,1209517.2,1,1
2025-07-03,851.0,884.0,851.0,856.34,-1.12,1529.0,1328418.0,-1,1
2025-07-02,866.0,900.0,833.1,866.05,-1.97,630.0,545623.0,-1,1
2025-07-01,888.9,888.9,840.0,883.48,1.08,1161.0,1005557.0,1,1
2025-06-30,853.1,886.9,836.3,874.02,2.45,1320.0,1137043.7,1,1
2025-06-29,825.0,864.0,819.0,853.11,2.16,770.0,644140.6,1,1
2025-06-26,820.0,852.1,820.0,835.06,-0.05,1789.0,1476472.9,-1,1
2025-06-25,841.8,843.9,826.1,835.46,-0.76,530.0,444188.0,-1,1
2025-06-24,816.3,868.0,816.3,841.85,1.08,800.0,682828.0,1,1
2025-06-23,827.0,839.0,810.5,832.85,0.68,2445.0,1994848.0,1,1
2025-06-22,865.0,880.0,815.0,827.26,-4.29,1860.0,1553808.0,-1,1
2025-06-19,887.9,887.9,864.0,864.38,-4.59,1535.0,1337443.0,-1,1
2025-06-18,906.0,914.0,874.1,906.0,1.86,1565.0,1402842.1,1,1
2025-06-17,927.0,927.0,881.0,889.46,-2.28,1023.0,912049.3,-1,1
