published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-28,750.00,758.80,740.00,741.00,-0.13,9420.00,7017864.30,-1,1
2025-09-25,735.1,764.9,735.0,742.0,-0.93,25000.0,18689256.5,-1,1
2025-09-24,755.0,774.0,740.0,749.0,0.17,36410.0,27534679.1,1,1
2025-09-23,693.3,747.7,691.9,747.7,9.99,55207.0,40793635.7,1,1
2025-09-21,618.0,679.8,608.0,679.8,10.0,42063.0,27588488.5,1,1
2025-09-18,690.0,690.0,618.0,618.0,-10.0,1075.0,700066.0,-1,1
2025-09-08,700.0,702.0,685.0,686.67,-1.74,9779.0,6764379.3,-1,1
2025-09-07,709.0,709.0,698.0,698.8,-0.17,10095.0,7075741.2,-1,1
2025-09-04,698.8,723.0,690.0,700.01,-1.82,23850.0,16670295.4,-1,1
2025-09-03,749.2,749.2,710.0,712.98,-2.94,18265.0,13171128.0,-1,1
2025-09-02,754.1,754.1,732.0,734.54,-0.65,8255.0,6077318.1,-1,1
2025-09-01,740.0,748.5,731.0,739.35,-0.02,8325.0,6159696.3,-1,1
2025-08-31,755.0,755.0,735.0,739.47,-1.72,10556.0,7851603.6,-1,1
2025-08-28,773.5,773.5,750.0,752.39,-1.52,12801.0,9722191.4,-1,1
2025-08-27,733.4,765.0,733.4,764.0,2.1,16026.0,12169531.4,1,1
2025-08-26,767.3,767.3,745.0,748.28,-0.54,8416.0,6297623.1,-1,1
2025-08-25,762.9,762.9,733.4,752.34,0.58,12384.0,9246173.6,1,1
2025-08-24,757.7,760.0,745.0,747.97,-0.96,12035.0,9036141.1,-1,1
2025-08-21,774.0,774.0,752.0,755.21,-0.55,13493.0,10210504.5,-1,1
2025-08-20,778.3,778.3,752.2,759.36,-0.49,9293.0,7079072.3,-1,1
2025-08-19,775.3,775.3,762.0,763.08,0.39,11525.0,8810572.4,1,1
2025-08-18,752.6,782.0,752.6,760.12,-1.01,19859.0,15147944.2,-1,1
