published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-12,870.00,877.00,852.00,853.74,-0.79,5458.00,4666645.60,-1,1
2025-06-11,877.6,887.0,857.2,860.53,-1.95,5555.0,4800478.3,-1,1
2025-06-10,861.0,880.0,860.1,877.6,0.89,5083.0,4428919.9,1,1
2025-06-09,872.4,885.9,866.0,869.87,-0.29,3177.0,2779517.1,-1,1
2025-06-08,883.0,883.0,855.6,872.39,-1.28,9541.0,8260596.9,-1,1
2025-06-05,875.8,905.0,875.8,883.74,-0.49,6538.0,5793418.7,-1,1
2025-06-04,877.1,903.0,873.1,888.11,0.24,6704.0,5949272.0,1,1
2025-06-03,890.0,900.0,882.0,885.96,-1.76,7992.0,7092749.8,-1,2
2025-06-02,904.0,925.0,898.0,901.82,0.34,9410.0,8602637.4,1,1
2025-05-28,896.6,909.0,881.0,898.79,0.24,9693.0,8662369.9,1,1
2025-05-27,913.0,913.0,891.5,896.6,-0.83,15072.0,13516045.0,-1,2
2025-05-26,949.0,949.5,902.0,904.14,-2.88,26523.0,24487993.1,-1,1
2025-05-25,903.0,940.0,900.0,930.98,3.08,49840.0,45983488.1,1,2
2025-05-22,893.4,911.0,883.1,903.19,3.11,35021.0,31539352.9,1,3
2025-05-21,882.2,898.0,866.0,875.96,1.27,28264.0,24741958.6,1,4
2025-05-20,830.0,881.0,830.0,864.95,2.7,6942.0,5953350.3,1,5
2025-05-19,840.1,856.8,840.1,842.19,1.06,5893.0,5001044.2,1,6
2025-05-18,816.2,851.7,816.2,833.39,0.81,11566.0,9601917.7,1,7
2025-05-15,826.0,843.0,825.0,826.66,-1.18,6579.0,5465000.6,-1,8
2025-05-14,835.0,845.0,835.0,836.56,-1.43,3157.0,2649072.1,-1,9
2025-05-13,841.9,860.0,835.1,848.66,-1.2,5498.0,4655458.5,-1,10
2025-05-11,871.1,873.0,854.0,859.01,-0.75,9545.0,8248512.4,-1,11
2025-05-08,853.0,874.0,845.6,865.49,1.46,16035.0,13910631.9,1,12
2025-05-07,803.0,859.9,803.0,853.01,4.62,8877.0,7341993.1,1,13
2025-05-06,794.0,818.3,794.0,815.32,1.62,8120.0,6566658.8,1,14
2025-05-05,825.0,825.0,801.0,802.3,-1.32,4548.0,3698941.0,-1,15
2025-05-04,803.0,813.8,790.1,813.0,1.9,4124.0,3300661.7,1,16
2025-04-30,798.0,800.0,780.0,797.86,0.99,11263.0,8897640.0,1,17
2025-04-29,794.0,794.0,788.1,790.05,-1.68,6846.0,5405275.8,-1,18
2025-04-28,825.0,838.0,790.1,803.58,-3.18,11962.0,9687837.1,-1,19
2025-04-27,845.0,850.0,827.1,830.0,-0.96,5405.0,4504580.5,-1,20
2025-04-24,862.8,862.8,830.0,838.08,-0.94,5352.0,4489400.9,-1,21
2025-04-23,994.5,994.5,955.5,960.24,-1.52,24481.0,23545431.3,-1,22
2025-04-22,979.9,980.0,949.0,975.06,0.72,21115.0,20298409.5,1,23
2025-04-21,980.0,989.0,965.1,968.06,-1.55,12518.0,12200682.9,-1,24
2025-04-20,999.9,1000.0,972.0,983.27,-0.54,6550.0,6453648.0,-1,25
2025-04-17,980.0,998.3,971.1,988.64,1.18,17193.0,16975649.7,1,26
2025-04-16,968.0,985.2,966.0,977.08,1.15,9511.0,9294652.4,1,27
2025-04-15,960.0,972.0,942.0,965.98,0.61,5747.0,5501358.2,1,28
2025-04-13,965.0,969.0,954.2,960.1,-0.96,2798.0,2683963.9,-1,29
2025-04-10,984.0,985.0,964.5,969.44,-0.1,7350.0,7164120.5,-1,30
2025-04-09,957.0,981.0,955.0,970.39,1.2,10385.0,10122955.5,1,31
2025-04-08,941.0,960.5,941.0,958.87,0.33,5094.0,4859659.0,1,32
2025-04-07,960.1,970.0,953.0,955.68,-1.64,8410.0,8075719.5,-1,33
2025-04-03,958.0,980.0,958.0,971.65,-0.1,8894.0,8626363.5,-1,34
2025-04-02,965.5,990.0,965.1,972.64,0.15,10517.0,10241806.1,1,35
2025-04-01,967.1,987.0,966.0,971.18,-1.41,9431.0,9158313.8,-1,36
2025-03-30,1001.0,1005.0,980.0,985.03,-1.52,13854.0,13739205.4,-1,37
2025-03-27,970.1,1003.0,958.5,1000.19,1.34,12823.0,12746632.5,1,38
2025-03-26,943.8,994.2,943.8,986.96,2.55,13379.0,13019702.3,1,39
2025-03-25,962.6,1053.0,947.5,962.44,-2.01,24039.0,23343530.9,-1,40
2025-03-24,958.0,1002.0,943.5,982.15,2.51,8317.0,8083435.1,1,41
2025-03-23,957.0,961.0,938.1,958.1,0.12,17542.0,16661029.7,1,42
2025-03-20,960.0,968.0,950.0,956.92,-0.32,7705.0,7364544.8,-1,43
2025-03-19,980.0,980.0,952.6,960.0,-0.23,6603.0,6341593.9,-1,44
2025-03-18,963.0,982.5,961.0,962.2,-1.2,4383.0,4232092.7,-1,45
2025-03-17,963.2,976.0,960.0,973.9,0.71,5982.0,5777966.0,1,46
2025-03-16,1000.0,1000.0,962.0,967.0,-1.43,9080.0,8847386.1,-1,47
2025-03-12,990.0,994.8,980.0,981.0,-1.0,9247.0,9094489.3,-1,48
2025-03-11,1000.0,1000.0,970.2,990.9,0.09,17551.0,17256673.9,1,49
2025-03-10,990.2,1003.0,990.0,990.0,-0.7,12443.0,12359968.8,-1,50
2024-12-12,950.1,964.5,932.6,939.9,-1.06,16562.0,15606355.6,-1,1
2024-12-11,952.6,959.0,940.3,950.0,1.71,3974.0,3774186.2,1,1
2024-12-10,976.0,976.0,934.0,934.0,-2.45,20300.0,19366343.7,-1,2
2024-12-09,984.9,986.0,957.5,957.5,-0.98,9458.0,9153118.0,-1,3
2024-12-08,993.0,994.0,961.1,967.0,-1.23,19675.0,19244609.0,-1,4
2024-12-05,959.0,979.0,959.0,979.0,0.94,12862.0,12482728.4,1,5
2024-12-04,986.0,986.3,964.1,969.9,0.3,5892.0,5717972.9,1,6
2024-12-03,988.0,988.0,965.1,967.0,-0.31,8085.0,7851703.9,-1,7
2024-12-02,958.0,979.0,958.0,970.0,-0.36,9340.0,9074664.4,-1,8
2024-12-01,980.0,986.0,968.1,973.5,-0.59,5243.0,5094530.3,-1,9
2024-11-28,990.0,992.1,977.6,979.3,-0.88,14021.0,13848549.5,-1,10
2024-11-27,993.0,999.8,980.0,988.0,1.04,21922.0,21750055.3,1,11
2024-11-26,972.0,991.0,965.0,977.8,0.62,14795.0,14406977.0,1,12
2024-11-25,979.0,982.0,960.0,971.8,0.29,16559.0,15968031.4,1,13
2024-11-24,982.0,982.0,963.1,969.0,0.61,16059.0,15558753.8,1,14
2024-11-21,953.0,984.0,953.0,963.1,-0.56,9946.0,9671781.1,-1,15
2024-11-20,979.7,979.7,960.5,968.5,0.83,10444.0,10095322.6,1,16
2024-11-19,982.2,988.0,960.0,960.5,-2.21,21336.0,20757873.9,-1,17
2024-11-17,997.5,1000.0,982.1,982.2,0.43,22543.0,22290681.1,1,18
2024-11-14,995.0,1008.0,975.1,978.0,-1.21,15091.0,14844294.0,-1,19
2024-11-13,995.0,995.0,981.5,990.0,0.01,8166.0,8030145.9,1,20
2024-11-12,975.1,1014.0,975.0,989.9,-0.51,13625.0,13496488.6,-1,21
2024-11-11,1009.0,1010.0,981.4,995.0,0.51,21183.0,21148770.5,1,22
2024-11-10,981.2,996.0,961.6,990.0,1.34,11839.0,11664184.1,1,23
2024-11-06,979.0,989.0,972.2,976.9,0.71,9631.0,9421090.0,1,24
2024-11-05,980.0,980.0,960.4,970.0,0.21,9886.0,9533125.7,1,25
2024-10-30,984.9,984.9,958.0,968.0,-0.72,9470.0,9117133.5,-1,26
2024-10-29,949.0,978.0,947.1,975.0,2.42,10502.0,10157141.0,1,27
2024-10-28,932.0,960.5,930.0,952.0,0.53,5854.0,5548039.0,1,28
