published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-17,11.65,11.77,11.25,11.35,-1.82,302051.00,3456447.46,-1,1
2025-08-14,11.13,11.99,11.13,11.56,4.05,369679.0,4278103.63,1,1
2025-08-13,10.55,11.14,10.55,11.11,4.32,73940.0,809206.3,1,1
2025-08-12,10.6,10.68,10.6,10.65,0.66,36985.0,393410.25,1,1
2025-08-11,10.49,10.75,10.49,10.58,-0.84,36100.0,386896.5,-1,1
2025-08-07,10.66,10.75,10.66,10.67,0.19,608620.0,6535924.2,1,1
2025-08-06,10.45,10.65,10.45,10.65,-0.09,9940.0,105415.0,-1,1
2025-08-05,10.3,10.85,10.3,10.66,2.4,112985.0,1198024.1,1,1
2025-08-04,10.4,10.42,10.2,10.41,-1.89,21310.0,221420.3,-1,1
2025-08-03,10.51,10.85,10.51,10.61,-0.93,330850.0,3540354.5,-1,1
2025-07-31,10.7,11.18,10.49,10.71,-0.46,32370.0,347007.2,-1,1
2025-07-30,10.78,10.79,10.58,10.76,-2.18,12970.0,138754.3,-1,1
2025-07-29,10.41,11.0,10.41,11.0,5.67,74640.0,803700.8,1,1
2025-07-28,10.3,10.56,10.3,10.41,-0.86,25640.0,267052.2,-1,1
2025-07-27,10.4,10.55,10.37,10.5,0.0,22900.0,239903.0,0,1
2025-07-24,10.31,10.63,10.31,10.5,0.0,71206.0,751294.6,0,1
2025-07-23,10.27,10.51,10.27,10.5,0.48,58250.0,609263.5,1,1
2025-07-22,10.31,10.6,10.31,10.45,0.38,44350.0,463541.0,1,1
2025-07-21,10.3,10.43,10.3,10.41,-0.38,52110.0,540851.8,-1,1
2025-07-20,10.14,10.63,10.0,10.45,1.06,106910.0,1105694.4,1,1
2025-07-17,10.13,10.5,10.13,10.34,1.08,60535.0,627542.4,1,1
2025-07-16,10.03,10.3,10.03,10.23,0.0,321250.0,3273082.5,0,1
2025-07-15,10.21,10.35,10.21,10.23,-0.68,77350.0,792066.5,-1,1
2025-07-14,10.25,10.31,10.25,10.3,-1.44,97400.0,1000422.0,-1,1
2025-07-13,10.1,10.46,10.1,10.45,1.65,125005.0,1295767.05,1,1
2025-07-10,9.95,10.3,9.95,10.28,2.29,55300.0,564687.0,1,1
2025-07-09,10.05,10.18,10.05,10.05,-0.59,19800.0,199787.0,-1,1
2025-07-08,10.2,10.2,10.1,10.11,-0.88,2400.0,24265.0,-1,1
2025-07-07,10.3,10.3,10.11,10.2,0.29,31300.0,319405.0,1,1
2025-07-06,9.96,10.2,9.96,10.17,1.7,42150.0,426389.0,1,1
2025-07-03,10.1,10.1,9.93,10.0,-0.79,8400.0,84434.0,-1,1
2025-07-02,9.87,10.1,9.87,10.08,0.5,2063470.0,20676146.6,1,1
2025-07-01,9.82,10.05,9.81,10.03,0.2,34200.0,341737.0,1,1
2025-06-30,9.85,10.04,9.85,10.01,1.11,30604.0,305960.06,1,1
2025-06-29,9.8,10.03,9.8,9.9,0.0,13500.0,134275.0,0,1
2025-06-26,9.8,9.9,9.8,9.9,-0.8,3750.0,36966.5,-1,1
2025-06-25,9.81,9.99,9.81,9.98,1.73,43300.0,431665.7,1,1
2025-06-24,9.8,9.81,9.8,9.81,-0.41,2500.0,24510.0,-1,1
2025-06-23,9.85,9.85,9.85,9.85,-1.7,6300.0,62055.0,-1,1
2025-06-22,10.22,10.22,10.02,10.02,0.0,800.0,8076.0,0,1
2025-06-19,9.58,10.04,9.58,10.02,2.56,32300.0,319517.0,1,1
2025-06-18,9.7,9.93,9.7,9.77,-1.11,4100.0,40134.0,-1,1
2025-06-17,9.75,9.88,9.75,9.88,-0.1,14150.0,139373.0,-1,1
2025-06-16,9.76,10.01,9.76,9.89,-0.6,10750.0,106475.0,-1,1
2025-06-15,9.92,9.95,9.92,9.95,0.0,5800.0,57588.0,0,1
2025-06-12,9.87,10.0,9.76,9.95,0.81,4600.0,45609.0,1,1
2025-06-11,9.95,10.0,9.85,9.87,-0.9,5740.0,57043.5,-1,1
2025-06-10,10.0,10.15,9.95,9.96,-0.2,5500.0,54800.0,-1,1
2025-06-09,10.02,10.02,9.86,9.98,1.53,11600.0,115536.0,1,1
2025-06-08,9.61,9.86,9.61,9.83,0.82,71310.0,700535.3,1,1
2025-06-05,9.67,9.75,9.67,9.75,-0.61,1900.0,18446.0,-1,1
2025-06-04,9.66,10.0,9.66,9.81,-0.2,18100.0,177012.0,-1,1
2025-06-03,9.9,10.0,9.81,9.83,-1.6,39140.0,389534.0,-1,2
2025-06-02,9.82,10.02,9.82,9.99,0.0,15360.0,152638.6,0,1
2025-05-28,9.97,10.0,9.7,9.99,1.42,11700.0,116342.0,1,1
2025-05-27,9.69,9.85,9.69,9.85,0.41,9900.0,97340.0,1,2
2025-05-26,9.63,9.82,9.63,9.81,0.0,1750.0,17123.0,0,1
2025-05-25,9.82,9.9,9.81,9.81,-1.9,35400.0,348132.7,-1,2
2025-05-22,9.82,10.0,9.82,10.0,2.04,16150.0,159498.0,1,3
2025-05-21,9.71,9.9,9.71,9.8,0.0,1300.0,12722.0,0,4
2025-05-20,9.61,9.8,9.61,9.8,1.03,10300.0,100243.0,1,5
2025-05-19,9.52,9.75,9.52,9.7,0.73,10600.0,101603.0,1,6
2025-05-18,9.63,9.63,9.63,9.63,-1.73,200.0,1926.0,-1,7
2025-05-15,9.61,9.8,9.61,9.8,1.66,9300.0,90242.5,1,8
2025-05-14,9.64,9.78,9.58,9.64,0.63,8300.0,80124.0,1,9
2025-05-13,9.51,9.77,9.51,9.58,-0.31,15900.0,154061.0,-1,10
2025-05-11,9.6,9.79,9.6,9.61,-0.93,8300.0,79724.0,-1,11
2025-05-08,9.7,9.7,9.51,9.7,-1.42,33000.0,315253.0,-1,12
2025-05-07,9.44,9.85,9.44,9.84,2.29,5500.0,53428.0,1,13
