published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2022-03-21,372.00,372.00,372.00,372.00,0.00,100000.00,37200000.00,0,1
2022-03-20,372.00,372.00,372.00,372.00,0.00,100000.00,37200000.00,0,2
2021-12-06,413.00,413.00,413.00,413.00,0.00,11197.00,4056300.00,0,3
2021-12-01,413.00,413.00,413.00,413.00,0.00,15.00,1500.00,0,4
2021-10-25,413.00,413.00,413.00,413.00,0.00,2450.00,1011850.00,0,5
2021-07-15,275.00,275.00,275.00,275.00,0.00,100.00,38300.00,0,6
2021-06-21,275.00,275.00,275.00,275.00,0.00,1850.00,185000.00,0,7
2021-06-20,275.00,275.00,275.00,275.00,0.00,255.00,25500.00,0,8
2021-05-17,275.00,275.00,275.00,275.00,0.00,5000.00,1375000.00,0,9
2021-05-13,275.00,275.00,275.00,275.00,0.00,173744.00,66610956.32,0,10
2021-05-09,275.00,275.00,275.00,275.00,0.00,75000.00,20625000.00,0,11
2021-04-28,351.00,500.00,275.00,275.00,0.00,17020.00,5016230.00,0,12
2021-04-22,275.00,275.00,275.00,275.00,0.00,38500.00,10587500.00,0,13
2021-04-21,275.00,275.00,275.00,275.00,0.00,38500.00,10587500.00,0,14
2021-03-15,275.00,275.00,275.00,275.00,0.00,75000.00,20625000.00,0,15
2021-03-14,275.00,275.00,275.00,275.00,0.00,90000.00,24750000.00,0,16
2021-03-10,275.00,275.00,275.00,275.00,0.00,184840.00,50831000.00,0,17
2021-02-15,275.00,275.00,275.00,275.00,0.73,3000.00,825000.00,1,18
2021-02-09,273.00,273.00,273.00,273.00,0.00,50200.00,13704600.00,0,19
2021-01-28,273.00,273.00,273.00,273.00,-1.80,174000.00,47502000.00,-1,20
2021-01-26,278.00,278.00,278.00,278.00,0.00,100000.00,27800000.00,0,21
2021-01-25,278.00,278.00,278.00,278.00,0.00,302100.00,84160500.00,0,22
2021-01-24,278.00,300.00,278.00,290.00,4.32,70000.00,19834000.00,1,23
2021-01-21,278.00,278.00,278.00,278.00,0.00,43647.00,12133866.00,0,24
2021-01-20,278.00,278.00,278.00,278.00,0.00,321674.00,89425372.00,0,25
2021-01-19,278.00,278.00,278.00,278.00,0.00,390000.00,108420000.00,0,26
2021-01-18,278.00,278.00,278.00,278.00,0.00,456500.00,126907000.00,0,27
2021-01-13,278.00,278.00,278.00,278.00,-1.77,20000.00,5560000.00,-1,28
2021-01-12,283.00,283.00,283.00,283.00,-1.74,20000.00,5660000.00,-1,29
2021-01-11,288.00,288.00,288.00,288.00,-1.71,15000.00,4320000.00,-1,30
2021-01-10,293.00,293.00,293.00,293.00,-1.68,10000.00,2930000.00,-1,31
2021-01-07,298.00,298.00,298.00,298.00,-1.97,10000.00,2980000.00,-1,32
2021-01-06,304.00,304.00,304.00,304.00,-1.94,25000.00,7600000.00,-1,33
2020-12-30,310.00,310.00,310.00,310.00,-1.90,157860.00,48936600.00,-1,34
2020-12-29,316.00,316.00,316.00,316.00,-1.86,150000.00,47400000.00,-1,35
2020-12-15,276.00,276.00,276.00,276.00,1.91,200.00,55200.00,1,36
2020-11-23,275.28,375.00,250.00,270.83,-3.62,9920.00,2734740.80,-1,37
2020-11-22,260.39,415.00,260.39,281.00,0.00,4240.00,1139097.60,0,38
2020-11-05,328.00,328.00,322.00,322.00,-3.59,1000.00,325000.00,-1,39
2020-11-04,334.00,334.00,334.00,334.00,0.00,100000.00,33400000.00,0,40
2020-07-09,153.00,153.00,153.00,153.00,-1.92,5001.00,765153.00,-1,41
2019-12-23,156.00,156.00,156.00,156.00,-45.26,14964.00,2334384.00,-1,42
2019-03-31,285.00,285.00,285.00,285.00,0.00,9110.00,2596350.00,0,43
2019-03-05,285.00,285.00,285.00,285.00,-18.57,6861.00,1955385.00,-1,44
2018-11-18,350.00,350.00,350.00,350.00,0.00,13966.00,4888100.00,0,45
2018-09-27,350.00,350.00,350.00,350.00,0.00,116388.00,40735800.00,0,46
2018-09-04,300.00,300.00,300.00,300.00,0.00,1333.00,399900.00,0,47
2018-05-15,420.00,420.00,420.00,420.00,0.00,6600.00,2772000.00,0,48
2018-03-18,420.00,420.00,420.00,420.00,0.00,43750.00,18375000.00,0,49
2018-03-11,420.00,420.00,420.00,420.00,0.00,3000.00,1260000.00,0,50
2017-11-07,549.00,540.00,540.00,540.00,0.00,9114.00,4921560.00,0,51
2017-08-24,549.00,549.00,549.00,549.00,0.00,20475.00,11240775.00,0,52
2017-07-16,549.00,549.00,549.00,549.00,0.00,438264.00,240606944.00,0,53
2017-06-27,560.00,549.00,549.00,549.00,0.00,2285.00,1254465.00,0,54
2015-02-11,104.00,104.00,104.00,104.00,0.00,90000.00,9360000.00,0,55
2014-12-08,104.00,104.00,104.00,104.00,0.00,25000.00,2600000.00,0,56
2014-12-07,112.00,110.00,104.00,104.00,0.00,60000.00,6300000.00,0,57
2014-12-01,112.00,112.00,112.00,112.00,0.00,7980.00,893760.00,0,58
2014-10-19,105.00,112.00,107.00,112.00,0.00,55556.00,6222096.00,0,59
2014-10-12,102.00,105.00,104.00,105.00,0.00,30750.00,3227000.00,0,60
2014-08-25,110.00,108.00,102.00,102.00,0.00,62000.00,6430000.00,0,61
2014-07-06,110.00,110.00,110.00,110.00,0.00,100000.00,11000000.00,0,62
2014-06-25,110.00,110.00,110.00,110.00,0.00,150000.00,16500000.00,0,63
2014-05-26,110.00,110.00,110.00,110.00,0.00,7833.00,861630.00,0,64
2014-05-19,110.00,110.00,110.00,110.00,0.00,3000.00,330000.00,0,65
2014-04-30,108.00,110.00,110.00,110.00,0.00,10000.00,1100000.00,0,66
2014-03-23,108.00,108.00,108.00,108.00,0.00,6944.00,749952.00,0,67
2014-03-20,110.00,108.00,108.00,108.00,0.00,8890.00,960120.00,0,68
2013-11-14,110.00,110.00,110.00,110.00,0.00,953986.00,104938464.00,0,69
