published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-27,1040.00,1142.70,1040.00,1142.70,10.00,88553.00,99582823.60,1,1
2025-07-24,997.0,1045.0,960.1,1038.84,6.19,132886.0,133000840.6,1,1
2025-07-23,1000.0,1020.0,960.0,978.24,-0.77,26143.0,25896448.9,-1,1
2025-07-22,960.0,1015.0,960.0,985.84,2.2,43689.0,43627821.4,1,1
2025-07-21,985.0,1004.0,931.0,964.64,-1.09,31159.0,30400325.0,-1,1
2025-07-20,999.9,1004.5,970.0,975.31,-1.08,42385.0,41797568.4,-1,1
2025-07-17,955.0,993.9,950.0,986.0,4.25,27989.0,27132403.8,1,1
2025-07-16,873.4,958.9,873.4,945.78,6.13,33511.0,31260864.0,1,1
2025-07-15,890.1,920.0,855.0,891.19,2.11,20892.0,18861393.9,1,1
2025-07-14,910.0,915.0,865.0,872.74,-2.72,19711.0,17535223.9,-1,1
2025-07-13,898.9,920.0,890.0,897.1,1.79,21329.0,19208296.9,1,1
2025-07-10,843.5,907.0,811.0,881.34,6.57,33648.0,29104428.5,1,1
2025-07-09,799.4,844.5,799.4,826.98,1.39,5620.0,4666829.3,1,1
2025-07-08,828.2,860.0,798.0,815.62,0.44,10887.0,8948243.2,1,1
2025-07-07,829.0,829.0,800.0,812.05,-0.09,8568.0,6951830.2,-1,1
2025-07-06,838.0,840.0,808.5,812.81,-1.15,26532.0,21738034.9,-1,1
2025-07-03,840.4,849.8,795.0,822.23,-0.21,21616.0,17986198.5,-1,1
2025-07-02,842.0,870.0,822.0,823.97,-2.24,27875.0,23583080.2,-1,1
2025-07-01,828.0,852.7,801.0,842.86,3.26,24967.0,20990814.9,1,1
2025-06-30,791.0,822.0,791.0,816.22,1.69,5824.0,4749727.9,1,1
2025-06-29,814.0,818.0,796.0,802.68,0.03,14930.0,12042519.6,1,1
2025-06-26,760.1,811.0,760.0,802.42,3.51,15123.0,12026290.6,1,1
