published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-07-10,188.00,185.00,183.00,183.00,0.00,152.00,28014.00,0,1
2014-07-09,194.00,191.00,188.00,188.00,0.00,1644.00,312059.00,0,2
2014-07-08,179.00,194.00,178.00,194.00,0.00,2979.00,561829.00,0,3
2014-07-07,168.00,179.00,171.00,179.00,0.00,1025.00,177846.00,0,4
2014-07-06,170.00,169.00,168.00,168.00,0.00,66.00,11121.00,0,5
2014-07-03,175.00,172.00,170.00,170.00,0.00,1779.00,303545.00,0,6
2014-07-01,172.00,175.00,175.00,175.00,0.00,99.00,17325.00,0,7
2014-06-30,176.00,175.00,172.00,172.00,0.00,126.00,21870.00,0,8
2014-06-26,163.00,178.00,166.00,176.00,0.00,386.00,67156.00,0,9
2014-06-25,165.00,171.00,162.00,163.00,0.00,850.00,142476.00,0,10
2014-06-24,167.00,167.00,164.00,165.00,0.00,297.00,49159.00,0,11
2014-06-23,168.00,167.00,163.00,167.00,0.00,332.00,54610.00,0,12
2014-06-19,173.00,170.00,168.00,168.00,0.00,1438.00,243980.00,0,13
2014-06-18,176.00,173.00,170.00,173.00,0.00,1165.00,201248.00,0,14
2014-06-17,171.00,176.00,170.00,176.00,0.00,770.00,133066.00,0,15
2014-06-16,168.00,174.00,171.00,171.00,0.00,363.00,62223.00,0,16
2014-06-15,162.00,168.00,159.00,168.00,0.00,541.00,89610.00,0,17
2014-06-12,167.00,164.00,162.00,162.00,0.00,126.00,20532.00,0,18
2014-06-11,169.00,170.00,167.00,167.00,0.00,841.00,142871.00,0,19
2014-06-10,160.00,169.00,163.00,169.00,0.00,190.00,31636.00,0,20
2014-06-09,160.00,163.00,160.00,160.00,0.00,706.00,113725.00,0,21
2014-06-08,161.00,164.00,154.00,160.00,0.00,1856.00,295683.00,0,22
2014-06-05,160.00,161.00,155.00,161.00,0.00,526.00,82749.00,0,23
2014-06-04,168.00,165.00,160.00,160.00,0.00,431.00,70488.00,0,24
2014-06-03,160.00,168.00,157.00,168.00,0.00,1007.00,165195.00,0,25
2014-06-02,160.00,160.00,158.00,160.00,0.00,171.00,27160.00,0,26
2014-06-01,162.00,162.00,159.00,160.00,0.00,740.00,118532.00,0,27
2014-05-28,167.00,164.00,162.00,162.00,0.00,373.00,61011.00,0,28
2014-05-27,173.00,170.00,164.00,167.00,0.00,1479.00,247746.00,0,29
2014-05-26,175.00,176.00,170.00,173.00,0.00,269.00,46552.00,0,30
2014-05-25,172.00,175.00,174.00,175.00,0.00,100.00,17480.00,0,31
2014-05-22,174.00,172.00,168.00,172.00,0.00,843.00,144635.00,0,32
2014-05-21,171.00,175.00,173.00,174.00,0.00,490.00,85260.00,0,33
2014-05-20,168.00,171.00,165.00,171.00,0.00,137.00,22932.00,0,34
2014-05-18,171.00,168.00,168.00,168.00,0.00,66.00,11088.00,0,35
2014-05-15,177.00,174.00,171.00,171.00,0.00,132.00,22653.00,0,36
2014-05-13,179.00,180.00,177.00,177.00,0.00,386.00,69420.00,0,37
2014-05-12,182.00,182.00,179.00,179.00,0.00,884.00,158896.00,0,38
