published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-08,1724.1,1758.5,1672.1,1679.91,-0.62,1227.0,2068160.0,-1,1
2025-09-07,1707.0,1710.0,1687.0,1690.35,0.08,634.0,1075888.0,1,1
2025-09-04,1686.08,1697.0,1685.9,1689.08,0.18,440.0,744224.7,1,1
2025-09-03,1683.1,1704.0,1683.1,1686.08,0.18,539.0,910925.5,1,1
2025-09-02,1706.0,1709.0,1680.1,1683.1,-0.49,463.0,783449.7,-1,1
2025-09-01,1685.0,1705.0,1680.0,1691.35,-1.02,1804.0,3044907.2,-1,1
2025-08-31,1730.2,1734.1,1705.0,1708.7,-2.36,1739.0,2995408.5,-1,1
2025-08-28,1790.0,1795.0,1750.0,1750.0,-1.75,1753.0,3086741.0,-1,1
2025-08-27,1770.0,1784.0,1741.0,1781.11,0.51,1399.0,2471867.0,1,1
2025-08-26,1760.0,1793.9,1760.0,1772.14,-1.23,798.0,1411989.0,-1,1
2025-08-25,1814.5,1814.6,1750.0,1794.18,0.85,1707.0,3037812.1,1,1
2025-08-24,1790.69,1805.0,1777.0,1779.08,-0.65,1634.0,2924155.1,-1,1
2025-08-21,1828.0,1829.0,1790.0,1790.69,-0.14,1354.0,2447671.0,-1,1
2025-08-20,1870.0,1875.0,1775.0,1793.19,-2.4,5745.0,10377928.5,-1,1
2025-08-19,1875.0,1895.0,1813.0,1837.33,-0.86,4573.0,8415853.9,-1,1
2025-08-18,1780.5,1930.0,1780.0,1853.33,2.9,3441.0,6290752.8,1,1
2025-08-17,1830.0,1846.0,1799.0,1801.15,-1.57,2417.0,4371271.0,-1,1
2025-08-14,1860.0,1872.0,1806.2,1829.97,-0.56,2628.0,4821661.6,-1,1
2025-08-13,1810.0,1860.0,1810.0,1840.25,0.6,1333.0,2459126.5,1,1
2025-08-12,1907.0,1907.0,1822.0,1829.3,-2.18,2800.0,5150651.5,-1,1
2025-08-11,1925.0,1958.8,1865.0,1870.16,-1.41,9948.0,18905007.9,-1,1
2025-08-07,1967.0,1968.0,1884.6,1896.98,-2.18,7418.0,14260128.9,-1,1
2025-08-06,1834.2,1960.0,1834.2,1939.18,7.83,16605.0,31826090.2,1,1
2025-08-05,1797.0,1850.0,1779.0,1798.3,1.98,2539.0,4581078.1,1,1
2025-08-04,1802.3,1859.0,1736.0,1763.34,-0.21,1472.0,2603255.1,-1,1
2025-08-03,1850.0,1850.0,1762.1,1767.05,-3.6,2083.0,3722043.4,-1,1
2025-07-31,1847.1,1872.9,1825.1,1833.07,-0.76,847.0,1567256.9,-1,1
2025-07-30,1844.0,1880.0,1844.0,1847.1,-1.7,1789.0,3319630.7,-1,1
2025-07-29,1867.7,1943.0,1840.1,1879.0,2.62,2381.0,4430359.5,1,1
2025-07-28,1830.0,1867.6,1805.0,1831.1,-1.67,1615.0,2967589.2,-1,1
2025-07-27,1923.0,1948.0,1861.5,1862.12,-1.3,3080.0,5819270.3,-1,1
2025-07-24,1936.0,1974.0,1865.0,1886.73,-0.81,2069.0,3918232.0,-1,1
2025-07-23,1941.0,2026.0,1877.0,1902.17,-0.43,1035.0,1968471.1,-1,1
2025-07-22,1869.0,2014.0,1865.1,1910.48,4.25,4319.0,8275931.6,1,1
2025-07-21,1801.0,1902.0,1801.0,1832.55,0.13,636.0,1160825.1,1,1
2025-07-20,1806.0,1984.0,1805.0,1830.18,-0.3,4177.0,7744446.0,-1,1
2025-07-17,1790.0,1875.0,1788.0,1835.77,0.65,4983.0,9132983.7,1,1
2025-07-16,1819.0,1848.2,1800.0,1824.0,2.25,1197.0,2166658.0,1,1
2025-07-15,1797.0,1797.0,1736.1,1783.9,1.18,1331.0,2360200.7,1,1
2025-07-14,1820.0,1820.0,1740.0,1763.08,-3.07,4033.0,7176049.3,-1,1
2025-07-13,1785.0,1893.0,1754.0,1819.0,3.94,3669.0,6589062.6,1,1
2025-07-10,1740.0,1764.8,1718.0,1750.0,0.88,153.0,265456.0,1,1
2025-07-09,1741.0,1741.4,1697.1,1734.66,1.6,2597.0,4490403.5,1,1
2025-07-08,1705.0,1734.0,1702.0,1707.29,-1.56,440.0,750144.0,-1,1
2025-07-07,1762.0,1762.0,1695.0,1734.34,0.32,1171.0,2007673.0,1,1
2025-07-06,1739.0,1746.0,1714.0,1728.78,-0.59,1390.0,2399396.5,-1,1
2025-07-03,1776.0,1808.9,1712.0,1739.05,-0.14,439.0,769537.0,-1,1
2025-07-02,1775.0,1798.0,1738.0,1741.45,-0.07,2402.0,4214275.7,-1,1
2025-07-01,1682.0,1744.0,1682.0,1742.71,5.62,2260.0,3885572.2,1,1
2025-06-30,1657.0,1722.0,1622.0,1650.0,1.56,334.0,552971.1,1,1
2025-06-29,1675.0,1675.0,1615.1,1624.67,-1.42,483.0,793844.2,-1,1
2025-06-26,1660.0,1660.0,1620.0,1648.0,1.19,278.0,458552.0,1,1
2025-06-25,1610.0,1669.0,1610.0,1628.62,-0.51,376.0,612639.6,-1,1
2025-06-24,1643.0,1674.0,1631.0,1637.04,-0.86,1419.0,2335999.1,-1,1
2025-06-23,1697.5,1697.5,1617.0,1651.27,-2.29,893.0,1471822.4,-1,1
2025-06-22,1720.0,1720.0,1654.6,1689.9,0.1,312.0,519129.0,1,1
2025-06-19,1739.0,1739.0,1638.0,1688.25,-1.19,987.0,1637885.5,-1,1
2025-06-18,1748.0,1748.0,1676.5,1708.54,-0.54,988.0,1672070.0,-1,1
2025-06-17,1738.0,1743.0,1703.3,1717.84,-0.24,1030.0,1772088.2,-1,1
2025-06-16,1756.4,1756.4,1689.2,1721.96,0.0,95.0,163440.0,0,1
2025-06-15,1660.0,1731.0,1659.0,1722.0,2.19,693.0,1173614.0,1,1
2025-06-12,1749.0,1749.0,1685.0,1685.05,-1.98,746.0,1274466.5,-1,1
2025-06-11,1754.0,1788.0,1700.0,1719.03,-3.94,561.0,968130.0,-1,1
2025-06-10,1755.0,1826.0,1755.0,1789.5,3.98,70.0,124266.0,1,1
2025-06-09,1749.0,1749.0,1715.0,1721.08,0.21,687.0,1188134.0,1,1
2025-06-08,1740.0,1740.0,1681.0,1717.53,-1.01,887.0,1500779.4,-1,1
2025-06-05,1754.0,1784.0,1700.0,1735.0,0.79,413.0,712258.0,1,1
2025-06-04,1784.3,1856.2,1719.4,1721.41,-1.6,1497.0,2594216.0,-1,1
2025-06-03,1763.0,1829.0,1734.6,1749.33,-2.74,1420.0,2506239.4,-1,2
2025-06-02,1816.0,1924.0,1746.1,1798.54,0.98,1284.0,2312097.3,1,1
2025-05-28,1798.0,1819.0,1720.0,1781.0,0.94,444.0,777511.3,1,1
2025-05-27,1745.0,1810.0,1742.0,1764.35,-0.77,718.0,1267827.2,-1,2
2025-05-26,1845.0,1939.4,1777.3,1778.1,-2.71,391.0,704967.4,-1,1
2025-05-25,1845.0,1849.0,1802.4,1827.65,1.0,652.0,1188204.0,1,2
2025-05-22,1821.0,1849.0,1784.6,1809.54,1.26,2149.0,3892624.9,1,3
2025-05-21,1798.0,1939.0,1763.0,1787.0,1.36,6433.0,11977737.4,1,4
2025-05-20,1769.0,1769.0,1705.8,1762.96,1.36,464.0,812638.8,1,5
2025-05-19,1738.0,1784.0,1720.0,1739.28,0.02,1628.0,2836561.0,1,6
2025-05-18,1657.0,1751.0,1650.0,1738.9,6.98,4101.0,6965744.6,1,7
2025-05-15,1660.0,1692.0,1610.0,1625.42,-0.31,1645.0,2704006.6,-1,8
2025-05-14,1683.0,1683.0,1616.5,1630.51,-1.24,1615.0,2631978.4,-1,9
2025-05-13,1699.0,1719.0,1650.0,1651.05,-2.59,1056.0,1756835.6,-1,10
2025-05-11,1685.3,1718.9,1604.0,1694.9,2.57,709.0,1163706.1,1,11
2025-05-08,1680.0,1685.0,1640.0,1652.5,-1.11,862.0,1419817.4,-1,12
2025-05-07,1590.1,1712.0,1590.1,1671.0,3.39,315.0,521004.4,1,13
2025-05-06,1672.1,1739.1,1600.0,1616.16,-1.42,2228.0,3589176.1,-1,14
2025-05-05,1658.7,1760.1,1631.0,1639.36,0.81,485.0,802815.7,1,15
2025-05-04,1647.9,1647.9,1600.0,1626.25,-1.31,3770.0,6082749.2,-1,16
2025-04-30,1665.0,1731.1,1631.7,1647.9,-2.08,1169.0,1963192.5,-1,17
2025-04-29,1735.0,1735.0,1681.1,1682.91,-2.83,1642.0,2785075.0,-1,18
2025-04-28,1799.9,1799.9,1730.0,1732.0,-2.31,421.0,734455.5,-1,19
2025-04-27,1848.0,1849.0,1773.0,1773.0,-2.22,824.0,1471526.1,-1,20
2025-04-24,1770.7,1890.0,1764.0,1813.26,4.45,3875.0,7030448.5,1,21
2025-04-23,1860.0,1860.0,1810.1,1822.86,-1.07,489.0,896210.1,-1,22
2025-04-22,1895.0,1895.0,1839.0,1842.5,-0.88,396.0,731485.0,-1,23
2025-04-21,1882.2,1918.0,1821.2,1858.83,0.73,792.0,1458883.2,1,24
2025-04-20,1902.0,1940.0,1831.0,1845.33,-1.05,1686.0,3154922.6,-1,25
2025-04-17,1866.0,1981.0,1860.0,1864.89,-0.16,1141.0,2143673.0,-1,26
2025-04-16,1919.0,1996.4,1865.0,1867.92,-0.87,1339.0,2558507.9,-1,27
2025-04-15,1903.0,1924.0,1875.8,1884.29,-0.62,328.0,621327.3,-1,28
2025-04-13,1867.6,1904.0,1862.0,1896.06,-0.11,1118.0,2108181.3,-1,29
2025-04-10,1889.0,1946.5,1817.0,1898.18,2.44,3327.0,6292366.0,1,30
2025-04-09,1806.0,1868.5,1806.0,1853.0,1.14,894.0,1639148.9,1,31
2025-04-08,1800.0,1840.0,1800.0,1832.05,-0.02,444.0,809077.0,-1,32
2025-04-07,1860.0,1880.0,1826.0,1832.43,-1.51,1558.0,2860660.0,-1,33
2025-04-03,1937.0,1937.0,1855.1,1860.57,-2.08,2131.0,3984722.8,-1,34
2025-04-02,1910.0,1919.0,1885.0,1900.0,1.41,740.0,1409606.6,1,35
2025-04-01,1948.0,1948.0,1860.2,1873.61,-2.42,617.0,1158042.7,-1,36
2025-03-30,1862.0,1970.0,1834.0,1920.11,1.16,2599.0,4947400.9,1,37
2025-03-27,1849.0,1939.0,1849.0,1898.09,3.79,1536.0,2904725.0,1,38
2025-03-26,1844.0,1845.0,1807.2,1828.78,0.98,766.0,1399775.5,1,39
2025-03-25,1854.3,1854.3,1811.0,1811.0,-4.29,1431.0,2612544.5,-1,40
2025-03-24,1820.0,1934.9,1816.0,1892.08,2.27,1291.0,2409531.0,1,41
2025-03-23,1865.0,1892.1,1826.0,1850.0,-1.94,2231.0,4121723.0,-1,42
2025-03-20,1879.9,1900.1,1865.0,1886.6,0.35,531.0,997170.0,1,43
2025-03-19,1885.0,1910.0,1860.1,1880.0,-0.27,1063.0,1987088.4,-1,44
2025-03-18,1901.0,1909.9,1876.0,1885.0,0.21,1216.0,2306330.1,1,45
2025-03-17,1862.0,1910.0,1862.0,1881.0,-1.0,1567.0,2956763.4,-1,46
2025-03-16,1902.0,1902.0,1859.0,1900.0,-1.04,2126.0,3997647.3,-1,47
2025-03-12,1940.0,1940.0,1896.0,1920.0,0.94,836.0,1591647.6,1,48
2025-03-11,1920.0,1925.0,1901.0,1902.1,-2.87,1521.0,2900333.7,-1,49
2025-03-10,1939.0,1958.4,1904.0,1958.4,3.02,1639.0,3143410.2,1,50
2024-12-12,2215.0,2215.0,2034.0,2123.0,-6.06,8558.0,17692269.4,-1,1
2024-12-11,2093.1,2260.0,2011.0,2260.0,5.82,8392.0,17578010.6,1,1
2024-12-10,2100.0,2223.0,2038.4,2135.8,-0.25,10154.0,21210836.3,-1,2
2024-12-09,2426.4,2426.4,2141.1,2141.1,-10.0,16379.0,35500880.7,-1,3
2024-12-08,2204.0,2379.0,2104.0,2379.0,7.89,13894.0,30041820.6,1,4
2024-12-05,2295.0,2386.0,2205.0,2205.0,-4.93,17708.0,40111223.8,-1,5
