published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-21,910.80,945.00,910.80,918.33,-1.18,7644.00,7042187.00,-1,1
2025-08-20,915.1,950.0,915.1,929.31,0.18,6556.0,6115918.4,1,1
2025-08-19,923.4,956.0,923.4,927.61,-1.55,16851.0,15682115.7,-1,1
2025-08-18,970.1,980.1,936.9,942.21,-4.81,20389.0,19407522.1,-1,1
2025-08-17,1043.8,1043.8,981.0,989.84,-7.06,45332.0,45242246.6,-1,1
2025-08-14,1030.0,1155.0,1030.0,1065.01,1.38,73911.0,77168958.0,1,1
2025-08-13,1025.0,1055.0,1025.0,1050.56,1.78,17060.0,17731870.6,1,1
2025-08-12,1020.0,1045.0,1020.0,1032.22,-0.43,31726.0,32711824.5,-1,1
2025-08-11,1030.0,1050.0,1017.0,1036.69,0.3,78233.0,80364647.2,1,1
2025-08-07,1001.0,1077.0,1001.0,1033.6,1.83,23504.0,24135418.5,1,1
2025-08-06,1006.0,1031.0,1005.5,1015.03,-1.05,5424.0,5501501.5,-1,1
2025-08-05,1016.0,1049.4,1002.0,1025.82,0.4,18885.0,19332575.9,1,1
2025-08-04,1000.0,1035.0,991.2,1021.74,2.42,11766.0,11844204.2,1,1
2025-08-03,1028.12,1028.12,995.0,997.63,-2.97,7451.0,7466491.5,-1,1
2025-07-31,1048.9,1049.0,1017.0,1028.12,-0.43,9533.0,9819210.2,-1,1
2025-07-30,1044.0,1055.0,1028.0,1032.57,-1.18,20623.0,21391211.6,-1,1
2025-07-29,1067.0,1088.0,1036.0,1044.9,-0.12,18946.0,20086921.1,-1,1
2025-07-28,1039.95,1050.0,1025.0,1046.17,0.6,7913.0,8219522.7,1,1
2025-07-27,1042.3,1086.0,1033.0,1039.95,-1.81,35128.0,37174745.3,-1,1
2025-07-24,1055.7,1070.0,1030.2,1059.11,-0.41,18571.0,19446513.0,-1,1
2025-07-23,1085.0,1116.0,1050.0,1063.45,-3.07,19661.0,21034136.3,-1,1
2025-07-22,1075.2,1120.0,1053.1,1097.13,2.1,28132.0,30822601.6,1,1
2025-07-21,1047.3,1081.0,1045.1,1074.55,0.55,20725.0,22075260.3,1,1
2025-07-20,1089.2,1124.0,1059.5,1068.66,-3.84,71755.0,77638453.4,-1,1
2025-07-17,1018.8,1143.4,1018.8,1111.36,6.91,39063.0,41959953.9,1,1
2025-07-16,970.4,1045.0,970.4,1039.52,4.98,49784.0,50910718.0,1,1
2025-07-15,999.9,999.9,976.0,990.18,0.81,4418.0,4364514.8,1,1
2025-07-14,959.4,1038.0,959.4,982.25,0.34,12033.0,11856172.9,1,1
2025-07-13,976.0,989.0,957.0,978.96,2.31,10598.0,10329265.2,1,1
2025-07-10,935.1,960.0,931.2,956.89,1.37,4137.0,3943010.9,1,1
2025-07-09,940.0,947.0,926.1,943.98,1.33,1162.0,1089137.4,1,1
2025-07-08,933.0,940.0,929.0,931.55,-0.54,1322.0,1231089.7,-1,1
2025-07-07,938.0,940.0,932.0,936.64,-0.09,1249.0,1166596.3,-1,1
2025-07-06,927.1,948.9,926.3,937.45,-0.75,4462.0,4188190.0,-1,1
2025-07-03,936.0,955.7,936.0,944.51,-0.79,2150.0,2029458.4,-1,1
2025-07-02,935.1,957.9,930.0,952.07,-0.18,4849.0,4568534.6,-1,1
2025-07-01,914.0,960.0,914.0,953.83,2.8,4837.0,4579708.3,1,1
2025-06-30,913.0,935.9,913.0,927.89,-0.04,1398.0,1288667.5,-1,1
2025-06-29,929.0,947.0,913.0,928.28,1.78,1838.0,1720755.5,1,1
2025-06-26,905.1,920.0,905.1,912.01,-0.01,2966.0,2702500.7,-1,1
2025-06-25,908.0,916.0,908.0,912.07,-0.21,2937.0,2674378.6,-1,1
2025-06-24,911.0,927.0,911.0,914.02,0.39,2746.0,2508005.3,1,1
2025-06-23,901.0,919.0,901.0,910.48,-0.09,2418.0,2203877.6,-1,1
2025-06-22,922.0,927.0,910.6,911.3,-1.72,3176.0,2911200.4,-1,1
2025-06-19,930.0,940.0,922.1,927.26,-0.37,1155.0,1071286.9,-1,1
2025-06-18,975.6,975.6,924.2,930.75,-2.7,5112.0,4801756.6,-1,1
2025-06-17,934.0,974.0,934.0,956.57,1.14,14589.0,14056052.6,1,1
2025-06-16,929.0,948.0,925.6,945.75,1.85,2113.0,1981586.3,1,1
2025-06-15,947.0,947.0,919.1,928.6,-2.02,1625.0,1506665.5,-1,1
2025-06-12,931.5,949.0,931.5,947.7,-0.08,2443.0,2289120.6,-1,1
2025-06-11,940.0,954.0,928.7,948.5,0.09,2904.0,2739517.2,1,1
2025-06-10,949.8,964.8,920.2,947.61,0.12,5910.0,5531097.0,1,1
2025-06-09,910.7,951.0,896.0,946.43,4.86,10495.0,9652901.0,1,1
2025-06-08,926.0,944.5,900.0,902.53,-2.58,5901.0,5374715.3,-1,1
2025-06-05,926.0,932.0,923.5,926.45,-1.25,1807.0,1673710.8,-1,1
2025-06-04,938.1,950.0,938.0,938.13,-1.15,1423.0,1337700.4,-1,1
2025-06-03,941.3,971.0,940.0,949.0,-0.8,3631.0,3419786.5,-1,2
2025-06-02,972.0,990.0,945.0,956.63,0.32,4134.0,3944128.7,1,1
2025-05-28,963.9,983.2,941.2,953.56,0.8,7451.0,7082834.3,1,1
2025-05-27,955.0,970.0,941.1,946.0,-1.24,1464.0,1401011.2,-1,2
2025-05-26,1002.5,1021.0,953.2,957.88,-2.54,7771.0,7538131.4,-1,1
2025-05-25,979.0,1001.0,966.2,982.86,1.99,20150.0,19963964.1,1,2
2025-05-22,930.0,989.0,930.0,963.72,1.75,13456.0,13085677.7,1,3
2025-05-21,978.8,978.8,931.3,947.13,-1.3,10776.0,10221009.0,-1,4
2025-05-20,932.0,960.0,932.0,959.62,1.72,7089.0,6728760.5,1,5
2025-05-19,939.0,962.2,925.0,943.43,2.0,6861.0,6465004.0,1,6
2025-05-18,921.47,940.0,910.1,924.94,0.38,9887.0,9173704.6,1,7
2025-05-15,906.0,930.0,906.0,921.47,0.01,4093.0,3754253.2,1,8
2025-05-14,927.9,927.9,910.2,921.39,0.6,4630.0,4246128.5,1,9
2025-05-13,912.0,927.9,910.0,915.9,0.42,4771.0,4368490.7,1,10
2025-05-11,910.0,928.0,905.1,912.05,0.2,3786.0,3472657.9,1,11
2025-05-08,908.0,938.0,907.1,910.24,-1.32,6517.0,5945133.6,-1,12
2025-05-07,930.0,935.0,900.0,922.41,0.94,7514.0,6912472.1,1,13
2025-05-06,923.9,923.9,905.6,913.86,-0.19,7515.0,6851215.6,-1,14
2025-05-05,920.0,922.9,910.0,915.58,-0.08,5993.0,5474025.9,-1,15
2025-05-04,945.0,945.0,910.5,916.3,-1.33,5110.0,4694404.7,-1,16
2025-04-30,945.0,945.0,918.5,928.65,-0.32,8575.0,7937358.0,-1,17
2025-04-29,937.0,955.6,927.3,931.61,-2.54,5616.0,5236213.9,-1,18
2025-04-28,944.0,960.0,926.0,955.9,1.26,7408.0,6976144.1,1,19
2025-04-27,960.0,960.0,940.0,944.03,-0.38,3874.0,3657497.2,-1,20
2025-04-24,958.0,986.0,945.0,947.65,-2.86,4586.0,4370877.5,-1,21
2025-04-23,988.9,988.9,952.2,975.54,0.51,9233.0,8930313.8,1,22
2025-04-22,970.0,988.9,968.0,970.62,-1.57,7334.0,7141753.8,-1,23
2025-04-21,971.4,1008.7,970.0,986.14,-0.51,4693.0,4604138.1,-1,24
2025-04-20,1005.1,1033.0,990.0,991.2,-2.41,12124.0,12128870.4,-1,25
2025-04-17,985.0,1050.0,983.0,1015.7,3.67,32025.0,31998097.5,1,26
2025-04-16,995.0,995.0,955.0,979.77,-0.26,11882.0,11582439.4,-1,27
2025-04-15,972.0,990.5,939.0,982.3,1.16,7448.0,7288838.2,1,28
2025-04-13,922.0,990.0,918.8,971.08,3.52,13200.0,12556938.7,1,29
2025-04-10,919.5,952.9,919.5,938.03,0.37,5667.0,5266548.1,1,30
2025-04-09,922.0,948.8,922.0,934.59,0.15,3259.0,3056953.0,1,31
2025-04-08,927.0,940.0,922.0,933.18,0.53,2989.0,2777786.0,1,32
2025-04-07,920.0,955.0,920.0,928.27,-1.04,6097.0,5667938.6,-1,33
2025-04-03,946.0,956.6,937.1,938.01,-0.84,5429.0,5119581.6,-1,34
2025-04-02,937.1,974.9,937.1,946.0,-0.98,4787.0,4553898.0,-1,35
2025-04-01,945.0,994.0,918.7,955.36,-0.11,5638.0,5320903.0,-1,36
2025-03-30,941.1,960.0,940.0,956.45,1.29,3798.0,3617776.9,1,37
2025-03-27,932.0,958.9,930.0,944.26,-0.46,12495.0,11807703.6,-1,38
2025-03-26,925.0,950.0,915.0,948.65,3.0,7037.0,6597465.9,1,39
2025-03-25,936.0,940.0,916.0,921.04,-3.02,3919.0,3638461.3,-1,40
2025-03-24,924.0,958.8,924.0,949.75,1.0,4653.0,4417768.7,1,41
2025-03-23,953.0,972.0,936.0,940.38,-2.7,5811.0,5481233.5,-1,42
2025-03-20,985.0,985.0,955.0,966.52,0.05,8708.0,8401619.9,1,43
2025-03-19,977.0,977.0,943.0,966.0,0.85,3274.0,3139287.6,1,44
2025-03-18,950.0,958.5,940.2,957.9,1.9,2504.0,2375599.2,1,45
2025-03-17,939.7,964.0,939.7,940.0,0.03,5702.0,5393550.3,1,46
2025-03-16,921.0,950.0,921.0,939.7,0.07,4888.0,4583475.0,1,47
2025-03-12,931.0,968.0,931.0,939.0,-1.16,4001.0,3792012.4,-1,48
2025-03-11,969.0,969.0,935.0,950.0,0.0,7392.0,6978963.7,0,49
2025-03-10,950.0,970.0,945.1,950.0,-0.82,4630.0,4407763.9,-1,50
2024-12-12,989.4,1009.0,952.2,957.0,-1.34,3013.0,2919992.8,-1,1
2024-12-11,979.2,1018.0,965.0,970.0,1.04,3610.0,3511347.5,1,1
2024-12-10,998.6,998.6,958.0,960.0,-1.95,7792.0,7524680.9,-1,2
2024-12-09,975.2,1035.8,970.0,979.1,-1.6,7476.0,7354908.1,-1,3
2024-12-08,1011.4,1030.0,980.1,995.0,-3.59,13041.0,13020945.3,-1,4
2024-12-05,1048.6,1091.0,1025.0,1032.0,-3.55,21633.0,22514590.6,-1,5
2024-12-04,1075.1,1205.0,1070.0,1070.0,-2.46,37324.0,40979523.9,-1,6
2024-12-03,1103.6,1148.0,1060.0,1097.0,1.39,19113.0,20984979.8,1,7
2024-12-02,1045.5,1110.0,1015.0,1082.0,5.56,32691.0,34801423.9,1,8
2024-12-01,1004.5,1031.3,995.0,1025.0,0.0,13436.0,13644909.5,0,9
2024-11-28,1054.0,1055.0,1010.0,1025.0,-0.97,13325.0,13649350.2,-1,10
2024-11-27,978.1,1060.0,978.1,1035.0,3.71,34433.0,35612678.5,1,11
2024-11-26,990.0,1000.0,975.1,998.0,0.81,6339.0,6247081.1,1,12
2024-11-25,972.7,997.0,972.7,990.0,-0.25,2890.0,2843445.8,-1,13
