published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-10-23,190.00,190.00,190.00,190.00,0.00,35367.00,6719730.00,0,1
2024-10-21,190.00,190.00,190.00,190.00,0.00,118470.00,22509300.00,0,2
2024-05-29,145.00,145.00,145.00,145.00,-3.27,300000.00,43500000.00,-1,3
2023-10-08,149.90,149.90,149.90,149.90,1.97,250000.00,37475000.00,1,4
2023-10-04,147.00,147.00,147.00,147.00,-2.00,17000.00,2499000.00,-1,5
2023-08-02,150.00,150.00,150.00,150.00,3.45,593585.00,89037750.00,1,6
2023-06-11,145.00,145.00,145.00,145.00,0.00,510000.00,73950000.00,0,7
2023-04-24,155.00,155.00,155.00,155.00,2.65,5000.00,775000.00,1,8
2022-12-07,151.00,151.00,151.00,151.00,0.00,5100000.00,670293000.00,0,9
2022-07-05,151.00,151.00,151.00,151.00,0.00,2000000.00,302000000.00,0,10
2022-04-24,185.00,185.00,185.00,185.00,0.00,1000000.00,220010000.00,0,11
2022-03-22,185.00,185.00,185.00,185.00,0.00,14918.00,2759830.00,0,12
2022-03-02,185.00,185.00,185.00,185.00,0.00,5300.00,980500.00,0,13
2021-09-20,267.10,267.10,261.80,261.80,-3.93,235460.00,61831366.00,-1,14
2021-09-15,272.50,272.50,272.50,272.50,0.00,35000.00,9537500.00,0,15
2020-10-14,180.00,180.00,180.00,180.00,0.00,100000.00,18000000.00,0,16
2020-01-21,180.00,180.00,180.00,180.00,0.00,220000.00,39600000.00,0,17
2020-01-12,180.00,180.00,180.00,180.00,-0.06,80000.00,14400000.00,-1,18
2019-05-12,180.10,180.10,180.10,180.10,0.00,913835.00,164581680.00,0,19
2019-05-09,180.10,180.10,180.10,180.10,-0.50,1805000.00,325080512.00,-1,20
2019-04-29,181.00,181.00,181.00,181.00,-31.70,700.00,126700.00,-1,21
2017-05-28,265.00,265.00,265.00,265.00,0.00,30.00,7950.00,0,22
2017-05-22,265.00,265.00,260.00,265.00,0.00,25956.00,6803960.00,0,23
2017-04-10,270.00,265.00,265.00,265.00,0.00,74170.00,19655050.00,0,24
2016-06-06,450.00,450.00,450.00,450.00,0.00,132996.00,59848200.00,0,25
2016-05-26,458.00,450.00,450.00,450.00,0.00,69679.00,31355550.00,0,26
2014-06-23,164.00,172.00,172.00,172.00,0.00,1560.00,268320.00,0,27
2014-06-12,161.00,164.00,164.00,164.00,0.00,58440.00,9584160.00,0,28
2014-06-09,158.00,161.00,161.00,161.00,0.00,40000.00,6440000.00,0,29
2013-09-24,158.00,158.00,158.00,158.00,0.00,17214.00,2719812.00,0,30
2013-02-25,151.00,158.00,158.00,158.00,0.00,200.00,31600.00,0,31
2013-02-20,149.00,151.00,151.00,151.00,0.00,62800.00,9482800.00,0,32
2012-07-02,140.00,149.00,147.00,149.00,0.00,2000.00,296000.00,0,33
2012-06-27,130.00,140.00,136.00,140.00,0.00,4000.00,550000.00,0,34
2012-06-26,122.00,130.00,124.00,130.00,0.00,6000.00,758000.00,0,35
2012-06-06,115.00,122.00,120.00,122.00,0.00,3000.00,362000.00,0,36
2012-05-31,111.00,115.00,113.00,115.00,0.00,50000.00,5660000.00,0,37
2012-05-24,109.00,111.00,111.00,111.00,0.00,65000.00,7215000.00,0,38
2012-05-10,109.00,109.00,109.00,109.00,0.00,153000.00,16677000.00,0,39
2012-05-09,115.00,113.00,109.00,109.00,0.00,300000.00,32705000.00,0,40
2012-05-07,127.00,121.00,115.00,115.00,0.00,632000.00,72681200.00,0,41
2012-05-03,129.00,127.00,127.00,127.00,0.00,300.00,38100.00,0,42
2012-05-02,135.00,133.00,129.00,129.00,0.00,300.00,39300.00,0,43
2012-04-29,149.00,147.00,135.00,135.00,0.00,700.00,98700.00,0,44
2012-04-26,164.00,161.00,149.00,149.00,0.00,500.00,77500.00,0,45
2012-04-24,275.00,167.00,164.00,164.00,0.00,200.00,33100.00,0,46
