published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-30,576.00,576.00,553.40,554.51,-1.93,50473.00,28255062.90,-1,1
2025-07-29,580.0,591.0,563.5,565.4,-0.68,67273.0,38703759.5,-1,1
2025-07-28,547.0,582.0,545.0,558.46,0.71,61954.0,34599034.7,1,1
2025-07-27,584.0,584.0,550.1,554.54,-3.15,79325.0,44837633.7,-1,1
2025-07-24,571.6,586.0,567.0,572.6,0.15,82341.0,47249123.1,1,1
2025-07-23,542.0,585.0,542.0,571.76,5.85,193893.0,109133191.6,1,1
2025-07-22,534.2,549.8,534.2,540.17,1.49,45589.0,24695088.4,1,1
2025-07-21,543.0,544.0,530.3,532.22,-1.25,37515.0,20082287.1,-1,1
2025-07-20,550.0,556.0,532.0,538.97,-1.68,67620.0,36872067.6,-1,1
2025-07-17,548.0,552.0,535.0,548.16,1.86,65331.0,35699018.1,1,1
2025-07-16,522.0,550.0,509.0,538.17,4.83,63416.0,33306275.3,1,1
2025-07-15,513.8,520.0,507.0,513.38,1.32,32702.0,16721938.6,1,1
2025-07-14,513.0,513.9,505.0,506.7,-0.48,15137.0,7687867.7,-1,1
2025-07-13,520.0,530.4,508.0,509.16,-0.16,26590.0,13630420.5,-1,1
2025-07-10,525.0,525.0,508.0,510.0,-1.1,27135.0,13928124.0,-1,1
2025-07-09,509.0,520.0,509.0,515.66,0.65,11309.0,5844643.6,1,1
2025-07-08,521.5,521.5,505.0,512.33,0.2,13727.0,7032473.8,1,1
2025-07-07,515.1,523.7,511.0,511.3,-1.52,14966.0,7685902.8,-1,1
2025-07-06,528.0,538.5,515.2,519.18,-3.44,32044.0,16804285.3,-1,1
2025-07-03,538.7,558.9,535.0,537.67,-2.19,39440.0,21338974.6,-1,1
2025-07-02,511.5,574.0,511.5,549.69,5.33,107045.0,57872806.7,1,1
2025-07-01,522.0,525.0,507.7,521.88,1.75,39187.0,20198660.8,1,1
2025-06-30,528.0,528.0,510.0,512.89,-0.98,37359.0,19197738.0,-1,1
2025-06-29,531.9,531.9,513.5,517.98,-0.67,29780.0,15547443.8,-1,1
2025-06-26,500.0,530.0,500.0,521.5,4.98,97446.0,50919643.8,1,1
2025-06-25,486.0,500.0,485.0,496.76,2.18,24555.0,12045008.6,1,1
2025-06-24,495.0,495.0,485.1,486.15,-0.16,18391.0,8962375.5,-1,1
2025-06-23,489.0,492.0,485.0,486.91,-0.57,7119.0,3475490.3,-1,1
2025-06-22,490.9,500.6,488.1,489.68,-1.22,10579.0,5214961.6,-1,1
2025-06-19,502.0,508.0,495.0,495.75,-2.22,31595.0,15773715.8,-1,1
2025-06-18,500.0,512.0,500.0,507.01,0.69,15927.0,8037420.6,1,1
2025-06-17,503.0,512.0,500.0,503.54,-0.82,11391.0,5726792.8,-1,1
2025-06-16,500.1,515.0,500.0,507.71,0.85,37350.0,18987533.6,1,1
2025-06-15,503.0,512.0,500.1,503.45,-0.21,17756.0,8970570.1,-1,1
