published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-27,444.90,456.50,435.00,435.90,-0.48,440087.00,196117800.20,-1,1
2025-07-24,432.0,444.9,422.0,438.0,3.3,384733.0,167538066.4,1,1
2025-07-23,430.9,430.9,420.0,424.02,0.36,184176.0,78152486.2,1,1
2025-07-22,421.9,435.0,420.0,422.5,0.13,204295.0,87226055.3,1,1
2025-07-21,426.0,426.0,418.0,421.95,0.04,198935.0,83712774.9,1,1
2025-07-20,437.1,437.1,419.1,421.77,-1.58,272076.0,116239718.3,-1,1
2025-07-17,410.0,438.0,410.0,428.53,2.64,238043.0,102484148.1,1,1
2025-07-16,412.0,433.0,412.0,417.51,-0.68,198538.0,83701485.2,-1,1
2025-07-15,404.7,422.2,404.7,420.36,2.17,163606.0,68634653.2,1,1
2025-07-14,387.3,416.0,387.3,411.44,4.12,212737.0,86530894.5,1,1
2025-07-13,407.5,415.0,392.3,395.16,-1.1,168588.0,67401331.0,-1,1
2025-07-10,416.1,416.1,397.0,399.57,-2.07,209843.0,84533983.1,-1,1
2025-07-09,405.0,416.0,397.2,408.02,2.64,161581.0,66145943.9,1,1
2025-07-08,400.0,405.0,387.0,397.54,0.53,95863.0,38179507.6,1,1
2025-07-07,391.0,407.9,391.0,395.43,-0.84,127056.0,50818205.4,-1,1
2025-07-06,406.0,414.0,397.0,398.76,-3.03,225873.0,91460223.8,-1,1
2025-07-03,418.0,429.5,410.0,411.21,-2.97,184791.0,76715716.9,-1,1
2025-07-02,422.0,438.6,419.1,423.79,-0.94,303209.0,129666301.4,-1,1
2025-07-01,416.8,430.0,409.0,427.82,4.63,304714.0,128906316.9,1,1
2025-06-30,408.0,418.9,407.0,408.9,-0.37,165401.0,67928869.7,-1,1
2025-06-29,407.5,419.5,407.5,410.41,-0.89,161764.0,66659286.7,-1,1
2025-06-26,414.0,433.0,413.0,414.09,-1.8,237011.0,100233177.2,-1,1
2025-06-25,408.0,430.0,408.0,421.66,1.88,240492.0,100873180.7,1,1
2025-06-24,413.0,433.5,412.6,413.89,-1.69,199186.0,84168176.1,-1,1
2025-06-23,409.3,427.3,409.3,421.02,0.82,208159.0,87379604.4,1,1
2025-06-22,435.0,443.0,416.5,417.59,-4.58,353789.0,150760753.8,-1,1
2025-06-19,464.3,465.0,435.0,437.63,-3.87,591161.0,265115284.8,-1,1
2025-06-18,420.0,458.0,420.0,455.24,6.38,612784.0,273525743.4,1,1
2025-06-17,419.0,429.8,410.1,427.93,2.61,270573.0,113669172.6,1,1
2025-06-16,438.0,445.0,415.0,417.04,-4.84,585762.0,251380433.1,-1,1
2025-06-15,429.9,448.8,429.9,438.23,0.83,744753.0,327379386.1,1,1
2025-06-12,435.0,458.0,428.0,434.61,1.4,636013.0,281266930.8,1,1
2025-06-11,397.4,428.6,389.0,428.6,9.99,795464.0,329052977.4,1,1
2025-06-10,398.5,406.4,385.3,389.67,-0.28,375635.0,149649479.7,-1,1
2025-06-09,390.0,394.0,378.4,390.77,0.98,192702.0,74725021.2,1,1
2025-06-08,368.0,393.0,367.0,386.98,6.18,370682.0,142510655.8,1,1
2025-06-05,355.0,371.0,353.1,364.45,2.75,106150.0,38199791.0,1,1
2025-06-04,358.0,362.0,352.4,354.68,-0.99,78375.0,27889217.7,-1,1
2025-06-03,365.0,367.0,357.0,358.21,-2.16,102557.0,36943068.7,-1,2
2025-06-02,378.3,384.0,365.5,366.11,-1.3,93333.0,34721332.8,-1,1
2025-05-28,353.5,377.0,353.5,370.94,2.86,183864.0,68021164.8,1,1
2025-05-27,353.1,369.0,352.1,360.64,1.2,130013.0,47302785.5,1,2
2025-05-26,364.2,371.4,355.0,356.36,-0.2,146855.0,52999641.8,-1,1
2025-05-25,352.0,366.0,352.0,357.08,0.16,91209.0,32802559.5,1,2
2025-05-22,365.0,371.5,355.0,356.51,-2.18,129969.0,47103846.0,-1,3
2025-05-21,379.4,397.0,363.2,364.47,-2.03,228953.0,86004709.7,-1,4
2025-05-20,352.1,376.0,352.0,372.04,3.66,118257.0,43343422.4,1,5
2025-05-19,346.0,370.0,346.0,358.91,1.86,131019.0,47276892.1,1,6
2025-05-18,368.0,374.0,346.2,352.35,-4.11,225267.0,80976937.9,-1,7
2025-05-15,370.0,383.5,364.0,367.46,-2.12,221206.0,82294497.1,-1,8
2025-05-14,396.1,396.1,372.0,375.43,-3.85,244954.0,93234455.7,-1,9
2025-05-13,383.0,399.0,383.0,390.46,1.83,299367.0,116809544.4,1,10
2025-05-11,396.1,412.0,380.0,383.43,-4.93,335696.0,132307644.3,-1,11
2025-05-08,391.6,419.9,391.6,403.33,1.23,488684.0,198903790.7,1,12
2025-05-07,406.3,412.9,396.0,398.43,-1.86,404169.0,161716640.1,-1,13
2025-05-06,383.1,410.0,383.1,406.0,3.94,434214.0,175645167.1,1,14
2025-05-05,400.0,400.0,377.3,390.6,-0.48,399182.0,153642878.4,-1,15
2025-05-04,391.8,409.8,386.7,392.47,2.17,675678.0,268672669.5,1,16
2025-04-30,348.0,389.0,348.0,384.15,8.36,679566.0,256622124.0,1,17
2025-04-29,349.9,359.0,345.0,354.51,3.14,300172.0,105752245.6,1,18
2025-04-28,346.0,356.0,342.1,343.73,-0.54,103385.0,36128002.7,-1,19
2025-04-27,352.0,355.9,341.2,345.61,-0.23,146740.0,51047682.2,-1,20
2025-04-24,347.0,349.0,332.2,346.39,1.74,118011.0,40048682.5,1,21
2025-04-23,345.0,348.0,335.3,340.46,-2.35,75294.0,25593575.6,-1,22
2025-04-22,363.0,364.4,348.0,348.65,-2.44,131911.0,46605313.2,-1,23
2025-04-21,343.9,360.0,342.0,357.37,4.24,265023.0,94175504.4,1,24
2025-04-20,342.0,345.0,337.0,342.83,0.11,88291.0,30136166.6,1,25
2025-04-17,348.9,353.0,340.0,342.47,-0.83,114764.0,39911910.4,-1,26
2025-04-16,340.0,347.8,331.0,345.35,2.89,105624.0,36058933.0,1,27
2025-04-15,335.0,340.4,324.2,335.66,1.94,86165.0,28878491.6,1,28
2025-04-13,331.0,334.8,325.0,329.28,1.16,65683.0,21671841.9,1,29
2025-04-10,326.4,328.0,320.5,325.52,1.71,62280.0,20267368.9,1,30
2025-04-09,322.0,332.0,319.0,320.04,-0.65,59205.0,19154618.5,-1,31
2025-04-08,319.0,324.0,315.0,322.12,-0.78,41989.0,13417522.6,-1,32
2025-04-07,325.0,330.0,320.4,324.66,-0.26,64695.0,20962064.1,-1,33
2025-04-03,324.0,332.0,324.0,325.49,0.54,73855.0,24193844.9,1,34
2025-04-02,320.0,326.9,320.0,323.74,0.6,44906.0,14555771.2,1,35
2025-04-01,327.0,328.0,320.1,321.8,-1.12,38110.0,12288567.6,-1,36
2025-03-30,320.1,334.0,320.1,325.43,1.82,88882.0,29137855.9,1,37
2025-03-27,320.0,325.0,308.9,319.6,-0.1,60307.0,19175303.0,-1,38
2025-03-26,315.0,324.0,313.1,319.92,1.39,44915.0,14343372.0,1,39
2025-03-25,324.0,325.0,314.0,315.52,-3.24,59031.0,18745226.1,-1,40
2025-03-24,322.1,331.9,315.7,326.09,0.74,56506.0,18418153.9,1,41
2025-03-23,340.0,340.0,322.0,323.7,-3.03,75464.0,24568960.9,-1,42
2025-03-20,339.0,339.0,326.0,333.82,0.43,48072.0,15929209.3,1,43
2025-03-19,329.0,335.0,328.1,332.4,0.12,72485.0,23984973.4,1,44
2025-03-18,340.0,340.0,331.0,332.0,-0.9,34998.0,11723713.7,-1,45
2025-03-17,339.0,342.9,335.0,335.0,-1.44,31253.0,10527314.8,-1,46
2025-03-16,340.0,344.0,334.0,339.9,0.12,52204.0,17576385.4,1,47
2025-03-12,339.8,354.9,338.0,339.5,1.37,109972.0,37733005.6,1,48
2025-03-11,340.0,348.0,334.7,334.9,-2.36,95924.0,32456998.6,-1,49
2025-03-10,348.0,352.0,340.7,343.0,-0.87,58814.0,20289858.9,-1,50
2024-12-12,337.0,343.2,332.0,334.9,0.24,174021.0,58861029.3,1,1
2024-12-11,317.1,337.1,317.1,334.1,3.37,158567.0,52760441.3,1,1
2024-12-10,321.0,328.9,321.0,323.2,-0.68,44312.0,14371939.1,-1,2
2024-12-09,329.4,329.4,323.0,325.4,0.74,60610.0,19694961.6,1,3
2024-12-08,329.8,331.0,318.0,323.0,-0.92,90889.0,29486951.4,-1,4
2024-12-05,338.0,338.0,323.4,326.0,-1.95,175429.0,58256835.0,-1,5
2024-12-04,327.9,340.0,320.0,332.5,2.94,249053.0,83322000.2,1,6
2024-12-03,326.0,329.1,320.0,323.0,0.94,64183.0,20848445.0,1,7
2024-12-02,324.9,331.0,320.0,320.0,0.03,87513.0,28501229.6,1,8
2024-12-01,323.0,324.3,308.0,319.9,-0.87,72720.0,23114618.2,-1,9
2024-11-28,334.4,334.4,320.0,322.7,-1.59,53080.0,17139771.7,-1,10
2024-11-27,324.6,328.5,319.0,327.9,3.02,64159.0,20813244.5,1,11
2024-11-26,315.0,321.0,310.2,318.3,2.98,53199.0,16847819.2,1,12
2024-11-25,314.0,314.0,308.1,309.1,0.36,50340.0,15621005.0,1,13
2024-11-24,316.0,317.0,307.7,308.0,-1.57,45029.0,14056066.4,-1,14
2024-11-21,324.0,325.0,312.9,312.9,-1.88,69155.0,21979821.9,-1,15
2024-11-20,319.8,322.5,316.0,318.9,0.92,69510.0,22201994.8,1,16
2024-11-19,330.0,330.0,314.1,316.0,-3.95,134758.0,43217652.5,-1,17
2024-11-17,340.0,347.0,329.0,329.0,-1.5,153634.0,51775911.2,-1,18
2024-11-14,325.0,338.0,322.0,334.0,2.77,156719.0,51965422.7,1,19
2024-11-13,325.1,328.5,321.0,325.0,0.0,57778.0,18704314.3,0,20
2024-11-12,327.2,333.7,323.0,325.0,-0.94,78650.0,25744677.4,-1,21
2024-11-11,335.0,343.0,322.6,328.1,-3.5,296145.0,98975291.0,-1,22
2024-11-10,340.6,344.0,334.0,340.0,1.8,170678.0,57707495.2,1,23
2024-11-06,324.3,335.0,317.0,334.0,5.03,302231.0,99700711.9,1,24
2024-11-05,320.0,324.0,316.0,318.0,-0.31,79389.0,25378537.6,-1,25
2024-10-30,324.2,326.0,314.0,319.0,0.35,93343.0,29878116.5,1,26
2024-10-29,316.5,322.0,315.2,317.9,0.66,175102.0,55816464.5,1,27
2024-10-28,307.0,317.0,307.0,315.8,1.87,131682.0,41415088.5,1,28
2024-10-27,310.0,310.9,306.5,310.0,0.0,60326.0,18633353.1,0,29
2024-10-24,310.0,310.0,304.0,310.0,0.0,48043.0,14719024.0,0,30
2024-10-23,310.0,311.0,302.0,310.0,1.64,76994.0,23707029.7,1,31
2024-10-22,296.0,309.0,295.0,305.0,1.7,30201.0,9121644.3,1,32
2024-10-21,304.0,310.9,298.0,299.9,-2.91,66248.0,20097453.4,-1,33
2024-10-20,305.0,317.1,304.0,308.9,-0.35,171619.0,53345765.46,-1,34
2024-10-17,315.0,319.0,307.0,310.0,-0.35,80800.0,25538270.0,-1,35
2024-10-16,312.3,315.0,310.7,311.1,1.6,30545.0,9550462.3,1,36
2024-10-15,311.1,316.2,304.5,306.2,0.39,12290.0,3791901.2,1,37
2024-10-09,304.0,309.0,301.0,305.0,0.63,66405.0,20467734.4,1,38
2024-10-08,309.0,313.2,303.0,303.1,-3.16,67753.0,20796522.2,-1,39
2024-10-07,319.0,323.9,313.0,313.0,-1.88,87837.0,27887510.8,-1,40
