published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-06,790.10,814.00,790.10,808.38,0.43,2156.00,1730975.00,1,1
2025-07-03,806.0,812.0,786.6,804.88,-0.11,4796.0,3793943.7,-1,1
2025-07-02,800.0,812.5,800.0,805.74,1.14,2174.0,1754513.0,1,1
2025-07-01,789.0,800.0,780.0,796.62,0.23,5439.0,4250671.0,1,1
2025-06-30,781.0,800.0,781.0,794.76,1.49,3191.0,2523931.5,1,1
2025-06-29,768.6,790.0,768.6,783.08,0.38,930.0,729903.5,1,1
2025-06-26,805.4,805.4,778.0,780.11,-1.21,2708.0,2132289.0,-1,1
2025-06-25,778.9,792.0,765.0,789.68,-0.61,630.0,493465.0,-1,1
2025-06-24,790.0,794.5,780.0,794.5,0.58,2724.0,2144217.5,1,1
2025-06-23,788.9,804.0,776.5,789.91,0.13,1440.0,1133445.0,1,1
2025-06-22,772.2,795.6,772.2,788.87,0.14,4657.0,3657826.2,1,1
2025-06-19,767.0,805.8,767.0,787.79,0.74,4445.0,3535102.1,1,1
2025-06-18,781.0,794.0,780.0,782.0,-0.69,2250.0,1765842.5,-1,1
2025-06-17,787.0,799.5,784.0,787.47,-1.09,1642.0,1297702.7,-1,1
2025-06-16,790.0,805.7,786.0,796.15,0.99,1659.0,1315228.6,1,1
2025-06-15,800.0,809.9,787.1,788.36,-1.22,977.0,773697.3,-1,1
2025-06-12,801.3,815.0,797.0,798.1,-0.85,3767.0,3028186.6,-1,1
2025-06-11,795.1,821.1,780.0,804.93,1.19,7356.0,5876591.9,1,1
2025-06-10,795.0,805.0,782.0,795.5,1.89,2807.0,2233811.6,1,1
2025-06-09,765.4,812.8,765.4,780.71,0.68,2860.0,2233223.8,1,1
2025-06-08,786.0,794.0,771.0,775.46,-2.36,3614.0,2820793.0,-1,1
2025-06-05,795.0,796.5,786.0,794.17,-0.57,1200.0,952018.5,-1,1
2025-06-04,784.1,798.7,783.1,798.7,-0.16,1840.0,1451482.0,-1,1
2025-06-03,800.0,800.0,790.0,800.0,-0.37,991.0,785970.7,-1,2
2025-06-02,785.2,803.0,785.2,803.0,1.08,1393.0,1109237.0,1,1
2025-05-28,786.1,800.0,785.9,794.4,-0.42,2571.0,2025071.1,-1,1
2025-05-27,796.0,805.5,789.5,797.76,0.1,3870.0,3075567.2,1,2
2025-05-26,814.0,820.0,790.3,796.93,-0.38,3738.0,2993029.6,-1,1
2025-05-25,787.0,800.0,787.0,799.95,-0.04,1830.0,1452732.0,-1,2
2025-05-22,814.0,814.0,798.0,800.3,-1.67,2066.0,1654067.3,-1,3
2025-05-21,827.7,878.2,795.4,813.9,0.29,3536.0,2887269.8,1,4
2025-05-20,785.0,819.0,780.2,811.55,2.45,4097.0,3309192.7,1,5
2025-05-19,797.0,805.0,785.1,792.16,-0.61,1602.0,1265323.0,-1,6
2025-05-18,791.0,800.0,790.0,797.0,-0.5,1591.0,1262739.5,-1,7
2025-05-15,820.0,820.0,792.3,801.03,-0.65,1850.0,1489926.3,-1,8
2025-05-14,803.0,824.4,800.0,806.29,-0.26,3491.0,2813089.0,-1,9
2025-05-13,840.9,841.9,800.1,808.4,-2.06,2670.0,2173116.4,-1,10
2025-05-11,847.9,847.9,822.0,825.44,-2.15,1525.0,1258735.3,-1,11
2025-05-08,818.0,846.0,810.3,843.6,3.26,2406.0,1982516.4,1,12
2025-05-07,803.0,823.0,803.0,816.95,2.07,2462.0,2007398.4,1,13
2025-05-06,804.1,819.9,790.0,800.39,-2.39,4871.0,3920193.3,-1,14
2025-05-05,810.0,829.0,804.0,820.0,1.72,2430.0,1993566.0,1,15
2025-05-04,816.0,816.0,802.1,806.15,-1.71,1965.0,1591278.6,-1,16
2025-04-30,809.2,831.0,809.2,820.21,-0.52,2467.0,2028959.0,-1,17
2025-04-29,855.0,858.0,823.2,824.49,-3.21,3833.0,3188454.9,-1,18
2025-04-28,840.0,870.0,840.0,851.79,-0.16,2227.0,1894975.9,-1,19
2025-04-27,845.0,870.0,838.0,853.19,0.0,3458.0,2978313.5,0,20
2025-04-24,845.2,860.0,845.2,853.23,-0.49,1315.0,1115671.0,-1,21
2025-04-23,860.1,872.0,854.6,857.47,-1.69,3203.0,2744919.4,-1,22
2025-04-22,869.5,896.0,864.0,872.25,-1.68,840.0,733272.0,-1,23
2025-04-21,849.5,894.0,849.5,887.15,2.35,2581.0,2260548.5,1,24
2025-04-20,865.0,882.3,858.0,866.75,-0.83,1910.0,1646309.0,-1,25
2025-04-17,890.0,890.0,865.0,873.99,-0.38,2758.0,2416942.8,-1,26
2025-04-16,867.2,894.8,866.2,877.29,-0.46,959.0,840302.0,-1,27
2025-04-15,852.3,900.0,852.3,881.36,1.43,3899.0,3423722.1,1,28
2025-04-13,872.0,874.0,855.0,868.96,-0.42,2145.0,1850422.0,-1,29
2025-04-10,876.7,894.0,870.0,872.65,-2.45,4046.0,3534951.6,-1,30
2025-04-09,882.0,929.0,872.0,894.56,1.31,1720.0,1540556.1,1,31
2025-04-08,870.0,885.0,857.3,882.98,-0.39,1080.0,948272.0,-1,32
2025-04-07,866.6,895.1,850.0,886.47,0.26,310.0,271214.0,1,33
2025-04-03,905.0,905.0,875.0,884.2,-1.21,1905.0,1696632.0,-1,34
2025-04-02,899.0,902.0,868.1,895.0,1.17,4707.0,4195517.0,1,35
2025-04-01,881.0,889.0,868.1,884.66,-0.04,1750.0,1534904.4,-1,36
2025-03-30,860.0,894.0,860.0,885.0,2.29,4698.0,4109322.9,1,37
2025-03-27,828.0,900.0,828.0,865.15,2.61,2915.0,2523971.5,1,38
2025-03-26,816.2,845.0,814.1,843.17,1.53,2120.0,1757374.0,1,39
2025-03-25,850.0,855.0,828.1,830.45,-3.89,4491.0,3745585.8,-1,40
2025-03-24,860.0,868.9,844.0,864.09,0.97,1562.0,1344826.5,1,41
2025-03-23,888.0,899.0,848.0,855.83,-4.24,5617.0,4872829.5,-1,42
2025-03-20,904.9,910.0,890.0,893.72,-1.14,1728.0,1553484.5,-1,43
2025-03-19,888.1,922.0,888.0,904.0,-0.11,3935.0,3556460.6,-1,44
2025-03-18,880.1,912.9,880.1,905.0,1.4,1165.0,1051716.0,1,45
2025-03-17,879.1,900.0,879.1,892.5,0.62,1996.0,1774973.0,1,46
2025-03-16,905.0,905.0,885.0,887.0,-3.17,4250.0,3789180.5,-1,47
2025-03-12,907.1,920.0,903.2,916.0,0.99,4184.0,3801796.5,1,48
2025-03-11,930.0,935.0,900.0,907.0,-1.14,8247.0,7501476.0,-1,49
2025-03-10,943.5,954.0,906.0,917.5,-0.81,5994.0,5511634.7,-1,50
2024-12-12,959.3,1017.0,959.3,983.0,0.43,7839.0,7749179.0,1,1
2024-12-11,952.6,989.0,952.6,978.8,0.7,2216.0,2145499.8,1,1
2024-12-10,963.0,989.9,961.1,972.0,-0.5,3433.0,3331116.5,-1,2
2024-12-09,980.0,990.0,960.0,976.9,-0.32,5680.0,5505505.6,-1,3
2024-12-08,1000.0,1017.0,980.0,980.0,-1.01,21319.0,21437854.3,-1,4
