published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-07-13,170.00,175.00,170.00,173.10,2.97,44618.00,7714872.30,1,1
2023-07-12,173.00,173.00,168.10,168.10,-1.41,52888.00,8976671.80,-1,2
2023-07-11,172.00,172.00,167.70,170.50,-0.58,75841.00,12828577.70,-1,3
2023-07-10,170.00,173.00,170.00,171.50,0.88,27052.00,4643047.00,1,4
2023-07-09,170.00,174.90,168.20,170.00,1.19,32658.00,5556045.70,1,5
2023-07-06,172.00,175.00,167.70,168.00,-2.33,66268.00,11218451.50,-1,6
2023-07-05,172.00,173.60,170.40,172.00,-1.04,34022.00,5825598.00,-1,7
2023-07-04,175.00,175.00,171.00,173.80,-0.11,40888.00,7020433.90,-1,8
2023-07-03,172.00,175.90,171.20,174.00,0.00,35236.00,6083153.00,0,9
2023-07-02,181.00,181.00,172.60,174.00,-3.33,44584.00,7776525.50,-1,10
2023-06-28,179.00,189.00,178.20,180.00,1.47,63403.00,11488363.80,1,11
2023-06-27,171.10,183.10,171.10,177.40,2.90,93479.00,16623039.20,1,12
2023-06-26,173.00,175.00,171.90,172.40,-0.58,29384.00,5073949.00,-1,13
2023-06-25,170.00,173.40,170.00,173.40,0.81,30359.00,5216749.30,1,14
2023-06-22,173.00,174.50,171.00,172.00,-0.52,37112.00,6389962.70,-1,15
2023-06-21,175.00,176.00,172.00,172.90,-1.31,39595.00,6867893.80,-1,16
2023-06-20,175.10,177.90,175.00,175.20,-0.45,19015.00,3340653.10,-1,17
2023-06-19,176.20,178.50,176.00,176.00,-0.79,23120.00,4096111.20,-1,18
2023-06-18,178.00,178.90,176.20,177.40,-0.34,33211.00,5887263.80,-1,19
2023-06-15,180.00,180.00,178.00,178.00,0.00,11653.00,2082210.20,0,20
2023-06-14,179.00,183.00,175.50,178.00,0.00,56231.00,10129437.10,0,21
2023-06-13,176.00,179.00,175.00,178.00,0.00,58852.00,10384935.80,0,22
2023-06-12,177.00,179.00,175.60,178.00,1.60,21070.00,3729625.80,1,23
2023-06-11,177.70,179.00,174.60,175.20,0.34,14180.00,2496162.90,1,24
2023-06-08,179.00,179.00,174.00,174.60,-1.91,64974.00,11364615.20,-1,25
2023-06-07,178.50,179.00,175.60,178.00,0.79,28317.00,5012621.30,1,26
2023-06-06,177.90,178.00,174.90,176.60,-0.73,13768.00,2427440.40,-1,27
2023-06-05,180.00,181.00,176.50,177.90,-0.06,12828.00,2282481.70,-1,28
2023-06-04,173.80,182.20,173.80,178.00,1.42,49586.00,8898212.00,1,29
2023-06-01,175.00,180.80,174.00,175.50,-0.28,43327.00,7656423.20,-1,30
2023-05-31,178.00,180.90,175.00,176.00,-1.95,38554.00,6857583.10,-1,31
2023-05-30,180.00,180.00,176.00,179.50,-1.43,15539.00,2761840.90,-1,32
2023-05-28,181.30,184.60,180.10,182.10,-0.76,35023.00,6380984.10,-1,33
2023-05-24,184.00,184.00,180.40,183.50,-0.22,20912.00,3799442.80,-1,34
2023-05-23,181.00,183.90,180.00,183.90,1.60,63326.00,11470556.60,1,35
2023-05-22,180.00,181.00,179.20,181.00,0.06,10111.00,1822126.20,1,36
2023-05-21,182.00,183.90,180.40,180.90,0.33,22394.00,4056193.10,1,37
2023-05-18,178.30,182.80,178.30,180.30,0.11,12931.00,2330356.00,1,38
2023-05-17,179.00,180.10,177.00,180.10,1.29,13159.00,2353352.60,1,39
2023-05-16,175.00,180.00,175.00,177.80,0.45,6183.00,1098513.30,1,40
2023-05-15,175.50,178.00,175.40,177.00,0.17,5085.00,899483.60,1,41
2023-05-14,179.00,179.00,176.40,176.70,-0.34,11322.00,2006681.10,-1,42
2023-05-11,176.00,179.00,176.00,177.30,-0.95,13701.00,2437360.80,-1,43
2023-05-10,183.90,183.90,178.10,179.00,-1.38,8109.00,1456139.10,-1,44
2023-05-09,182.00,182.00,176.60,181.50,1.68,13632.00,2443869.20,1,45
2023-05-08,175.40,181.50,175.40,178.50,1.25,9053.00,1609609.60,1,46
2023-05-07,178.10,180.30,175.90,176.30,-1.62,31240.00,5546754.10,-1,47
2023-05-04,183.00,183.00,178.00,179.20,-0.99,21904.00,3924483.30,-1,48
2023-05-03,181.00,183.50,180.00,181.00,-0.39,17117.00,3096230.20,-1,49
2023-05-02,180.00,181.70,178.10,181.70,0.94,16038.00,2872962.40,1,50
2023-04-30,181.50,183.00,179.00,180.00,-0.61,21406.00,3860874.20,-1,51
2023-04-27,180.50,183.70,180.10,181.10,-1.04,8704.00,1584564.00,-1,52
2023-04-26,180.50,184.70,180.50,183.00,0.00,12726.00,2329223.00,0,53
2023-04-25,181.10,184.10,180.50,183.00,1.10,10017.00,1823703.60,1,54
2023-04-24,179.00,182.80,178.00,181.00,0.44,12666.00,2285409.50,1,55
2023-04-23,182.00,183.00,180.10,180.20,-1.53,18066.00,3267926.50,-1,56
2023-04-20,186.00,186.00,182.00,183.00,-0.27,18835.00,3457260.10,-1,57
2023-04-19,185.00,186.00,183.10,183.50,-0.81,11480.00,2111676.30,-1,58
2023-04-18,184.00,187.20,181.40,185.00,0.00,14948.00,2734775.40,0,59
2023-04-17,186.00,186.80,182.40,185.00,-1.60,13805.00,2543544.70,-1,60
2023-04-16,190.00,190.00,185.00,188.00,-1.00,6279.00,1175282.30,-1,61
2023-04-13,194.00,195.90,188.10,189.90,-3.06,20730.00,3962148.50,-1,62
2023-04-12,185.00,199.60,184.00,195.90,7.34,53653.00,10248967.50,1,63
2023-04-11,179.10,183.00,174.10,182.50,3.69,33069.00,5981372.70,1,64
2023-04-10,174.00,178.00,174.00,176.00,0.23,18918.00,3324692.10,1,65
2023-04-09,177.00,177.00,174.20,175.60,-0.79,7024.00,1230167.40,-1,66
2023-04-06,175.40,177.00,175.40,177.00,0.57,10857.00,1911699.00,1,67
2023-04-05,173.60,177.50,173.60,176.00,1.09,18435.00,3233439.40,1,68
2023-04-04,176.00,176.00,174.10,174.10,-0.85,14545.00,2550141.80,-1,69
2023-04-03,180.00,180.00,175.50,175.60,-1.35,12649.00,2227304.20,-1,70
2023-04-02,180.00,180.50,177.00,178.00,0.00,10037.00,1788992.00,0,71
2023-03-30,181.50,181.50,177.90,178.00,-0.61,12017.00,2143454.40,-1,72
2023-03-29,178.40,180.90,178.00,179.10,-1.27,13782.00,2464247.20,-1,73
2023-03-28,179.60,182.60,179.60,181.40,2.43,17803.00,3219840.90,1,74
2023-03-27,178.00,180.50,176.70,177.10,-1.67,19097.00,3397830.80,-1,75
2023-03-26,180.20,183.60,178.00,180.10,-0.50,24440.00,4374649.00,-1,76
2023-03-23,179.00,187.20,177.10,181.00,1.12,14349.00,2582919.10,1,77
2023-03-22,181.50,184.00,178.20,179.00,-2.13,24192.00,4359627.20,-1,78
2023-03-20,183.00,184.60,181.00,182.90,-0.05,7956.00,1447910.60,-1,79
2023-03-19,181.00,183.90,181.00,183.00,0.00,5588.00,1019142.80,0,80
2023-03-16,182.90,183.50,180.00,183.00,0.05,16527.00,3002508.40,1,81
2023-03-15,182.00,183.80,181.20,182.90,0.55,10534.00,1917735.30,1,82
2023-03-14,181.10,186.50,181.10,181.90,-0.60,19622.00,3582704.00,-1,83
2023-03-13,183.20,183.50,181.00,183.00,-0.54,20381.00,3709282.70,-1,84
2023-03-12,188.00,188.00,183.10,184.00,-1.08,17157.00,3166422.70,-1,85
2023-03-09,183.00,186.00,182.00,186.00,1.97,14534.00,2676390.20,1,86
2023-03-07,181.00,184.60,181.00,182.40,-0.33,10128.00,1849275.60,-1,87
2023-03-05,184.00,184.00,182.00,183.00,-0.54,12689.00,2322779.40,-1,88
2023-03-02,187.50,188.70,183.80,184.00,-1.60,19642.00,3626941.20,-1,89
2023-03-01,186.00,190.00,185.60,187.00,0.00,17201.00,3219528.20,0,90
2023-02-28,184.10,190.00,184.10,187.00,0.27,8267.00,1560365.10,1,91
2023-02-27,184.00,189.90,184.00,186.50,-0.37,31901.00,5948016.80,-1,92
2023-02-26,187.40,189.00,185.00,187.20,-1.47,10945.00,2040646.30,-1,93
2023-02-23,188.20,190.00,188.00,190.00,0.00,70432.00,13361110.60,0,94
2023-02-22,186.10,192.00,186.10,190.00,0.11,9449.00,1791226.00,1,95
2023-02-20,187.70,190.00,186.50,189.80,1.23,21821.00,4105962.70,1,96
2023-02-16,188.50,190.00,187.20,187.50,-0.42,18060.00,3402397.90,-1,97
2023-02-15,188.30,191.50,188.00,188.30,-1.15,22241.00,4205013.10,-1,98
2023-02-14,190.10,193.00,190.00,190.50,-1.30,39141.00,7460249.20,-1,99
2023-02-12,195.00,196.80,193.00,193.00,-1.78,11366.00,2207301.90,-1,100
2023-02-09,196.10,199.50,195.60,196.50,0.26,15433.00,3036853.40,1,101
2023-02-08,200.00,202.90,196.00,196.00,-1.51,18364.00,3648362.00,-1,102
2023-02-07,195.00,199.70,194.20,199.00,2.58,27802.00,5496499.30,1,103
2023-02-06,192.80,194.50,190.10,194.00,2.11,20798.00,4007844.30,1,104
2023-02-05,190.00,196.00,189.10,190.00,0.74,37796.00,7296926.70,1,105
2023-02-02,191.70,192.00,188.60,188.60,-0.84,31860.00,6075132.40,-1,106
2023-02-01,194.30,194.30,190.20,190.20,-0.68,25870.00,4951253.30,-1,107
2023-01-31,193.00,195.00,190.60,191.50,-0.78,27756.00,5327523.10,-1,108
2023-01-30,196.50,196.50,192.70,193.00,-2.03,35591.00,6911214.70,-1,109
2023-01-29,197.50,200.00,195.00,197.00,-0.25,15774.00,3116963.90,-1,110
2023-01-26,201.00,201.00,197.50,197.50,-1.25,16425.00,3267244.50,-1,111
2023-01-25,200.00,202.00,198.30,200.00,0.40,28815.00,5777051.40,1,112
2023-01-24,201.00,201.00,198.10,199.20,-0.90,20294.00,4056185.60,-1,113
2023-01-23,203.00,204.00,200.10,201.00,0.45,30777.00,6227397.70,1,114
2023-01-19,201.00,203.60,198.00,200.10,0.05,49083.00,9862580.10,1,115
2023-01-18,206.90,206.90,199.00,200.00,-1.48,42656.00,8576729.40,-1,116
2023-01-17,206.00,206.00,198.00,203.00,0.00,35238.00,7148288.60,0,117
2023-01-12,210.10,211.00,201.90,203.00,-1.93,54493.00,11162954.70,-1,118
2023-01-10,204.90,216.80,202.00,207.00,2.48,168739.00,35341651.00,1,119
2023-01-09,197.00,202.00,195.10,202.00,2.54,116540.00,23128373.20,1,120
2023-01-08,199.10,200.80,197.00,197.00,-1.05,45611.00,9067869.80,-1,121
2023-01-05,200.00,202.00,198.00,199.10,-0.95,31921.00,6358498.50,-1,122
2023-01-04,198.50,201.00,195.20,201.00,1.11,57779.00,11442801.10,1,123
2023-01-03,200.00,200.00,197.00,198.80,0.35,33191.00,6589050.50,1,124
