published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1100.00,1101.80,1100.00,1101.80,2.00,150.00,165087.50,1,1
2024-11-27,1080.20,1080.20,1080.20,1080.20,0.03,10.00,10802.00,1,2
2024-11-25,1082.00,1082.00,1082.00,1082.00,-0.19,5.00,5399.50,-1,3
2024-11-24,1100.00,1100.00,1078.00,1082.00,-3.57,320.00,349760.00,-1,4
2024-11-20,1122.00,1122.00,1122.00,1122.00,0.00,50.00,56100.00,0,5
2024-11-19,1082.00,1122.00,1082.00,1122.00,3.78,480.00,528980.00,1,6
2024-11-17,1081.10,1081.10,1081.00,1081.10,-1.72,225.00,243229.50,-1,7
2024-11-14,1124.00,1124.00,1100.00,1100.00,-1.03,6035.00,6639300.00,-1,8
2024-11-12,1111.40,1111.40,1111.40,1111.40,-1.99,50.00,55570.00,-1,9
2024-11-10,1104.00,1134.00,1100.00,1134.00,4.04,730.00,816998.50,1,10
2024-11-06,1093.00,1093.00,1090.00,1090.00,1.68,75.00,81900.00,1,11
2024-10-30,1072.00,1072.00,1072.00,1072.00,0.66,25.00,26800.00,1,12
2024-10-23,1065.00,1065.00,1065.00,1065.00,-0.93,275.00,292875.00,-1,13
2024-10-21,1075.00,1075.00,1075.00,1075.00,0.18,200.00,215000.00,1,14
2024-10-15,1073.10,1073.10,1073.10,1073.10,2.00,25.00,26827.50,1,15
2024-10-08,1052.10,1052.10,1052.10,1052.10,0.12,25.00,26302.50,1,16
2024-10-02,1055.00,1055.60,1050.50,1050.80,-0.21,905.00,952369.50,-1,17
2024-09-30,1053.50,1055.00,1053.00,1053.00,-0.94,420.00,442432.50,-1,18
2024-09-29,1063.00,1063.00,1063.00,1063.00,-1.76,25.00,26575.00,-1,19
2024-09-24,1069.00,1082.00,1069.00,1082.00,3.05,960.00,1033037.50,1,20
2024-09-23,1050.00,1050.00,1050.00,1050.00,-1.13,150.00,157500.00,-1,21
2024-09-22,1062.00,1062.00,1062.00,1062.00,1.91,10.00,10620.00,1,22
2024-09-11,1039.10,1039.10,1039.10,1039.10,0.29,9.00,9378.90,1,23
2024-09-10,1039.10,1039.10,1039.10,1039.10,0.30,25.00,25977.50,1,24
2024-09-04,1037.00,1037.00,1036.00,1036.00,0.10,240.00,248692.50,1,25
2024-09-02,1036.00,1036.00,1035.00,1035.00,0.00,1500.00,1552700.00,0,26
2024-08-29,1035.00,1035.00,1035.00,1035.00,0.28,50.00,51750.00,1,27
2024-08-27,1032.10,1032.10,1032.10,1032.10,1.25,9.00,9405.00,1,28
2024-08-22,1036.00,1036.00,1032.10,1032.10,0.59,490.00,506740.50,1,29
2024-08-21,1028.00,1028.00,1026.00,1026.00,-0.39,100.00,102652.50,-1,30
2024-08-18,1030.00,1030.00,1030.00,1030.00,0.19,80.00,82400.00,1,31
2024-08-15,1028.00,1028.00,1028.00,1028.00,-1.15,300.00,308400.00,-1,32
2024-08-14,1040.00,1041.00,1040.00,1040.00,0.00,275.00,286200.00,0,33
2024-08-13,1030.00,1045.00,1030.00,1040.00,0.96,165.00,171175.00,1,34
2024-08-12,1030.10,1030.10,1030.10,1030.10,-1.52,30.00,30903.00,-1,35
2024-08-08,1030.00,1046.00,1030.00,1046.00,1.84,200.00,207600.00,1,36
2024-08-07,1030.00,1030.00,1027.10,1027.10,0.20,50.00,51427.50,1,37
2024-08-05,1025.00,1025.00,1025.00,1025.00,-1.44,34.00,34985.00,-1,38
2024-08-01,1058.00,1058.00,1040.00,1040.00,-3.61,50.00,52450.00,-1,39
2024-07-24,1079.00,1079.00,1079.00,1079.00,-2.00,200.00,215800.00,-1,40
2024-07-15,1101.00,1101.00,1101.00,1101.00,1.94,10.00,11010.00,1,41
2024-07-11,1080.00,1080.00,1080.00,1080.00,1.60,30.00,32400.00,1,42
2024-07-09,1063.00,1063.00,1063.00,1063.00,-1.67,20.00,21260.00,-1,43
2024-07-08,1081.00,1081.00,1081.00,1081.00,1.98,10.00,10810.00,1,44
2024-07-07,1060.00,1060.00,1060.00,1060.00,0.95,5000.00,5300000.00,1,45
2024-07-02,1050.00,1050.00,1050.00,1050.00,-0.94,5000.00,5250000.00,-1,46
2024-06-11,1060.00,1060.00,1060.00,1060.00,1.92,25.00,26500.00,1,47
2024-05-30,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0,48
2024-05-27,1040.00,1040.00,1040.00,1040.00,0.00,50.00,52000.00,0,49
2024-05-22,1040.00,1040.00,1040.00,1040.00,-0.48,25.00,26000.00,-1,50
2024-05-21,1045.00,1045.00,1045.00,1045.00,0.48,25.00,26125.00,1,51
2024-05-16,1040.00,1040.00,1040.00,1040.00,0.00,100.00,104000.00,0,52
2024-05-15,1040.00,1040.00,1040.00,1040.00,0.00,200.00,208000.00,0,53
2024-05-12,1040.00,1040.00,1040.00,1040.00,0.00,20.00,20800.00,0,54
2024-05-08,1040.00,1040.00,1040.00,1040.00,-0.48,100.00,104000.00,-1,55
2024-05-07,1045.00,1045.00,1045.00,1045.00,0.00,25.00,26125.00,0,56
2024-05-06,1045.00,1045.00,1045.00,1045.00,1.46,75.00,78375.00,1,57
2024-04-14,1030.00,1030.00,1030.00,1030.00,1.98,10.00,10300.00,1,58
2024-04-07,1010.00,1010.00,1010.00,1010.00,-0.49,50.00,50500.00,-1,59
2024-04-01,1015.00,1015.00,1015.00,1015.00,-0.98,200.00,203000.00,-1,60
2024-03-17,1010.10,1025.00,1010.10,1025.00,0.39,1275.00,1288440.00,1,61
2024-03-14,1021.00,1021.00,1021.00,1021.00,-0.39,50.00,51050.00,-1,62
2024-03-13,1025.00,1025.00,1025.00,1025.00,1.98,50.00,51250.00,1,63
2024-03-10,1005.10,1005.10,1005.10,1005.10,-1.41,25.00,25127.50,-1,64
2024-02-27,1018.00,1019.50,1018.00,1019.50,1.90,140.00,142640.00,1,65
