published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-07,202.00,204.00,200.00,201.42,0.04,119281.00,24037646.20,1,1
2025-08-06,205.0,205.0,200.0,201.34,-0.76,122079.0,24661164.8,-1,1
2025-08-05,210.8,210.8,202.1,202.88,-1.87,145597.0,29746143.6,-1,1
2025-08-04,216.3,224.4,204.0,206.74,-2.53,647781.0,135313122.0,-1,1
2025-08-03,196.6,212.1,196.6,212.1,9.99,143453.0,30350139.3,1,1
2025-07-31,295.8,296.6,285.0,285.65,-1.78,997158.0,288007356.8,-1,1
2025-07-30,299.5,299.5,290.2,290.83,-0.97,345855.0,101051107.1,-1,1
2025-07-29,291.4,303.0,291.4,293.68,-1.22,299143.0,88370005.8,-1,1
2025-07-28,300.0,302.0,292.0,297.3,-0.81,279702.0,82765198.7,-1,1
2025-07-27,308.7,308.7,298.0,299.73,-0.98,565416.0,170702443.7,-1,1
2025-07-24,300.6,307.0,297.0,302.69,2.7,434153.0,130739803.1,1,1
2025-07-23,300.0,300.0,288.0,294.74,0.05,546141.0,159806138.7,1,1
2025-07-22,305.0,305.6,288.0,294.59,-1.68,425635.0,125626596.1,-1,1
2025-07-21,295.8,313.8,295.8,299.63,3.32,1144218.0,348133819.3,1,1
2025-07-20,268.9,290.0,262.0,290.0,9.98,807781.0,227994094.8,1,1
2025-07-17,261.0,265.0,256.0,263.69,3.03,299772.0,78632035.3,1,1
2025-07-16,255.0,260.0,255.0,255.93,0.23,147030.0,37733307.8,1,1
2025-07-15,250.0,256.0,249.0,255.35,2.91,127097.0,32209777.6,1,1
2025-07-14,246.0,249.9,245.3,248.14,0.79,75605.0,18734741.0,1,1
2025-07-13,252.9,257.9,245.5,246.19,-0.73,161435.0,40235557.4,-1,1
2025-07-10,253.0,255.0,246.0,248.01,-1.43,198366.0,49419235.2,-1,1
2025-07-09,250.0,257.0,250.0,251.62,0.53,108138.0,27312880.6,1,1
2025-07-08,248.0,254.0,248.0,250.3,0.04,311496.0,78013056.3,1,1
2025-07-07,260.0,261.0,249.5,250.21,-3.76,260723.0,66169911.4,-1,1
2025-07-06,266.1,275.0,259.0,259.98,-4.23,328394.0,87032252.3,-1,1
2025-07-03,263.2,276.0,260.1,271.45,5.18,710176.0,192198369.1,1,1
2025-07-02,244.1,262.0,243.0,258.07,5.97,426306.0,107596815.4,1,1
2025-07-01,242.0,244.0,239.7,243.54,1.77,86235.0,20883242.8,1,1
2025-06-30,244.0,244.0,239.0,239.3,-1.04,122509.0,29525989.6,-1,1
2025-06-29,248.1,251.0,241.2,241.81,-2.55,121973.0,29659936.8,-1,1
2025-06-26,249.0,257.9,245.7,248.13,-0.04,236032.0,59459419.6,-1,1
2025-06-25,254.0,254.0,245.5,248.22,-0.47,182205.0,45360579.1,-1,1
2025-06-24,248.0,255.0,247.0,249.38,1.79,600966.0,151372950.5,1,1
2025-06-23,235.1,246.6,233.4,244.99,3.75,452824.0,108475931.3,1,1
2025-06-22,245.0,250.0,235.5,236.14,-3.7,347727.0,83898248.4,-1,1
2025-06-19,239.0,250.5,234.4,245.21,4.04,452647.0,111111175.8,1,1
2025-06-18,231.0,240.8,228.3,235.69,2.74,126728.0,29802015.3,1,1
2025-06-17,233.0,233.0,228.0,229.41,-0.54,62739.0,14352636.1,-1,1
