published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-16,5053.00,5150.00,5053.00,5055.00,-1.39,380.00,1932018.70,-1,1
2025-10-15,5170.0,5190.0,5077.0,5126.0,-0.47,470.0,2407130.0,-1,1
2025-10-14,5165.0,5165.0,5070.0,5150.0,-0.29,832.0,4230140.0,-1,1
2025-10-13,5078.0,5168.0,5000.0,5165.0,-0.27,1354.0,6922373.0,-1,1
2025-10-12,5244.0,5244.0,5097.0,5179.0,-1.24,2050.0,10532760.0,-1,1
2025-10-09,5382.0,5382.0,5213.5,5244.0,-0.64,1235.0,6508662.0,-1,1
2025-10-08,5290.0,5290.0,5079.0,5278.0,-0.23,1541.0,8043477.5,-1,1
2025-10-07,5410.0,5440.0,5288.0,5290.0,-1.95,1305.0,6933004.0,-1,1
2025-09-28,5300.0,5395.0,5270.0,5395.0,1.6,814.0,4319565.0,1,1
2025-09-25,5380.0,5400.0,5181.0,5310.0,0.61,1121.0,6031595.0,1,1
2025-09-24,5294.0,5390.0,5216.0,5277.6,-2.27,1418.0,7592193.4,-1,1
2025-09-23,5407.0,5407.0,5005.0,5400.0,1.87,4310.0,22746097.9,1,1
2025-09-21,4947.0,5335.0,4947.0,5301.06,9.3,3741.0,19477180.0,1,1
2025-09-18,5123.0,5123.0,4832.0,4850.0,-7.22,275.0,1339410.0,-1,1
2025-09-08,5210.0,5257.0,5171.0,5227.49,0.34,768.0,4014624.7,1,1
2025-09-07,5299.0,5300.0,5158.0,5210.0,-0.81,915.0,4749383.0,-1,1
2025-09-04,5176.0,5299.0,5176.0,5252.33,-0.49,2168.0,11334174.0,-1,1
2025-09-03,5300.0,5308.0,5277.5,5278.05,-1.46,1836.0,9728190.0,-1,1
2025-09-02,5300.0,5389.0,5281.3,5356.45,1.07,2097.0,11161077.5,1,1
2025-09-01,5200.0,5310.0,5032.0,5299.99,1.27,1295.0,6836150.0,1,1
2025-08-31,5250.0,5275.0,5211.1,5233.54,-1.05,1524.0,7971796.0,-1,1
