published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2011-12-11,97.00,96.00,96.00,96.00,0.00,479.00,45984.00,0,1
2011-12-08,97.00,97.00,96.00,97.00,0.00,1462.00,140552.00,0,2
2011-12-07,100.00,102.00,97.00,97.00,0.00,1826.00,182626.00,0,3
2011-12-06,99.00,100.00,100.00,100.00,0.00,11.00,1100.00,0,4
2011-12-05,98.00,99.00,98.00,99.00,0.00,186.00,18314.00,0,5
2011-12-04,95.00,98.00,96.00,98.00,0.00,551.00,52975.00,0,6
2011-12-01,94.00,95.00,95.00,95.00,0.00,54.00,5130.00,0,7
2011-11-27,98.00,99.00,97.00,99.00,0.00,2106.00,206690.00,0,8
2011-11-24,101.00,100.00,98.00,98.00,0.00,1769.00,173820.00,0,9
2011-11-23,100.00,101.00,101.00,101.00,0.00,200.00,20200.00,0,10
2011-11-22,102.00,101.00,100.00,100.00,0.00,2876.00,288000.00,0,11
2011-11-21,98.00,102.00,99.00,102.00,0.00,470.00,46874.00,0,12
2011-11-17,100.00,100.00,98.00,98.00,0.00,2850.00,284000.00,0,13
2011-11-16,98.00,100.00,99.00,100.00,0.00,1343.00,133681.00,0,14
2011-11-15,100.00,99.00,98.00,98.00,0.00,1226.00,120360.00,0,15
2011-11-14,101.00,100.00,99.00,100.00,0.00,290.00,28800.00,0,16
2011-11-10,105.00,103.00,101.00,101.00,0.00,216.00,22008.00,0,17
2011-11-03,107.00,109.00,105.00,105.00,0.00,173.00,18621.00,0,18
2011-10-31,110.00,108.00,107.00,107.00,0.00,861.00,92277.00,0,19
2011-10-25,110.00,112.00,110.00,110.00,0.00,150.00,16600.00,0,20
2011-10-24,108.00,110.00,106.00,110.00,0.00,667.00,72062.00,0,21
2011-10-23,102.00,112.00,104.00,108.00,0.00,9350.00,980246.00,0,22
2011-10-20,94.00,102.00,95.00,102.00,0.00,1593.00,159989.00,0,23
2011-10-19,100.00,95.00,94.00,94.00,0.00,520.00,48890.00,0,24
2011-10-16,98.00,102.00,98.00,100.00,0.00,41046.00,4178735.00,0,25
2011-10-13,102.00,100.00,98.00,98.00,0.00,400.00,39600.00,0,26
2011-09-29,93.00,102.00,97.00,102.00,0.00,3810.00,382802.00,0,27
