published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-11-26,210.00,213.00,205.00,210.00,0.00,25457.00,5282091.00,0,1
2015-11-25,208.00,218.00,206.00,210.00,0.00,27477.00,5803270.00,0,2
2015-11-24,208.00,210.00,206.00,208.00,0.00,4035.00,841650.00,0,3
2015-11-23,203.00,209.00,197.00,208.00,0.00,9335.00,1908394.00,0,4
2015-11-22,215.00,212.00,203.00,203.00,0.00,5650.00,1160600.00,0,5
2015-11-19,218.00,218.00,211.00,215.00,0.00,17768.00,3831090.00,0,6
2015-11-18,210.00,218.00,210.00,218.00,0.00,27561.00,5950213.00,0,7
2015-11-16,210.00,210.00,206.00,210.00,0.00,17546.00,3656470.00,0,8
2015-11-15,204.00,210.00,200.00,210.00,0.00,5847.00,1191346.00,0,9
2015-11-10,202.00,204.00,200.00,204.00,0.00,8055.00,1631540.00,0,10
2015-11-09,196.00,206.00,199.00,202.00,0.00,5260.00,1059550.00,0,11
2015-11-08,199.00,196.00,194.00,196.00,0.00,1748.00,340566.00,0,12
2015-11-05,200.00,200.00,199.00,199.00,0.00,2337.00,467102.00,0,13
2015-11-04,200.00,200.00,200.00,200.00,0.00,2095.00,419000.00,0,14
2015-11-03,201.00,203.00,199.00,200.00,0.00,4265.00,850676.00,0,15
2015-11-02,203.00,206.00,200.00,201.00,0.00,8995.00,1831165.00,0,16
2015-11-01,201.00,203.00,203.00,203.00,0.00,2000.00,406000.00,0,17
2015-10-29,200.00,208.00,200.00,201.00,0.00,2599.00,527071.00,0,18
2015-10-28,201.00,200.00,188.00,200.00,0.00,6122.00,1185034.00,0,19
2015-10-27,211.00,207.00,195.00,201.00,0.00,3452.00,694152.00,0,20
2015-10-25,214.00,211.00,210.00,211.00,0.00,858.00,180768.00,0,21
2015-10-19,216.00,215.00,208.00,214.00,0.00,8641.00,1832579.00,0,22
2015-10-18,209.00,216.00,202.00,216.00,0.00,8513.00,1766859.00,0,23
2015-10-15,215.00,215.00,209.00,209.00,0.00,10628.00,2248833.00,0,24
2015-10-14,210.00,220.00,213.00,215.00,0.00,9411.00,2027786.00,0,25
2015-10-11,216.00,213.00,208.00,210.00,0.00,6446.00,1354155.00,0,26
2015-10-08,212.00,220.00,206.00,216.00,0.00,11232.00,2377361.00,0,27
2015-10-07,218.00,217.00,210.00,212.00,0.00,4817.00,1030135.00,0,28
2015-10-06,219.00,219.00,215.00,218.00,0.00,6632.00,1436958.00,0,29
2015-10-05,223.00,221.00,216.00,219.00,0.00,6496.00,1415406.00,0,30
2015-10-04,228.00,228.00,221.00,223.00,0.00,2317.00,517941.00,0,31
2015-10-01,226.00,230.00,220.00,228.00,0.00,15519.00,3483975.00,0,32
2015-09-30,219.00,226.00,216.00,226.00,0.00,16388.00,3595436.00,0,33
2015-09-29,217.00,221.00,216.00,219.00,0.00,4384.00,962556.00,0,34
2015-09-28,225.00,221.00,215.00,217.00,0.00,12511.00,2722891.00,0,35
2015-09-24,227.00,231.00,220.00,225.00,0.00,14895.00,3340721.00,0,36
2015-09-23,215.00,230.00,219.00,227.00,0.00,9883.00,2259466.00,0,37
2015-09-22,232.00,228.00,214.00,215.00,0.00,13811.00,3001662.00,0,38
2015-09-17,228.00,232.00,220.00,232.00,0.00,29496.00,6666814.00,0,39
2015-09-16,228.00,237.00,224.00,228.00,0.00,29980.00,6883203.00,0,40
2015-09-15,211.00,228.00,211.00,228.00,0.00,51073.00,11266601.00,0,41
2015-09-14,205.00,215.00,202.00,211.00,0.00,51118.00,10618915.00,0,42
2015-09-13,197.00,205.00,198.00,205.00,0.00,16336.00,3275240.00,0,43
